ngram,Zoning,Zooning,oning
1500,1.6197253671634826e-06,0.0,0.0
1501,1.295780293730786e-06,0.0,0.0
1502,1.0798169114423217e-06,0.0,0.0
1503,9.255573526648472e-07,0.0,0.0
1504,9.255573526648472e-07,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,5.312767825671472e-07
1518,0.0,0.0,5.312767825671472e-07
1519,0.0,0.0,5.312767825671472e-07
1520,0.0,0.0,5.312767825671472e-07
1521,0.0,0.0,5.312767825671472e-07
1522,0.0,0.0,5.312767825671472e-07
1523,0.0,0.0,5.312767825671472e-07
1524,0.0,0.0,0.0
1525,0.0,0.0,0.0
1526,0.0,0.0,0.0
1527,0.0,0.0,0.0
1528,0.0,0.0,0.0
1529,0.0,0.0,0.0
1530,0.0,0.0,0.0
1531,0.0,0.0,0.0
1532,0.0,0.0,0.0
1533,0.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,0.0
1536,0.0,0.0,0.0
1537,0.0,0.0,0.0
1538,0.0,0.0,0.0
1539,0.0,0.0,0.0
1540,0.0,0.0,0.0
1541,0.0,0.0,0.0
1542,0.0,0.0,0.0
1543,0.0,0.0,0.0
1544,0.0,0.0,0.0
1545,0.0,0.0,2.679201023576232e-07
1546,0.0,0.0,2.679201023576232e-07
1547,0.0,0.0,2.679201023576232e-07
1548,0.0,0.0,2.679201023576232e-07
1549,0.0,0.0,2.679201023576232e-07
1550,0.0,0.0,2.679201023576232e-07
1551,0.0,0.0,2.679201023576232e-07
1552,0.0,0.0,0.0
1553,0.0,0.0,0.0
1554,0.0,0.0,0.0
1555,0.0,0.0,0.0
1556,0.0,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,0.0,0.0,0.0
1564,0.0,0.0,0.0
1565,0.0,0.0,0.0
1566,0.0,0.0,0.0
1567,0.0,0.0,0.0
1568,0.0,0.0,0.0
1569,0.0,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,0.0,0.0,0.0
1579,0.0,0.0,0.0
1580,0.0,0.0,0.0
1581,0.0,0.0,0.0
1582,0.0,0.0,0.0
1583,0.0,0.0,0.0
1584,0.0,0.0,8.991115854379521e-07
1585,0.0,0.0,8.991115854379521e-07
1586,0.0,0.0,8.991115854379521e-07
1587,0.0,0.0,8.991115854379521e-07
1588,0.0,0.0,8.991115854379521e-07
1589,0.0,0.0,8.991115854379521e-07
1590,0.0,0.0,8.991115854379521e-07
1591,0.0,0.0,0.0
1592,0.0,0.0,0.0
1593,0.0,0.0,0.0
1594,0.0,0.0,0.0
1595,0.0,0.0,0.0
1596,0.0,0.0,0.0
1597,0.0,0.0,0.0
1598,4.423391633931065e-08,0.0,0.0
1599,2.800562128868478e-07,0.0,0.0
1600,2.800562128868478e-07,0.0,0.0
1601,2.800562128868478e-07,0.0,0.0
1602,2.800562128868478e-07,0.0,0.0
1603,2.800562128868478e-07,0.0,0.0
1604,2.800562128868478e-07,0.0,0.0
1605,2.3582229654753713e-07,0.0,0.0
1606,0.0,0.0,0.0
1607,0.0,0.0,0.0
1608,0.0,0.0,0.0
