x_sums,y_sums,x_ture,y_ture
1,6.296104709020106e-11,1,5.9413507764410105e-09
2,5.639075466499856e-11,2,4.409027936398096e-09
3,5.622050196417229e-11,3,4.4270661045794515e-09
4,5.5919480355738816e-11,4,5.547312054154929e-09
5,6.180679876629671e-11,5,6.921628222958784e-09
6,6.194979350932733e-11,6,6.921628222958784e-09
7,6.922350391315644e-11,7,7.983884537614877e-09
8,8.561279661391451e-12,8,3.41699599567694e-09
9,1.3304023557417616e-11,9,3.430137769060743e-09
10,1.628050769594428e-11,10,3.3051725300111847e-09
11,3.260036486794706e-11,11,4.148687266740987e-09
12,2.5414861683424407e-11,12,3.791996589746256e-09
13,2.4346268057140463e-11,13,4.1469460563904814e-09
14,1.628050769594428e-11,14,4.093883739944967e-09
15,1.5863238302303374e-11,15,4.26185559065928e-09
16,2.349303688095209e-11,16,1.912355599272989e-09
17,2.349303688095209e-11,17,1.969184846929904e-09
18,1.3773889766850139e-11,18,2.0097346009606554e-09
19,1.3773889766850139e-11,19,2.188537494087127e-09
20,1.3773889766850139e-11,20,2.1233925253026443e-09
21,1.0184021285005888e-11,21,2.025274121028201e-09
22,1.0184021285005888e-11,22,2.202349754945995e-09
23,5.075064872319044e-12,23,2.285695410719768e-09
25,1.058215915688316e-11,24,5.559592088287348e-09
26,4.261724009405451e-11,25,5.020119875354112e-09
27,3.252069149687184e-11,26,5.597331138267642e-09
28,3.9111587976251425e-11,27,5.577946787000647e-09
29,3.323307353515175e-11,28,5.470156074137224e-09
30,3.4170752338802404e-11,29,5.485042832629818e-09
31,4.2713440423503e-11,30,5.623020842599706e-09
32,6.081543998551605e-11,31,1.6673033112876312e-09
33,1.1201031669643464e-11,32,1.72793010059077e-09
34,2.1517306289916707e-11,33,2.0237002391303757e-09
35,2.290847174655853e-11,34,2.373353098375893e-09
37,1.3773889766850139e-11,35,2.558258049845108e-09
38,1.3773889766850139e-11,36,2.580298387653913e-09
39,1.3773889766850139e-11,37,2.673394918138529e-09
40,1.3773889766850139e-11,38,2.893609034921545e-09
41,1.5139637559486677e-11,39,2.984992094770941e-09
42,1.3773889766850139e-11,40,2.8566377834644233e-09
43,1.3773889766850139e-11,41,2.626877655874184e-09
44,9.993419782171132e-12,42,2.529468666269606e-09
45,2.0384919942527192e-11,43,2.996518652257204e-09
46,2.0384919942527192e-11,44,2.94534244612724e-09
47,2.0384919942527192e-11,45,3.722493012249727e-09
48,2.145332522740517e-11,46,3.565360895407821e-09
49,2.012463385420953e-11,47,3.361253053668633e-09
50,1.87025273740149e-11,48,3.6278473241375356e-09
51,3.4913813903461997e-11,49,6.160250516045502e-09
52,3.6204908614762794e-11,50,6.842715854255792e-09
53,3.6204908614762794e-11,51,5.5309141393828605e-09
54,4.042464775620504e-11,52,5.382861637907392e-09
55,3.7567411978863976e-11,53,4.446043025804361e-09
56,3.962729103190732e-11,54,5.121500089101869e-09
57,3.7137722295558597e-11,55,5.570010518294945e-09
58,9.484536172316942e-12,56,2.870899898762705e-09
59,9.484536172316942e-12,57,2.5519458609782724e-09
60,9.484536172316942e-12,58,3.321921816988395e-09
61,9.484536172316942e-12,59,3.1583203671406832e-09
65,1.0411037483504249e-11,60,2.517989229820573e-09
66,1.0201756106553717e-11,61,2.622559835963045e-09
67,1.0201756106553717e-11,62,2.8386745652499356e-09
68,1.0201756106553717e-11,63,3.1341513511457767e-09
69,1.9016837707727262e-11,64,3.3193298110134606e-09
70,2.2442416972420372e-11,65,3.167088242455358e-09
71,1.8971322528799864e-11,66,3.228475708993983e-09
72,1.8971322528799864e-11,67,3.995429320724497e-09
73,1.8971322528799864e-11,68,3.3943679256243087e-09
