ngram,Aon,Ao,Aon,Ao
1500,0.0,8.098626835817413e-08,0.0,8.098626835817413e-08
1501,0.0,6.47890146865393e-08,0.0,6.47890146865393e-08
1502,0.0,5.3990845572116086e-08,0.0,5.3990845572116086e-08
1503,0.0,8.970944609895273e-06,0.0,8.970944609895273e-06
1504,0.0,8.970944609895273e-06,0.0,8.970944609895273e-06
1505,0.0,8.92466674226203e-06,0.0,8.92466674226203e-06
1506,0.0,8.92466674226203e-06,0.0,8.92466674226203e-06
1507,0.0,8.92466674226203e-06,0.0,8.92466674226203e-06
1508,0.0,8.92466674226203e-06,0.0,8.92466674226203e-06
1509,0.0,8.92466674226203e-06,0.0,8.92466674226203e-06
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1518,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1519,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1520,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1521,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1522,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1523,0.0,1.5938303477014415e-06,0.0,1.5938303477014415e-06
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1531,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1532,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1533,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1534,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1535,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1536,0.0,7.289485048594153e-07,0.0,7.289485048594153e-07
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1586,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1587,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1588,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1589,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1590,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1591,0.0,1.887180880138268e-07,0.0,1.887180880138268e-07
1592,0.0,0.0,0.0,0.0
1593,2.2327672663128135e-07,0.0,2.2327672663128135e-07,0.0
1594,2.2327672663128135e-07,0.0,2.2327672663128135e-07,0.0
1595,2.2327672663128135e-07,0.0,2.2327672663128135e-07,0.0
1596,2.2327672663128135e-07,0.0,2.2327672663128135e-07,0.0
1597,2.2327672663128135e-07,0.0,2.2327672663128135e-07,0.0
1598,2.2327672663128135e-07,8.84678326786213e-08,2.2327672663128135e-07,8.84678326786213e-08
1599,3.4118787490504996e-07,2.0637898095238987e-07,3.4118787490504996e-07,2.0637898095238987e-07
1600,2.244172329873046e-07,2.0637898095238987e-07,2.244172329873046e-07,2.0637898095238987e-07
1601,2.244172329873046e-07,2.0637898095238987e-07,2.244172329873046e-07,2.0637898095238987e-07
1602,2.244172329873046e-07,2.0637898095238987e-07,2.244172329873046e-07,2.0637898095238987e-07
1603,2.244172329873046e-07,2.0637898095238987e-07,2.244172329873046e-07,2.0637898095238987e-07
1604,2.244172329873046e-07,5.469196204493138e-07,2.244172329873046e-07,5.469196204493138e-07
1605,2.244172329873046e-07,4.584517877706925e-07,2.244172329873046e-07,4.584517877706925e-07
1606,1.8658619183042902e-07,3.4054063949692394e-07,1.8658619183042902e-07,3.4054063949692394e-07
1607,8.008010711689297e-08,3.4054063949692394e-07,8.008010711689297e-08,3.4054063949692394e-07
1608,8.008010711689297e-08,3.4054063949692394e-07,8.008010711689297e-08,3.4054063949692394e-07
1609,8.008010711689297e-08,5.292146170177148e-07,8.008010711689297e-08,5.292146170177148e-07
1610,8.008010711689297e-08,5.292146170177148e-07,8.008010711689297e-08,5.292146170177148e-07
1611,8.008010711689297e-08,2.9108625605139035e-07,8.008010711689297e-08,2.9108625605139035e-07
1612,8.008010711689297e-08,2.9108625605139035e-07,8.008010711689297e-08,2.9108625605139035e-07
1613,0.0,4.508967370903909e-07,0.0,4.508967370903909e-07
1614,0.0,4.508967370903909e-07,0.0,4.508967370903909e-07
1615,0.0,4.508967370903909e-07,0.0,4.508967370903909e-07
1616,0.0,2.6222275956960015e-07,0.0,2.6222275956960015e-07
1617,0.0,2.6222275956960015e-07,0.0,2.6222275956960015e-07
1618,0.0,1.598104810390006e-07,0.0,1.598104810390006e-07
1619,0.0,2.7234498085298195e-07,0.0,2.7234498085298195e-07
1620,0.0,2.1327341365966796e-07,0.0,2.1327341365966796e-07
1621,0.0,3.916914092120091e-07,0.0,3.916914092120091e-07
1622,0.0,3.916914092120091e-07,0.0,3.916914092120091e-07
1623,0.0,3.916914092120091e-07,0.0,3.916914092120091e-07
1624,0.0,3.916914092120091e-07,0.0,3.916914092120091e-07
1625,4.1532345156675934e-07,3.916914092120091e-07,4.1532345156675934e-07,3.916914092120091e-07
1626,4.1532345156675934e-07,2.7915690939802775e-07,4.1532345156675934e-07,2.7915690939802775e-07
1627,5.750947918516301e-07,3.381893358372119e-07,5.750947918516301e-07,3.381893358372119e-07
1628,5.750947918516301e-07,1.5977134028487073e-07,5.750947918516301e-07,1.5977134028487073e-07
1629,5.750947918516301e-07,1.5977134028487073e-07,5.750947918516301e-07,1.5977134028487073e-07
1630,5.750947918516301e-07,1.6260042587288938e-06,5.750947918516301e-07,1.6260042587288938e-06
1631,5.750947918516301e-07,1.6260042587288938e-06,5.750947918516301e-07,1.6260042587288938e-06
1632,1.5977134028487073e-07,1.6260042587288938e-06,1.5977134028487073e-07,1.6260042587288938e-06
1633,1.5977134028487073e-07,1.6260042587288938e-06,1.5977134028487073e-07,1.6260042587288938e-06
1634,0.0,1.4662329184440232e-06,0.0,1.4662329184440232e-06
1635,0.0,1.6308723453611101e-06,0.0,1.6308723453611101e-06
1636,0.0,1.6308723453611101e-06,0.0,1.6308723453611101e-06
1637,0.0,2.377995542701683e-07,0.0,2.377995542701683e-07
1638,0.0,3.051345913718251e-07,0.0,3.051345913718251e-07
1639,0.0,3.8300482125513166e-07,0.0,3.8300482125513166e-07
1640,0.0,3.8300482125513166e-07,0.0,3.8300482125513166e-07
1641,0.0,4.427269085941329e-07,0.0,4.427269085941329e-07
1642,0.0,2.7808748167704576e-07,0.0,2.7808748167704576e-07
1643,0.0,2.7808748167704576e-07,0.0,2.7808748167704576e-07
1644,0.0,2.965888208044427e-07,0.0,2.965888208044427e-07
1645,4.9116830983361326e-08,2.783706146861472e-07,4.9116830983361326e-08,2.783706146861472e-07
1646,4.9116830983361326e-08,2.0050038480284066e-07,4.9116830983361326e-08,2.0050038480284066e-07
1647,4.9116830983361326e-08,2.0050038480284066e-07,4.9116830983361326e-08,2.0050038480284066e-07
1648,9.496606675643956e-08,2.3247676900999587e-07,9.496606675643956e-08,2.3247676900999587e-07
1649,9.496606675643956e-08,3.8893231898587797e-07,9.496606675643956e-08,3.8893231898587797e-07
1650,1.3888620336339435e-07,4.328524555928327e-07,1.3888620336339435e-07,4.328524555928327e-07
1651,1.8188628457340072e-07,5.131913139523801e-07,1.8188628457340072e-07,5.131913139523801e-07
1652,1.3276945359003938e-07,5.754172767475601e-07,1.3276945359003938e-07,5.754172767475601e-07
1653,1.3276945359003938e-07,5.754172767475601e-07,1.3276945359003938e-07,5.754172767475601e-07
1654,1.3276945359003938e-07,6.169004629035564e-07,1.3276945359003938e-07,6.169004629035564e-07
1655,8.692021781696115e-08,5.252019913573999e-07,8.692021781696115e-08,5.252019913573999e-07
1656,8.692021781696115e-08,4.5936110382172046e-07,8.692021781696115e-08,4.5936110382172046e-07
