ngram,BCE,BC,BCE,BC
1500,0.0,5.487997611908213e-07,0.0,5.487997611908213e-07
1501,0.0,4.3903980895265704e-07,0.0,4.3903980895265704e-07
1502,0.0,3.6586650746054755e-07,0.0,3.6586650746054755e-07
1503,0.0,3.1359986353761216e-07,0.0,3.1359986353761216e-07
1504,0.0,4.627786763324236e-08,0.0,4.627786763324236e-08
1505,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1506,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1507,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1508,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1509,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1510,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1511,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1518,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1519,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1520,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1521,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1522,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1523,0.0,3.7189373480422157e-06,0.0,3.7189373480422157e-06
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,6.356494850479066e-06,0.0,6.356494850479066e-06
1527,0.0,6.356494850479066e-06,0.0,6.356494850479066e-06
1528,0.0,6.356494850479066e-06,0.0,6.356494850479066e-06
1529,0.0,6.356494850479066e-06,0.0,6.356494850479066e-06
1530,0.0,7.814391860197897e-06,0.0,7.814391860197897e-06
1531,0.0,1.9304088319976082e-05,0.0,1.9304088319976082e-05
1532,0.0,1.9304088319976082e-05,0.0,1.9304088319976082e-05
1533,0.0,1.2947593469497015e-05,0.0,1.2947593469497015e-05
1534,0.0,1.2947593469497015e-05,0.0,1.2947593469497015e-05
1535,0.0,1.2947593469497015e-05,0.0,1.2947593469497015e-05
1536,0.0,1.2947593469497015e-05,0.0,1.2947593469497015e-05
1537,0.0,1.1489696459778185e-05,0.0,1.1489696459778185e-05
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1545,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1546,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1547,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1548,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1549,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1550,0.0,1.391049246584381e-07,0.0,1.391049246584381e-07
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1589,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1590,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1591,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1592,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1593,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1594,0.0,6.695058151048475e-07,0.0,6.695058151048475e-07
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1600,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1601,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
1602,0.0,1.1791114827376856e-07,0.0,1.1791114827376856e-07
