ngram,Bayer,Bayr,Bayer,Bayr
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,6.160450019316548e-07,0.0,6.160450019316548e-07,0.0
1524,6.160450019316548e-07,0.0,6.160450019316548e-07,0.0
1525,6.160450019316548e-07,0.0,6.160450019316548e-07,0.0
1526,1.2516944869795615e-06,0.0,1.2516944869795615e-06,0.0
1527,1.2516944869795615e-06,0.0,1.2516944869795615e-06,0.0
1528,1.2516944869795615e-06,0.0,1.2516944869795615e-06,0.0
1529,1.2516944869795615e-06,0.0,1.2516944869795615e-06,0.0
1530,6.356494850479066e-07,0.0,6.356494850479066e-07,0.0
1531,6.356494850479066e-07,0.0,6.356494850479066e-07,0.0
1532,6.356494850479066e-07,0.0,6.356494850479066e-07,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1576,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1577,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1578,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1579,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1580,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1581,1.2572796289792417e-06,0.0,1.2572796289792417e-06,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,4.423391633931065e-08,0.0,4.423391633931065e-08,0.0
1599,1.621450646130792e-07,0.0,1.621450646130792e-07,0.0
1600,1.621450646130792e-07,0.0,1.621450646130792e-07,0.0
1601,1.621450646130792e-07,0.0,1.621450646130792e-07,0.0
1602,2.6654578277884866e-07,0.0,2.6654578277884866e-07,0.0
1603,2.6654578277884866e-07,0.0,2.6654578277884866e-07,0.0
1604,2.6654578277884866e-07,0.0,2.6654578277884866e-07,0.0
1605,2.22311866439538e-07,0.0,2.22311866439538e-07,0.0
1606,1.0440071816576944e-07,0.0,1.0440071816576944e-07,0.0
1607,1.0440071816576944e-07,0.0,1.0440071816576944e-07,0.0
1608,1.0440071816576944e-07,0.0,1.0440071816576944e-07,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,3.6042453237834185e-07,0.0,3.6042453237834185e-07,0.0
1617,4.839658670009937e-07,0.0,4.839658670009937e-07,0.0
1618,4.839658670009937e-07,0.0,4.839658670009937e-07,0.0
