ngram,Block,Blck,Blok,Blck
1500,1.979396472506778e-06,0.0,0.0,0.0
1501,1.5835171780054225e-06,0.0,0.0,0.0
1502,1.319597648337852e-06,0.0,0.0,0.0
1503,1.1310836985753018e-06,0.0,0.0,0.0
1504,3.5495795275762376e-06,0.0,0.0,0.0
1505,3.4024646993202623e-06,0.0,0.0,0.0
1506,3.4024646993202623e-06,0.0,0.0,0.0
1507,3.4024646993202623e-06,0.0,0.0,0.0
1508,3.4024646993202623e-06,0.0,0.0,0.0
1509,3.4024646993202623e-06,0.0,0.0,0.0
1510,3.4024646993202623e-06,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.844044478310804e-06,0.0,0.0,0.0
1518,5.844044478310804e-06,0.0,0.0,0.0
1519,5.844044478310804e-06,0.0,0.0,0.0
1520,5.844044478310804e-06,0.0,0.0,0.0
1521,5.844044478310804e-06,0.0,0.0,0.0
1522,5.844044478310804e-06,0.0,0.0,0.0
1523,5.844044478310804e-06,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,4.4726438578176643e-07,0.0,0.0,0.0
1537,4.4726438578176643e-07,0.0,0.0,0.0
1538,4.4726438578176643e-07,0.0,0.0,0.0
1539,2.107486677362301e-06,0.0,0.0,0.0
1540,2.107486677362301e-06,0.0,0.0,0.0
1541,2.107486677362301e-06,0.0,0.0,0.0
1542,2.107486677362301e-06,0.0,0.0,0.0
1543,1.6602222915805344e-06,0.0,0.0,0.0
1544,2.4948518070492095e-06,0.0,0.0,0.0
1545,2.4948518070492095e-06,0.0,0.0,0.0
1546,8.346295154686751e-07,0.0,0.0,0.0
1547,8.346295154686751e-07,0.0,0.0,0.0
1548,1.4291133863610282e-06,0.0,0.0,0.0
1549,1.4291133863610282e-06,0.0,0.0,0.0
1550,1.4291133863610282e-06,0.0,0.0,0.0
1551,5.94483870892353e-07,0.0,0.0,0.0
1552,1.3155948701231473e-06,0.0,0.0,0.0
1553,1.3155948701231473e-06,0.0,0.0,0.0
1554,1.3155948701231473e-06,0.0,0.0,0.0
1555,7.211109992307943e-07,0.0,0.0,0.0
1556,7.211109992307943e-07,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,1.3647946356546266e-06,0.0,0.0,0.0
1568,1.3647946356546266e-06,0.0,0.0,0.0
1569,1.3647946356546266e-06,0.0,0.0,0.0
1570,1.3647946356546266e-06,0.0,0.0,0.0
1571,1.3647946356546266e-06,0.0,0.0,0.0
1572,1.3647946356546266e-06,0.0,0.0,0.0
1573,1.3647946356546266e-06,0.0,0.0,0.0
1574,5.447115459641541e-07,0.0,0.0,0.0
1575,5.447115459641541e-07,0.0,0.0,0.0
1576,9.953919938457797e-07,0.0,0.0,0.0
1577,9.953919938457797e-07,0.0,0.0,0.0
1578,9.953919938457797e-07,0.0,0.0,0.0
1579,9.953919938457797e-07,0.0,0.0,0.0
1580,9.953919938457797e-07,0.0,0.0,0.0
1581,4.5068044788162555e-07,0.0,0.0,0.0
1582,4.5068044788162555e-07,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,3.6318627800418266e-07,0.0,0.0,0.0
1598,5.843558678212243e-07,0.0,0.0,0.0
