ngram,Continental,Continental,Contnental,Contnental
1500,1.4034404784979415e-06,1.4034404784979415e-06,0.0,0.0
1501,1.1227523827983533e-06,1.1227523827983533e-06,0.0,0.0
1502,9.356269856652943e-07,9.356269856652943e-07,0.0,0.0
1503,8.019659877131094e-07,8.019659877131094e-07,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1506,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1507,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1508,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1509,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1510,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1511,3.156638480764481e-07,3.156638480764481e-07,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1537,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1538,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1539,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1540,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1541,1.7890575431270657e-06,1.7890575431270657e-06,0.0,0.0
1542,4.798350216463275e-06,4.798350216463275e-06,0.0,0.0
1543,3.009292673336209e-06,3.009292673336209e-06,0.0,0.0
1544,4.817656710136882e-06,4.817656710136882e-06,0.0,0.0
1545,4.817656710136882e-06,4.817656710136882e-06,0.0,0.0
1546,4.817656710136882e-06,4.817656710136882e-06,0.0,0.0
1547,4.817656710136882e-06,4.817656710136882e-06,0.0,0.0
1548,5.114898645583058e-06,5.114898645583058e-06,0.0,0.0
1549,2.105605972246849e-06,2.105605972246849e-06,0.0,0.0
1550,2.105605972246849e-06,2.105605972246849e-06,0.0,0.0
1551,2.972419354461765e-07,2.972419354461765e-07,0.0,0.0
1552,2.972419354461765e-07,2.972419354461765e-07,0.0,0.0
1553,2.972419354461765e-07,2.972419354461765e-07,0.0,0.0
1554,2.972419354461765e-07,2.972419354461765e-07,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1561,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1562,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1563,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1564,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1565,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1566,4.4869024610047094e-07,4.4869024610047094e-07,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,1.186614749063405e-06,1.186614749063405e-06,0.0,0.0
1582,1.186614749063405e-06,1.186614749063405e-06,0.0,0.0
1583,1.4269260516032643e-06,1.4269260516032643e-06,0.0,0.0
1584,1.4269260516032643e-06,1.4269260516032643e-06,0.0,0.0
1585,1.4269260516032643e-06,1.4269260516032643e-06,0.0,0.0
1586,1.4269260516032643e-06,1.4269260516032643e-06,0.0,0.0
1587,1.7730056112798463e-06,1.7730056112798463e-06,0.0,0.0
1588,5.863908622164413e-07,5.863908622164413e-07,0.0,0.0
1589,5.863908622164413e-07,5.863908622164413e-07,0.0,0.0
1590,6.060552095732419e-07,6.060552095732419e-07,0.0,0.0
1591,6.060552095732419e-07,6.060552095732419e-07,0.0,0.0
1592,6.060552095732419e-07,6.060552095732419e-07,0.0,0.0
1593,6.060552095732419e-07,6.060552095732419e-07,0.0,0.0
1594,2.599756498966599e-07,2.599756498966599e-07,0.0,0.0
1595,2.599756498966599e-07,2.599756498966599e-07,0.0,0.0
1596,2.599756498966599e-07,2.599756498966599e-07,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,2.2116958981704166e-07,2.2116958981704166e-07,0.0,0.0
1599,2.2116958981704166e-07,2.2116958981704166e-07,0.0,0.0
1600,4.3418175924411375e-07,4.3418175924411375e-07,0.0,0.0
1601,4.3418175924411375e-07,4.3418175924411375e-07,0.0,0.0
1602,4.3418175924411375e-07,4.3418175924411375e-07,0.0,0.0
1603,4.3418175924411375e-07,4.3418175924411375e-07,0.0,0.0
1604,6.044520789925758e-07,6.044520789925758e-07,0.0,0.0
1605,3.832824891755341e-07,3.832824891755341e-07,0.0,0.0
1606,5.434427034093201e-07,5.434427034093201e-07,0.0,0.0
1607,3.304305339822479e-07,3.304305339822479e-07,0.0,0.0
1608,3.304305339822479e-07,3.304305339822479e-07,0.0,0.0
1609,3.304305339822479e-07,3.304305339822479e-07,0.0,0.0
1610,3.304305339822479e-07,3.304305339822479e-07,0.0,0.0
1611,2.6257249276438544e-07,2.6257249276438544e-07,0.0,0.0
1612,2.6257249276438544e-07,2.6257249276438544e-07,0.0,0.0
1613,1.0241227853059951e-07,1.0241227853059951e-07,0.0,0.0
1614,1.0241227853059951e-07,1.0241227853059951e-07,0.0,0.0
1615,4.833555310921968e-07,4.833555310921968e-07,0.0,0.0
1616,4.833555310921968e-07,4.833555310921968e-07,0.0,0.0
1617,4.833555310921968e-07,4.833555310921968e-07,0.0,0.0
1618,4.794203911322776e-07,4.794203911322776e-07,0.0,0.0
1619,4.794203911322776e-07,4.794203911322776e-07,0.0,0.0
1620,4.794203911322776e-07,4.794203911322776e-07,0.0,0.0
1621,6.578383866846187e-07,6.578383866846187e-07,0.0,0.0
1622,2.7689513412302145e-07,2.7689513412302145e-07,0.0,0.0
1623,5.46309325142959e-07,5.46309325142959e-07,0.0,0.0
1624,5.46309325142959e-07,5.46309325142959e-07,0.0,0.0
1625,4.4783218657227864e-07,4.4783218657227864e-07,0.0,0.0
1626,4.4783218657227864e-07,4.4783218657227864e-07,0.0,0.0
1627,4.4783218657227864e-07,4.4783218657227864e-07,0.0,0.0
1628,2.6941419101993755e-07,2.6941419101993755e-07,0.0,0.0
1629,2.6941419101993755e-07,2.6941419101993755e-07,0.0,0.0
1630,0.0,0.0,0.0,0.0
1631,0.0,0.0,0.0,0.0
1632,0.0,0.0,0.0,0.0
1633,0.0,0.0,0.0,0.0
1634,0.0,0.0,0.0,0.0
1635,0.0,0.0,0.0,0.0
1636,0.0,0.0,0.0,0.0
1637,0.0,0.0,0.0,0.0
1638,0.0,0.0,0.0,0.0
1639,0.0,0.0,0.0,0.0
1640,0.0,0.0,0.0,0.0
1641,5.972208733900125e-08,5.972208733900125e-08,0.0,0.0
1642,5.972208733900125e-08,5.972208733900125e-08,0.0,0.0
1643,5.972208733900125e-08,5.972208733900125e-08,0.0,0.0
1644,3.347064786599471e-07,3.347064786599471e-07,0.0,0.0
1645,3.8382330964330844e-07,3.8382330964330844e-07,0.0,0.0
1646,3.8382330964330844e-07,3.8382330964330844e-07,0.0,0.0
1647,3.8382330964330844e-07,3.8382330964330844e-07,0.0,0.0
1648,6.45045856474878e-07,6.45045856474878e-07,0.0,0.0
1649,7.23273631462819e-07,7.23273631462819e-07,0.0,0.0
1650,7.23273631462819e-07,7.23273631462819e-07,0.0,0.0
1651,4.482892401418732e-07,4.482892401418732e-07,0.0,0.0
1652,6.775294017253535e-07,6.775294017253535e-07,0.0,0.0
1653,6.775294017253535e-07,6.775294017253535e-07,0.0,0.0
1654,6.775294017253535e-07,6.775294017253535e-07,0.0,0.0
1655,3.565847675547827e-07,3.565847675547827e-07,0.0,0.0
1656,2.7835699256684165e-07,2.7835699256684165e-07,0.0,0.0
1657,3.0616142510098143e-07,3.0616142510098143e-07,0.0,0.0
1658,3.0616142510098143e-07,3.0616142510098143e-07,0.0,0.0
1659,9.213880299999541e-08,9.213880299999541e-08,0.0,0.0
1660,7.335372040578087e-07,7.335372040578087e-07,0.0,0.0
1661,7.335372040578087e-07,7.335372040578087e-07,0.0,0.0
1662,7.335372040578087e-07,7.335372040578087e-07,0.0,0.0
1663,8.64927161257713e-07,8.64927161257713e-07,0.0,0.0
1664,8.764257099106285e-07,8.764257099106285e-07,0.0,0.0
1665,8.764257099106285e-07,8.764257099106285e-07,0.0,0.0
1666,8.120913394447728e-07,8.120913394447728e-07,0.0,0.0
1667,1.7069293838695948e-07,1.7069293838695948e-07,0.0,0.0
1668,1.7069293838695948e-07,1.7069293838695948e-07,0.0,0.0
1669,1.7069293838695948e-07,1.7069293838695948e-07,0.0,0.0
1670,1.1660131755369158e-07,1.1660131755369158e-07,0.0,0.0
1671,7.729833636663638e-08,7.729833636663638e-08,0.0,0.0
1672,1.0189893779560017e-07,1.0189893779560017e-07,0.0,0.0
1673,1.0189893779560017e-07,1.0189893779560017e-07,0.0,0.0
1674,1.0189893779560017e-07,1.0189893779560017e-07,0.0,0.0
1675,1.0189893779560017e-07,1.0189893779560017e-07,0.0,0.0
1676,1.0189893779560017e-07,1.0189893779560017e-07,0.0,0.0
1677,2.4600601428963794e-08,2.4600601428963794e-08,0.0,0.0
1678,2.4600601428963794e-08,2.4600601428963794e-08,0.0,0.0
1679,0.0,0.0,0.0,0.0
1680,3.2583472732637476e-07,3.2583472732637476e-07,0.0,0.0
1681,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1682,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1683,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1684,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1685,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1686,3.4821057478698745e-07,3.4821057478698745e-07,0.0,0.0
1687,1.0477602683879792e-07,1.0477602683879792e-07,0.0,0.0
1688,8.240017937818525e-08,8.240017937818525e-08,0.0,0.0
1689,8.240017937818525e-08,8.240017937818525e-08,0.0,0.0
1690,3.524139547802666e-07,3.524139547802666e-07,0.0,0.0
1691,1.2331918810559728e-06,1.2331918810559728e-06,0.0,0.0
1692,1.2331918810559728e-06,1.2331918810559728e-06,0.0,0.0
1693,1.2331918810559728e-06,1.2331918810559728e-06,0.0,0.0
1694,1.1507917016777874e-06,1.1507917016777874e-06,0.0,0.0
1695,1.166298505138132e-06,1.166298505138132e-06,0.0,0.0
1696,1.166298505138132e-06,1.166298505138132e-06,0.0,0.0
1697,9.771025507429191e-07,9.771025507429191e-07,0.0,0.0
1698,1.040110264836715e-06,1.040110264836715e-06,0.0,0.0
1699,1.040110264836715e-06,1.040110264836715e-06,0.0,0.0
1700,1.0531081175356251e-06,1.0531081175356251e-06,0.0,0.0
1701,1.1497757108307788e-06,1.1497757108307788e-06,0.0,0.0
1702,1.1582392269409475e-06,1.1582392269409475e-06,0.0,0.0
1703,1.1803216466432787e-06,1.1803216466432787e-06,0.0,0.0
1704,1.0995038256364102e-06,1.0995038256364102e-06,0.0,0.0
1705,1.557181852669081e-07,1.557181852669081e-07,0.0,0.0
1706,1.557181852669081e-07,1.557181852669081e-07,0.0,0.0
1707,1.4272033256799788e-07,1.4272033256799788e-07,0.0,0.0
1708,4.605273927284413e-08,4.605273927284413e-08,0.0,0.0
1709,2.208241970233108e-08,2.208241970233108e-08,0.0,0.0
1710,1.72150233116294e-08,1.72150233116294e-08,0.0,0.0
1711,2.690735202902163e-08,2.690735202902163e-08,0.0,0.0
1712,2.690735202902163e-08,2.690735202902163e-08,0.0,0.0
1713,2.690735202902163e-08,2.690735202902163e-08,0.0,0.0
1714,5.56221826692698e-08,5.56221826692698e-08,0.0,0.0
1715,4.1793748956869034e-07,4.1793748956869034e-07,0.0,0.0
1716,4.1793748956869034e-07,4.1793748956869034e-07,0.0,0.0
1717,4.007224662570609e-07,4.007224662570609e-07,0.0,0.0
1718,3.9103013753966867e-07,3.9103013753966867e-07,0.0,0.0
1719,3.9103013753966867e-07,3.9103013753966867e-07,0.0,0.0
1720,3.9103013753966867e-07,3.9103013753966867e-07,0.0,0.0
1721,3.623153068994205e-07,3.623153068994205e-07,0.0,0.0
1722,0.0,0.0,0.0,0.0
