ngram,Eaton,Eton,Eton,Eton
1500,6.47890146865393e-07,0.0,0.0,0.0
1501,5.183121174923144e-07,0.0,0.0,0.0
1502,6.076376166674891e-07,0.0,0.0,0.0
1503,5.208322428578478e-07,0.0,0.0,0.0
1504,3.607633094101662e-06,0.0,0.0,0.0
1505,3.237410153035723e-06,0.0,0.0,0.0
1506,3.237410153035723e-06,0.0,0.0,0.0
1507,3.237410153035723e-06,0.0,0.0,0.0
1508,3.237410153035723e-06,0.0,0.0,0.0
1509,3.0868008512438142e-06,0.0,0.0,0.0
1510,3.0868008512438142e-06,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1515,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1516,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1517,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1518,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1519,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1520,0.0,1.4283056901019466e-06,1.4283056901019466e-06,1.4283056901019466e-06
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,7.289485048594153e-07,7.289485048594153e-07,7.289485048594153e-07
1531,0.0,7.289485048594153e-07,7.289485048594153e-07,7.289485048594153e-07
1532,4.509165916845502e-07,7.289485048594153e-07,7.289485048594153e-07,7.289485048594153e-07
1533,4.509165916845502e-07,7.289485048594153e-07,7.289485048594153e-07,7.289485048594153e-07
1534,4.509165916845502e-07,7.289485048594153e-07,7.289485048594153e-07,7.289485048594153e-07
1535,8.274261550208653e-07,1.4819676315320457e-06,1.4819676315320457e-06,1.4819676315320457e-06
1536,8.274261550208653e-07,1.4819676315320457e-06,1.4819676315320457e-06,1.4819676315320457e-06
1537,8.274261550208653e-07,7.530191266726303e-07,7.530191266726303e-07,7.530191266726303e-07
1538,8.274261550208653e-07,7.530191266726303e-07,7.530191266726303e-07,7.530191266726303e-07
1539,3.7650956333631515e-07,7.530191266726303e-07,7.530191266726303e-07,7.530191266726303e-07
1540,3.7650956333631515e-07,7.530191266726303e-07,7.530191266726303e-07,7.530191266726303e-07
1541,3.7650956333631515e-07,7.530191266726303e-07,7.530191266726303e-07,7.530191266726303e-07
1542,1.5046463366681046e-06,4.513939139932128e-06,4.513939139932128e-06,4.513939139932128e-06
1543,1.5046463366681046e-06,4.513939139932128e-06,4.513939139932128e-06,4.513939139932128e-06
1544,2.4783807930361945e-06,5.348568655400803e-06,5.348568655400803e-06,5.348568655400803e-06
1545,3.81798125610138e-06,8.29568983005759e-06,8.29568983005759e-06,8.29568983005759e-06
1546,3.81798125610138e-06,1.081304565429621e-05,1.081304565429621e-05,1.081304565429621e-05
