ngram,Jeronimo Martins
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,2.5612765876457747e-10
1825,4.980204978569499e-10
1826,4.980204978569499e-10
1827,4.980204978569499e-10
1828,4.980204978569499e-10
1829,4.980204978569499e-10
1830,4.980204978569499e-10
1831,2.4189283909237247e-10
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,4.489385054183361e-11
1865,4.489385054183361e-11
1866,4.489385054183361e-11
1867,4.489385054183361e-11
1868,4.489385054183361e-11
1869,4.489385054183361e-11
1870,4.489385054183361e-11
1871,0.0
1872,0.0
1873,7.431532373607702e-11
1874,7.431532373607702e-11
1875,7.431532373607702e-11
1876,7.431532373607702e-11
1877,7.431532373607702e-11
1878,7.431532373607702e-11
1879,7.431532373607702e-11
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,6.634270513902355e-11
1912,6.634270513902355e-11
1913,6.634270513902355e-11
1914,6.634270513902355e-11
1915,6.634270513902355e-11
1916,6.634270513902355e-11
1917,6.634270513902355e-11
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,4.222886722844115e-11
1936,4.222886722844115e-11
1937,4.222886722844115e-11
1938,4.222886722844115e-11
1939,4.222886722844115e-11
1940,4.222886722844115e-11
1941,6.845147464724327e-11
1942,4.992019297933581e-11
1943,4.992019297933581e-11
1944,8.602200896046241e-11
1945,1.0386399478574354e-10
1946,1.3533190639553842e-10
1947,1.5107419085566169e-10
1948,1.2485158343685957e-10
1949,1.1732297673055266e-10
1950,1.4948906993225312e-10
1951,1.1338725395112651e-10
1952,1.253675179541907e-10
1953,1.6847736301300083e-10
1954,1.5273507855287757e-10
1955,1.8030261807387505e-10
1956,1.8976342322904064e-10
1957,1.5759733002734018e-10
1958,2.0288620585149986e-10
1959,1.8381197952610506e-10
1960,1.3945038576260568e-10
1961,1.9298192210914777e-10
1962,1.7512030714428306e-10
1963,1.7776713038105844e-10
1964,1.863284100424499e-10
1965,1.5781660601359755e-10
1966,1.6381077546011114e-10
1967,1.756840040508959e-10
1968,1.221524677043538e-10
1969,1.2953932073836834e-10
1970,1.1795448050839445e-10
1971,1.179146661264444e-10
1972,1.1769541690449207e-10
1973,1.0881065195692382e-10
1974,6.672126046103344e-11
1975,8.214336651356037e-11
1976,6.505058892341304e-11
1977,4.83588219072192e-11
1978,3.983735662777781e-11
1979,3.1009972863347916e-11
1980,2.3152544861452082e-11
1981,3.041009359010844e-11
1982,1.4987987537581506e-11
1983,3.610681644545493e-11
1984,3.610681644545493e-11
1985,6.36368958520769e-11
1986,9.532821258563727e-11
1987,1.7167625158766497e-10
1988,2.1717280553255692e-10
1989,3.5642865048313155e-10
1990,5.190341589062746e-10
1991,7.754297937883387e-10
1992,1.0083176872819978e-09
1993,1.085389452918203e-09
1994,1.2629168583926693e-09
1995,1.5021988970203332e-09
1996,1.6090353731940915e-09
1997,1.9072701434070486e-09
1998,1.9149029584220045e-09
1999,1.917781259194332e-09
2000,2.088082992227466e-09
2001,1.892171284735765e-09
2002,1.8354140667626545e-09
2003,1.7760913612845692e-09
2004,1.4624230001584034e-09
2005,1.2835954124997988e-09
2006,1.1477136463433624e-09
2007,9.171169141579988e-10
2008,9.49720064496213e-10
2009,7.578570786798927e-10
2010,6.373446016981279e-10
2011,4.955106840715778e-10
2012,4.204599515778007e-10
2013,3.6940616339663027e-10
2014,3.181470488841257e-10
2015,3.618934997903381e-10
2016,3.4822338316436204e-10
2017,3.289606185831924e-10
2018,3.577131819920698e-10
2019,4.293787504369706e-10
