ngram,PG,PG,PE,PE
1500,2.3390674641632359e-07,2.3390674641632359e-07,7.017202392489708e-07,7.017202392489708e-07
1501,1.8712539713305886e-07,1.8712539713305886e-07,5.613761913991766e-07,5.613761913991766e-07
1502,1.5593783094421573e-07,1.5593783094421573e-07,4.6781349283264717e-07,4.6781349283264717e-07
1503,1.336609979521849e-07,1.336609979521849e-07,4.009829938565547e-07,4.009829938565547e-07
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1518,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1519,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1520,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1521,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1522,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1523,0.0,0.0,1.0625535651342943e-06,1.0625535651342943e-06
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,4.4495463953353465e-06,4.4495463953353465e-06
1527,0.0,0.0,4.4495463953353465e-06,4.4495463953353465e-06
1528,1.1497556572846537e-05,1.1497556572846537e-05,4.4495463953353465e-06,4.4495463953353465e-06
1529,1.1497556572846537e-05,1.1497556572846537e-05,4.4495463953353465e-06,4.4495463953353465e-06
1530,1.1497556572846537e-05,1.1497556572846537e-05,4.4495463953353465e-06,4.4495463953353465e-06
1531,1.1497556572846537e-05,1.1497556572846537e-05,4.4495463953353465e-06,4.4495463953353465e-06
1532,1.1497556572846537e-05,1.1497556572846537e-05,4.4495463953353465e-06,4.4495463953353465e-06
1533,1.1497556572846537e-05,1.1497556572846537e-05,0.0,0.0
1534,1.1497556572846537e-05,1.1497556572846537e-05,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,3.557199878352029e-05,3.557199878352029e-05
1538,0.0,0.0,3.557199878352029e-05,3.557199878352029e-05
1539,0.0,0.0,3.6402109929310556e-05,3.6402109929310556e-05
1540,0.0,0.0,3.6402109929310556e-05,3.6402109929310556e-05
1541,0.0,0.0,3.6402109929310556e-05,3.6402109929310556e-05
1542,0.0,0.0,3.6402109929310556e-05,3.6402109929310556e-05
1543,0.0,0.0,3.6402109929310556e-05,3.6402109929310556e-05
1544,0.0,0.0,8.301111457902672e-07,8.301111457902672e-07
1545,0.0,0.0,8.301111457902672e-07,8.301111457902672e-07
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1557,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1558,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1559,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1560,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1561,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1562,1.0408762786287947e-06,1.0408762786287947e-06,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1575,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1576,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1577,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1578,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1579,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1580,0.0,0.0,5.447115459641541e-07,5.447115459641541e-07
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,4.189813742933828e-07,4.189813742933828e-07
1583,2.2589262308818953e-05,2.2589262308818953e-05,4.189813742933828e-07,4.189813742933828e-07
1584,2.2589262308818953e-05,2.2589262308818953e-05,4.189813742933828e-07,4.189813742933828e-07
1585,2.2589262308818953e-05,2.2589262308818953e-05,4.189813742933828e-07,4.189813742933828e-07
1586,2.2589262308818953e-05,2.2589262308818953e-05,4.189813742933828e-07,4.189813742933828e-07
1587,2.2589262308818953e-05,2.2589262308818953e-05,4.189813742933828e-07,4.189813742933828e-07
1588,2.2589262308818953e-05,2.2589262308818953e-05,1.0884871893982303e-06,1.0884871893982303e-06
1589,2.2589262308818953e-05,2.2589262308818953e-05,6.695058151048475e-07,6.695058151048475e-07
1590,0.0,0.0,6.695058151048475e-07,6.695058151048475e-07
1591,0.0,0.0,6.695058151048475e-07,6.695058151048475e-07
1592,0.0,0.0,6.695058151048475e-07,6.695058151048475e-07
1593,0.0,0.0,6.695058151048475e-07,6.695058151048475e-07
1594,0.0,0.0,6.695058151048475e-07,6.695058151048475e-07
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,2.4212418533612177e-07,2.4212418533612177e-07
1598,8.84678326786213e-08,8.84678326786213e-08,2.4212418533612177e-07,2.4212418533612177e-07
1599,8.84678326786213e-08,8.84678326786213e-08,3.6003533360989035e-07,3.6003533360989035e-07
