ngram,SLB,SB,SL,SL
1500,0.0,1.6373471680708462e-06,0.0,0.0
1501,0.0,1.309877734456677e-06,0.0,0.0
1502,0.0,1.0915647787138976e-06,0.0,0.0
1503,0.0,9.356269531833407e-07,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,2.209647001499044e-06,0.0,0.0
1506,0.0,2.209647001499044e-06,0.0,0.0
1507,0.0,2.209647001499044e-06,0.0,0.0
1508,0.0,2.209647001499044e-06,0.0,0.0
1509,0.0,2.209647001499044e-06,0.0,0.0
1510,0.0,2.209647001499044e-06,0.0,0.0
1511,0.0,2.209647001499044e-06,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,4.129356187019896e-06,0.0,0.0
1525,0.0,4.129356187019896e-06,0.0,0.0
1526,0.0,4.129356187019896e-06,0.0,0.0
1527,0.0,4.129356187019896e-06,0.0,0.0
1528,0.0,4.129356187019896e-06,0.0,0.0
1529,0.0,4.129356187019896e-06,0.0,0.0
1530,0.0,4.129356187019896e-06,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1537,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1538,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1539,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1540,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1541,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1542,0.0,0.0,4.4726438578176643e-07,4.4726438578176643e-07
1543,0.0,0.0,0.0,0.0
1544,0.0,1.391049246584381e-07,0.0,0.0
1545,0.0,4.0702502701606136e-07,0.0,0.0
1546,0.0,6.867312224910295e-07,0.0,0.0
1547,0.0,6.867312224910295e-07,0.0,0.0
1548,0.0,9.839731579372061e-07,0.0,0.0
1549,0.0,9.839731579372061e-07,0.0,0.0
1550,0.0,9.839731579372061e-07,0.0,0.0
1551,0.0,8.44868233278768e-07,0.0,0.0
1552,0.0,5.769481309211447e-07,0.0,0.0
1553,0.0,2.972419354461765e-07,0.0,0.0
1554,0.0,2.972419354461765e-07,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,4.5462171068980493e-07,0.0,0.0
1564,0.0,4.5462171068980493e-07,0.0,0.0
1565,0.0,4.5462171068980493e-07,0.0,0.0
1566,0.0,4.5462171068980493e-07,0.0,0.0
1567,0.0,4.5462171068980493e-07,6.823973178273133e-07,6.823973178273133e-07
1568,0.0,4.5462171068980493e-07,6.823973178273133e-07,6.823973178273133e-07
1569,0.0,4.5462171068980493e-07,6.823973178273133e-07,6.823973178273133e-07
1570,0.0,0.0,6.823973178273133e-07,6.823973178273133e-07
1571,0.0,0.0,6.823973178273133e-07,6.823973178273133e-07
1572,0.0,0.0,6.823973178273133e-07,6.823973178273133e-07
1573,0.0,0.0,6.823973178273133e-07,6.823973178273133e-07
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,4.5068044788162555e-07,0.0,0.0
1577,0.0,4.5068044788162555e-07,0.0,0.0
1578,0.0,4.5068044788162555e-07,0.0,0.0
1579,0.0,4.5068044788162555e-07,0.0,0.0
1580,0.0,4.5068044788162555e-07,0.0,0.0
1581,0.0,4.5068044788162555e-07,5.933073745317026e-07,5.933073745317026e-07
1582,0.0,4.5068044788162555e-07,5.933073745317026e-07,5.933073745317026e-07
1583,0.0,0.0,5.933073745317026e-07,5.933073745317026e-07
1584,0.0,0.0,5.933073745317026e-07,5.933073745317026e-07
1585,0.0,0.0,5.933073745317026e-07,5.933073745317026e-07
1586,0.0,0.0,5.933073745317026e-07,5.933073745317026e-07
1587,0.0,0.0,5.933073745317026e-07,5.933073745317026e-07
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,4.465534532625627e-07,4.465534532625627e-07
1594,0.0,0.0,4.465534532625627e-07,4.465534532625627e-07
1595,0.0,0.0,1.7989447899578539e-06,1.7989447899578539e-06
1596,0.0,2.1041822557370843e-07,1.7989447899578539e-06,1.7989447899578539e-06
1597,0.0,3.314803182417693e-07,1.7989447899578539e-06,1.7989447899578539e-06
1598,0.0,5.084159835990119e-07,2.5066874513868243e-06,2.5066874513868243e-06
1599,0.0,5.084159835990119e-07,2.7425097479343615e-06,2.7425097479343615e-06
1600,0.0,6.14922068312548e-07,2.2959562946717985e-06,2.2959562946717985e-06
1601,0.0,6.14922068312548e-07,2.2959562946717985e-06,2.2959562946717985e-06
1602,0.0,7.193227864783174e-07,9.435649579765075e-07,9.435649579765075e-07
1603,0.0,5.08904560904609e-07,9.435649579765075e-07,9.435649579765075e-07
1604,0.0,3.878424682365481e-07,9.435649579765075e-07,9.435649579765075e-07
1605,0.0,2.1090680287930548e-07,2.3582229654753713e-07,2.3582229654753713e-07
1606,0.0,2.9098690999619846e-07,8.008010711689297e-08,8.008010711689297e-08
1607,0.0,1.844808252826624e-07,8.008010711689297e-08,8.008010711689297e-08
1608,0.0,1.844808252826624e-07,8.008010711689297e-08,8.008010711689297e-08
1609,0.0,8.008010711689297e-08,8.008010711689297e-08,8.008010711689297e-08
1610,0.0,8.008010711689297e-08,8.008010711689297e-08,8.008010711689297e-08
1611,0.0,8.008010711689297e-08,8.993783353616891e-07,8.993783353616891e-07
1612,0.0,8.008010711689297e-08,1.16837906359381e-06,1.16837906359381e-06
1613,0.0,0.0,1.0882989564769169e-06,1.0882989564769169e-06
1614,0.0,3.296097474958515e-07,1.0882989564769169e-06,1.0882989564769169e-06
1615,0.0,3.296097474958515e-07,1.4692422090385143e-06,1.4692422090385143e-06
1616,0.0,3.296097474958515e-07,1.4692422090385143e-06,1.4692422090385143e-06
1617,0.0,3.296097474958515e-07,1.4692422090385143e-06,1.4692422090385143e-06
1618,0.0,3.296097474958515e-07,6.499439807937181e-07,6.499439807937181e-07
1619,0.0,3.296097474958515e-07,3.809432525615973e-07,3.809432525615973e-07
1620,0.0,4.3034866134153814e-07,3.809432525615973e-07,3.809432525615973e-07
1621,0.0,1.0073891384568664e-07,3.809432525615973e-07,3.809432525615973e-07
1622,0.0,1.0073891384568664e-07,0.0,0.0
1623,0.0,1.0073891384568664e-07,0.0,0.0
1624,0.0,2.500711064255613e-07,2.986643851597494e-07,2.986643851597494e-07
1625,0.0,2.500711064255613e-07,2.986643851597494e-07,2.986643851597494e-07
1626,0.0,2.500711064255613e-07,2.986643851597494e-07,2.986643851597494e-07
1627,0.0,1.493321925798747e-07,2.986643851597494e-07,2.986643851597494e-07
1628,0.0,2.148438186720471e-07,2.986643851597494e-07,2.986643851597494e-07
1629,0.0,2.148438186720471e-07,2.986643851597494e-07,2.986643851597494e-07
1630,0.0,2.148438186720471e-07,2.986643851597494e-07,2.986643851597494e-07
1631,0.0,6.55116260921724e-08,1.1335997182218957e-07,1.1335997182218957e-07
1632,0.0,6.55116260921724e-08,1.1335997182218957e-07,1.1335997182218957e-07
1633,0.0,6.55116260921724e-08,1.1335997182218957e-07,1.1335997182218957e-07
1634,0.0,6.55116260921724e-08,1.1335997182218957e-07,1.1335997182218957e-07
1635,0.0,0.0,1.1335997182218957e-07,1.1335997182218957e-07
1636,0.0,0.0,1.1335997182218957e-07,1.1335997182218957e-07
1637,0.0,0.0,1.1335997182218957e-07,1.1335997182218957e-07
1638,0.0,0.0,0.0,0.0
1639,0.0,0.0,0.0,0.0
1640,0.0,0.0,0.0,0.0
1641,0.0,0.0,0.0,0.0
1642,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1643,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1644,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1645,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1646,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1647,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1648,0.0,0.0,1.0794983446820489e-07,1.0794983446820489e-07
1649,0.0,7.822777498794104e-08,7.822777498794104e-08,7.822777498794104e-08
1650,0.0,7.822777498794104e-08,7.822777498794104e-08,7.822777498794104e-08
1651,0.0,7.822777498794104e-08,7.822777498794104e-08,7.822777498794104e-08
