ngram,SSE,SE,SS,SE
1500,0.0,1.7993197047871945e-06,7.026736966508906e-06,1.7993197047871945e-06
1501,0.0,1.4394557638297557e-06,5.621389573207125e-06,1.4394557638297557e-06
1502,0.0,1.1995464698581297e-06,4.860202163096498e-06,1.1995464698581297e-06
1503,0.0,1.0281826884498254e-06,4.165887568368427e-06,1.0281826884498254e-06
1504,0.0,9.255573526648472e-08,4.579468330640728e-06,9.255573526648472e-08
1505,0.0,0.0,3.5530740011121712e-06,0.0
1506,0.0,0.0,3.5530740011121712e-06,0.0
1507,0.0,0.0,3.5530740011121712e-06,0.0
1508,0.0,0.0,3.5530740011121712e-06,0.0
1509,0.0,0.0,3.4024646993202623e-06,0.0
1510,0.0,0.0,3.4024646993202623e-06,0.0
1511,0.0,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,5.713222890335601e-07,0.0
1515,0.0,0.0,5.713222890335601e-07,0.0
1516,0.0,0.0,5.713222890335601e-07,0.0
1517,0.0,0.0,3.758982984436443e-06,0.0
1518,0.0,0.0,3.758982984436443e-06,0.0
1519,0.0,0.0,3.758982984436443e-06,0.0
1520,0.0,0.0,4.354805761457621e-06,0.0
1521,0.0,0.0,3.7834834724240603e-06,0.0
1522,0.0,0.0,3.7834834724240603e-06,0.0
1523,0.0,0.0,3.7834834724240603e-06,0.0
1524,0.0,0.0,5.958227770211774e-07,0.0
1525,0.0,0.0,5.958227770211774e-07,0.0
1526,0.0,0.0,5.958227770211774e-07,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,5.017115784409855e-05,1.0452324334307508e-06,5.017115784409855e-05
1529,0.0,5.017115784409855e-05,1.0452324334307508e-06,5.017115784409855e-05
1530,0.0,5.0900106348957964e-05,1.0452324334307508e-06,5.0900106348957964e-05
1531,0.0,5.0900106348957964e-05,1.0452324334307508e-06,5.0900106348957964e-05
1532,4.509165916845502e-07,5.0900106348957964e-05,4.201648607704556e-06,5.0900106348957964e-05
1533,4.509165916845502e-07,5.888184432478738e-05,4.201648607704556e-06,5.888184432478738e-05
1534,4.509165916845502e-07,5.888184432478738e-05,4.201648607704556e-06,5.888184432478738e-05
1535,4.509165916845502e-07,8.710686480688829e-06,3.909435300946436e-06,8.710686480688829e-06
1536,4.509165916845502e-07,8.710686480688829e-06,3.909435300946436e-06,8.710686480688829e-06
1537,4.509165916845502e-07,7.981737975829414e-06,3.909435300946436e-06,7.981737975829414e-06
1538,4.509165916845502e-07,7.981737975829414e-06,3.909435300946436e-06,7.981737975829414e-06
1539,0.0,9.641960267409949e-06,7.530191266726303e-07,9.641960267409949e-06
1540,0.0,1.6602222915805344e-06,7.530191266726303e-07,1.6602222915805344e-06
1541,0.0,1.6602222915805344e-06,7.530191266726303e-07,1.6602222915805344e-06
1542,0.0,1.6602222915805344e-06,0.0,1.6602222915805344e-06
1543,0.0,1.6602222915805344e-06,0.0,1.6602222915805344e-06
1544,0.0,2.2166419902142868e-06,9.7373445636809e-07,2.2166419902142868e-06
1545,0.0,2.4845620925719103e-06,1.5095746610833366e-06,2.4845620925719103e-06
1546,0.0,1.383752191941312e-06,4.026930485321957e-06,1.383752191941312e-06
1547,0.0,1.383752191941312e-06,4.026930485321957e-06,1.383752191941312e-06
1548,0.0,1.383752191941312e-06,5.215898227106663e-06,1.383752191941312e-06
1549,0.0,1.383752191941312e-06,5.215898227106663e-06,1.383752191941312e-06
1550,0.0,1.924097903481327e-06,5.215898227106663e-06,1.924097903481327e-06
1551,0.0,1.3676782048475746e-06,4.242163770738573e-06,1.3676782048475746e-06
1552,0.0,1.0997581024899513e-06,3.706323566023327e-06,1.0997581024899513e-06
1553,0.0,5.40345711540015e-07,1.188967741784706e-06,5.40345711540015e-07
1554,0.0,5.40345711540015e-07,1.188967741784706e-06,5.40345711540015e-07
1555,0.0,7.1511810152255095e-06,0.0,7.1511810152255095e-06
1556,0.0,7.1511810152255095e-06,0.0,7.1511810152255095e-06
1557,0.0,6.610835303685495e-06,0.0,6.610835303685495e-06
1558,0.0,6.610835303685495e-06,0.0,6.610835303685495e-06
1559,0.0,6.610835303685495e-06,0.0,6.610835303685495e-06
1560,0.0,6.610835303685495e-06,4.4869024610047094e-07,6.610835303685495e-06
1561,0.0,6.610835303685495e-06,4.4869024610047094e-07,6.610835303685495e-06
1562,0.0,1.7777145850621828e-06,4.4869024610047094e-07,1.7777145850621828e-06
