ngram,ability,ablity,abily,abillity
1500,2.012937216022692e-05,0.0,0.0,0.0
1501,1.6103497728181537e-05,0.0,0.0,0.0
1502,1.6230955073600246e-05,0.0,0.0,0.0
1503,2.28369139482051e-05,0.0,0.0,0.0
1504,2.230226995639636e-05,0.0,0.0,0.0
1505,1.2912734746350907e-05,0.0,0.0,0.0
1506,1.2912734746350907e-05,0.0,0.0,0.0
1507,1.2912734746350907e-05,0.0,0.0,0.0
1508,1.2912734746350907e-05,0.0,0.0,0.0
1509,1.0502985917680365e-05,0.0,0.0,0.0
1510,1.5783191754183333e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445780671202e-06,0.0,0.0,0.0
1515,1.1426445780671202e-06,0.0,0.0,0.0
1516,1.1426445780671202e-06,0.0,0.0,0.0
1517,6.455412663594221e-06,0.0,0.0,0.0
1518,6.455412663594221e-06,0.0,0.0,0.0
1519,6.455412663594221e-06,0.0,0.0,0.0
1520,1.8967690916075037e-05,0.0,0.0,0.0
1521,1.7825046338007917e-05,0.0,0.0,0.0
1522,2.0998803198121357e-05,0.0,0.0,0.0
1523,3.270365803993107e-05,0.0,0.0,0.0
1524,2.7390889954403974e-05,0.0,0.0,0.0
1525,2.7390889954403974e-05,0.0,0.0,0.0
1526,3.056913737964351e-05,0.0,0.0,0.0
1527,1.805685912716269e-05,0.0,0.0,0.0
1528,2.2237788860885693e-05,0.0,0.0,0.0
1529,1.9064032000772257e-05,0.0,0.0,0.0
1530,7.359177158962536e-06,0.0,0.0,0.0
1531,1.884887361874072e-05,0.0,0.0,0.0
1532,2.831812188170651e-05,0.0,0.0,0.0
1533,2.5139874456466975e-05,0.0,0.0,0.0
1534,2.654434514884737e-05,0.0,0.0,0.0
1535,2.3116434541797e-05,0.0,0.0,0.0
1536,2.3563698927578764e-05,0.0,0.0,0.0
1537,2.3563698927578764e-05,0.0,0.0,0.0
1538,1.207400246780058e-05,0.0,0.0,0.0
1539,1.588653253747907e-05,0.0,0.0,0.0
1540,1.588653253747907e-05,0.0,0.0,0.0
1541,1.4482061845098673e-05,0.0,0.0,0.0
1542,1.974762806509846e-05,0.0,0.0,0.0
1543,1.9300363679316695e-05,0.0,0.0,0.0
1544,2.2499776865255887e-05,0.0,0.0,0.0
1545,2.276769696761351e-05,0.0,0.0,0.0
1546,9.485918634969234e-06,0.0,0.0,0.0
1547,9.485918634969234e-06,0.0,0.0,0.0
1548,1.1269370182682386e-05,0.0,0.0,0.0
1549,6.463442576075197e-06,0.0,0.0,0.0
1550,1.3487936858577346e-05,0.0,0.0,0.0
1551,1.0288523672638153e-05,0.0,0.0,0.0
1552,1.2183936503009005e-05,0.0,0.0,0.0
1553,1.2183936503009005e-05,0.0,0.0,0.0
1554,1.2183936503009005e-05,0.0,0.0,0.0
1555,1.0400484955295855e-05,0.0,0.0,0.0
1556,1.6473961295560002e-05,0.0,0.0,0.0
1557,9.449467013057853e-06,0.0,0.0,0.0
1558,1.3541758952279842e-05,0.0,0.0,0.0
1559,1.1378426019551366e-05,0.0,0.0,0.0
1560,1.2724496757852779e-05,0.0,0.0,0.0
1561,1.2724496757852779e-05,0.0,0.0,0.0
1562,1.2724496757852779e-05,0.0,0.0,0.0
1563,5.892984388213206e-06,0.0,0.0,0.0
1564,5.892984388213206e-06,0.0,0.0,0.0
1565,1.8006924489912178e-06,0.0,0.0,0.0
1566,3.7043629553019334e-06,0.0,0.0,0.0
1567,3.040689534827834e-06,0.0,0.0,0.0
1568,3.040689534827834e-06,0.0,0.0,0.0
1569,3.7833948616545447e-06,0.0,0.0,0.0
1570,3.32877315096474e-06,0.0,0.0,0.0
1571,5.780624828081013e-06,0.0,0.0,0.0
1572,5.780624828081013e-06,0.0,0.0,0.0
1573,3.876954321770297e-06,0.0,0.0,0.0
1574,3.1945570039429834e-06,0.0,0.0,0.0
1575,3.1945570039429834e-06,0.0,0.0,0.0
1576,5.155934299442119e-06,0.0,0.0,0.0
1577,5.155934299442119e-06,0.0,0.0,0.0
1578,3.908648198245958e-06,0.0,0.0,0.0
1579,5.2021578085259534e-06,0.0,0.0,0.0
1580,5.2021578085259534e-06,0.0,0.0,0.0
1581,5.2021578085259534e-06,0.0,0.0,0.0
1582,5.2021578085259534e-06,0.0,0.0,0.0
1583,7.304301496852921e-06,0.0,0.0,2.403113025398592e-07
1584,7.304301496852921e-06,0.0,0.0,2.403113025398592e-07
1585,7.232044481497724e-06,0.0,0.0,2.403113025398592e-07
1586,6.657428717257322e-06,0.0,0.0,2.403113025398592e-07
1587,7.349587836610486e-06,0.0,0.0,2.403113025398592e-07
1588,8.019093651715334e-06,0.0,0.0,2.403113025398592e-07
1589,9.699631976088443e-06,0.0,0.0,2.403113025398592e-07
1590,5.413356965228948e-06,0.0,0.0,0.0
1591,8.078691475280461e-06,0.0,0.0,2.6653346399793267e-07
1592,7.5433547083645995e-06,0.0,0.0,2.6653346399793267e-07
1593,7.271014315587568e-06,0.0,0.0,2.6653346399793267e-07
1594,6.914118362796476e-06,0.0,0.0,2.6653346399793267e-07
1595,8.94939522108221e-06,0.0,0.0,2.6653346399793267e-07
1596,7.268856896709102e-06,0.0,0.0,2.6653346399793267e-07
1597,7.838464398446376e-06,0.0,0.0,2.6653346399793267e-07
1598,1.2781363336346527e-05,0.0,0.0,4.423391633931065e-08
1599,1.4070969915077772e-05,0.0,0.0,4.423391633931065e-08
1600,1.564803203889044e-05,0.0,0.0,1.507400010528467e-07
1601,1.68753597660855e-05,0.0,0.0,1.507400010528467e-07
1602,1.709379726630037e-05,0.0,0.0,1.507400010528467e-07
1603,1.7505907375639902e-05,0.0,0.0,1.507400010528467e-07
1604,2.101364732100462e-05,0.0,0.0,1.507400010528467e-07
1605,1.3742724539562395e-05,0.0,0.0,1.0650608471353604e-07
1606,1.5139430615818128e-05,0.0,0.0,1.0650608471353604e-07
1607,1.3862312113945205e-05,0.0,0.0,0.0
1608,1.3497786767402431e-05,0.0,0.0,0.0
1609,1.1329262503880142e-05,0.0,0.0,0.0
1610,1.1044600658546447e-05,0.0,0.0,0.0
1611,1.0646205339526205e-05,0.0,0.0,0.0
1612,1.1115896857713129e-05,0.0,0.0,0.0
1613,9.430717251949058e-06,0.0,0.0,0.0
1614,9.673049451716256e-06,0.0,0.0,0.0
1615,1.0760643354907578e-05,0.0,0.0,0.0
1616,1.1808070139198077e-05,0.0,0.0,0.0
1617,1.2421869866687172e-05,0.0,0.0,0.0
1618,1.1374234873073874e-05,0.0,0.0,0.0
1619,1.3943267666555975e-05,0.0,0.0,1.1253449981398132e-07
1620,1.3654768671195988e-05,0.0,0.0,1.1253449981398132e-07
