ngram,actor,acctor,actr,actorr
1500,2.3390674641632359e-07,0.0,0.0,0.0
1501,1.8712539713305886e-07,0.0,0.0,0.0
1502,3.3164868303477607e-07,0.0,0.0,0.0
1503,2.842702997440938e-07,0.0,0.0,0.0
1504,1.506093017919089e-07,0.0,0.0,0.0
1505,1.506093017919089e-07,0.0,0.0,0.0
1506,1.506093017919089e-07,0.0,0.0,0.0
1507,1.506093017919089e-07,0.0,0.0,0.0
1508,1.506093017919089e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,5.362405188082318e-06,0.0,0.0,0.0
1521,5.362405188082318e-06,0.0,0.0,0.0
1522,5.362405188082318e-06,0.0,0.0,0.0
1523,5.362405188082318e-06,0.0,0.0,0.0
1524,5.362405188082318e-06,0.0,0.0,0.0
1525,5.362405188082318e-06,0.0,0.0,0.0
1526,5.362405188082318e-06,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,1.4044706923803979e-06,0.0,0.0,0.0
1535,1.4044706923803979e-06,0.0,0.0,0.0
1536,1.4044706923803979e-06,0.0,0.0,0.0
1537,1.4044706923803979e-06,0.0,0.0,0.0
1538,1.4044706923803979e-06,0.0,0.0,0.0
1539,1.4044706923803979e-06,0.0,0.0,0.0
1540,1.4044706923803979e-06,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,2.782098493168762e-07,0.0,0.0,0.0
1545,2.782098493168762e-07,0.0,0.0,0.0
1546,2.782098493168762e-07,0.0,0.0,0.0
1547,2.782098493168762e-07,0.0,0.0,0.0
1548,1.4671775911015824e-06,0.0,0.0,0.0
1549,1.4671775911015824e-06,0.0,0.0,0.0
1550,1.4671775911015824e-06,0.0,0.0,0.0
1551,1.188967741784706e-06,0.0,0.0,0.0
1552,1.188967741784706e-06,0.0,0.0,0.0
1553,1.188967741784706e-06,0.0,0.0,0.0
1554,1.188967741784706e-06,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
