ngram,assistance,asistance,assitance,assistnce
1500,7.375893665084732e-05,0.0,0.0,0.0
1501,5.900714932067785e-05,0.0,0.0,0.0
1502,5.21597088057509e-05,0.0,0.0,0.0
1503,4.4708321833500774e-05,0.0,0.0,0.0
1504,4.7005754562893086e-05,0.0,0.0,0.0
1505,3.0199101144847062e-05,0.0,0.0,0.0
1506,3.0199101144847062e-05,0.0,0.0,0.0
1507,3.0199101144847062e-05,0.0,0.0,0.0
1508,3.0199101144847062e-05,0.0,0.0,0.0
1509,2.763874311183047e-05,0.0,0.0,0.0
1510,2.763874311183047e-05,0.0,0.0,0.0
1511,2.1465141409342842e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.0569462444566722e-05,0.0,0.0,0.0
1515,1.0569462444566722e-05,0.0,0.0,0.0
1516,1.0569462444566722e-05,0.0,0.0,0.0
1517,1.0569462444566722e-05,0.0,0.0,0.0
1518,1.0569462444566722e-05,0.0,0.0,0.0
1519,1.0569462444566722e-05,0.0,0.0,0.0
1520,1.861306996683457e-05,0.0,0.0,0.0
1521,8.043607522267848e-06,0.0,0.0,0.0
1522,8.043607522267848e-06,0.0,0.0,0.0
1523,6.348765600705519e-05,0.0,0.0,0.0
1524,6.348765600705519e-05,0.0,0.0,0.0
1525,6.348765600705519e-05,0.0,0.0,0.0
1526,6.603025394724682e-05,0.0,0.0,0.0
1527,5.798664642497897e-05,0.0,0.0,0.0
1528,5.9031878858409724e-05,0.0,0.0,0.0
1529,5.9031878858409724e-05,0.0,0.0,0.0
1530,3.587830373622377e-06,0.0,0.0,0.0
1531,3.587830373622377e-06,0.0,0.0,0.0
1532,6.744246547896182e-06,0.0,0.0,0.0
1533,4.201648607704556e-06,0.0,0.0,0.0
1534,2.6673179685790922e-05,0.0,0.0,0.0
1535,3.240511926248603e-05,0.0,0.0,0.0
1536,3.5088705512212724e-05,0.0,0.0,0.0
1537,3.5088705512212724e-05,0.0,0.0,0.0
1538,3.5088705512212724e-05,0.0,0.0,0.0
1539,3.442262277530972e-05,0.0,0.0,0.0
1540,3.442262277530972e-05,0.0,0.0,0.0
1541,1.1951091697223351e-05,0.0,0.0,0.0
1542,1.4201797966961749e-05,0.0,0.0,0.0
1543,1.1518211717235058e-05,0.0,0.0,0.0
1544,1.749972346130692e-05,0.0,0.0,0.0
1545,1.8839323924372104e-05,0.0,0.0,0.0
1546,1.7467815268901177e-05,0.0,0.0,0.0
1547,1.7467815268901177e-05,0.0,0.0,0.0
1548,5.3136846223164215e-05,0.0,0.0,0.0
1549,4.410896794329996e-05,0.0,0.0,0.0
1550,6.788418016055533e-05,0.0,0.0,0.0
1551,6.190266841648346e-05,0.0,0.0,0.0
1552,6.70530667516037e-05,0.0,0.0,0.0
1553,6.593424196970383e-05,0.0,0.0,0.0
1554,6.593424196970383e-05,0.0,0.0,0.0
1555,3.3871121039347986e-05,0.0,0.0,0.0
1556,3.803462615386317e-05,0.0,0.0,0.0
1557,1.4259413936607806e-05,0.0,0.0,0.0
1558,4.90438963294894e-05,0.0,0.0,0.0
1559,4.2553897531303975e-05,0.0,0.0,0.0
1560,5.197639256948605e-05,0.0,0.0,0.0
1561,5.197639256948605e-05,0.0,0.0,0.0
1562,4.837048254557885e-05,0.0,0.0,0.0
1563,4.602546427382289e-05,0.0,0.0,0.0
1564,5.238711102200406e-05,0.0,0.0,0.0
1565,3.581504071397441e-05,0.0,0.0,0.0
1566,3.9622381726595836e-05,0.0,0.0,0.0
1567,3.0199886688413763e-05,0.0,0.0,0.0
1568,3.608204938895402e-05,0.0,0.0,0.0
1569,3.831016536943415e-05,0.0,0.0,0.0
1570,3.649167852667493e-05,0.0,0.0,0.0
1571,3.0130031778493765e-05,0.0,0.0,0.0
1572,1.1917619693641817e-05,0.0,0.0,0.0
1573,8.110278681020386e-06,0.0,0.0,0.0
1574,8.110278681020386e-06,0.0,0.0,0.0
1575,2.2281159804801324e-06,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,0.0
1577,1.0656584078917928e-05,0.0,0.0,0.0
1578,1.4993019996316953e-05,0.0,0.0,0.0
1579,2.081381311264912e-05,0.0,0.0,0.0
1580,2.081381311264912e-05,0.0,0.0,0.0
1581,2.2000427861712524e-05,0.0,0.0,0.0
1582,2.6609223141349503e-05,0.0,0.0,0.0
1583,3.024383490160939e-05,0.0,0.0,0.0
1584,2.093704285601104e-05,0.0,0.0,0.0
1585,1.9997532490378944e-05,0.0,0.0,0.0
1586,1.4895633220086374e-05,0.0,0.0,0.0
1587,1.5241712779762956e-05,0.0,0.0,0.0
1588,1.4724603845804398e-05,0.0,0.0,0.0
1589,2.019903851240607e-05,0.0,0.0,0.0
1590,1.8193551503437838e-05,0.0,0.0,0.0
1591,1.9160174230949322e-05,0.0,0.0,0.0
1592,1.576324867918239e-05,0.0,0.0,0.0
1593,1.705384543778824e-05,0.0,0.0,0.0
1594,2.743618720809796e-05,0.0,0.0,0.0
1595,2.9471464066383695e-05,0.0,0.0,0.0
1596,3.096123613691556e-05,0.0,0.0,0.0
1597,3.4208163145064774e-05,0.0,0.0,0.0
