ngram,awareness,awarness
1500,9.356269856652943e-07,0.0
1501,7.485015885322354e-07,0.0
1502,6.237513237768629e-07,0.0
1503,5.346439918087396e-07,0.0
1504,0.0,0.0
1505,6.313276961528962e-07,0.0
1506,6.313276961528962e-07,0.0
1507,6.313276961528962e-07,0.0
1508,6.313276961528962e-07,0.0
1509,6.313276961528962e-07,0.0
1510,6.313276961528962e-07,0.0
1511,6.313276961528962e-07,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,0.0,0.0
1515,0.0,0.0
1516,0.0,0.0
1517,0.0,0.0
1518,0.0,0.0
1519,0.0,0.0
1520,0.0,0.0
1521,0.0,0.0
1522,0.0,0.0
1523,3.6962701415177435e-06,0.0
1524,3.6962701415177435e-06,0.0
1525,3.6962701415177435e-06,0.0
1526,3.6962701415177435e-06,0.0
1527,3.6962701415177435e-06,0.0
1528,3.6962701415177435e-06,0.0
1529,3.6962701415177435e-06,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,9.018331833691004e-07,0.0
1533,9.018331833691004e-07,0.0
1534,9.018331833691004e-07,0.0
1535,9.018331833691004e-07,0.0
1536,9.018331833691004e-07,0.0
1537,9.018331833691004e-07,0.0
1538,9.018331833691004e-07,0.0
1539,0.0,0.0
1540,0.0,0.0
1541,0.0,0.0
1542,0.0,0.0
1543,0.0,0.0
1544,0.0,0.0
1545,0.0,0.0
1546,0.0,0.0
1547,0.0,0.0
1548,0.0,0.0
1549,0.0,0.0
1550,5.40345711540015e-07,0.0
1551,5.40345711540015e-07,0.0
1552,5.40345711540015e-07,0.0
1553,5.40345711540015e-07,0.0
1554,5.40345711540015e-07,0.0
1555,5.40345711540015e-07,0.0
1556,5.40345711540015e-07,0.0
1557,0.0,0.0
1558,0.0,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,0.0,0.0
