ngram,balance,balnce,balane,blance
1500,2.0046939425810706e-05,0.0,0.0,0.0
1501,1.6037551540648563e-05,0.0,0.0,0.0
1502,2.5312963771284558e-05,0.0,0.0,0.0
1503,7.524482654324467e-05,0.0,0.0,0.0
1504,7.110133550928108e-05,0.0,0.0,0.0
1505,8.746422203590296e-05,0.0,0.0,0.0
1506,8.746422203590296e-05,0.0,0.0,0.0
1507,8.746422203590296e-05,0.0,0.0,0.0
1508,8.746422203590296e-05,0.0,0.0,0.0
1509,7.72227899038366e-05,0.0,0.0,0.0
1510,2.3674789450264404e-05,0.0,0.0,0.0
1511,2.3674789450264404e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,3.510390602709127e-06,0.0,0.0,0.0
1521,3.510390602709127e-06,0.0,0.0,0.0
1522,3.510390602709127e-06,0.0,0.0,0.0
1523,1.151897582271236e-05,0.0,0.0,0.0
1524,1.0987699040145213e-05,0.0,0.0,0.0
1525,1.0987699040145213e-05,0.0,0.0,0.0
1526,1.734419389062428e-05,0.0,0.0,0.0
1527,1.43650800704823e-05,0.0,0.0,0.0
1528,1.43650800704823e-05,0.0,0.0,0.0
1529,1.43650800704823e-05,0.0,0.0,0.0
1530,6.356494850479066e-06,0.0,0.0,0.0
1531,1.210134308036816e-05,0.0,0.0,0.0
1532,1.570867581384456e-05,0.0,0.0,0.0
1533,9.352180963365494e-06,0.0,0.0,0.0
1534,9.352180963365494e-06,0.0,0.0,0.0
1535,9.728690526701809e-06,0.0,0.0,0.0
1536,2.1804829170183177e-05,0.0,0.0,0.0
1537,2.1804829170183177e-05,0.0,0.0,0.0
1538,1.6059980940294088e-05,0.0,0.0,0.0
1539,2.573442653946196e-05,0.0,0.0,0.0
1540,2.573442653946196e-05,0.0,0.0,0.0
1541,2.573442653946196e-05,0.0,0.0,0.0
1542,2.5357916976125644e-05,0.0,0.0,0.0
1543,1.3281778332644275e-05,0.0,0.0,0.0
1544,1.3559988181961152e-05,0.0,0.0,0.0
1545,1.3559988181961152e-05,0.0,0.0,0.0
1546,2.782098493168762e-07,0.0,0.0,0.0
1547,2.782098493168762e-07,0.0,0.0,0.0
1548,1.1870644909452364e-05,0.0,0.0,0.0
1549,1.1870644909452364e-05,0.0,0.0,0.0
1550,1.3491682011590456e-05,0.0,0.0,0.0
1551,1.5574669305351563e-05,0.0,0.0,0.0
1552,1.845911330227474e-05,0.0,0.0,0.0
1553,1.845911330227474e-05,0.0,0.0,0.0
1554,1.845911330227474e-05,0.0,0.0,0.0
1555,6.8666782421392525e-06,0.0,0.0,0.0
1556,8.948430799396842e-06,0.0,0.0,0.0
1557,7.327393697258751e-06,0.0,0.0,0.0
1558,1.042258580647675e-05,0.0,0.0,0.0
1559,7.5381418095535735e-06,0.0,0.0,0.0
1560,7.5381418095535735e-06,0.0,0.0,0.0
1561,7.5381418095535735e-06,0.0,0.0,0.0
1562,7.5381418095535735e-06,0.0,0.0,0.0
1563,7.2748760950552035e-06,0.0,0.0,0.0
1564,7.2748760950552035e-06,0.0,0.0,0.0
1565,1.8184868427592197e-06,0.0,0.0,0.0
1566,1.8184868427592197e-06,0.0,0.0,0.0
1567,3.865678861205067e-06,0.0,0.0,0.0
1568,3.865678861205067e-06,0.0,0.0,0.0
1569,7.579205495338621e-06,0.0,0.0,0.0
1570,5.760718652579401e-06,0.0,0.0,0.0
1571,1.0664422006811947e-05,0.0,0.0,0.0
1572,1.1184382791335728e-05,0.0,0.0,0.0
1573,1.1184382791335728e-05,0.0,0.0,0.0
1574,9.13719077288988e-06,0.0,0.0,0.0
1575,9.13719077288988e-06,0.0,0.0,0.0
1576,7.677066410646408e-06,0.0,0.0,0.0
1577,2.553739698539305e-05,0.0,0.0,0.0
1578,2.0633693631160505e-05,0.0,0.0,0.0
1579,2.2053997262056718e-05,0.0,0.0,0.0
1580,2.2053997262056718e-05,0.0,0.0,0.0
1581,2.2053997262056718e-05,0.0,0.0,0.0
1582,2.24729786363501e-05,0.0,0.0,0.0
1583,2.4064557205097765e-05,0.0,0.0,0.0
1584,6.204226630351124e-06,0.0,0.0,0.0
1585,6.39294471836495e-06,0.0,1.887180880138268e-07,0.0
1586,5.8904679950241445e-06,0.0,1.887180880138268e-07,0.0
1587,6.2365475547007265e-06,0.0,1.887180880138268e-07,0.0
