ngram,breath,breth,brath,breath
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1506,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1507,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1508,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1509,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1510,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1511,9.469915442293444e-07,0.0,0.0,9.469915442293444e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,1.1916455540423548e-06,0.0,0.0,1.1916455540423548e-06
1521,1.1916455540423548e-06,0.0,0.0,1.1916455540423548e-06
1522,1.1916455540423548e-06,0.0,0.0,1.1916455540423548e-06
1523,1.1916455540423548e-06,0.0,0.0,1.1916455540423548e-06
1524,1.1916455540423548e-06,2.064678093509948e-06,0.0,1.1916455540423548e-06
1525,1.1916455540423548e-06,2.064678093509948e-06,0.0,1.1916455540423548e-06
1526,1.1916455540423548e-06,2.064678093509948e-06,0.0,1.1916455540423548e-06
1527,0.0,2.064678093509948e-06,0.0,0.0
1528,0.0,2.064678093509948e-06,0.0,0.0
1529,0.0,2.064678093509948e-06,0.0,0.0
1530,4.373690899228677e-06,2.064678093509948e-06,0.0,4.373690899228677e-06
1531,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1532,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1533,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1534,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1535,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1536,1.011853912911777e-05,0.0,0.0,1.011853912911777e-05
1537,5.744848229889092e-06,0.0,0.0,5.744848229889092e-06
1538,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1539,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1540,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1541,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1542,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1543,3.1764385702055212e-06,0.0,0.0,3.1764385702055212e-06
1544,3.593753327939859e-06,0.0,0.0,3.593753327939859e-06
1545,6.852348600919608e-07,8.037602908318929e-07,0.0,6.852348600919608e-07
1546,2.9228844238917062e-06,1.083466486306861e-06,0.0,2.9228844238917062e-06
1547,2.9228844238917062e-06,1.083466486306861e-06,0.0,2.9228844238917062e-06
1548,2.9228844238917062e-06,1.083466486306861e-06,0.0,2.9228844238917062e-06
1549,5.348199904022165e-06,1.083466486306861e-06,0.0,5.348199904022165e-06
1550,5.348199904022165e-06,1.083466486306861e-06,0.0,5.348199904022165e-06
1551,4.930885146287827e-06,1.083466486306861e-06,0.0,4.930885146287827e-06
1552,5.384076043160998e-06,2.7970619547496814e-07,0.0,5.384076043160998e-06
1553,3.146426479361253e-06,0.0,0.0,3.146426479361253e-06
1554,3.146426479361253e-06,0.0,0.0,3.146426479361253e-06
1555,3.146426479361253e-06,0.0,0.0,3.146426479361253e-06
1556,7.211109992307943e-07,0.0,0.0,7.211109992307943e-07
1557,1.0066119167666849e-05,0.0,0.0,1.0066119167666849e-05
1558,1.0066119167666849e-05,0.0,0.0,1.0066119167666849e-05
1559,1.794112488693957e-05,0.0,0.0,1.794112488693957e-05
1560,2.018457598751411e-05,0.0,0.0,2.018457598751411e-05
1561,2.018457598751411e-05,0.0,0.0,2.018457598751411e-05
1562,2.3740005157638473e-05,0.0,0.0,2.3740005157638473e-05
1563,2.3740005157638473e-05,0.0,0.0,2.3740005157638473e-05
1564,2.711829048556475e-05,0.0,0.0,2.711829048556475e-05
1565,2.711829048556475e-05,0.0,0.0,2.711829048556475e-05
1566,1.852217376706124e-05,0.0,0.0,1.852217376706124e-05
1567,1.7643517302141326e-05,0.0,0.0,1.7643517302141326e-05
1568,1.7643517302141326e-05,0.0,0.0,1.7643517302141326e-05
1569,1.408808813201696e-05,0.0,0.0,1.408808813201696e-05
1570,1.7110112691755474e-05,0.0,0.0,1.7110112691755474e-05
1571,6.838670872509413e-06,0.0,0.0,6.838670872509413e-06
1572,1.203827858781941e-05,0.0,0.0,1.203827858781941e-05
1573,1.7071915993126042e-05,0.0,0.0,1.7071915993126042e-05
1574,1.843067911977414e-05,0.0,0.0,1.843067911977414e-05
1575,2.4717077394598164e-05,0.0,0.0,2.4717077394598164e-05
1576,2.6970479666488245e-05,2.2534022718900815e-06,0.0,2.6970479666488245e-05
1577,2.3948455106749732e-05,2.2534022718900815e-06,0.0,2.3948455106749732e-05
1578,2.390573458147368e-05,2.2534022718900815e-06,0.0,2.390573458147368e-05
1579,2.1293146086723675e-05,2.2534022718900815e-06,0.0,2.1293146086723675e-05
1580,1.9230891276882695e-05,2.2534022718900815e-06,0.0,1.9230891276882695e-05
1581,1.7100640889111673e-05,2.2534022718900815e-06,0.0,1.7100640889111673e-05
1582,1.7098963261170347e-05,2.2534022718900815e-06,0.0,1.7098963261170347e-05
