ngram,coach,cach,cach,cach
1500,1.781697847036412e-06,0.0,0.0,0.0
1501,1.4253582776291296e-06,0.0,0.0,0.0
1502,2.94490716138777e-06,0.0,0.0,0.0
1503,2.5242061383323744e-06,0.0,0.0,0.0
1504,2.5242061383323744e-06,0.0,0.0,0.0
1505,1.506093082882996e-06,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1506,1.506093082882996e-06,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1507,1.506093082882996e-06,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1508,1.506093082882996e-06,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1509,0.0,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1510,0.0,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1511,0.0,3.156638480764481e-07,3.156638480764481e-07,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,8.937341980137197e-07,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,8.937341980137197e-07,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,8.937341980137197e-07,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,1.391049246584381e-07,0.0,0.0,0.0
1549,1.391049246584381e-07,0.0,0.0,0.0
1550,1.391049246584381e-07,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1558,0.0,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1559,0.0,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1560,2.692141476602826e-06,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1561,2.692141476602826e-06,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1562,2.692141476602826e-06,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1563,2.692141476602826e-06,9.345008168436055e-06,9.345008168436055e-06,9.345008168436055e-06
1564,2.692141476602826e-06,0.0,0.0,0.0
1565,2.692141476602826e-06,0.0,0.0,0.0
1566,2.692141476602826e-06,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,1.8027217915265022e-06,0.0,0.0,0.0
1577,1.8027217915265022e-06,0.0,0.0,0.0
1578,1.8027217915265022e-06,0.0,0.0,0.0
1579,1.8027217915265022e-06,0.0,0.0,0.0
1580,1.8027217915265022e-06,0.0,0.0,0.0
1581,1.8027217915265022e-06,0.0,0.0,0.0
1582,1.8027217915265022e-06,0.0,0.0,0.0
1583,4.806226050797185e-07,0.0,0.0,0.0
1584,4.806226050797185e-07,0.0,0.0,0.0
1585,1.2354949571350256e-06,0.0,0.0,0.0
1586,1.2354949571350256e-06,0.0,0.0,0.0
1587,5.04237004861352e-06,0.0,0.0,0.0
1588,5.04237004861352e-06,0.0,0.0,0.0
1589,5.602549468416587e-06,0.0,0.0,0.0
1590,5.381902513233529e-06,0.0,0.0,0.0
1591,5.6484359772314614e-06,0.0,0.0,0.0
1592,4.893563625176155e-06,0.0,0.0,0.0
1593,5.78667053170128e-06,0.0,0.0,0.0
1594,2.3150586067848574e-06,0.0,0.0,0.0
1595,4.56904399470659e-06,9.015941811542559e-07,9.015941811542559e-07,9.015941811542559e-07
1596,4.219282800477231e-06,9.015941811542559e-07,9.015941811542559e-07,9.015941811542559e-07
1597,4.443555521252815e-06,1.627966737162621e-06,1.627966737162621e-06,1.627966737162621e-06
1598,6.786823080671768e-06,1.7164345698412426e-06,1.7164345698412426e-06,1.7164345698412426e-06
1599,7.140556525493074e-06,2.305990343692039e-06,2.305990343692039e-06,2.305990343692039e-06
1600,8.377571313238669e-06,2.305990343692039e-06,2.305990343692039e-06,2.305990343692039e-06
1601,8.43295587011588e-06,2.305990343692039e-06,2.305990343692039e-06,2.305990343692039e-06
1602,9.206591292760485e-06,1.613197598869322e-06,1.613197598869322e-06,1.613197598869322e-06
1603,9.408283176526311e-06,2.0253077082088566e-06,2.0253077082088566e-06,2.0253077082088566e-06
1604,9.605116084847915e-06,1.2989351522004914e-06,1.2989351522004914e-06,1.2989351522004914e-06
1605,7.107751952974338e-06,1.2104673195218702e-06,1.2104673195218702e-06,1.2104673195218702e-06
1606,6.914178722386818e-06,7.009916527879665e-07,7.009916527879665e-07,7.009916527879665e-07
