ngram,competition,competiton,competion,competiton
1500,4.445192814728216e-06,0.0,0.0,0.0
1501,3.556154251782573e-06,0.0,0.0,0.0
1502,3.1391727285760376e-06,0.0,0.0,0.0
1503,1.1615386223898635e-05,0.0,0.0,0.0
1504,1.4568526077190264e-05,0.0,0.0,0.0
1505,1.31090684395271e-05,0.0,0.0,0.0
1506,1.31090684395271e-05,0.0,0.0,0.0
1507,1.31090684395271e-05,0.0,0.0,0.0
1508,1.31090684395271e-05,0.0,0.0,0.0
1509,1.295845913773519e-05,0.0,0.0,0.0
1510,4.033792395473158e-06,0.0,0.0,0.0
1511,9.469915442293444e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,8.937341980137197e-07,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,2.1258242018770294e-06,0.0,0.0,0.0
1524,2.1258242018770294e-06,0.0,0.0,0.0
1525,2.1258242018770294e-06,0.0,0.0,0.0
1526,2.761473686924936e-06,0.0,0.0,0.0
1527,1.8677394889112163e-06,0.0,0.0,0.0
1528,1.8677394889112163e-06,0.0,0.0,0.0
1529,1.8677394889112163e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,1.537482668417007e-06,0.0,0.0,0.0
1533,9.018331833691004e-07,0.0,0.0,0.0
1534,9.018331833691004e-07,0.0,0.0,0.0
1535,9.018331833691004e-07,0.0,0.0,0.0
1536,1.3490975691508668e-06,0.0,0.0,0.0
1537,1.3490975691508668e-06,0.0,0.0,0.0
1538,1.3490975691508668e-06,0.0,0.0,0.0
1539,4.4726438578176643e-07,0.0,0.0,0.0
1540,4.4726438578176643e-07,0.0,0.0,0.0
1541,4.4726438578176643e-07,0.0,0.0,0.0
1542,4.4726438578176643e-07,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,6.955246395331674e-07,0.0,1.391049246584381e-07,0.0
1545,6.955246395331674e-07,0.0,1.391049246584381e-07,0.0
1546,6.955246395331674e-07,0.0,1.391049246584381e-07,0.0
1547,6.955246395331674e-07,0.0,1.391049246584381e-07,0.0
1548,5.154153508816048e-06,0.0,1.391049246584381e-07,0.0
1549,5.154153508816048e-06,0.0,1.391049246584381e-07,0.0
1550,5.154153508816048e-06,0.0,1.391049246584381e-07,0.0
1551,4.45862886928288e-06,0.0,0.0,0.0
1552,4.45862886928288e-06,0.0,0.0,0.0
1553,4.45862886928288e-06,0.0,0.0,0.0
1554,4.45862886928288e-06,0.0,0.0,0.0
1555,6.009850039845333e-07,0.0,0.0,0.0
1556,6.009850039845333e-07,0.0,0.0,0.0
1557,6.009850039845333e-07,0.0,0.0,0.0
1558,1.9650823170585293e-06,0.0,0.0,0.0
1559,1.9650823170585293e-06,0.0,0.0,0.0
1560,3.3111530553599422e-06,0.0,0.0,0.0
1561,3.3111530553599422e-06,0.0,0.0,0.0
1562,2.710168051375409e-06,0.0,0.0,0.0
1563,3.1647897620652136e-06,0.0,0.0,0.0
1564,3.1647897620652136e-06,0.0,0.0,0.0
1565,1.8006924489912178e-06,0.0,0.0,0.0
1566,1.8006924489912178e-06,0.0,0.0,0.0
1567,4.5462171068980493e-07,0.0,0.0,0.0
