ngram,computer,comuter,computr,comptuer
1500,1.0057990039058495e-05,0.0,0.0,0.0
1501,8.046392031246796e-06,0.0,0.0,0.0
1502,6.705326692705664e-06,0.0,0.0,0.0
1503,0.0001396174260922375,0.0,0.0,0.0
1504,0.0001338700032127755,0.0,0.0,0.0
1505,0.0001338700032127755,0.0,0.0,0.0
1506,0.0001338700032127755,0.0,0.0,0.0
1507,0.0001338700032127755,0.0,0.0,0.0
1508,0.0001338700032127755,0.0,0.0,0.0
1509,0.0001338700032127755,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,3.051117528229952e-05,0.0,0.0,0.0
1527,3.051117528229952e-05,0.0,0.0,0.0
1528,3.051117528229952e-05,0.0,0.0,0.0
1529,3.051117528229952e-05,0.0,0.0,0.0
1530,3.051117528229952e-05,0.0,0.0,0.0
1531,3.051117528229952e-05,0.0,0.0,0.0
1532,4.08822566636705e-05,0.0,0.0,0.0
1533,1.0371081381370978e-05,0.0,0.0,0.0
1534,1.0371081381370978e-05,0.0,0.0,0.0
1535,1.0371081381370978e-05,0.0,0.0,0.0
1536,1.0371081381370978e-05,0.0,0.0,0.0
1537,1.0371081381370978e-05,0.0,0.0,0.0
1538,1.0371081381370978e-05,0.0,0.0,0.0
1539,2.4903334893419276e-05,0.0,0.0,0.0
1540,2.4903334893419276e-05,0.0,0.0,0.0
1541,2.4903334893419276e-05,0.0,0.0,0.0
1542,2.4903334893419276e-05,0.0,0.0,0.0
1543,2.4903334893419276e-05,0.0,0.0,0.0
1544,2.4903334893419276e-05,0.0,0.0,0.0
1545,2.4903334893419276e-05,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1550,0.0,0.0,0.0,0.0
1551,0.0,0.0,0.0,0.0
1552,0.0,0.0,0.0,0.0
1553,0.0,0.0,0.0,0.0
1554,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,1.6654020458060715e-05,0.0,0.0,0.0
1557,1.6654020458060715e-05,0.0,0.0,0.0
1558,1.6654020458060715e-05,0.0,0.0,0.0
1559,1.6654020458060715e-05,0.0,0.0,0.0
1560,1.6654020458060715e-05,0.0,0.0,0.0
1561,1.6654020458060715e-05,0.0,0.0,0.0
1562,1.6654020458060715e-05,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,0.0,0.0,0.0,0.0
1584,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,1.1500817760991464e-06,0.0,0.0,0.0
1599,1.8575486657417578e-06,0.0,0.0,0.0
1600,1.964054750455294e-06,0.0,0.0,0.0
1601,1.964054750455294e-06,0.0,0.0,0.0
1602,1.964054750455294e-06,0.0,0.0,0.0
1603,1.964054750455294e-06,0.0,0.0,0.0
1604,1.964054750455294e-06,0.0,0.0,0.0
1605,8.139729743561475e-07,0.0,0.0,0.0
1606,1.0650608471353604e-07,0.0,0.0,0.0
1607,0.0,0.0,0.0,0.0
1608,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,1.0073891384568664e-07,0.0,0.0,0.0
1621,1.0073891384568664e-07,0.0,0.0,0.0
1622,1.7108732208725996e-07,0.0,0.0,0.0
1623,1.7108732208725996e-07,0.0,0.0,0.0
1624,9.131018552060205e-06,0.0,0.0,0.0
1625,9.131018552060205e-06,0.0,0.0,0.0
1626,9.131018552060205e-06,0.0,0.0,0.0
1627,9.03027963821452e-06,0.0,0.0,0.0
1628,1.0078465655689278e-05,0.0,0.0,0.0
1629,1.0008117247447704e-05,0.0,0.0,0.0
1630,1.1474350165891728e-05,0.0,0.0,0.0
1631,2.5144189359187815e-06,0.0,0.0,0.0
