ngram,construction,constructin,constructon,constructio
1500,6.416635096684331e-05,0.0,0.0,0.0
1501,5.133308077347465e-05,0.0,0.0,0.0
1502,0.0001074391626995445,0.0,0.0,0.0
1503,0.00013671404251778898,0.0,0.0,0.0
1504,0.00016317123871496214,0.0,0.0,0.0
1505,0.00017763381557805196,0.0,0.0,0.0
1506,0.00017763381557805196,0.0,0.0,0.0
1507,0.00017763381557805196,0.0,0.0,0.0
1508,0.00017763381557805196,0.0,0.0,0.0
1509,0.00012220959095949574,0.0,0.0,0.0
1510,7.75862593270306e-05,0.0,0.0,0.0
1511,4.6718250294881205e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.2313624088253293e-05,0.0,0.0,0.0
1518,2.2313624088253293e-05,0.0,0.0,0.0
1519,2.2313624088253293e-05,0.0,0.0,0.0
1520,2.6782294818466263e-05,0.0,0.0,0.0
1521,2.6782294818466263e-05,0.0,0.0,0.0
1522,2.6782294818466263e-05,0.0,0.0,0.0
1523,6.066477050938245e-05,0.0,0.0,0.0
1524,3.835114642112915e-05,0.0,0.0,0.0
1525,3.835114642112915e-05,0.0,0.0,0.0
1526,3.962244539122496e-05,0.0,0.0,0.0
1527,3.5153774661011994e-05,0.0,0.0,0.0
1528,0.00013863178693489836,0.0,0.0,0.0
1529,0.00013863178693489836,0.0,0.0,0.0
1530,0.00010474931124398219,0.0,0.0,0.0
1531,0.00011049415947387129,0.0,0.0,0.0
1532,0.0001794843987486924,0.0,0.0,0.0
1533,0.00017821309977859658,0.0,0.0,0.0
1534,0.00017821309977859658,0.0,0.0,0.0
1535,7.47350875047102e-05,0.0,0.0,0.0
1536,0.00013779936697184375,0.0,0.0,0.0
1537,0.00013779936697184375,0.0,0.0,0.0
1538,0.00013205451874195466,0.0,0.0,0.0
1539,7.21955023306821e-05,0.0,0.0,0.0
1540,7.21955023306821e-05,0.0,0.0,0.0
1541,7.21955023306821e-05,0.0,0.0,0.0
1542,7.670944147061423e-05,0.0,0.0,0.0
1543,1.3645162003480696e-05,0.0,0.0,0.0
1544,1.4479791518949372e-05,0.0,0.0,0.0
1545,1.4479791518949372e-05,0.0,0.0,0.0
1546,5.628274850875771e-06,0.0,0.0,0.0
1547,5.628274850875771e-06,0.0,0.0,0.0
1548,5.259250240539716e-05,0.0,0.0,0.0
1549,4.8078563265465035e-05,0.0,0.0,0.0
1550,6.428893428684595e-05,0.0,0.0,0.0
1551,6.817669905753323e-05,0.0,0.0,0.0
1552,8.620447436312264e-05,0.0,0.0,0.0
1553,8.592476816764767e-05,0.0,0.0,0.0
1554,8.592476816764767e-05,0.0,0.0,0.0
1555,4.977827016513662e-05,0.0,0.0,0.0
1556,5.1860022722394206e-05,0.0,0.0,0.0
1557,3.5649651701013294e-05,0.0,0.0,0.0
1558,5.3434862690794815e-05,0.0,0.0,0.0
1559,3.7126310676934994e-05,0.0,0.0,0.0
1560,3.7126310676934994e-05,0.0,0.0,0.0
1561,4.4784568412329205e-05,0.0,0.0,0.0
1562,3.396683886031886e-05,0.0,0.0,0.0
1563,3.233970801375108e-05,0.0,0.0,0.0
1564,3.870135476193225e-05,0.0,0.0,0.0
1565,1.6193749485994757e-05,0.0,0.0,0.0
1566,4.112591406218209e-05,0.0,0.0,0.0
1567,4.18083113800094e-05,0.0,0.0,0.0
1568,3.4150053644615195e-05,0.0,0.0,0.0
1569,3.4150053644615195e-05,0.0,0.0,0.0
1570,3.369543193392539e-05,0.0,0.0,0.0
1571,2.733378518574422e-05,0.0,0.0,0.0
1572,2.7853745970268e-05,0.0,0.0,0.0
1573,3.719176805004411e-06,0.0,0.0,0.0
1574,3.0367794871770978e-06,0.0,0.0,0.0
1575,3.0367794871770978e-06,0.0,0.0,0.0
1576,7.092903420665867e-06,0.0,0.0,0.0
1577,7.092903420665867e-06,0.0,0.0,0.0
1578,7.092903420665867e-06,0.0,0.0,0.0
1579,6.572942636142086e-06,0.0,0.0,0.0
1580,6.037045620489932e-06,0.0,0.0,0.0
1581,6.037045620489932e-06,0.0,0.0,0.0
1582,6.037045620489932e-06,0.0,0.0,0.0
1583,4.9322247572750454e-05,0.0,0.0,0.0
1584,5.0221359158188405e-05,0.0,0.0,0.0
1585,5.041007724620223e-05,0.0,0.0,0.0
1586,5.041007724620223e-05,0.0,0.0,0.0
1587,4.946739423823081e-05,0.0,0.0,0.0
1588,4.946739423823081e-05,0.0,0.0,0.0
1589,7.523564715938846e-05,0.0,0.0,0.0
1590,2.8414272573432493e-05,0.0,0.0,0.0
1591,2.831476137998834e-05,0.0,0.0,0.0
1592,2.8126043291974512e-05,0.0,0.0,0.0
1593,2.901915019849964e-05,0.0,0.0,0.0
1594,2.8651437852594036e-05,0.0,0.0,0.0
1595,3.0003829189289327e-05,0.0,0.0,0.0
1596,4.656412719279095e-06,0.0,0.0,0.0
1597,8.615758685794259e-06,0.0,0.0,0.0
1598,1.958237960155072e-05,0.0,0.0,0.0
1599,3.4203362377281466e-05,0.0,0.0,0.0
1600,3.629242571280754e-05,0.0,0.0,0.0
1601,3.679384255000124e-05,0.0,0.0,0.0
1602,3.6798660533219974e-05,0.0,0.0,0.0
1603,3.678993419141209e-05,0.0,0.0,0.0
1604,3.282144786810802e-05,0.0,0.0,0.0
1605,2.1280100343444375e-05,0.0,0.0,0.0
1606,9.702161589432632e-06,0.0,0.0,0.0
1607,6.719991347381438e-06,0.0,0.0,0.0
1608,5.747725773679642e-06,0.0,0.0,0.0
1609,5.711234247688221e-06,0.0,0.0,0.0
1610,5.681468922245715e-06,0.0,0.0,0.0
1611,1.0905745511990972e-05,0.0,0.0,0.0
1612,1.0680871728904354e-05,0.0,0.0,0.0
1613,9.87517453917722e-06,0.0,0.0,0.0
1614,1.0534394034168923e-05,0.0,0.0,0.0
1615,1.1096602942676067e-05,0.0,0.0,0.0
1616,9.775885148753463e-06,0.0,0.0,0.0
1617,9.517081699479085e-06,0.0,0.0,0.0
1618,9.78909961142043e-06,0.0,0.0,0.0
1619,1.1139513576706253e-05,0.0,0.0,0.0
1620,1.66590630783503e-05,0.0,0.0,0.0
1621,1.635667957446328e-05,0.0,0.0,0.0
1622,1.8479077774762637e-05,0.0,0.0,0.0
1623,2.063439130292214e-05,0.0,0.0,0.0
1624,2.484148356935683e-05,0.0,0.0,0.0
1625,1.8834378124665818e-05,0.0,0.0,0.0
1626,2.0469047902744414e-05,0.0,0.0,0.0
1627,1.3031694249678236e-05,0.0,0.0,0.0
1628,1.9553579249986797e-05,0.0,0.0,0.0
1629,1.6751823888431056e-05,0.0,0.0,0.0
1630,1.606274327871558e-05,0.0,0.0,0.0
1631,1.1958829621302616e-05,0.0,0.0,0.0
1632,1.2508586426715088e-05,0.0,0.0,0.0
1633,1.0894430691418425e-05,0.0,0.0,0.0
1634,1.859706835765402e-05,0.0,0.0,0.0
1635,1.2870823322178434e-05,0.0,0.0,0.0
1636,1.6175226002295468e-05,0.0,0.0,0.0
1637,1.4928473465910688e-05,0.0,0.0,0.0
1638,1.5779114115892818e-05,0.0,0.0,0.0
1639,2.5975448823243952e-05,0.0,0.0,0.0
1640,2.470732887007086e-05,0.0,0.0,0.0
1641,1.7162925221977537e-05,0.0,0.0,0.0
1642,1.655019844650139e-05,0.0,0.0,0.0
1643,1.3163266422517544e-05,0.0,0.0,0.0
1644,1.413538508034305e-05,0.0,0.0,0.0
1645,1.4531529464940312e-05,0.0,0.0,0.0
1646,4.087653167061944e-06,0.0,0.0,0.0
1647,5.12934622877635e-06,0.0,0.0,0.0
1648,5.981197383724586e-06,0.0,0.0,0.0
1649,6.22372596938346e-06,0.0,0.0,0.0
1650,7.0142884526701114e-06,0.0,0.0,0.0
1651,6.209690127434442e-06,0.0,0.0,0.0
1652,5.014542141777513e-06,0.0,0.0,0.0
1653,5.013830039907978e-06,0.0,0.0,0.0
1654,4.3256439831956025e-06,0.0,0.0,0.0
1655,4.7391074206513754e-06,0.0,0.0,0.0
