ngram,context,conext,cotext
1500,7.476928431060514e-06,0.0,0.0
1501,5.981542744848411e-06,0.0,0.0
1502,7.093149179127067e-06,0.0,0.0
1503,2.392917563806155e-05,0.0,0.0
1504,2.192426070126073e-05,0.0,0.0
1505,2.2813283456863636e-05,0.0,0.0
1506,2.2813283456863636e-05,0.0,0.0
1507,2.2813283456863636e-05,0.0,0.0
1508,2.2813283456863636e-05,0.0,0.0
1509,2.100597183536073e-05,0.0,0.0
1510,3.1566383508366665e-06,0.0,0.0
1511,3.1566383508366665e-06,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,0.0,0.0,0.0
1518,0.0,0.0,0.0
1519,0.0,0.0,0.0
1520,2.979113885105887e-07,0.0,0.0
1521,2.979113885105887e-07,0.0,0.0
1522,3.4716682486240254e-06,0.0,0.0
1523,4.703758252487335e-06,0.0,0.0
1524,4.703758252487335e-06,0.0,0.0
1525,4.703758252487335e-06,0.0,0.0
1526,8.517655162774776e-06,0.0,0.0
1527,8.219743774264185e-06,0.0,0.0
1528,1.0310208641125687e-05,0.0,0.0
1529,7.136451781012251e-06,0.0,0.0
1530,5.904361777148941e-06,0.0,0.0
1531,5.904361777148941e-06,0.0,0.0
1532,1.1766277566493955e-05,0.0,0.0
1533,7.952380656206515e-06,0.0,0.0
1534,7.952380656206515e-06,0.0,0.0
1535,5.861915789345014e-06,0.0,0.0
1536,5.861915789345014e-06,0.0,0.0
1537,5.861915789345014e-06,0.0,0.0
1538,5.861915789345014e-06,0.0,0.0
1539,1.6602222915805344e-06,0.0,0.0
1540,1.6602222915805344e-06,0.0,0.0
1541,1.6602222915805344e-06,0.0,0.0
1542,1.6602222915805344e-06,0.0,0.0
1543,1.6602222915805344e-06,0.0,0.0
1544,1.6602222915805344e-06,0.0,0.0
1545,1.6602222915805344e-06,0.0,0.0
1546,0.0,0.0,0.0
1547,0.0,0.0,0.0
1548,2.972419354461765e-07,0.0,0.0
1549,2.972419354461765e-07,0.0,0.0
1550,4.079662013672143e-06,0.0,0.0
1551,4.079662013672143e-06,0.0,0.0
1552,4.079662013672143e-06,0.0,0.0
1553,4.079662013672143e-06,0.0,0.0
1554,4.079662013672143e-06,0.0,0.0
1555,3.782420078225966e-06,0.0,0.0
1556,3.782420078225966e-06,0.0,0.0
1557,0.0,0.0,0.0
1558,0.0,0.0,0.0
1559,0.0,0.0,0.0
1560,0.0,0.0,0.0
1561,0.0,0.0,0.0
1562,0.0,0.0,0.0
1563,9.092434213796099e-07,0.0,0.0
1564,9.092434213796099e-07,0.0,0.0
1565,9.092434213796099e-07,0.0,0.0
1566,9.092434213796099e-07,0.0,0.0
1567,9.092434213796099e-07,0.0,0.0
1568,9.092434213796099e-07,0.0,0.0
1569,9.092434213796099e-07,0.0,0.0
1570,0.0,0.0,0.0
1571,0.0,0.0,0.0
1572,0.0,0.0,0.0
1573,0.0,0.0,0.0
1574,0.0,0.0,0.0
1575,0.0,0.0,0.0
1576,0.0,0.0,0.0
1577,0.0,0.0,0.0
1578,4.81826223871654e-07,0.0,0.0
1579,1.1285810290116518e-06,0.0,0.0
1580,4.099963624477303e-06,0.0,0.0
1581,4.099963624477303e-06,0.0,0.0
1582,4.099963624477303e-06,0.0,0.0
1583,4.580586229557022e-06,0.0,0.0
1584,4.580586229557022e-06,0.0,0.0
1585,4.0987600056853675e-06,0.0,0.0
1586,3.45200520054537e-06,0.0,0.0
1587,4.806226050797185e-07,0.0,0.0
1588,1.150128420184566e-06,0.0,0.0
1589,1.8970343132553223e-06,0.0,0.0
1590,1.416411708175604e-06,0.0,0.0
1591,1.9494786361714693e-06,0.0,0.0
1592,3.1434222234695753e-06,0.0,0.0
1593,4.483082583257263e-06,0.0,0.0
1594,5.153608916381407e-06,0.0,0.0
1595,4.48410310127656e-06,0.0,0.0
1596,7.314306913031032e-06,0.0,0.0
1597,8.040679469039397e-06,0.0,0.0
1598,8.524992608727189e-06,0.0,0.0
1599,9.807183167660177e-06,0.0,0.0
1600,9.106559316153704e-06,0.0,0.0
1601,9.803300015067049e-06,0.0,0.0
1602,1.0116502185805335e-05,0.0,0.0
1603,6.539392480980106e-06,0.0,0.0
1604,5.813019924971741e-06,0.0,0.0
1605,5.020513640374702e-06,0.0,0.0
1606,2.8646999226111802e-06,0.0,0.0
1607,2.225663414329964e-06,0.0,0.0
1608,1.0580739789085264e-06,0.0,0.0
1609,7.448718081702412e-07,0.0,0.0
1610,7.448718081702412e-07,0.0,0.0
1611,3.919652499462245e-06,0.0,0.0
1612,3.6947787163756274e-06,0.0,0.0
1613,4.0137002120640574e-06,0.0,0.0
1614,4.343309959559909e-06,0.0,0.0
1615,4.905518868067052e-06,0.0,0.0
1616,4.905518868067052e-06,0.0,0.0
1617,4.905518868067052e-06,0.0,0.0
1618,2.518555285340491e-06,0.0,0.0
1619,2.7436242849684537e-06,0.0,0.0
1620,3.0110325529416774e-06,0.0,0.0
1621,3.038258796550508e-06,0.0,0.0
1622,4.38682460363842e-06,0.0,0.0
1623,4.38682460363842e-06,0.0,0.0
1624,6.6268074111316566e-06,0.0,0.0
1625,5.8389903025662145e-06,0.0,0.0
1626,6.073164935774652e-06,0.0,0.0
1627,5.166514743645426e-06,0.0,0.0
1628,7.102585576441405e-06,0.0,0.0
1629,4.9921332642302985e-06,0.0,0.0
1630,6.2858682992685185e-06,0.0,0.0
1631,4.385965407241851e-06,0.0,0.0
1632,4.569217675712675e-06,0.0,0.0
1633,4.247066840434854e-06,0.0,0.0
1634,6.221757449306356e-06,0.0,0.0
1635,4.011170338864238e-06,0.0,0.0
1636,4.358547974853926e-06,0.0,0.0
1637,3.0648129398157053e-06,0.0,0.0
1638,2.7920680614507935e-06,0.0,0.0
1639,3.076037188520786e-06,0.0,0.0
1640,3.041752445856868e-06,0.0,0.0
1641,1.305950186341371e-06,0.0,0.0
1642,1.7633796533443404e-06,0.0,0.0
1643,1.416002017354653e-06,0.0,0.0
1644,2.3326166984004104e-06,0.0,0.0
1645,2.3635153232654763e-06,0.0,0.0
1646,2.6014627841115205e-06,0.0,0.0
1647,2.6027002815810974e-06,0.0,0.0
1648,3.097399704594344e-06,0.0,0.0
1649,3.0270171578195004e-06,0.0,0.0
