ngram,court,crt,cout,curt
1500,0.00020706126815639436,0.0,0.0,0.0
1501,0.00016564901452511548,0.0,0.0,0.0
1502,0.00018126571376342326,0.0,0.0,0.0
1503,0.00015537061179721995,0.0,0.0,0.0
1504,0.00012945297593042987,0.0,0.0,0.0
1505,9.600919059136816e-05,0.0,0.0,0.0
1506,9.600919059136816e-05,0.0,0.0,0.0
1507,9.600919059136816e-05,0.0,0.0,0.0
1508,9.600919059136816e-05,0.0,0.0,0.0
1509,5.8959303454945e-05,0.0,0.0,0.0
1510,5.8959303454945e-05,0.0,0.0,0.0
1511,5.587250260370118e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.6564626498147845e-05,0.0,0.0,0.0
1515,3.6564626498147845e-05,0.0,0.0,0.0
1516,3.6564626498147845e-05,0.0,0.0,0.0
1517,4.347122480144857e-05,0.0,0.0,0.0
1518,4.347122480144857e-05,0.0,0.0,0.0
1519,4.347122480144857e-05,0.0,0.0,0.0
1520,6.402711057619724e-05,0.0,0.0,0.0
1521,2.7462484078049393e-05,0.0,0.0,0.0
1522,3.380999779827627e-05,0.0,0.0,0.0
1523,4.058649262463275e-05,0.0,0.0,0.0
1524,3.367989432133202e-05,0.0,0.0,0.0
1525,3.367989432133202e-05,0.0,0.0,0.0
1526,3.367989432133202e-05,0.0,0.0,0.0
1527,1.3124008546583354e-05,0.0,0.0,0.0
1528,2.8802494593297263e-05,0.0,0.0,0.0
1529,2.245498087307039e-05,0.0,0.0,0.0
1530,1.713638305643274e-05,0.0,0.0,0.0
1531,2.2881231286321834e-05,0.0,0.0,0.0
1532,2.2881231286321834e-05,0.0,0.0,0.0
1533,3.086296926215125e-05,0.0,0.0,0.0
1534,3.367191064691204e-05,0.0,0.0,0.0
1535,3.11712596417887e-05,0.0,0.0,0.0
1536,0.0011117620255650504,0.0,0.0,4.4726438578176643e-07
1537,0.0011458761273388518,0.0,0.0,4.4726438578176643e-07
1538,0.0011401312791089627,0.0,0.0,4.4726438578176643e-07
1539,0.0011401312791089627,0.0,0.0,4.4726438578176643e-07
1540,0.0011321495411331334,0.0,0.0,4.4726438578176643e-07
1541,0.0011975790247171453,0.0,0.0,4.4726438578176643e-07
1542,0.0011889151288154867,0.0,0.0,4.4726438578176643e-07
1543,0.00010832436289222511,0.0,0.0,0.0
1544,9.347899789905309e-05,0.0,0.0,1.94746891273618e-06
1545,9.964116023703744e-05,0.0,0.0,1.94746891273618e-06
1546,0.00010523528440639243,0.0,0.0,1.94746891273618e-06
1547,0.00010523528440639243,0.0,0.0,1.94746891273618e-06
1548,0.00012498047466838865,0.0,0.0,1.94746891273618e-06
1549,0.00012046653552845652,0.0,0.0,1.94746891273618e-06
1550,0.00015288727757121836,0.0,0.0,1.94746891273618e-06
1551,0.0001321606437808701,0.0,0.0,0.0
1552,0.00013248848024107116,0.0,0.0,0.0
1553,0.00012689435607171617,0.0,0.0,0.0
1554,0.00013615095823687234,0.0,0.0,0.0
1555,4.93693130140725e-05,0.0,0.0,0.0
1556,4.93693130140725e-05,0.0,0.0,0.0
1557,1.6948570971310672e-05,0.0,0.0,0.0
1558,1.8312668284384665e-05,0.0,0.0,0.0
1559,1.3541892777928816e-05,0.0,0.0,0.0
1560,4.943711038712146e-05,0.0,0.0,0.0
1561,5.54970236927537e-05,0.0,0.0,0.0
1562,5.429505368478463e-05,0.0,1.7777145850621828e-06,0.0
1563,6.79337052653344e-05,0.0,1.7777145850621828e-06,0.0
1564,9.338029225805908e-05,0.0,1.7777145850621828e-06,0.0
1565,9.201619494498508e-05,0.0,1.7777145850621828e-06,0.0
1566,9.600798304225984e-05,0.0,1.7777145850621828e-06,0.0
1567,6.352475195723985e-05,0.0,1.7777145850621828e-06,0.0
1568,4.820823648645144e-05,0.0,1.7777145850621828e-06,0.0
1569,6.38050478301011e-05,0.0,0.0,0.0
1570,5.1677408529420586e-05,0.0,0.0,0.0
1571,2.623082153669592e-05,0.0,0.0,0.0
1572,5.066897743485502e-05,0.0,0.0,0.0
1573,4.8733194099830666e-05,0.0,0.0,0.0
1574,4.9134188494852947e-05,0.0,0.0,0.0
1575,6.170698504450099e-05,0.0,0.0,0.0
1576,5.106765885492288e-05,0.0,0.0,0.0
1577,5.9762550206089925e-05,0.0,0.0,0.0
1578,6.433989931662966e-05,0.0,0.0,0.0
1579,4.701604640493835e-05,0.0,0.0,4.527283765907798e-06
1580,4.8193122503497375e-05,0.0,0.0,4.527283765907798e-06
1581,7.463881827009442e-05,0.0,0.0,4.527283765907798e-06
1582,6.499889137298201e-05,0.0,0.0,4.527283765907798e-06
1583,7.133603737331993e-05,0.0,0.0,4.527283765907798e-06
1584,6.652480312498353e-05,0.0,0.0,4.527283765907798e-06
1585,7.761105553072412e-05,0.0,0.0,4.527283765907798e-06
1586,7.409122164452648e-05,0.0,0.0,0.0
1587,8.471249774239758e-05,0.0,0.0,0.0
1588,6.516591409828314e-05,0.0,0.0,0.0
1589,8.221277624085945e-05,0.0,0.0,0.0
1590,9.821558809822559e-05,0.0,0.0,0.0
1591,0.00010428185747254506,0.0,0.0,2.6653346399793267e-07
1592,9.160311492451001e-05,0.0,0.0,2.6653346399793267e-07
1593,0.00010051214199588035,0.0,0.0,1.159640370523058e-06
1594,9.097329867862365e-05,0.0,0.0,1.159640370523058e-06
1595,9.648990063786706e-05,0.0,0.0,1.159640370523058e-06
1596,8.113937006523233e-05,0.0,0.0,1.159640370523058e-06
1597,6.631132289060458e-05,0.0,0.0,1.159640370523058e-06
1598,7.095152951868451e-05,0.0,0.0,8.931069065251254e-07
1599,0.00010522659171588853,0.0,0.0,8.931069065251254e-07
1600,0.00011594142259647404,1.0650608471353604e-07,0.0,0.0
1601,0.00011967287926901398,1.0650608471353604e-07,0.0,0.0
1602,0.00011304905014445208,1.0650608471353604e-07,0.0,0.0
1603,0.00011295305999478192,1.0650608471353604e-07,0.0,0.0
1604,0.0001190431290264574,1.0650608471353604e-07,0.0,1.7027031974846197e-07
1605,0.00011283643055191663,1.0650608471353604e-07,1.1243689154330891e-07,1.7027031974846197e-07
1606,7.869963363711057e-05,1.0650608471353604e-07,1.9251699866020188e-07,1.7027031974846197e-07
1607,6.51857688873341e-05,0.0,1.9251699866020188e-07,1.7027031974846197e-07
1608,7.059507229964115e-05,0.0,1.9251699866020188e-07,1.7027031974846197e-07
1609,7.815953826398722e-05,0.0,1.9251699866020188e-07,1.7027031974846197e-07
1610,8.267515399243816e-05,0.0,1.9251699866020188e-07,1.7027031974846197e-07
1611,7.937511847038487e-05,0.0,1.9251699866020188e-07,0.0
1612,7.190167811391543e-05,0.0,8.008010711689297e-08,0.0
1613,7.836718292050396e-05,0.0,0.0,1.598104810390006e-07
1614,7.426608629300193e-05,3.296097474958515e-07,0.0,1.598104810390006e-07
1615,6.175719214037858e-05,3.296097474958515e-07,0.0,1.598104810390006e-07
1616,5.3958897686763e-05,3.296097474958515e-07,0.0,1.598104810390006e-07
1617,5.232255093038215e-05,3.296097474958515e-07,0.0,4.068931502843043e-07
1618,0.00010698188946532485,3.296097474958515e-07,0.0,6.038474274256649e-07
1619,0.00011648953997272267,3.296097474958515e-07,0.0,6.038474274256649e-07
1620,0.00011425485172367189,3.296097474958515e-07,0.0,5.447758602323509e-07
1621,0.0001106140840160411,1.7841799555234112e-07,0.0,5.447758602323509e-07
1622,0.00011427883808729738,1.7841799555234112e-07,0.0,5.447758602323509e-07
1623,0.00011110432686629273,1.7841799555234112e-07,0.0,5.447758602323509e-07
1624,0.00010906780555939934,1.7841799555234112e-07,0.0,4.47025383566922e-07
1625,4.1225654968002345e-05,1.7841799555234112e-07,0.0,2.500711064255613e-07
1626,4.973333969766307e-05,1.7841799555234112e-07,2.296218164182002e-07,2.500711064255613e-07
1627,4.269894157005183e-05,1.7841799555234112e-07,2.296218164182002e-07,1.493321925798747e-07
1628,4.473255288368299e-05,0.0,2.296218164182002e-07,1.493321925798747e-07
1629,4.533366079938007e-05,0.0,2.296218164182002e-07,4.7944956804713e-07
1630,4.1120861591740064e-05,0.0,2.296218164182002e-07,7.38196555565602e-07
1631,4.436026084217052e-05,0.0,2.296218164182002e-07,5.888643629857273e-07
1632,5.520292847904784e-05,0.0,2.296218164182002e-07,5.888643629857273e-07
1633,3.627460750976752e-05,0.0,0.0,5.888643629857273e-07
1634,4.10152095875154e-05,0.0,0.0,5.888643629857273e-07
1635,3.8830033970173516e-05,0.0,0.0,7.535037899028144e-07
1636,3.6413478483154904e-05,0.0,0.0,4.233864144355591e-07
1637,3.808775792484604e-05,0.0,7.316012735308114e-08,1.6463942691708716e-07
1638,3.7148593946767505e-05,6.733503710165678e-08,7.316012735308114e-08,2.993095011204007e-07
1639,2.8979393001853687e-05,6.733503710165678e-08,7.316012735308114e-08,2.993095011204007e-07
1640,2.8602260759466196e-05,6.733503710165678e-08,7.316012735308114e-08,6.077336739248754e-07
1641,2.8140716624745566e-05,1.2705712444065804e-07,7.316012735308114e-08,7.271778486028779e-07
1642,3.507361907395534e-05,1.2705712444065804e-07,7.316012735308114e-08,6.704882561539957e-07
1643,3.254480348654657e-05,1.2705712444065804e-07,7.316012735308114e-08,6.704882561539957e-07
1644,3.438648504275729e-05,1.2705712444065804e-07,0.0,8.538111891149518e-07
1645,3.746687655490989e-05,5.972208733900125e-08,9.823366196672265e-08,7.191411149116383e-07
1646,3.714928256418456e-05,5.972208733900125e-08,1.9897207234212795e-07,7.191411149116383e-07
1647,3.986807951150695e-05,5.972208733900125e-08,1.9897207234212795e-07,4.107169421071636e-07
1648,4.5081215830578e-05,0.0,1.9897207234212795e-07,3.371220032022393e-07
1649,3.9622846218532815e-05,0.0,1.9897207234212795e-07,5.420832686857986e-07
1650,4.088584267135177e-05,0.0,1.9897207234212795e-07,8.056040964480157e-07
1651,3.796615965256933e-05,0.0,1.9897207234212795e-07,6.652812446970659e-07
1652,2.949210128073381e-05,0.0,1.007384103754053e-07,7.209526415863365e-07
1653,5.031049788937837e-05,7.537577825392613e-08,2.261273428822668e-07,7.209526415863365e-07
1654,5.679012558955167e-05,7.537577825392613e-08,2.261273428822668e-07,7.209526415863365e-07
1655,5.092939578129777e-05,1.3347882291522444e-07,2.842303875435651e-07,9.075155844584515e-07
