ngram,delivery,dilivery,delivry,delivry
1500,1.7571608623256907e-05,0.0,0.0,0.0
1501,1.4057286898605526e-05,0.0,0.0,0.0
1502,3.859816691450154e-05,0.0,0.0,0.0
1503,3.308414306957275e-05,0.0,0.0,0.0
1504,6.102420749292443e-05,0.0,0.0,0.0
1505,6.709927609855575e-05,0.0,0.0,0.0
1506,6.709927609855575e-05,0.0,0.0,0.0
1507,6.709927609855575e-05,0.0,0.0,0.0
1508,6.709927609855575e-05,0.0,0.0,0.0
1509,4.405605224227267e-05,0.0,0.0,0.0
1510,4.405605224227267e-05,0.0,0.0,0.0
1511,1.010124313844634e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.3140412712735789e-05,0.0,0.0,0.0
1515,1.3140412712735789e-05,0.0,0.0,0.0
1516,1.3140412712735789e-05,0.0,0.0,0.0
1517,1.3140412712735789e-05,0.0,0.0,0.0
1518,1.3140412712735789e-05,0.0,0.0,0.0
1519,1.3140412712735789e-05,0.0,0.0,0.0
1520,1.4034146910749509e-05,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,1.5097791999453745e-06,0.0,0.0,0.0
1524,1.5097791999453745e-06,0.0,0.0,0.0
1525,1.5097791999453745e-06,0.0,0.0,0.0
1526,1.5097791999453745e-06,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,4.509165916845502e-07,0.0,0.0,0.0
1533,4.509165916845502e-07,0.0,0.0,0.0
1534,4.509165916845502e-07,0.0,0.0,0.0
1535,7.981107598555224e-06,0.0,0.0,0.0
1536,1.7820924540501437e-05,0.0,0.0,0.0
1537,1.7820924540501437e-05,0.0,0.0,0.0
1538,1.7820924540501437e-05,0.0,0.0,0.0
1539,2.7331341698300093e-05,0.0,0.0,0.0
1540,2.7331341698300093e-05,0.0,0.0,0.0
1541,2.7331341698300093e-05,0.0,0.0,0.0
1542,1.980115069142942e-05,0.0,0.0,0.0
1543,9.961333749483206e-06,0.0,0.0,0.0
1544,1.3995376450891075e-05,0.0,0.0,0.0
1545,1.4799136741722968e-05,0.0,0.0,0.0
1546,8.473983598378254e-06,0.0,0.0,0.0
1547,1.1751124800087251e-05,0.0,0.0,0.0
1548,1.3237334509800089e-05,0.0,0.0,0.0
1549,1.3237334509800089e-05,0.0,0.0,0.0
1550,1.918113756411393e-05,0.0,0.0,0.0
1551,1.5147094862706062e-05,0.0,0.0,0.0
1552,1.5785556570335757e-05,0.0,0.0,0.0
1553,1.2149375964197264e-05,0.0,0.0,0.0
1554,8.872234762488265e-06,0.0,0.0,0.0
1555,9.789965068713563e-06,0.0,0.0,0.0
1556,9.789965068713563e-06,0.0,0.0,0.0
1557,3.846162014399722e-06,0.0,0.0,0.0
1558,7.256405427012526e-06,0.0,0.0,0.0
1559,5.814183428550937e-06,0.0,0.0,0.0
1560,9.403705397354705e-06,0.0,0.0,0.0
1561,9.403705397354705e-06,0.0,0.0,0.0
1562,6.999765381416572e-06,0.0,0.0,0.0
1563,8.818252224175791e-06,0.0,0.0,0.0
1564,8.818252224175791e-06,0.0,0.0,0.0
1565,6.419809454070803e-06,0.0,0.0,0.0
1566,6.419809454070803e-06,0.0,0.0,0.0
1567,6.242274009439695e-06,0.0,0.0,0.0
1568,6.242274009439695e-06,0.0,0.0,0.0
1569,9.955800643573249e-06,0.0,0.0,0.0
1570,8.13731380081403e-06,0.0,0.0,0.0
1571,8.13731380081403e-06,0.0,0.0,0.0
1572,2.8443904739106074e-05,0.0,0.0,0.0
1573,2.8443904739106074e-05,0.0,0.0,0.0
1574,2.5031918214933414e-05,0.0,0.0,0.0
1575,5.0177511314229507e-05,0.0,0.0,0.0
1576,4.781602599125888e-05,0.0,0.0,0.0
1577,4.781602599125888e-05,0.0,0.0,0.0
1578,4.829785221513053e-05,0.0,0.0,0.0
1579,2.762621543947067e-05,0.0,0.0,0.0
1580,2.861667628297125e-05,0.0,0.0,0.0
1581,2.861667628297125e-05,0.0,0.0,0.0
1582,3.471083183675156e-06,0.0,0.0,0.0
1583,1.341367302692171e-05,0.0,0.0,0.0
1584,1.341367302692171e-05,0.0,0.0,0.0
1585,1.2931846803050056e-05,0.0,0.0,0.0
1586,1.7317349050115028e-05,0.0,0.0,0.0
1587,1.7711206445320776e-05,0.0,0.0,0.0
1588,1.7711206445320776e-05,0.0,0.0,0.0
1589,2.125900937244296e-05,0.0,0.0,0.0
1590,1.0484329517826804e-05,0.0,0.0,0.0
1591,1.0484329517826804e-05,0.0,0.0,0.0
1592,1.0484329517826804e-05,0.0,0.0,0.0
1593,6.121902645515677e-06,0.0,0.0,0.0
1594,9.431268803642265e-06,0.0,0.0,0.0
1595,9.431268803642265e-06,0.0,0.0,0.0
1596,2.0191904695820995e-05,0.0,0.0,0.0
1597,2.1851070999088862e-05,0.0,0.0,0.0
1598,2.9061199386757964e-05,0.0,0.0,0.0
1599,3.1065688939893986e-05,0.0,0.0,0.0
1600,3.103489526828136e-05,0.0,0.0,0.0
1601,2.6927182456607363e-05,0.0,0.0,0.0
1602,2.7031583174773133e-05,0.0,0.0,0.0
1603,1.3135254464811754e-05,0.0,0.0,0.0
1604,1.214802914871273e-05,0.0,0.0,0.0
1605,5.387648327216864e-06,0.0,0.0,0.0
1606,4.424200190961918e-06,0.0,0.0,0.0
1607,4.5316607578830115e-06,0.0,0.0,0.0
1608,4.145366769340139e-06,0.0,0.0,0.0
1609,4.984335922537346e-06,0.0,0.0,0.0
1610,5.591811925244526e-06,0.0,0.0,0.0
1611,7.267463404657194e-06,0.0,0.0,0.0
1612,6.817715838483959e-06,0.0,0.0,0.0
1613,5.936484902641885e-06,0.0,0.0,0.0
1614,5.519597574935428e-06,0.0,0.0,0.0
1615,5.319919978319376e-06,0.0,0.0,0.0
1616,4.736974639334741e-06,0.0,0.0,0.0
1617,3.840929861910679e-06,0.0,0.0,0.0
1618,1.5642489432009045e-06,0.0,0.0,0.0
1619,1.676783443014886e-06,0.0,0.0,0.0
1620,6.553918849151939e-06,0.0,0.0,0.0
1621,6.224309101656088e-06,0.0,0.0,0.0
1622,9.741729448770847e-06,0.0,0.0,0.0
1623,9.381304916392505e-06,0.0,0.0,0.0
1624,1.448439056568012e-05,0.0,0.0,0.0
1625,1.472417462114858e-05,0.0,0.0,0.0
1626,1.5070883754170999e-05,0.0,0.0,0.0
1627,1.1312108589273911e-05,0.0,0.0,0.0
1628,1.2818875997514364e-05,0.0,0.0,0.0
1629,1.0869513127025649e-05,0.0,0.0,0.0
1630,1.1387007102062593e-05,0.0,0.0,0.0
1631,7.010579923059725e-06,0.0,0.0,0.0
1632,7.371072764986561e-06,0.0,0.0,0.0
1633,1.1847169909222949e-05,0.0,0.0,0.0
1634,1.3284198692937415e-05,0.0,0.0,0.0
1635,1.2929907240634617e-05,0.0,0.0,0.0
1636,1.318558231235199e-05,0.0,0.0,0.0
1637,1.3399689643327812e-05,0.0,0.0,0.0
1638,1.5512231454652336e-05,0.0,0.0,0.0
