ngram,difference,diference,differece,diffence
1500,2.8962070246052463e-05,0.0,0.0,0.0
1501,2.316965619684197e-05,0.0,0.0,0.0
1502,5.638303567441957e-05,0.0,0.0,0.0
1503,6.61776497768837e-05,0.0,0.0,0.0
1504,6.232667614572815e-05,0.0,0.0,0.0
1505,6.179910997161642e-05,0.0,0.0,0.0
1506,6.179910997161642e-05,0.0,0.0,0.0
1507,6.179910997161642e-05,0.0,0.0,0.0
1508,6.179910997161642e-05,0.0,0.0,0.0
1509,3.0020548105572482e-05,0.0,0.0,0.0
1510,1.217121462104842e-05,0.0,0.0,0.0
1511,5.997612918560792e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.856611380203893e-06,0.0,0.0,0.0
1515,2.856611380203893e-06,0.0,0.0,0.0
1516,2.856611380203893e-06,0.0,0.0,0.0
1517,3.4733217814521466e-05,0.0,0.0,0.0
1518,3.4733217814521466e-05,0.0,0.0,0.0
1519,3.4733217814521466e-05,0.0,0.0,0.0
1520,4.1585179912674774e-05,0.0,0.0,0.0
1521,3.872856853247088e-05,0.0,0.0,0.0
1522,3.872856853247088e-05,0.0,0.0,0.0
1523,4.11927485401975e-05,0.0,0.0,0.0
1524,9.316142105879927e-06,0.0,0.0,0.0
1525,9.316142105879927e-06,0.0,0.0,0.0
1526,5.889680401846168e-05,0.0,0.0,0.0
1527,0.00011009325498889666,0.0,0.0,0.0
1528,0.00011113848742232741,0.0,0.0,0.0
1529,0.00011113848742232741,0.0,0.0,0.0
1530,0.00012981381438034338,0.0,0.0,0.0
1531,0.00012981381438034338,0.0,0.0,0.0
1532,0.00013928306264330916,0.0,0.0,0.0
1533,0.00010566587668238623,0.0,0.0,0.0
1534,4.761746361379794e-05,0.0,0.0,0.0
1535,4.732525030703982e-05,0.0,0.0,0.0
1536,4.866704343190317e-05,0.0,0.0,0.0
1537,2.752753646616059e-05,0.0,0.0,0.0
1538,3.0703975036366114e-05,0.0,0.0,0.0
1539,3.119606052288353e-05,0.0,0.0,0.0
1540,1.5232584571224703e-05,0.0,0.0,0.0
1541,1.5232584571224703e-05,0.0,0.0,0.0
1542,1.89935045844842e-05,0.0,0.0,0.0
1543,1.7651711459620856e-05,0.0,0.0,0.0
1544,1.9877390254155864e-05,0.0,0.0,0.0
1545,2.0987673321672317e-05,0.0,0.0,0.0
1546,1.3823401656866605e-05,0.0,5.594123909499363e-07,0.0
1547,1.7100542858575602e-05,0.0,5.594123909499363e-07,0.0
1548,2.3045381697426948e-05,0.0,5.594123909499363e-07,0.0
1549,1.853144255749482e-05,0.0,2.984727871080395e-06,0.0
1550,2.2313862635720788e-05,0.0,2.984727871080395e-06,0.0
1551,4.842255059754409e-05,0.0,2.984727871080395e-06,0.0
1552,5.7836938399954564e-05,0.0,2.984727871080395e-06,0.0
1553,5.503987631527707e-05,0.0,2.4253154801304585e-06,0.0
1554,6.101933727872425e-05,0.0,2.4253154801304585e-06,0.0
1555,5.5675483443857434e-05,0.0,2.4253154801304585e-06,0.0
1556,7.232950390191815e-05,0.0,0.0,0.0
1557,6.854708382369219e-05,0.0,0.0,0.0
1558,4.498705753316504e-05,0.0,0.0,0.0
1559,7.598575211886782e-05,0.0,0.0,0.0
1560,7.912658397149894e-05,0.0,0.0,0.0
1561,7.752823954173696e-05,0.0,0.0,0.0
1562,0.00011248154571928483,0.0,0.0,0.0
1563,9.582752526122411e-05,0.0,0.0,0.0
1564,9.582752526122411e-05,0.0,0.0,0.0
1565,9.206498543790076e-05,0.0,0.0,0.0
1566,4.926885191837625e-05,0.0,0.0,0.0
1567,7.06943242870953e-05,0.0,0.0,0.0
1568,6.30360665517011e-05,0.0,0.0,0.0
1569,3.936506059939607e-05,0.0,0.0,0.0
1570,4.54091097188731e-05,0.0,0.0,0.0
1571,5.521651642733819e-05,0.0,0.0,0.0
1572,5.5244637353877935e-05,0.0,0.0,0.0
1573,7.347551646879375e-05,0.0,0.0,0.0
1574,6.960825144882879e-05,0.0,0.0,0.0
1575,7.212281070678728e-05,0.0,0.0,0.0
1576,6.880245395482884e-05,0.0,0.0,0.0
1577,7.296430846638811e-05,0.0,0.0,0.0
1578,7.038429495358807e-05,0.0,0.0,0.0
1579,7.904569559156829e-05,0.0,0.0,0.0
1580,9.060589296236035e-05,0.0,9.904608435005815e-07,0.0
1581,7.050016113550685e-05,0.0,9.904608435005815e-07,0.0
1582,8.264995040008216e-05,0.0,9.904608435005815e-07,0.0
1583,8.442040760720764e-05,0.0,9.904608435005815e-07,0.0
1584,7.8710061968325e-05,0.0,9.904608435005815e-07,0.0
1585,8.714627028894029e-05,0.0,1.367897019528235e-06,0.0
1586,7.81638419279521e-05,0.0,1.367897019528235e-06,0.0
1587,4.958381103798664e-05,0.0,7.235157357042356e-07,0.0
1588,5.702457344471311e-05,0.0,7.235157357042356e-07,0.0
1589,4.665493374237225e-05,0.0,7.235157357042356e-07,0.0
1590,5.036023282757794e-05,0.0,7.235157357042356e-07,0.0
1591,5.146187777427258e-05,0.0,7.235157357042356e-07,0.0
1592,4.95286277717761e-05,0.0,3.46079559676582e-07,0.0
1593,5.305199166676695e-05,0.0,3.46079559676582e-07,0.0
1594,5.379280186649079e-05,0.0,0.0,0.0
1595,5.252068850885345e-05,0.0,0.0,0.0
1596,5.201350774898726e-05,0.0,0.0,0.0
1597,4.511748660921252e-05,0.0,0.0,0.0
1598,5.380783841246739e-05,4.423391633931065e-08,0.0,0.0
1599,4.420437705578349e-05,4.423391633931065e-08,0.0,0.0
1600,5.4553452563206e-05,4.423391633931065e-08,0.0,0.0
1601,6.534721563054648e-05,4.3488163977859327e-07,1.953238617196413e-07,0.0
1602,6.599771014797235e-05,4.3488163977859327e-07,1.953238617196413e-07,0.0
1603,7.292504519032914e-05,4.3488163977859327e-07,1.953238617196413e-07,0.0
1604,7.46364382523877e-05,4.3488163977859327e-07,1.953238617196413e-07,0.0
1605,6.799459229763929e-05,3.906477234392826e-07,1.953238617196413e-07,0.0
1606,7.716100039293192e-05,3.906477234392826e-07,2.754039688365343e-07,0.0
1607,7.67531112485033e-05,3.906477234392826e-07,2.754039688365343e-07,0.0
1608,7.068995858259899e-05,1.996775966160515e-07,8.008010711689297e-08,0.0
1609,7.384324999293312e-05,3.883515741368423e-07,8.008010711689297e-08,0.0
1610,7.38340407094386e-05,3.883515741368423e-07,8.008010711689297e-08,0.0
1611,8.310695765041081e-05,1.1052375157305505e-06,8.008010711689297e-08,0.0
1612,9.267729546991177e-05,1.1052375157305505e-06,8.008010711689297e-08,0.0
1613,0.00010015935913543217,1.5846689426065756e-06,0.0,0.0
1614,9.784186581133067e-05,1.5846689426065756e-06,0.0,0.0
1615,0.00010906477733182587,1.384991345990524e-06,0.0,0.0
1616,0.0001190432334884203,1.556741900848075e-06,0.0,0.0
1617,0.00013638146317264597,1.556741900848075e-06,0.0,0.0
