ngram,difficulty,diffculty,difficuty,diffulty
1500,4.1479215724393725e-06,0.0,0.0,0.0
1501,3.318337257951498e-06,0.0,0.0,0.0
1502,2.26206078271692e-05,0.0,0.0,0.0
1503,8.186176169796713e-05,0.0,0.0,0.0
1504,9.636013926085849e-05,0.0,0.0,0.0
1505,9.52411891635815e-05,0.0,0.0,0.0
1506,9.52411891635815e-05,0.0,0.0,0.0
1507,9.52411891635815e-05,0.0,0.0,0.0
1508,9.52411891635815e-05,0.0,0.0,0.0
1509,7.82223376388304e-05,0.0,0.0,0.0
1510,1.5749668364151148e-05,0.0,0.0,0.0
1511,3.156638480764481e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,7.427189952328003e-06,0.0,0.0,0.0
1515,7.427189952328003e-06,0.0,0.0,0.0
1516,7.427189952328003e-06,0.0,0.0,0.0
1517,9.552297082596592e-06,0.0,0.0,0.0
1518,9.552297082596592e-06,0.0,0.0,0.0
1519,9.552297082596592e-06,0.0,0.0,0.0
1520,1.372305658670874e-05,0.0,0.0,0.0
1521,6.295866634380738e-06,0.0,0.0,0.0
1522,1.2643380354607611e-05,0.0,0.0,0.0
1523,2.866055079461408e-05,0.0,0.0,0.0
1524,2.6535443664345492e-05,0.0,0.0,0.0
1525,2.6535443664345492e-05,0.0,0.0,0.0
1526,3.6705835425112e-05,0.0,0.0,0.0
1527,3.2535075920999846e-05,0.0,0.0,0.0
1528,3.2535075920999846e-05,0.0,0.0,0.0
1529,2.6187562200772974e-05,0.0,0.0,0.0
1530,1.0170391760766506e-05,0.0,0.0,0.0
1531,1.0170391760766506e-05,0.0,0.0,0.0
1532,1.5581390990908922e-05,0.0,0.0,0.0
1533,5.410999230142417e-06,0.0,0.0,0.0
1534,8.219940614903212e-06,0.0,0.0,0.0
1535,1.537362212340148e-05,0.0,0.0,0.0
1536,1.537362212340148e-05,0.0,0.0,0.0
1537,1.537362212340148e-05,0.0,0.0,0.0
1538,1.537362212340148e-05,0.0,0.0,0.0
1539,9.962622893259063e-06,0.0,0.0,0.0
1540,9.962622893259063e-06,0.0,0.0,0.0
1541,7.153681508498266e-06,0.0,0.0,0.0
1542,9.027878279864257e-06,0.0,0.0,0.0
1543,9.027878279864257e-06,0.0,0.0,0.0
1544,1.4592075396129595e-05,0.0,0.0,0.0
1545,1.4592075396129595e-05,0.0,0.0,0.0
1546,1.4592075396129595e-05,0.0,0.0,0.0
1547,1.4592075396129595e-05,0.0,0.0,0.0
1548,1.7861736653555583e-05,0.0,0.0,0.0
1549,8.833858373691328e-06,0.0,0.0,0.0
1550,1.4777661428005168e-05,0.0,0.0,0.0
1551,9.21346431173983e-06,0.0,0.0,0.0
1552,1.6424574433975586e-05,0.0,0.0,0.0
1553,1.6424574433975586e-05,0.0,0.0,0.0
1554,1.6424574433975586e-05,0.0,0.0,0.0
1555,1.3154913176549599e-05,0.0,0.0,0.0
1556,2.0441047256878975e-05,0.0,0.0,0.0
1557,1.4497244202565135e-05,0.0,0.0,0.0
1558,2.063568224132593e-05,0.0,0.0,0.0
1559,1.3424572119090175e-05,0.0,0.0,0.0
1560,2.0154925940525053e-05,0.0,0.0,0.0
1561,2.0154925940525053e-05,0.0,0.0,0.0
1562,2.0154925940525053e-05,0.0,0.0,0.0
1563,1.3778035281575285e-05,0.0,0.0,0.0
1564,1.3778035281575285e-05,0.0,0.0,0.0
1565,1.0674999170337937e-05,0.0,0.0,0.0
1566,1.0674999170337937e-05,0.0,0.0,0.0
1567,3.9446453489030575e-06,0.0,0.0,0.0
1568,3.9446453489030575e-06,0.0,0.0,0.0
1569,9.886287963516744e-06,0.0,0.0,0.0
1570,8.977044542137134e-06,0.0,0.0,0.0
1571,2.8591857959067317e-05,0.0,0.0,0.0
1572,2.607641681606765e-05,0.0,0.0,0.0
1573,2.607641681606765e-05,0.0,0.0,0.0
1574,2.6621128362031804e-05,0.0,0.0,0.0
