ngram,doctor,doctr,dctor,doctoor
1500,2.64539067984515e-06,0.0,0.0,0.0
1501,2.11631254387612e-06,0.0,0.0,0.0
1502,1.9393046386539936e-06,0.0,0.0,0.0
1503,1.6622611188462803e-06,0.0,0.0,0.0
1504,1.2612781249897255e-06,0.0,0.0,0.0
1505,2.360256303290953e-06,0.0,0.0,0.0
1506,2.360256303290953e-06,0.0,0.0,0.0
1507,2.360256303290953e-06,0.0,0.0,0.0
1508,2.360256303290953e-06,0.0,0.0,0.0
1509,2.209647001499044e-06,0.0,0.0,0.0
1510,2.209647001499044e-06,0.0,0.0,0.0
1511,2.209647001499044e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,0.0,0.0,0.0
1515,2.2852891561342403e-06,0.0,0.0,0.0
1516,2.2852891561342403e-06,0.0,0.0,0.0
1517,6.004226504176456e-06,0.0,0.0,0.0
1518,6.004226504176456e-06,0.0,0.0,0.0
1519,6.004226504176456e-06,0.0,0.0,0.0
1520,8.089606256232531e-06,0.0,0.0,0.0
1521,5.80431710009829e-06,0.0,0.0,0.0
1522,5.80431710009829e-06,0.0,0.0,0.0
1523,6.420362102029945e-06,0.0,0.0,0.0
1524,2.7014247539877293e-06,0.0,0.0,0.0
1525,2.7014247539877293e-06,0.0,0.0,0.0
1526,2.7014247539877293e-06,0.0,0.0,0.0
1527,6.160450019316548e-07,0.0,0.0,0.0
1528,6.160450019316548e-07,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,7.289485048594153e-07,0.0,0.0,0.0
1531,7.289485048594153e-07,0.0,0.0,0.0
1532,7.289485048594153e-07,0.0,0.0,0.0
1533,7.289485048594153e-07,0.0,0.0,0.0
1534,7.289485048594153e-07,0.0,0.0,0.0
1535,7.5061205149852735e-06,0.0,0.0,0.0
1536,7.5061205149852735e-06,0.0,0.0,0.0
1537,6.777172010125858e-06,0.0,0.0,0.0
1538,9.95361058033138e-06,0.0,0.0,0.0
1539,9.95361058033138e-06,0.0,0.0,0.0
1540,9.95361058033138e-06,0.0,0.0,0.0
1541,9.95361058033138e-06,0.0,0.0,0.0
1542,3.1764385702055212e-06,0.0,0.0,0.0
1543,3.1764385702055212e-06,0.0,0.0,0.0
1544,4.428382843408534e-06,0.0,0.0,0.0
1545,7.682026599858155e-06,0.0,0.0,0.0
1546,1.0199382424096776e-05,0.0,0.0,0.0
1547,1.3476523625805775e-05,0.0,0.0,0.0
1548,1.3773765561251952e-05,0.0,0.0,0.0
1549,1.3773765561251952e-05,0.0,0.0,0.0
1550,1.4314111272791966e-05,0.0,0.0,0.0
1551,1.778456128574492e-05,0.0,0.0,0.0
1552,1.1354478959089778e-05,0.0,0.0,0.0
1553,8.837123134851157e-06,0.0,0.0,0.0
1554,5.559981933142158e-06,0.0,0.0,0.0
1555,5.863725001680515e-06,0.0,0.0,0.0
1556,5.863725001680515e-06,0.0,0.0,0.0
1557,5.3233792901405e-06,0.0,0.0,0.0
1558,1.9650823170585293e-06,0.0,0.0,0.0
1559,1.9650823170585293e-06,0.0,0.0,0.0
1560,1.0490197122895292e-05,0.0,0.0,0.0
1561,1.0490197122895292e-05,0.0,0.0,0.0
1562,9.889212118910759e-06,0.0,0.0,0.0
1563,9.889212118910759e-06,0.0,0.0,0.0
1564,9.889212118910759e-06,0.0,0.0,0.0
1565,8.525114805836762e-06,0.0,0.0,0.0
1566,1.2332455818458194e-05,0.0,0.0,0.0
1567,3.8073410126214313e-06,0.0,0.0,0.0
1568,3.8073410126214313e-06,0.0,0.0,0.0
1569,7.520867646754985e-06,0.0,0.0,0.0
1570,7.520867646754985e-06,0.0,0.0,0.0
1571,9.972719323871257e-06,0.0,0.0,0.0
1572,2.609150370907238e-05,0.0,0.0,0.0
1573,2.228416269645095e-05,0.0,0.0,0.0
1574,2.228416269645095e-05,0.0,0.0,0.0
1575,2.228416269645095e-05,0.0,0.0,0.0
1576,1.8570636062317396e-05,0.0,0.0,0.0
1577,4.1533920011715963e-05,0.0,0.0,0.0
1578,3.9804807654166196e-05,0.0,0.0,0.0
1579,2.6273042489525062e-05,0.0,0.0,0.0
