ngram,examination,examinaton,examinatin,examinatin
1500,3.601837488531601e-05,0.0,0.0,0.0
1501,2.8814699908252807e-05,0.0,0.0,0.0
1502,4.509755308390595e-05,0.0,0.0,0.0
1503,3.8655045500490814e-05,0.0,0.0,0.0
1504,5.089378308704389e-05,0.0,0.0,0.0
1505,7.06856163950371e-05,0.0,0.0,0.0
1506,7.06856163950371e-05,0.0,0.0,0.0
1507,7.06856163950371e-05,0.0,0.0,0.0
1508,7.06856163950371e-05,0.0,0.0,0.0
1509,5.261249940044114e-05,0.0,0.0,0.0
1510,5.261249940044114e-05,0.0,0.0,0.0
1511,3.409169481268951e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,7.803627080907713e-06,0.0,0.0,0.0
1518,7.803627080907713e-06,0.0,0.0,0.0
1519,7.803627080907713e-06,0.0,0.0,0.0
1520,1.0186918188992422e-05,0.0,0.0,0.0
1521,8.758612498890475e-06,0.0,0.0,0.0
1522,8.758612498890475e-06,0.0,0.0,0.0
1523,1.92313774667647e-05,0.0,0.0,0.0
1524,1.2856056075958935e-05,0.0,0.0,0.0
1525,1.2856056075958935e-05,0.0,0.0,0.0
1526,1.6669952986246373e-05,0.0,0.0,0.0
1527,7.233507494674996e-05,0.0,0.0,0.0
1528,7.233507494674996e-05,0.0,0.0,0.0
1529,7.233507494674996e-05,0.0,0.0,0.0
1530,6.332020698859456e-05,0.0,0.0,0.0
1531,6.332020698859456e-05,0.0,0.0,0.0
1532,7.278945525156035e-05,0.0,0.0,0.0
1533,6.897555834127291e-05,0.0,0.0,0.0
1534,1.794949886451442e-05,0.0,0.0,0.0
1535,4.317563889344456e-05,0.0,0.0,0.0
1536,5.346271934415979e-05,0.0,0.0,0.0
1537,5.200482233444096e-05,0.0,0.0,0.0
1538,5.200482233444096e-05,0.0,0.0,0.0
1539,7.49099079777287e-05,0.0,0.0,0.0
1540,7.49099079777287e-05,0.0,0.0,0.0
1541,6.78875543858989e-05,0.0,0.0,0.0
1542,5.168929263683302e-05,0.0,0.0,0.0
1543,4.140221218611779e-05,0.0,0.0,0.0
1544,4.4184310744250456e-05,0.0,0.0,0.0
1545,4.4452230846608085e-05,0.0,0.0,0.0
1546,1.319672172225442e-05,0.0,0.0,0.0
1547,1.319672172225442e-05,0.0,0.0,0.0
1548,3.3111932404088816e-05,0.0,0.0,0.0
1549,2.6509369604355015e-05,0.0,0.0,0.0
1550,3.245317265866886e-05,0.0,0.0,0.0
