ngram,factor,facor,fator,fctr
1500,1.4269276107370388e-05,0.0,0.0,0.0
1501,1.141542088589631e-05,0.0,0.0,0.0
1502,1.5487019481952302e-05,0.0,0.0,0.0
1503,2.219925486964972e-05,0.0,0.0,0.0
1504,2.5712234284063535e-05,0.0,0.0,0.0
1505,2.488410427758936e-05,0.0,0.0,0.0
1506,2.488410427758936e-05,0.0,0.0,0.0
1507,2.488410427758936e-05,0.0,0.0,0.0
1508,2.488410427758936e-05,0.0,0.0,0.0
1509,1.9763388211556177e-05,0.0,0.0,0.0
1510,1.0838721469294147e-05,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.427933864129175e-06,0.0,0.0,0.0
1515,3.427933864129175e-06,0.0,0.0,0.0
1516,3.427933864129175e-06,0.0,0.0,0.0
1517,6.615594559532058e-06,0.0,0.0,0.0
1518,6.615594559532058e-06,0.0,0.0,0.0
1519,6.615594559532058e-06,0.0,0.0,0.0
1520,6.615594559532058e-06,0.0,0.0,0.0
1521,3.187660695402883e-06,0.0,0.0,0.0
1522,3.187660695402883e-06,0.0,0.0,0.0
1523,1.7972741261473857e-05,0.0,0.0,0.0
1524,1.4785080566070974e-05,0.0,0.0,0.0
1525,1.4785080566070974e-05,0.0,0.0,0.0
1526,4.9745803283128354e-05,0.0,0.0,0.0
1527,4.9745803283128354e-05,0.0,0.0,0.0
1528,5.9152895119041204e-05,0.0,0.0,0.0
1529,5.9152895119041204e-05,0.0,0.0,0.0
1530,4.436781455297023e-05,0.0,0.0,0.0
1531,4.436781455297023e-05,0.0,0.0,0.0
1532,0.0001345511305511796,0.0,0.0,0.0
1533,9.959040783412223e-05,0.0,0.0,0.0
1534,9.959040783412223e-05,0.0,0.0,0.0
1535,9.055982556154569e-05,0.0,0.0,0.0
1536,9.055982556154569e-05,0.0,0.0,0.0
1537,9.055982556154569e-05,0.0,0.0,0.0
1538,9.055982556154569e-05,0.0,0.0,0.0
1539,2.1959398834172005e-05,0.0,0.0,0.0
1540,2.1959398834172005e-05,0.0,0.0,0.0
1541,2.1959398834172005e-05,0.0,0.0,0.0
1542,2.1582889270835688e-05,0.0,0.0,0.0
1543,2.1582889270835688e-05,0.0,0.0,0.0
1544,2.2278413910368856e-05,0.0,0.0,0.0
1545,2.254633401272648e-05,0.0,0.0,0.0
1546,1.2431509373657588e-06,0.0,0.0,0.0
1547,1.2431509373657588e-06,0.0,0.0,0.0
1548,3.621086420935171e-06,0.0,0.0,0.0
