ngram,fishing,fshing,fiishing,fishng
1500,5.093082734219934e-06,0.0,0.0,0.0
1501,4.074466187375947e-06,0.0,0.0,0.0
1502,6.73389464130499e-06,0.0,0.0,0.0
1503,5.771909692547135e-06,0.0,0.0,0.0
1504,5.6382486945949495e-06,0.0,0.0,0.0
1505,1.2647155537186855e-05,0.0,0.0,0.0
1506,1.2647155537186855e-05,0.0,0.0,0.0
1507,1.2647155537186855e-05,0.0,0.0,0.0
1508,1.2647155537186855e-05,0.0,0.0,0.0
1509,9.78557883562254e-06,0.0,0.0,0.0
1510,9.78557883562254e-06,0.0,0.0,0.0
1511,9.78557883562254e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,2.8566114451678004e-07,0.0,0.0,0.0
1518,2.8566114451678004e-07,0.0,0.0,0.0
1519,2.8566114451678004e-07,0.0,0.0,0.0
1520,5.648066332599098e-06,0.0,0.0,0.0
1521,5.362405188082318e-06,0.0,0.0,0.0
1522,1.4883675508566999e-05,0.0,0.0,0.0
1523,1.5499720510498654e-05,0.0,0.0,0.0
1524,1.5499720510498654e-05,0.0,0.0,0.0
1525,1.5499720510498654e-05,0.0,0.0,0.0
1526,1.5499720510498654e-05,0.0,0.0,0.0
1527,1.0137315322416335e-05,0.0,0.0,0.0
1528,2.2680104783440974e-05,0.0,0.0,0.0
1529,1.3158834462956293e-05,0.0,0.0,0.0
1530,1.2542789461024637e-05,0.0,0.0,0.0
1531,1.2542789461024637e-05,0.0,0.0,0.0
1532,1.2993706052709189e-05,0.0,0.0,0.0
1533,1.2993706052709189e-05,0.0,0.0,0.0
1534,1.5802647437469985e-05,0.0,0.0,0.0
1535,5.89542498476346e-06,0.0,0.0,0.0
1536,5.89542498476346e-06,0.0,0.0,0.0
1537,5.89542498476346e-06,0.0,0.0,0.0
1538,5.89542498476346e-06,0.0,0.0,0.0
1539,5.444508393078909e-06,0.0,0.0,0.0
1540,5.444508393078909e-06,0.0,0.0,0.0
1541,2.6355670083181134e-06,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.112839397267505e-06,0.0,0.0,0.0
1545,2.184519806697998e-06,0.0,0.0,0.0
1546,4.981581891375494e-06,0.0,0.0,0.0
1547,4.981581891375494e-06,0.0,0.0,0.0
1548,1.033193653451495e-05,0.0,0.0,0.0
1549,1.033193653451495e-05,0.0,0.0,0.0
1550,1.73564308170171e-05,0.0,0.0,0.0
1551,1.6243591419749593e-05,0.0,0.0,0.0
1552,2.5267465389333665e-05,0.0,0.0,0.0
1553,2.2470403304656168e-05,0.0,0.0,0.0
1554,2.2470403304656168e-05,0.0,0.0,0.0
1555,2.1326943689408446e-05,0.0,0.0,0.0
1556,2.1326943689408446e-05,0.0,0.0,0.0
1557,1.4302449406906298e-05,0.0,0.0,0.0
1558,1.77126928195191e-05,0.0,0.0,0.0
1559,1.2774808055837639e-05,0.0,0.0,0.0
1560,1.2774808055837639e-05,0.0,0.0,0.0
1561,1.2774808055837639e-05,0.0,0.0,0.0
1562,8.567913027945906e-06,0.0,0.0,0.0
1563,9.02253473863571e-06,0.0,0.0,0.0
1564,9.02253473863571e-06,0.0,0.0,0.0
