ngram,football,fotball,footbal,foootball
1500,2.429588050745224e-07,0.0,0.0,0.0
1501,1.9436704405961792e-07,0.0,0.0,0.0
1502,5.13394240897469e-07,0.0,0.0,0.0
1503,4.4005220648354483e-07,0.0,0.0,0.0
1504,4.4005220648354483e-07,0.0,0.0,0.0
1505,3.012186035838178e-07,0.0,0.0,0.0
1506,3.012186035838178e-07,0.0,0.0,0.0
1507,3.012186035838178e-07,0.0,0.0,0.0
1508,3.012186035838178e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0
1521,0.0,0.0,0.0,0.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.391049246584381e-07,0.0,0.0,0.0
1545,1.391049246584381e-07,0.0,0.0,0.0
1546,1.391049246584381e-07,0.0,0.0,0.0
1547,1.391049246584381e-07,0.0,0.0,0.0
1548,1.3280726664431443e-06,0.0,0.0,0.0
1549,1.3280726664431443e-06,0.0,0.0,0.0
1550,1.3280726664431443e-06,0.0,0.0,0.0
1551,1.188967741784706e-06,0.0,0.0,0.0
1552,1.188967741784706e-06,0.0,0.0,0.0
1553,1.188967741784706e-06,0.0,0.0,0.0
1554,1.188967741784706e-06,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,9.092434213796099e-07,0.0,0.0,0.0
1564,9.092434213796099e-07,0.0,0.0,0.0
1565,9.092434213796099e-07,0.0,0.0,0.0
1566,9.092434213796099e-07,0.0,0.0,0.0
1567,9.092434213796099e-07,0.0,0.0,0.0
1568,9.092434213796099e-07,0.0,0.0,0.0
1569,9.092434213796099e-07,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,6.467548051399977e-07,0.0
1580,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1581,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1582,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1583,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1584,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1585,2.9713825954656514e-06,0.0,6.467548051399977e-07,0.0
1586,2.9713825954656514e-06,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,0.0,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,8.931069065251254e-07,0.0,0.0,0.0
1594,8.931069065251254e-07,0.0,0.0,0.0
1595,8.931069065251254e-07,0.0,0.0,0.0
1596,8.931069065251254e-07,0.0,0.0,0.0
1597,8.931069065251254e-07,0.0,0.0,0.0
1598,8.931069065251254e-07,0.0,0.0,0.0
1599,8.931069065251254e-07,0.0,0.0,0.0
1600,1.0650608471353604e-07,0.0,0.0,0.0
1601,1.0650608471353604e-07,0.0,0.0,0.0
1602,2.1090680287930548e-07,0.0,0.0,0.0
1603,2.1090680287930548e-07,0.0,0.0,0.0
1604,2.1090680287930548e-07,0.0,0.0,0.0
1605,2.1090680287930548e-07,0.0,0.0,0.0
1606,2.1090680287930548e-07,0.0,0.0,0.0
1607,1.0440071816576944e-07,0.0,0.0,0.0
1608,1.0440071816576944e-07,0.0,0.0,0.0
1609,1.886739775207908e-07,0.0,0.0,0.0
1610,1.886739775207908e-07,0.0,0.0,0.0
1611,2.9108625605139035e-07,0.0,0.0,0.0
1612,2.9108625605139035e-07,0.0,0.0,0.0
1613,2.9108625605139035e-07,0.0,0.0,0.0
