ngram,freedom,fedom,fredom,freddom
1500,1.4305966828942474e-06,0.0,0.0,0.0
1501,1.1444773463153978e-06,0.0,0.0,0.0
1502,1.305152826110619e-06,0.0,0.0,0.0
1503,1.1187024223805305e-06,0.0,0.0,0.0
1504,7.177194285239758e-07,0.0,0.0,0.0
1505,9.32546299736714e-07,0.0,0.0,0.0
1506,9.32546299736714e-07,0.0,0.0,0.0
1507,9.32546299736714e-07,0.0,0.0,0.0
1508,9.32546299736714e-07,0.0,0.0,0.0
1509,6.313276961528962e-07,0.0,0.0,0.0
1510,6.313276961528962e-07,0.0,0.0,0.0
1511,6.313276961528962e-07,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,0.0
1515,5.713222890335601e-07,0.0,0.0,0.0
1516,5.713222890335601e-07,0.0,0.0,0.0
1517,3.758982984436443e-06,0.0,0.0,0.0
1518,3.758982984436443e-06,0.0,0.0,0.0
1519,3.758982984436443e-06,0.0,0.0,0.0
1520,8.823476686562312e-06,0.0,0.0,0.0
1521,8.252154397528752e-06,0.0,0.0,0.0
1522,8.252154397528752e-06,0.0,0.0,0.0
1523,1.5644694680564237e-05,0.0,0.0,0.0
1524,1.2457033985161356e-05,0.0,0.0,0.0
1525,1.2457033985161356e-05,0.0,0.0,0.0
1526,2.3898724716023674e-05,0.0,0.0,0.0
1527,1.8834231013897806e-05,0.0,0.0,0.0
1528,1.8834231013897806e-05,0.0,0.0,0.0
1529,1.8834231013897806e-05,0.0,0.0,0.0
1530,1.144169073086232e-05,0.0,1.4578970097188306e-06,0.0
1531,2.8676234900818338e-05,0.0,1.4578970097188306e-06,0.0
1532,3.228356763429474e-05,0.0,1.4578970097188306e-06,0.0
1533,2.084187690343242e-05,0.0,1.4578970097188306e-06,0.0
1534,2.084187690343242e-05,0.0,1.4578970097188306e-06,0.0
1535,2.084187690343242e-05,0.0,1.4578970097188306e-06,0.0
1536,2.084187690343242e-05,0.0,1.4578970097188306e-06,0.0
1537,2.084187690343242e-05,0.0,0.0,0.0
1538,3.6073327334764016e-06,0.0,0.0,0.0
1539,8.301111457902672e-07,0.0,0.0,0.0
1540,8.301111457902672e-07,0.0,0.0,0.0
1541,8.301111457902672e-07,0.0,0.0,0.0
1542,8.353342699202975e-06,0.0,0.0,0.0
