ngram,fun,fn,funn,fuun
1500,1.4844267468561156e-06,0.0,0.0,0.0
1501,1.1875413974848925e-06,0.0,0.0,0.0
1502,9.896178312374104e-07,0.0,0.0,0.0
1503,8.482438553463518e-07,0.0,0.0,0.0
1504,4.627786763324236e-08,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,7.602423595796738e-06,0.0
1507,0.0,0.0,7.602423595796738e-06,0.0
1508,0.0,0.0,7.602423595796738e-06,0.0
1509,0.0,0.0,7.602423595796738e-06,0.0
1510,0.0,0.0,7.602423595796738e-06,0.0
1511,0.0,0.0,7.602423595796738e-06,0.0
1512,0.0,0.0,7.602423595796738e-06,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,8.291881710777358e-07,0.0,0.0,0.0
1521,8.291881710777358e-07,0.0,0.0,0.0
1522,8.291881710777358e-07,0.0,0.0,0.0
1523,1.4452331730093907e-06,0.0,0.0,0.0
1524,2.9786344839521917e-06,0.0,0.0,0.0
1525,2.9786344839521917e-06,5.271481183756675e-05,0.0,0.0
1526,2.9786344839521917e-06,5.271481183756675e-05,0.0,0.0
1527,2.6807230954416028e-06,5.271481183756675e-05,0.0,0.0
1528,2.6807230954416028e-06,5.271481183756675e-05,0.0,0.0
1529,2.6807230954416028e-06,5.271481183756675e-05,0.0,0.0
1530,2.064678093509948e-06,5.271481183756675e-05,0.0,0.0
1531,0.0,5.271481183756675e-05,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,1.4044706923803979e-06,0.0,0.0,0.0
1535,1.4044706923803979e-06,0.0,0.0,0.0
1536,1.4044706923803979e-06,0.0,0.0,0.0
1537,1.4044706923803979e-06,0.0,0.0,0.0
1538,1.4044706923803979e-06,0.0,0.0,0.0
1539,1.4044706923803979e-06,0.0,0.0,0.0
1540,1.4044706923803979e-06,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,3.009292673336209e-06,0.0,0.0,0.0
1543,3.009292673336209e-06,0.0,0.0,0.0
1544,3.009292673336209e-06,1.391049246584381e-07,0.0,0.0
1545,3.009292673336209e-06,4.0702502701606136e-07,0.0,0.0
1546,3.009292673336209e-06,4.0702502701606136e-07,0.0,0.0
1547,3.009292673336209e-06,4.0702502701606136e-07,0.0,0.0
1548,3.009292673336209e-06,4.0702502701606136e-07,0.0,0.0
1549,0.0,4.0702502701606136e-07,0.0,0.0
1550,0.0,4.0702502701606136e-07,0.0,0.0
1551,2.361197143077983e-06,2.6291172454356067e-06,0.0,0.0
1552,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1553,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1554,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1555,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1556,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1557,2.361197143077983e-06,2.361197143077983e-06,0.0,0.0
1558,6.820486565369979e-07,0.0,0.0,0.0
1559,6.820486565369979e-07,0.0,0.0,0.0
1560,1.57942914873794e-06,0.0,0.0,0.0
1561,1.57942914873794e-06,0.0,0.0,0.0
1562,1.57942914873794e-06,1.7777145850621828e-06,0.0,0.0
1563,1.57942914873794e-06,1.7777145850621828e-06,0.0,0.0
1564,1.57942914873794e-06,1.7777145850621828e-06,0.0,0.0
1565,2.920981777216574e-06,1.7777145850621828e-06,0.0,0.0
1566,2.920981777216574e-06,1.7777145850621828e-06,0.0,0.0
1567,2.023601285015632e-06,2.460111902889496e-06,0.0,0.0
1568,2.023601285015632e-06,2.460111902889496e-06,0.0,0.0
1569,2.023601285015632e-06,6.823973178273133e-07,0.0,0.0
1570,3.5346135648848886e-06,6.823973178273133e-07,0.0,0.0
1571,3.5346135648848886e-06,6.823973178273133e-07,0.0,0.0
1572,1.5110122798692567e-06,1.2023581023510945e-06,0.0,0.0
1573,1.5110122798692567e-06,1.2023581023510945e-06,0.0,0.0
1574,2.055723825833411e-06,5.199607845237811e-07,0.0,0.0
1575,2.055723825833411e-06,5.199607845237811e-07,0.0,0.0
1576,2.5064042737150364e-06,1.4213216802870323e-06,0.0,0.0
1577,9.953919938457797e-07,1.4213216802870323e-06,0.0,0.0
1578,1.2363051057816068e-06,2.1440609998535365e-06,0.0,0.0
1579,2.529814716061602e-06,1.6241002153297553e-06,0.0,0.0
1580,3.5202755595621838e-06,1.6241002153297553e-06,0.0,0.0
1581,4.162178762661435e-06,1.6241002153297553e-06,0.0,0.0
1582,4.5811601369548176e-06,2.8810443706918576e-06,0.0,0.0
1583,4.6111022941529105e-06,1.9796834749286063e-06,0.0,0.0
1584,6.4093254650288145e-06,1.9796834749286063e-06,0.0,0.0
1585,8.810465617768517e-06,1.256944155362102e-06,1.887180880138268e-07,0.0
1586,7.516956007488521e-06,1.256944155362102e-06,1.887180880138268e-07,0.0
1587,6.52649516398794e-06,1.256944155362102e-06,1.887180880138268e-07,0.0
1588,6.67889204513423e-06,1.256944155362102e-06,1.887180880138268e-07,0.0
1589,6.446637144108536e-06,0.0,1.887180880138268e-07,0.0
1590,9.605673572618148e-06,0.0,1.887180880138268e-07,0.0
1591,9.939718113725706e-06,0.0,1.887180880138268e-07,0.0
1592,1.0879495610944495e-05,0.0,0.0,0.0
1593,1.3335539538924682e-05,6.698301798938441e-07,0.0,0.0
1594,1.6520539572541437e-05,8.374617631748801e-07,0.0,0.0
1595,1.8787904666948763e-05,1.288258853752008e-06,4.5079709057712793e-07,0.0
1596,1.9022014644828493e-05,1.288258853752008e-06,4.5079709057712793e-07,0.0
1597,1.7440411154114243e-05,1.409320946420069e-06,4.5079709057712793e-07,0.0
1598,1.530814344213078e-05,1.4977887790986903e-06,4.5079709057712793e-07,0.0
1599,1.2315868454087259e-05,1.6156999273724587e-06,5.687082388508966e-07,0.0
1600,1.0072836695534143e-05,1.1588819169056869e-06,5.687082388508966e-07,0.0
1601,8.059779832235239e-06,1.5772219187835747e-06,5.687082388508966e-07,0.0
1602,4.8710059802812926e-06,1.3352262645379857e-06,1.0575175955247168e-06,0.0
