ngram,gear,ger,gear,ggear
1500,5.669038500855095e-07,1.6197253671634826e-07,5.669038500855095e-07,0.0
1501,4.535230800684076e-07,1.295780293730786e-07,4.535230800684076e-07,0.0
1502,5.536467521475666e-07,1.0798169114423217e-07,5.536467521475666e-07,0.0
1503,4.745543589836286e-07,9.255573526648472e-08,4.745543589836286e-07,0.0
1504,4.745543589836286e-07,9.255573526648472e-08,4.745543589836286e-07,0.0
1505,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1506,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1507,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1508,1.506093017919089e-07,0.0,1.506093017919089e-07,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1515,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1516,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1517,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1518,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1519,2.8566114451678004e-07,0.0,2.8566114451678004e-07,0.0
1520,5.835725330273687e-07,5.958227770211774e-07,5.835725330273687e-07,0.0
1521,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1522,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1523,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1524,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1525,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1526,2.979113885105887e-07,5.958227770211774e-07,2.979113885105887e-07,0.0
1527,0.0,0.0,0.0,0.0
1528,0.0,0.0,0.0,0.0
1529,0.0,0.0,0.0,0.0
1530,0.0,1.4578970097188306e-06,0.0,0.0
1531,0.0,1.4578970097188306e-06,0.0,0.0
1532,9.018331833691004e-07,1.4578970097188306e-06,9.018331833691004e-07,0.0
1533,9.018331833691004e-07,1.4578970097188306e-06,9.018331833691004e-07,0.0
1534,3.7107745681298965e-06,1.4578970097188306e-06,3.7107745681298965e-06,0.0
1535,5.216812821475157e-06,1.4578970097188306e-06,5.216812821475157e-06,0.0
1536,5.216812821475157e-06,1.905161395500597e-06,5.216812821475157e-06,0.0
1537,5.216812821475157e-06,4.4726438578176643e-07,5.216812821475157e-06,0.0
1538,5.216812821475157e-06,4.4726438578176643e-07,5.216812821475157e-06,0.0
1539,0.0001396230945829302,4.4726438578176643e-07,0.0001396230945829302,0.0
1540,0.0001396230945829302,4.4726438578176643e-07,0.0001396230945829302,0.0
1541,0.00013681415319816942,4.4726438578176643e-07,0.00013681415319816942,0.0
1542,0.00013530811494482414,4.4726438578176643e-07,0.00013530811494482414,0.0
1543,0.00013530811494482414,0.0,0.00013530811494482414,0.0
1544,0.00013544721986948258,2.782098493168762e-07,0.00013544721986948258,0.0
1545,0.00013544721986948258,2.782098493168762e-07,0.00013544721986948258,0.0
1546,1.391049246584381e-07,2.782098493168762e-07,1.391049246584381e-07,0.0
1547,1.391049246584381e-07,3.555351051025874e-06,1.391049246584381e-07,0.0
1548,1.0308306985150142e-06,3.555351051025874e-06,1.0308306985150142e-06,0.0
1549,1.0308306985150142e-06,3.555351051025874e-06,1.0308306985150142e-06,0.0
1550,1.0308306985150142e-06,3.555351051025874e-06,1.0308306985150142e-06,0.0
1551,8.91725773856576e-07,3.277141201708998e-06,8.91725773856576e-07,0.0
1552,8.91725773856576e-07,3.277141201708998e-06,8.91725773856576e-07,0.0
1553,8.91725773856576e-07,3.277141201708998e-06,8.91725773856576e-07,0.0
1554,8.91725773856576e-07,0.0,8.91725773856576e-07,0.0
1555,0.0,6.009850039845333e-07,0.0,0.0
1556,0.0,6.009850039845333e-07,0.0,0.0
1557,0.0,9.945993172420589e-06,0.0,0.0
1558,0.0,9.945993172420589e-06,0.0,0.0
1559,8.596116718503513e-06,9.945993172420589e-06,8.596116718503513e-06,0.0
1560,8.596116718503513e-06,9.945993172420589e-06,8.596116718503513e-06,0.0
1561,8.596116718503513e-06,9.945993172420589e-06,8.596116718503513e-06,0.0
1562,8.596116718503513e-06,9.345008168436055e-06,8.596116718503513e-06,0.0
1563,8.596116718503513e-06,9.345008168436055e-06,8.596116718503513e-06,0.0
1564,8.596116718503513e-06,0.0,8.596116718503513e-06,0.0
1565,8.596116718503513e-06,0.0,8.596116718503513e-06,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,3.4119865241726596e-06,0.0,0.0
1568,0.0,3.4119865241726596e-06,0.0,0.0
1569,0.0,3.4119865241726596e-06,0.0,0.0
1570,1.5110122798692567e-06,3.4119865241726596e-06,1.5110122798692567e-06,0.0
1571,1.5110122798692567e-06,3.4119865241726596e-06,1.5110122798692567e-06,0.0
1572,1.0870306271369503e-05,4.451908093220222e-06,1.0870306271369503e-05,0.0
1573,1.0870306271369503e-05,5.7103174445468796e-06,1.0870306271369503e-05,0.0
1574,1.1415017817333656e-05,5.5666001311952385e-06,1.1415017817333656e-05,0.0
1575,1.1415017817333656e-05,5.5666001311952385e-06,1.1415017817333656e-05,0.0
1576,1.1415017817333656e-05,6.017280579076864e-06,1.1415017817333656e-05,0.0
1577,9.9040055374644e-06,6.017280579076864e-06,9.9040055374644e-06,0.0
1578,9.9040055374644e-06,6.258193691012691e-06,9.9040055374644e-06,0.0
1579,5.447115459641541e-07,5.865026927105126e-06,5.447115459641541e-07,0.0
1580,5.447115459641541e-07,4.606617575778468e-06,5.447115459641541e-07,0.0
1581,0.0,1.9316557394891528e-06,0.0,0.0
1582,0.0,3.188599894851255e-06,0.0,0.0
1583,0.0,2.737919446969629e-06,0.0,0.0
1584,0.0,2.737919446969629e-06,0.0,0.0
1585,0.0,2.8744425110614557e-06,0.0,0.0
1586,0.0,2.2276877059214584e-06,0.0,0.0
1587,0.0,2.2276877059214584e-06,0.0,0.0
1588,0.0,4.312403591809146e-06,0.0,0.0
1589,5.601794198030672e-07,3.0554594364470437e-06,5.601794198030672e-07,0.0
1590,5.601794198030672e-07,3.0554594364470437e-06,5.601794198030672e-07,0.0
1591,1.0932463477989325e-06,4.121593292438774e-06,1.0932463477989325e-06,0.0
1592,2.2871899350970385e-06,3.744157116411121e-06,2.2871899350970385e-06,0.0
1593,2.9570201149908826e-06,3.967433843042402e-06,2.9570201149908826e-06,0.0
1594,3.2922832815529546e-06,4.302697009604474e-06,3.2922832815529546e-06,0.0
1595,3.7430803721300824e-06,2.52626793033934e-06,3.7430803721300824e-06,0.0
1596,3.1829009523270154e-06,2.7366861559130484e-06,3.1829009523270154e-06,0.0
1597,3.1829009523270154e-06,3.5841208370714284e-06,3.1829009523270154e-06,0.0
1598,2.7383018570097713e-06,2.6064548137583188e-06,2.7383018570097713e-06,0.0
1599,1.7801805662592024e-06,2.842277110305856e-06,1.7801805662592024e-06,0.0
1600,1.2168564710788945e-06,3.0450247225287186e-06,1.2168564710788945e-06,0.0
1601,8.815933045168225e-07,6.4209149286398315e-06,8.815933045168225e-07,0.0
1602,4.307962139396945e-07,6.041324322073446e-06,4.307962139396945e-07,0.0
1603,4.307962139396945e-07,8.303566752536945e-06,4.307962139396945e-07,0.0
1604,6.010665336881565e-07,7.626402391127028e-06,6.010665336881565e-07,0.0
1605,5.125987010095352e-07,7.987682124621642e-06,5.125987010095352e-07,0.0
1606,4.3693661869578395e-07,8.152260355538082e-06,4.3693661869578395e-07,0.0
1607,3.304305339822479e-07,8.472733091886247e-06,3.304305339822479e-07,0.0
1608,3.304305339822479e-07,5.959645266427417e-06,3.304305339822479e-07,0.0
1609,3.304305339822479e-07,6.569685589446246e-06,3.304305339822479e-07,0.0
1610,3.304305339822479e-07,4.224473197414877e-06,3.304305339822479e-07,0.0
1611,1.6016021423378595e-07,5.180737965864475e-06,1.6016021423378595e-07,0.0
1612,1.6016021423378595e-07,6.6139954973160845e-06,1.6016021423378595e-07,0.0
1613,0.0,6.53321593193011e-06,0.0,0.0
1614,3.296097474958515e-07,6.445938351719503e-06,3.296097474958515e-07,0.0
1615,7.105530000574487e-07,5.628816057066745e-06,7.105530000574487e-07,0.0
1616,7.105530000574487e-07,5.938470288973414e-06,7.105530000574487e-07,0.0
1617,7.105530000574487e-07,6.305187363458182e-06,7.105530000574487e-07,0.0
1618,7.105530000574487e-07,5.671037959993035e-06,7.105530000574487e-07,0.0
1619,8.230874998714301e-07,4.238170861624115e-06,8.230874998714301e-07,0.0
1620,8.230874998714301e-07,4.82520009167534e-06,8.230874998714301e-07,0.0
1621,4.934777523755786e-07,5.414906516827094e-06,4.934777523755786e-07,0.0
1622,1.1253449981398132e-07,5.456053713714937e-06,1.1253449981398132e-07,0.0
1623,1.1253449981398132e-07,4.5531839662414446e-06,1.1253449981398132e-07,0.0
1624,1.1253449981398132e-07,4.357683012910586e-06,1.1253449981398132e-07,0.0
1625,1.1253449981398132e-07,4.695944231311192e-06,1.1253449981398132e-07,0.0
1626,0.0,4.934671681309867e-06,0.0,0.0
1627,0.0,5.306192211459607e-06,0.0,0.0
1628,0.0,5.367498780677644e-06,0.0,0.0
1629,2.475880397209299e-07,5.935760490111923e-06,2.475880397209299e-07,0.0
1630,2.475880397209299e-07,6.3456711164430346e-06,2.475880397209299e-07,0.0
1631,4.176279974542142e-07,6.783846531886541e-06,4.176279974542142e-07,0.0
1632,4.176279974542142e-07,6.777834836871729e-06,4.176279974542142e-07,0.0
1633,4.176279974542142e-07,7.185711768085769e-06,4.176279974542142e-07,0.0
1634,5.410461605086831e-07,6.4012136980246785e-06,5.410461605086831e-07,0.0
1635,5.410461605086831e-07,6.325776959264269e-06,5.410461605086831e-07,0.0
1636,2.9345812078775323e-07,6.551246542585432e-06,2.9345812078775323e-07,0.0
1637,3.6661824814083435e-07,6.846229715457801e-06,3.6661824814083435e-07,0.0
1638,2.639133275092068e-07,7.32142062328681e-06,2.639133275092068e-07,0.0
1639,4.196537872758199e-07,6.886136556464148e-06,4.196537872758199e-07,0.0
1640,4.196537872758199e-07,7.023090867213406e-06,4.196537872758199e-07,0.0
1641,4.1567979889935357e-07,6.708584481072778e-06,4.1567979889935357e-07,0.0
1642,7.395292941834799e-07,5.905588068344514e-06,7.395292941834799e-07,0.0
1643,7.395292941834799e-07,5.2317010223695045e-06,7.395292941834799e-07,0.0
1644,6.663691668303986e-07,4.537947623768039e-06,6.663691668303986e-07,0.0
1645,5.990341297287419e-07,4.406487180728748e-06,5.990341297287419e-07,0.0
1646,4.432936699621288e-07,4.420089680934325e-06,4.432936699621288e-07,0.0
1647,4.432936699621288e-07,4.226848497117837e-06,4.432936699621288e-07,0.0
1648,3.696987310572045e-07,4.827119255423895e-06,3.696987310572045e-07,0.0
1649,4.584923577307823e-08,4.786458800611269e-06,4.584923577307823e-08,0.0
1650,8.976937238003302e-08,5.079006671491827e-06,8.976937238003302e-08,0.0
1651,1.7576953480004575e-07,4.787038376109974e-06,1.7576953480004575e-07,0.0
1652,2.314409316893164e-07,4.4301962459160545e-06,2.314409316893164e-07,0.0
1653,2.314409316893164e-07,4.479497290178967e-06,2.314409316893164e-07,0.0
1654,2.7292411784531267e-07,4.06128960353921e-06,2.7292411784531267e-07,0.0
1655,2.2707488207223442e-07,3.8628830095279095e-06,2.2707488207223442e-07,0.0
1656,2.2707488207223442e-07,4.106046779790111e-06,2.2707488207223442e-07,0.0
1657,1.8315474546527965e-07,3.744239555609446e-06,1.8315474546527965e-07,0.0
1658,5.796952799690709e-07,4.290473595704368e-06,5.796952799690709e-07,0.0
1659,5.883582535456558e-07,4.049253253210086e-06,5.883582535456558e-07,0.0
1660,9.090574540745624e-07,4.31857178487657e-06,9.090574540745624e-07,0.0
1661,8.675742679185663e-07,4.771290507830729e-06,8.675742679185663e-07,0.0
1662,9.081741276466866e-07,4.799257989621505e-06,9.081741276466866e-07,0.0
1663,9.081741276466866e-07,4.624820186498775e-06,9.081741276466866e-07,0.0
1664,9.474771088337417e-07,4.505871662071773e-06,9.474771088337417e-07,0.0
1665,5.531196458312999e-07,4.274828175506887e-06,5.531196458312999e-07,0.0
1666,5.686820705769995e-07,4.471443129919603e-06,5.686820705769995e-07,0.0
1667,2.804351859302707e-07,4.723439360532211e-06,2.804351859302707e-07,0.0
1668,2.804351859302707e-07,4.47978391093784e-06,2.804351859302707e-07,0.0
1669,2.697894184880819e-07,4.589684197396439e-06,2.697894184880819e-07,0.0
1670,3.470877548547183e-07,4.632258521399178e-06,3.470877548547183e-07,0.0
1671,4.25115355743141e-07,4.826074408421326e-06,4.25115355743141e-07,0.0
1672,3.36932121821779e-07,4.9170996265144955e-06,3.36932121821779e-07,0.0
1673,2.817781969659856e-07,4.609119936763559e-06,2.817781969659856e-07,0.0
1674,2.4932588108380773e-07,4.481344116616778e-06,2.4932588108380773e-07,0.0
1675,2.4932588108380773e-07,4.405040044730413e-06,2.4932588108380773e-07,0.0
1676,2.6231829914585045e-07,4.072660431120312e-06,2.6231829914585045e-07,0.0
1677,1.8501996277921406e-07,4.409876185361229e-06,1.8501996277921406e-07,0.0
1678,2.668750868549198e-07,4.300542059354484e-06,2.668750868549198e-07,0.0
1679,2.668750868549198e-07,4.420765955209001e-06,2.668750868549198e-07,0.0
1680,2.783360741887009e-07,4.665088486685168e-06,2.783360741887009e-07,0.0
1681,2.783360741887009e-07,4.289187667641922e-06,2.783360741887009e-07,0.0
1682,2.783360741887009e-07,3.957562349959127e-06,2.783360741887009e-07,0.0
1683,3.236584770352887e-07,4.409598464657652e-06,3.236584770352887e-07,0.0
1684,4.1132321777175615e-07,4.154375151951431e-06,4.1132321777175615e-07,0.0
1685,2.1213751162057243e-07,4.201106548862299e-06,2.1213751162057243e-07,0.0
1686,2.9502513143597753e-07,3.665329261691243e-06,2.9502513143597753e-07,0.0
1687,3.000213634355272e-07,3.5442647328766597e-06,3.000213634355272e-07,0.0
1688,3.9320452011842075e-07,4.192569804217783e-06,3.9320452011842075e-07,0.0
1689,3.9320452011842075e-07,4.590038510546687e-06,3.9320452011842075e-07,0.0
1690,3.2570589780789305e-07,4.623836048267549e-06,3.2570589780789305e-07,0.0
1691,2.3804115707142565e-07,4.699987844755274e-06,2.3804115707142565e-07,0.0
1692,2.6170920161153586e-07,4.83041705073057e-06,2.6170920161153586e-07,0.0
1693,4.2963113295562447e-07,5.020670901753224e-06,4.2963113295562447e-07,0.0
1694,4.128165938612126e-07,5.013980853618705e-06,4.128165938612126e-07,0.0
1695,4.591946683214181e-07,4.6556163592218325e-06,4.591946683214181e-07,0.0
1696,4.7494061407503197e-07,4.3701281161442495e-06,4.7494061407503197e-07,0.0
1697,5.276410754666878e-07,3.953294513589104e-06,5.276410754666878e-07,0.0
1698,5.691261577567275e-07,3.769789535519002e-06,5.691261577567275e-07,0.0
1699,5.977362746989456e-07,3.755619218281936e-06,5.977362746989456e-07,0.0
1700,3.4692672353945196e-07,4.122569375145499e-06,3.4692672353945196e-07,0.0
1701,3.5154145093331734e-07,4.321198275647475e-06,3.5154145093331734e-07,0.0
1702,2.479357001610489e-07,4.064741590679789e-06,2.479357001610489e-07,0.0
1703,2.432309642586006e-07,4.037275078059922e-06,2.432309642586006e-07,0.0
1704,1.7842197865190557e-07,4.2833595606290535e-06,1.7842197865190557e-07,0.0
1705,2.468305565019234e-07,4.456485255234709e-06,2.468305565019234e-07,0.0
1706,3.274569857174876e-07,4.265075566373915e-06,3.274569857174876e-07,0.0
1707,3.396094387296346e-07,4.2369656836984045e-06,3.396094387296346e-07,0.0
1708,3.202550280840504e-07,4.331941032173095e-06,3.202550280840504e-07,0.0
1709,2.8429954771321976e-07,4.441840181763317e-06,2.8429954771321976e-07,0.0
1710,2.904733611736836e-07,4.6569755340897245e-06,2.904733611736836e-07,0.0
1711,3.9811953911339515e-07,4.275219258228649e-06,3.9811953911339515e-07,0.0
1712,3.0995271872922915e-07,4.287683753188633e-06,3.0995271872922915e-07,0.0
1713,1.8786614321340623e-07,4.375523271197121e-06,1.8786614321340623e-07,0.0
1714,1.8528530075302895e-07,4.105061634618323e-06,1.8528530075302895e-07,0.0
1715,2.3225119909804042e-07,3.867219350338148e-06,2.3225119909804042e-07,0.0
1716,2.3225119909804042e-07,3.723256278525306e-06,2.3225119909804042e-07,0.0
1717,2.6088460763113677e-07,3.473992397370499e-06,2.6088460763113677e-07,0.0
1718,1.9102720066095052e-07,3.63413447043318e-06,1.9102720066095052e-07,0.0
1719,1.8247010302729905e-07,3.3863127230558476e-06,1.8247010302729905e-07,0.0
1720,2.3507998443100015e-07,3.3779849673010176e-06,2.3507998443100015e-07,0.0
1721,2.255083738792304e-07,4.32485925167774e-06,2.255083738792304e-07,0.0
1722,1.9980695498134082e-07,4.391865624191789e-06,1.9980695498134082e-07,0.0
1723,2.3068283638849607e-07,4.422742124786185e-06,2.3068283638849607e-07,0.0
1724,2.0831808354517178e-07,4.383423044730859e-06,2.0831808354517178e-07,0.0
1725,2.0598526617732205e-07,4.300493596279661e-06,2.0598526617732205e-07,0.0
1726,2.119780171077374e-07,4.383871555546648e-06,2.119780171077374e-07,0.0
1727,1.485501205219667e-07,4.339347144975493e-06,1.485501205219667e-07,0.0
1728,1.5502968052162812e-07,3.3322671372713686e-06,1.5502968052162812e-07,0.0
1729,1.623511940757843e-07,3.1487102205574047e-06,1.623511940757843e-07,0.0
1730,2.0512445583368129e-07,3.114965498493153e-06,2.0512445583368129e-07,0.0
1731,1.8860751639847096e-07,3.175155955302346e-06,1.8860751639847096e-07,0.0
1732,1.5700684384358154e-07,3.435241491648152e-06,1.5700684384358154e-07,0.0
1733,1.7296819976309052e-07,3.323378970370478e-06,1.7296819976309052e-07,0.0
1734,1.9877685783090522e-07,3.270894045012288e-06,1.9877685783090522e-07,0.0
1735,2.2463192753515875e-07,3.3023569423156526e-06,2.2463192753515875e-07,0.0
1736,1.9191239226350782e-07,3.5479381494951667e-06,1.9191239226350782e-07,0.0
1737,1.5287139021324947e-07,3.503712930198942e-06,1.5287139021324947e-07,0.0
1738,3.491018455901797e-07,3.8108796291323543e-06,3.491018455901797e-07,0.0
1739,3.4950846382132893e-07,3.612524778873194e-06,3.4950846382132893e-07,0.0
1740,3.667955666181959e-07,3.802682905578487e-06,3.667955666181959e-07,0.0
1741,4.3010717374971007e-07,3.867875323391802e-06,4.3010717374971007e-07,0.0
1742,4.2965940595861086e-07,3.8102293729025405e-06,4.2965940595861086e-07,0.0
1743,4.241470808860218e-07,3.860080271676582e-06,4.241470808860218e-07,0.0
1744,4.6989202522646725e-07,3.8440904128427585e-06,4.6989202522646725e-07,0.0
1745,2.793179823307972e-07,3.5661460060509853e-06,2.793179823307972e-07,0.0
1746,3.908437408637967e-07,3.401056509184335e-06,3.908437408637967e-07,0.0
1747,3.883426101327002e-07,3.0990400838553408e-06,3.883426101327002e-07,0.0
1748,3.2470046664099884e-07,3.074684140561398e-06,3.2470046664099884e-07,0.0
