ngram,gift,gft,gift,gfit
1500,7.639383170499059e-06,0.0,7.639383170499059e-06,0.0
1501,6.111506536399247e-06,0.0,6.111506536399247e-06,0.0
1502,1.3527043014012937e-05,0.0,1.3527043014012937e-05,0.0
1503,1.1594608297725375e-05,0.0,1.1594608297725375e-05,0.0
1504,2.3139845714987522e-05,0.0,2.3139845714987522e-05,0.0
1505,2.210176067559847e-05,0.0,2.210176067559847e-05,0.0
1506,2.210176067559847e-05,0.0,2.210176067559847e-05,0.0
1507,2.210176067559847e-05,0.0,2.210176067559847e-05,0.0
1508,2.210176067559847e-05,0.0,2.210176067559847e-05,0.0
1509,1.4872514189586841e-05,0.0,1.4872514189586841e-05,0.0
1510,1.4872514189586841e-05,0.0,1.4872514189586841e-05,0.0
1511,2.525310784611585e-06,0.0,2.525310784611585e-06,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.2852891561342403e-06,0.0,2.2852891561342403e-06,0.0
1515,2.2852891561342403e-06,0.0,2.2852891561342403e-06,0.0
1516,2.2852891561342403e-06,0.0,2.2852891561342403e-06,0.0
1517,4.410396286402829e-06,0.0,4.410396286402829e-06,0.0
1518,4.410396286402829e-06,0.0,4.410396286402829e-06,0.0
1519,4.410396286402829e-06,0.0,4.410396286402829e-06,0.0
1520,9.176978502572248e-06,0.0,9.176978502572248e-06,0.0
1521,6.891689346438008e-06,0.0,6.891689346438008e-06,0.0
1522,1.9586716786891755e-05,0.0,1.9586716786891755e-05,0.0
1523,1.9586716786891755e-05,0.0,1.9586716786891755e-05,0.0
1524,1.9526287750133114e-05,0.0,1.9526287750133114e-05,0.0
1525,1.9526287750133114e-05,0.0,1.9526287750133114e-05,0.0
1526,2.0797586720228927e-05,0.0,2.0797586720228927e-05,0.0
1527,1.603100450405951e-05,0.0,1.603100450405951e-05,0.0
1528,1.603100450405951e-05,0.0,1.603100450405951e-05,0.0
1529,3.3359770636057614e-06,0.0,3.3359770636057614e-06,0.0
1530,3.3359770636057614e-06,7.289485048594153e-07,3.3359770636057614e-06,0.0
1531,7.016147199984906e-06,7.289485048594153e-07,7.016147199984906e-06,0.0
1532,7.016147199984906e-06,7.289485048594153e-07,7.016147199984906e-06,0.0
1533,5.744848229889092e-06,7.289485048594153e-07,5.744848229889092e-06,0.0
1534,7.1493189222694904e-06,7.289485048594153e-07,7.1493189222694904e-06,0.0
1535,1.731507693745828e-05,7.289485048594153e-07,1.731507693745828e-05,0.0
1536,2.089319202371241e-05,7.289485048594153e-07,2.089319202371241e-05,0.0
1537,2.089319202371241e-05,0.0,2.089319202371241e-05,0.0
1538,1.5148343793823318e-05,0.0,1.5148343793823318e-05,0.0
1539,1.5148343793823318e-05,0.0,1.5148343793823318e-05,0.0
1540,1.5148343793823318e-05,0.0,1.5148343793823318e-05,0.0
1541,1.3743873101442919e-05,0.0,1.3743873101442919e-05,0.0
1542,8.09205422618626e-06,0.0,8.09205422618626e-06,0.0
1543,4.513939139932128e-06,0.0,4.513939139932128e-06,0.0
