ngram,history,hitory,hisory,histroy
1500,5.164534741197713e-06,0.0,0.0,0.0
1501,4.13162779295817e-06,0.0,0.0,0.0
1502,5.375842495899026e-06,0.0,0.0,0.0
1503,1.3532531738746911e-05,0.0,0.0,0.0
1504,5.2190672119780045e-05,0.0,0.0,0.0
1505,5.733872136001342e-05,0.0,0.0,0.0
1506,5.733872136001342e-05,0.0,0.0,0.0
1507,5.733872136001342e-05,0.0,0.0,0.0
1508,5.733872136001342e-05,0.0,0.0,0.0
1509,5.5682019072784374e-05,0.0,0.0,0.0
1510,4.675735233052235e-05,0.0,0.0,0.0
1511,6.628941004497132e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.1426445780671202e-06,0.0,0.0,0.0
1515,1.1426445780671202e-06,0.0,0.0,0.0
1516,1.1426445780671202e-06,0.0,0.0,0.0
1517,1.9206055445205754e-05,0.0,0.0,0.0
1518,1.9206055445205754e-05,0.0,0.0,0.0
1519,1.9206055445205754e-05,0.0,0.0,0.0
1520,6.895725748888384e-05,0.0,0.0,0.0
1521,6.781461291081672e-05,0.0,0.0,0.0
1522,7.098836977093015e-05,0.0,0.0,0.0
1523,8.146113473880437e-05,0.0,0.0,0.0
1524,6.339772387166574e-05,0.0,0.0,0.0
1525,6.339772387166574e-05,0.0,0.0,0.0
1526,6.339772387166574e-05,0.0,0.0,0.0
1527,7.169493489657595e-05,0.0,0.0,0.0
1528,7.378539976343745e-05,0.0,0.0,0.0
1529,7.061164290332402e-05,0.0,0.0,0.0
1530,6.815731168379508e-05,0.0,0.0,0.0
1531,0.00013135064169286385,0.0,0.0,0.0
1532,0.00013585980780460107,0.0,0.0,0.0
1533,0.00013585980780460107,0.0,0.0,0.0
1534,8.764268945274775e-05,0.0,0.0,0.0
1535,8.66817533408591e-05,0.0,0.0,0.0
1536,8.936533959058579e-05,0.0,0.0,0.0
1537,8.13469058422405e-05,0.0,0.0,0.0
1538,1.8153575833171738e-05,0.0,0.0,0.0
1539,1.862507659617612e-05,0.0,0.0,0.0
1540,1.862507659617612e-05,0.0,0.0,0.0
1541,8.793781879441148e-06,0.0,0.0,0.0
1542,4.377576624392532e-05,0.0,0.0,0.0
1543,4.109217999419863e-05,0.0,0.0,0.0
1544,5.263788885453583e-05,0.0,0.0,0.0
1545,5.53170897806662e-05,0.0,0.0,0.0
1546,5.0895835296874535e-05,0.0,0.0,0.0
1547,5.0895835296874535e-05,0.0,0.0,0.0
1548,5.684067413572588e-05,0.0,0.0,0.0
1549,2.3154476496399313e-05,0.0,0.0,0.0
1550,2.693689657462528e-05,0.0,0.0,0.0
1551,1.775238485736606e-05,0.0,0.0,0.0
1552,3.814873590662111e-05,0.0,0.0,0.0
1553,3.758932351567117e-05,0.0,0.0,0.0
1554,3.758932351567117e-05,0.0,0.0,0.0
1555,4.126024474057236e-05,0.0,0.0,0.0
1556,3.88349292604419e-05,0.0,0.0,0.0
1557,3.505250918221593e-05,0.0,0.0,0.0
1558,4.4286138810483476e-05,0.0,0.0,0.0
1559,2.292981012682763e-05,0.0,0.0,0.0
1560,4.4915631536111634e-05,0.0,0.0,0.0
1561,4.4915631536111634e-05,0.0,0.0,0.0
1562,3.52998714723591e-05,0.0,0.0,0.0
1563,3.6209114893738714e-05,0.0,0.0,0.0
1564,6.165570188646338e-05,0.0,0.0,0.0
1565,5.8155280255180385e-05,0.0,0.0,0.0
1566,6.405073898869367e-05,0.0,0.0,0.0
1567,4.8206493634747206e-05,0.0,0.0,0.0
1568,4.8206493634747206e-05,0.0,0.0,0.0
1569,6.528871667147282e-05,0.0,0.0,0.0
1570,6.589048552996246e-05,0.0,0.0,0.0
1571,7.23179708594606e-05,0.0,0.0,0.0
1572,6.63034088574932e-05,0.0,0.0,0.0
1573,7.378963904817024e-05,0.0,0.0,0.0
1574,6.928219759824319e-05,0.0,0.0,0.0
1575,6.928219759824319e-05,0.0,0.0,0.0
1576,6.797379020489254e-05,0.0,0.0,0.0
1577,7.666868155605957e-05,0.0,0.0,0.0
1578,5.1299263369790947e-05,0.0,0.0,0.0
1579,5.504021334802799e-05,0.0,0.0,0.0
1580,3.9939301132108085e-05,0.0,0.0,0.0
1581,4.542485528093364e-05,0.0,0.0,0.0
1582,4.7100780778107166e-05,0.0,0.0,0.0
1583,4.238128492163794e-05,0.0,0.0,0.0
1584,4.026738536465148e-05,0.0,0.0,0.0
1585,3.7914529067555645e-05,0.0,0.0,0.0
1586,4.28771437717452e-05,0.0,0.0,0.0
1587,4.633793949843883e-05,0.0,0.0,0.0
1588,4.1226768189517315e-05,0.0,0.0,0.0
1589,4.1791560371556056e-05,0.0,0.0,0.0
1590,3.4116923935861064e-05,0.0,0.0,0.0
1591,4.0950794365406705e-05,0.0,0.0,0.0
1592,4.396265805033701e-05,0.0,0.0,0.0
1593,3.474218725127035e-05,0.0,0.0,0.0
1594,3.2287181056744885e-05,0.0,0.0,0.0
1595,3.929460516311727e-05,0.0,0.0,0.0
1596,3.873723328849467e-05,0.0,0.0,0.0
1597,3.838410222150352e-05,0.0,0.0,0.0
1598,2.6996941154980698e-05,0.0,0.0,0.0
1599,2.0540746520834675e-05,0.0,0.0,0.0
1600,2.579419892104592e-05,0.0,0.0,0.0
1601,3.3187335182966695e-05,0.0,0.0,0.0
1602,3.513346882755286e-05,0.0,0.0,0.0
1603,3.4686453350981795e-05,0.0,0.0,0.0
1604,3.9662606273590685e-05,0.0,0.0,0.0
1605,4.5118844289910544e-05,0.0,0.0,0.0
1606,5.249946804854387e-05,0.0,0.0,0.0
1607,5.314804950882847e-05,0.0,0.0,0.0
1608,4.614686687481091e-05,0.0,0.0,0.0
1609,3.575081362734116e-05,0.0,0.0,0.0
1610,3.6298758979163335e-05,0.0,0.0,0.0
1611,3.0241887023813823e-05,0.0,0.0,0.0
1612,2.2860939939814022e-05,0.0,0.0,0.0
1613,1.8288679841914147e-05,0.0,0.0,0.0
1614,1.115331870745909e-05,0.0,0.0,0.0
1615,1.432689444819906e-05,0.0,0.0,0.0
1616,2.024851388731414e-05,0.0,0.0,0.0
1617,2.0193816875949517e-05,0.0,0.0,0.0
1618,2.3467271765704417e-05,0.0,0.0,0.0
1619,2.3203681361597512e-05,0.0,0.0,0.0
1620,2.1601890206771452e-05,0.0,0.0,0.0
1621,2.5197476393909062e-05,0.0,0.0,0.0
1622,3.033423802532655e-05,0.0,0.0,0.0
1623,4.4860903082215895e-05,0.0,0.0,0.0
1624,4.522197507737603e-05,0.0,0.0,0.0
1625,4.5401891838992015e-05,0.0,0.0,0.0
