ngram,honey,hoey,hony
1500,9.356269856652943e-07,0.0,0.0
1501,7.485015885322354e-07,0.0,0.0
1502,6.237513237768629e-07,0.0,0.0
1503,5.346439918087396e-07,0.0,0.0
1504,0.0,0.0,0.0
1505,0.0,0.0,0.0
1506,0.0,0.0,0.0
1507,0.0,0.0,0.0
1508,0.0,0.0,0.0
1509,0.0,0.0,0.0
1510,0.0,0.0,0.0
1511,0.0,0.0,0.0
1512,0.0,0.0,0.0
1513,0.0,0.0,0.0
1514,0.0,0.0,0.0
1515,0.0,0.0,0.0
1516,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0
1520,5.595770484693016e-06,0.0,0.0
1521,5.595770484693016e-06,0.0,0.0
1522,3.415958144614706e-05,0.0,0.0
1523,3.415958144614706e-05,0.0,0.0
1524,3.362830466357991e-05,0.0,0.0
1525,3.362830466357991e-05,0.0,0.0
1526,3.362830466357991e-05,0.0,0.0
1527,2.8563810961454044e-05,0.0,0.0
1528,2.8563810961454044e-05,0.0,0.0
1529,0.0,0.0,0.0
1530,1.4578970097188306e-06,0.0,0.0
1531,1.4578970097188306e-06,0.0,0.0
1532,1.4578970097188306e-06,0.0,0.0
1533,1.4578970097188306e-06,0.0,0.0
1534,1.4578970097188306e-06,0.0,0.0
1535,1.8344065730551456e-06,0.0,3.7650956333631515e-07
1536,1.8344065730551456e-06,0.0,3.7650956333631515e-07
1537,3.7650956333631515e-07,0.0,3.7650956333631515e-07
1538,3.7650956333631515e-07,0.0,6.7293867037473575e-06
1539,3.7650956333631515e-07,0.0,6.7293867037473575e-06
1540,3.7650956333631515e-07,0.0,6.7293867037473575e-06
1541,3.7650956333631515e-07,0.0,6.7293867037473575e-06
1542,0.0,0.0,7.857523477079148e-06
1543,0.0,0.0,7.857523477079148e-06
1544,4.1731475773433756e-07,0.0,7.857523477079148e-06
1545,4.1731475773433756e-07,0.0,1.7725664390257277e-06
1546,4.1731475773433756e-07,0.0,3.4508036118755366e-06
1547,4.1731475773433756e-07,0.0,6.727944813584534e-06
1548,1.0117986286266906e-06,0.0,6.727944813584534e-06
1549,1.0117986286266906e-06,0.0,6.43595621698166e-06
1550,1.5521443401667057e-06,0.0,6.43595621698166e-06
1551,1.134829582432368e-06,0.0,6.43595621698166e-06
1552,1.134829582432368e-06,0.0,6.168036114624036e-06
1553,1.134829582432368e-06,0.0,4.489798941774227e-06
1554,1.134829582432368e-06,0.0,1.2126577400652292e-06
1555,5.40345711540015e-07,0.0,1.8136427440497625e-06
1556,5.40345711540015e-07,0.0,6.009850039845333e-07
1557,0.0,0.0,9.945993172420589e-06
1558,0.0,0.0,9.945993172420589e-06
1559,5.157669615333102e-06,0.0,9.945993172420589e-06
1560,5.606359861433573e-06,0.0,9.945993172420589e-06
1561,5.606359861433573e-06,0.0,9.945993172420589e-06
1562,5.606359861433573e-06,0.0,2.001129593866478e-05
1563,5.606359861433573e-06,0.0,2.001129593866478e-05
1564,5.606359861433573e-06,0.0,1.0666287770228727e-05
1565,5.606359861433573e-06,0.0,1.0666287770228727e-05
1566,4.4869024610047094e-07,0.0,1.0666287770228727e-05
1567,6.823973178273133e-07,0.0,1.0666287770228727e-05
1568,6.823973178273133e-07,0.0,1.0666287770228727e-05
1569,6.823973178273133e-07,0.0,0.0
1570,6.823973178273133e-07,0.0,1.5110122798692567e-06
1571,6.823973178273133e-07,0.0,1.5110122798692567e-06
1572,1.7223188868748757e-06,0.0,1.5110122798692567e-06
1573,1.7223188868748757e-06,0.0,1.5110122798692567e-06
1574,1.0399215690475622e-06,0.0,2.055723825833411e-06
1575,1.0399215690475622e-06,0.0,2.055723825833411e-06
1576,1.0399215690475622e-06,0.0,3.858445617359914e-06
1577,1.0399215690475622e-06,0.0,2.3474333374906564e-06
1578,1.5217477929192164e-06,0.0,2.3474333374906564e-06
1579,1.1285810290116518e-06,0.0,2.3474333374906564e-06
1580,1.1285810290116518e-06,0.0,2.3474333374906564e-06
1581,1.1285810290116518e-06,0.0,1.8027217915265022e-06
1582,1.9665437775984174e-06,0.0,1.8027217915265022e-06
1583,2.2068550801382765e-06,0.0,2.403113025398592e-07
1584,2.2068550801382765e-06,0.0,2.403113025398592e-07
1585,2.29118313654908e-06,0.0,1.5613379348776237e-06
1586,2.3633221774486757e-06,0.0,1.5613379348776237e-06
1587,2.3633221774486757e-06,0.0,2.2534970542307875e-06
1588,3.702333807658371e-06,0.0,2.2534970542307875e-06
1589,3.7980034254100507e-06,0.0,4.1207617869076785e-06
1590,8.757205250731204e-06,0.0,5.700280001162485e-06
1591,1.0356406034718799e-05,0.0,6.23334692915835e-06
1592,9.790251754436343e-06,0.0,5.509292090469639e-06
1593,9.741188088290592e-06,0.0,7.742059486710267e-06
1594,1.0244082854374678e-05,0.0,7.0499003673571025e-06
1595,1.0708259586473495e-05,0.0,7.500697457934231e-06
1596,1.0195463671282465e-05,0.0,5.63343272525734e-06
1597,6.206571405138155e-06,0.0,5.750596691151648e-06
1598,4.7843062865078016e-06,0.0,5.217529763155783e-06
1599,4.902217434781571e-06,0.0,4.974291414328036e-06
1600,9.87720977718709e-06,0.0,2.8480301028009436e-06
1601,9.96028659626193e-06,0.0,4.019973273118792e-06
1602,8.88790327735478e-06,0.0,8.371609120721197e-06
1603,9.703397154225968e-06,0.0,2.6504453411949464e-05
1604,8.663046612257728e-06,0.0,2.4737730249008954e-05
1605,8.710984729987103e-06,0.0,2.496260403209557e-05
1606,1.1636117603432336e-05,0.0,2.5489751741198624e-05
1607,5.991295081132973e-06,0.0,2.6876239806889707e-05
1608,1.019758568483147e-05,0.0,2.570429663657186e-05
1609,9.466780641430108e-06,0.0,2.1467885647195673e-05
1610,8.230450313411503e-06,0.0,4.48207567517654e-06
1611,8.26500455072424e-06,0.0,5.028691297021786e-06
1612,9.385134408798227e-06,0.0,8.300826980952739e-06
1613,6.821521813955249e-06,0.0,8.218998248464362e-06
1614,7.480741308946952e-06,0.0,7.055613845555594e-06
1615,2.688479120089531e-06,0.0,7.436557098117191e-06
1616,4.490601814463194e-06,0.0,7.591384214070526e-06
1617,5.355391148701269e-06,0.0,7.309139229099466e-06
1618,6.036860863137658e-06,0.0,7.281593233139054e-06
1619,7.617754168417637e-06,0.0,4.12218725744294e-06
1620,7.742756224615732e-06,0.0,5.337913112920692e-06
1621,7.083536729624029e-06,0.0,7.149319377016841e-06
