ngram,impact,imact,ipact,impct
1500,2.2585633701055485e-06,0.0,0.0,0.0
1501,1.806850696084439e-06,0.0,0.0,0.0
1502,1.6814197654942593e-06,0.0,0.0,0.0
1503,1.0365883684114254e-05,0.0,0.0,0.0
1504,1.0232222686162068e-05,0.0,0.0,0.0
1505,9.07527604405394e-06,0.0,0.0,0.0
1506,9.07527604405394e-06,0.0,0.0,0.0
1507,9.07527604405394e-06,0.0,0.0,0.0
1508,9.07527604405394e-06,0.0,0.0,0.0
1509,8.92466674226203e-06,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,4.250214260537177e-06,0.0,0.0,0.0
1518,4.250214260537177e-06,0.0,0.0,0.0
1519,4.250214260537177e-06,0.0,0.0,0.0
1520,4.250214260537177e-06,0.0,0.0,0.0
1521,4.250214260537177e-06,0.0,0.0,0.0
1522,4.250214260537177e-06,0.0,0.0,0.0
1523,7.94648440205492e-06,0.0,0.0,0.0
1524,3.6962701415177435e-06,0.0,0.0,0.0
1525,3.6962701415177435e-06,0.0,0.0,0.0
1526,1.0688414477044716e-05,0.0,0.0,0.0
1527,1.0688414477044716e-05,0.0,0.0,0.0
1528,4.7271551011363044e-05,0.0,0.0,0.0
1529,4.7271551011363044e-05,0.0,0.0,0.0
1530,4.35752808698453e-05,0.0,0.0,0.0
1531,6.655467378940167e-05,0.0,0.0,0.0
1532,0.00013374124474856735,0.0,0.0,0.0
1533,0.00012674910041304038,0.0,0.0,0.0
1534,0.00012674910041304038,0.0,0.0,0.0
1535,9.016596387872207e-05,0.0,0.0,0.0
1536,9.016596387872207e-05,0.0,0.0,0.0
1537,9.016596387872207e-05,0.0,0.0,0.0
1538,6.718657095916569e-05,0.0,0.0,0.0
1539,1.5772112029870705e-05,0.0,0.0,0.0
1540,1.5772112029870705e-05,0.0,0.0,0.0
1541,1.5772112029870705e-05,0.0,0.0,0.0
1542,1.5772112029870705e-05,0.0,0.0,0.0
1543,1.5772112029870705e-05,0.0,0.0,0.0
1544,1.5772112029870705e-05,0.0,0.0,0.0
1545,1.5772112029870705e-05,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,5.94483870892353e-07,0.0,0.0,0.0
1549,5.94483870892353e-07,0.0,0.0,0.0
1550,2.2155209730304444e-06,0.0,0.0,0.0
1551,2.2155209730304444e-06,0.0,0.0,0.0
1552,2.936631972261239e-06,0.0,0.0,0.0
1553,2.936631972261239e-06,0.0,0.0,0.0
1554,2.936631972261239e-06,0.0,0.0,0.0
1555,5.347073121291552e-06,0.0,0.0,0.0
1556,5.347073121291552e-06,0.0,0.0,0.0
1557,3.7260360191534607e-06,0.0,0.0,0.0
1558,4.408084675690459e-06,0.0,0.0,0.0
1559,3.6869736764596643e-06,0.0,0.0,0.0
1560,3.6869736764596643e-06,0.0,0.0,0.0
1561,3.6869736764596643e-06,0.0,0.0,0.0
1562,6.820486565369979e-07,0.0,0.0,0.0
1563,6.820486565369979e-07,0.0,0.0,0.0
1564,6.820486565369979e-07,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,4.806226310652814e-06,0.0,0.0,0.0
1584,4.806226310652814e-06,0.0,0.0,0.0
1585,4.806226310652814e-06,0.0,0.0,0.0
1586,4.806226310652814e-06,0.0,0.0,0.0
1587,4.806226310652814e-06,0.0,0.0,0.0
1588,4.806226310652814e-06,0.0,0.0,0.0
1589,4.992952783920503e-06,0.0,0.0,0.0
1590,1.867264732676891e-07,0.0,0.0,0.0
1591,1.867264732676891e-07,0.0,0.0,0.0
1592,1.867264732676891e-07,0.0,0.0,0.0
1593,1.867264732676891e-07,0.0,0.0,0.0
1594,1.867264732676891e-07,0.0,0.0,0.0
1595,6.375235638448171e-07,0.0,0.0,0.0
1596,6.76334411764401e-06,0.0,0.0,0.0
1597,6.884406210312071e-06,0.0,0.0,0.0
1598,7.724850645120438e-06,0.0,0.0,0.0
1599,8.314406418971235e-06,0.0,0.0,0.0
1600,8.314406418971235e-06,0.0,0.0,0.0
1601,8.314406418971235e-06,0.0,0.0,0.0
1602,7.968010046559876e-06,0.0,0.0,0.0
1603,1.6554630194929944e-06,0.0,0.0,0.0
1604,1.5344009268249335e-06,0.0,0.0,0.0
1605,6.939564920165659e-07,0.0,0.0,0.0
1606,1.844808252826624e-07,0.0,0.0,0.0
1607,1.844808252826624e-07,0.0,0.0,0.0
1608,1.844808252826624e-07,0.0,0.0,0.0
1609,8.008010711689297e-08,0.0,0.0,0.0
1610,8.008010711689297e-08,0.0,0.0,0.0
1611,1.4114397686171287e-06,0.0,0.0,0.0
1612,1.4114397686171287e-06,0.0,0.0,0.0
1613,1.3313596615002358e-06,0.0,0.0,0.0
1614,1.3313596615002358e-06,0.0,0.0,0.0
1615,1.3313596615002358e-06,0.0,0.0,0.0
1616,1.3313596615002358e-06,0.0,0.0,0.0
1617,1.4549009961228876e-06,0.0,0.0,0.0
1618,1.2354133462265183e-07,0.0,0.0,0.0
1619,1.2354133462265183e-07,0.0,0.0,0.0
1620,3.4479255889761717e-06,0.0,0.0,0.0
1621,3.626343584528513e-06,0.0,0.0,0.0
1622,4.470524483427393e-06,0.0,0.0,0.0
1623,4.73993867444733e-06,0.0,0.0,0.0
1624,1.2083006871372553e-05,0.0,0.0,0.0
1625,1.2083006871372553e-05,0.0,0.0,0.0
1626,1.2083006871372553e-05,0.0,0.0,0.0
1627,8.758622617019032e-06,0.0,0.0,0.0
1628,1.4607274254428506e-05,0.0,0.0,0.0
1629,1.3763093355529626e-05,0.0,0.0,0.0
1630,1.375242615202816e-05,0.0,0.0,0.0
1631,6.285816620480286e-06,0.0,0.0,0.0
1632,6.285816620480286e-06,0.0,0.0,0.0
1633,6.285816620480286e-06,0.0,0.0,0.0
1634,1.2950397344216721e-05,0.0,0.0,0.0
1635,6.9233277112549075e-06,0.0,0.0,0.0
1636,1.0397104006187874e-05,0.0,0.0,0.0
1637,1.0138357018669402e-05,0.0,0.0,0.0
1638,1.0138357018669402e-05,0.0,0.0,0.0
1639,1.5044181314546482e-05,0.0,0.0,0.0
1640,1.5044181314546482e-05,0.0,0.0,0.0
1641,8.379600590810046e-06,0.0,0.0,0.0
1642,8.379600590810046e-06,0.0,0.0,0.0
1643,4.90582429587708e-06,0.0,0.0,0.0
1644,4.90582429587708e-06,0.0,0.0,0.0
1645,4.9549411268604416e-06,0.0,0.0,0.0
1646,4.9116830983361326e-08,0.0,0.0,0.0
1647,4.9116830983361326e-08,0.0,0.0,0.0
1648,4.9116830983361326e-08,0.0,0.0,0.0
1649,4.9116830983361326e-08,0.0,0.0,0.0
1650,4.9116830983361326e-08,0.0,0.0,0.0
1651,1.781170746133804e-07,0.0,0.0,0.0
1652,1.290002436300191e-07,0.0,0.0,0.0
1653,2.0437602188394521e-07,0.0,0.0,0.0
1654,2.0437602188394521e-07,0.0,0.0,0.0
1655,2.0437602188394521e-07,0.0,0.0,0.0
1656,2.4968335310404655e-07,0.0,0.0,0.0
1657,2.4968335310404655e-07,0.0,0.0,0.0
1658,9.249176368289877e-07,0.0,0.0,0.0
1659,9.570848220619155e-07,0.0,0.0,0.0
1660,8.817090438079893e-07,0.0,0.0,0.0
1661,8.817090438079893e-07,0.0,0.0,0.0
1662,8.817090438079893e-07,0.0,0.0,0.0
1663,1.0991816269876966e-06,0.0,0.0,0.0
1664,1.217090566488618e-06,0.0,0.0,0.0
1665,4.1285603913365776e-07,0.0,0.0,0.0
1666,3.8068885390072994e-07,0.0,0.0,0.0
1667,7.701166526073524e-07,0.0,0.0,0.0
1668,7.701166526073524e-07,0.0,0.0,0.0
1669,7.701166526073524e-07,0.0,0.0,0.0
1670,5.073367382075438e-07,0.0,0.0,0.0
1671,3.894277987066224e-07,0.0,0.0,0.0
1672,4.6322960705375796e-07,0.0,0.0,0.0
1673,4.6322960705375796e-07,0.0,0.0,0.0
1674,7.380180834713559e-08,0.0,0.0,0.0
1675,7.380180834713559e-08,0.0,0.0,0.0
1676,7.380180834713559e-08,0.0,0.0,0.0
1677,1.0738800629691728e-07,0.0,0.0,0.0
1678,1.0738800629691728e-07,0.0,0.0,0.0
1679,3.35861979497817e-08,0.0,0.0,0.0
1680,3.35861979497817e-08,0.0,0.0,0.0
1681,3.35861979497817e-08,0.0,0.0,0.0
1682,1.1423032983007683e-07,0.0,0.0,0.0
1683,1.1423032983007683e-07,0.0,0.0,0.0
1684,8.064413188029513e-08,0.0,0.0,0.0
1685,8.064413188029513e-08,0.0,0.0,0.0
1686,8.064413188029513e-08,0.0,0.0,0.0
1687,8.064413188029513e-08,0.0,0.0,0.0
1688,1.272357102217419e-07,0.0,0.0,0.0
1689,4.659157834144675e-08,0.0,0.0,0.0
1690,1.0020249874287401e-06,0.0,0.0,0.0
1691,1.0020249874287401e-06,0.0,0.0,0.0
1692,1.0020249874287401e-06,0.0,0.0,0.0
1693,1.3468881304236544e-06,0.0,0.0,0.0
1694,1.3468881304236544e-06,0.0,0.0,0.0
1695,1.3313101590028964e-06,0.0,0.0,0.0
1696,1.3313101590028964e-06,0.0,0.0,0.0
1697,5.154711776153167e-07,0.0,0.0,0.0
1698,7.851242084403307e-07,0.0,0.0,0.0
1699,7.851242084403307e-07,0.0,0.0,0.0
1700,4.532589181443265e-07,0.0,0.0,0.0
1701,4.532589181443265e-07,0.0,0.0,0.0
1702,4.222453112236378e-07,0.0,0.0,0.0
1703,4.222453112236378e-07,0.0,0.0,0.0
1704,2.82650883523924e-07,0.0,0.0,0.0
1705,4.0471267733924576e-08,0.0,0.0,0.0
1706,8.477279931997015e-08,0.0,0.0,0.0
1707,1.0823230565750106e-07,0.0,0.0,0.0
1708,1.275240403434249e-07,0.0,0.0,0.0
1709,1.275240403434249e-07,0.0,0.0,0.0
1710,9.71060172462655e-07,0.0,0.0,0.0
1711,9.71060172462655e-07,0.0,0.0,0.0
1712,9.435867574276407e-07,0.0,0.0,0.0
1713,9.425572865698736e-07,0.0,0.0,0.0
1714,1.5091114156413305e-06,0.0,0.0,0.0
1715,1.5124643876366202e-06,0.0,0.0,0.0
1716,1.5301743039637067e-06,0.0,0.0,0.0
1717,6.942795773211076e-07,0.0,0.0,0.0
1718,6.942795773211076e-07,0.0,0.0,0.0
1719,6.942795773211076e-07,0.0,0.0,0.0
1720,6.510075165928291e-07,0.0,0.0,0.0
1721,1.4435666731823664e-07,0.0,0.0,0.0
1722,5.003637088155497e-07,0.0,0.0,0.0
1723,4.826537924884633e-07,0.0,0.0,0.0
1724,4.7501238701183214e-07,0.0,0.0,0.0
1725,4.7501238701183214e-07,0.0,0.0,0.0
1726,5.069498781397539e-07,0.0,0.0,0.0
1727,5.069498781397539e-07,0.0,0.0,0.0
1728,4.1706879930611e-07,0.0,0.0,0.0
1729,3.841705112758323e-08,0.0,0.0,0.0
1730,4.660028908785664e-08,0.0,0.0,0.0
1731,4.660028908785664e-08,0.0,0.0,0.0
1732,4.660028908785664e-08,0.0,0.0,0.0
1733,6.383618408481847e-08,0.0,0.0,0.0
1734,6.899791569838141e-08,0.0,1.0323463227125882e-08,0.0
1735,1.2718761510654986e-07,0.0,1.0323463227125882e-08,0.0
1736,1.3269994017913893e-07,0.0,1.0323463227125882e-08,0.0
1737,1.245167022188655e-07,0.0,1.0323463227125882e-08,0.0
1738,1.3550033476203032e-07,0.0,1.0323463227125882e-08,0.0
1739,1.3873125124876295e-07,0.0,1.0323463227125882e-08,0.0
1740,1.1950697955041635e-07,0.0,1.0323463227125882e-08,0.0
1741,1.6115656902927964e-06,0.0,0.0,0.0
1742,1.5596511754470806e-06,0.0,0.0,0.0
1743,1.563770243961926e-06,0.0,0.0,0.0
1744,1.563770243961926e-06,0.0,0.0,0.0
1745,1.559098187442487e-06,0.0,0.0,0.0
1746,1.5558672709557544e-06,0.0,0.0,0.0
1747,1.6007828880861195e-06,0.0,0.0,0.0
1748,1.29040567437804e-07,0.0,0.0,0.0
1749,1.1628582287568991e-07,0.0,0.0,0.0
1750,4.662161435321975e-07,0.0,0.0,0.0
1751,5.233223616991316e-07,0.0,0.0,0.0
1752,5.365037359134866e-07,0.0,0.0,0.0
1753,5.767385553261712e-07,0.0,0.0,0.0
1754,5.18610098611459e-07,0.0,0.0,0.0
1755,4.931319769038314e-07,0.0,0.0,0.0
1756,5.325930924219133e-07,0.0,0.0,0.0
1757,3.344229183101431e-07,0.0,0.0,0.0
1758,2.7731670014320896e-07,0.0,0.0,0.0
1759,3.1000567547932535e-07,0.0,0.0,0.0
1760,2.96384526572118e-07,0.0,0.0,0.0
1761,5.932873697085077e-07,0.0,0.0,0.0
1762,6.710822495798701e-07,0.0,0.0,0.0
1763,6.344598086270383e-07,0.0,0.0,0.0
1764,5.09607104451756e-07,0.0,0.0,0.0
1765,5.09607104451756e-07,0.0,0.0,0.0
