ngram,income,icome,inome,inome
1500,4.956214797857683e-05,0.0,0.0,0.0
1501,3.9649718382861464e-05,0.0,0.0,0.0
1502,3.708278169748761e-05,0.0,0.0,0.0
1503,3.1785241454989386e-05,0.0,0.0,0.0
1504,3.126319539400616e-05,0.0,0.0,0.0
1505,1.4442411026850874e-05,0.0,0.0,0.0
1506,1.4442411026850874e-05,0.0,0.0,0.0
1507,1.4442411026850874e-05,0.0,0.0,0.0
1508,1.4442411026850874e-05,0.0,0.0,0.0
1509,1.097839698819111e-05,0.0,0.0,0.0
1510,1.097839698819111e-05,0.0,0.0,0.0
1511,7.891596136947296e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,5.6384746390644324e-06,0.0,0.0,0.0
1518,5.6384746390644324e-06,0.0,0.0,0.0
1519,5.6384746390644324e-06,0.0,0.0,0.0
1520,8.021765747149143e-06,0.0,0.0,0.0
1521,7.164782281116848e-06,0.0,0.0,0.0
1522,7.164782281116848e-06,0.0,0.0,0.0
1523,2.9342402090800794e-05,0.0,0.0,0.0
1524,2.4560910917768653e-05,0.0,0.0,0.0
1525,2.4560910917768653e-05,0.0,0.0,0.0
1526,2.4560910917768653e-05,0.0,0.0,0.0
1527,2.2177619809683945e-05,0.0,0.0,0.0
1528,2.2177619809683945e-05,0.0,0.0,0.0
1529,2.2177619809683945e-05,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,4.9600826709398205e-06,0.0,0.0,0.0
1533,4.9600826709398205e-06,0.0,0.0,0.0
1534,4.9600826709398205e-06,0.0,0.0,0.0
1535,4.9600826709398205e-06,0.0,0.0,0.0
1536,5.854611442503353e-06,0.0,0.0,0.0
1537,5.854611442503353e-06,0.0,0.0,0.0
1538,5.854611442503353e-06,0.0,0.0,0.0
1539,8.945287715635329e-07,0.0,0.0,0.0
1540,8.945287715635329e-07,0.0,0.0,0.0
1541,8.945287715635329e-07,0.0,0.0,0.0
1542,8.945287715635329e-07,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,1.2519442732030126e-06,0.0,0.0,0.0
1545,1.2519442732030126e-06,0.0,0.0,0.0
1546,1.2519442732030126e-06,0.0,0.0,0.0
1547,1.2519442732030126e-06,0.0,0.0,0.0
1548,3.6029250493031994e-05,0.0,0.0,0.0
1549,3.6029250493031994e-05,0.0,0.0,0.0
1550,4.737651072770989e-05,0.0,0.0,0.0
1551,4.612456645450688e-05,0.0,0.0,0.0
1552,8.290122683060222e-05,0.0,0.0,0.0
1553,8.290122683060222e-05,0.0,0.0,0.0
1554,8.290122683060222e-05,0.0,0.0,0.0
1555,4.812392061077324e-05,0.0,0.0,0.0
1556,4.812392061077324e-05,0.0,0.0,0.0
1557,3.677666037609535e-05,0.0,0.0,0.0
1558,4.837148714744087e-05,0.0,0.0,0.0
1559,1.1594826771345521e-05,0.0,0.0,0.0
1560,1.2043517017445993e-05,0.0,0.0,0.0
1561,1.2043517017445993e-05,0.0,0.0,0.0
1562,1.2043517017445993e-05,0.0,0.0,0.0
1563,1.3407382149515407e-05,0.0,0.0,0.0
1564,1.3407382149515407e-05,0.0,0.0,0.0
1565,1.8125553781698857e-06,0.0,0.0,0.0
1566,1.8125553781698857e-06,0.0,0.0,0.0
1567,1.3638651320694147e-06,0.0,0.0,0.0
1568,1.3638651320694147e-06,0.0,0.0,0.0
1569,8.790918400336523e-06,0.0,0.0,0.0
1570,7.4270532682671075e-06,0.0,0.0,0.0
1571,9.87890494538338e-06,0.0,0.0,0.0
1572,9.87890494538338e-06,0.0,0.0,0.0
1573,1.2395723648036697e-05,0.0,0.0,0.0
1574,1.3485146739965006e-05,0.0,0.0,0.0
1575,1.3485146739965006e-05,0.0,0.0,0.0
1576,6.058093471697898e-06,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1577,6.058093471697898e-06,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1578,3.8471549065174515e-06,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1579,3.8471549065174515e-06,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1580,1.3303362038641353e-06,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1581,2.40913111935827e-07,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1582,2.40913111935827e-07,0.0,4.5068044788162555e-07,4.5068044788162555e-07
1583,7.215357170155455e-07,0.0,0.0,0.0
1584,1.6206473024534977e-06,0.0,0.0,0.0
1585,1.3797341905176706e-06,0.0,0.0,0.0
1586,1.3797341905176706e-06,0.0,0.0,0.0
1587,1.3797341905176706e-06,0.0,0.0,0.0
1588,1.3797341905176706e-06,0.0,0.0,0.0
1589,5.861169548942209e-06,0.0,0.0,0.0
1590,5.38054694386249e-06,0.0,0.0,0.0
1591,6.880236469442025e-06,0.0,0.0,0.0
1592,6.880236469442025e-06,0.0,0.0,0.0
1593,6.880236469442025e-06,0.0,0.0,0.0
1594,7.047868052723061e-06,0.0,0.0,0.0
1595,7.047868052723061e-06,0.0,0.0,0.0
1596,3.828942047740773e-06,0.0,0.0,0.0
1597,1.0729481557193918e-05,0.0,0.0,0.0
1598,1.377145237516483e-05,0.0,0.0,0.0
1599,0.00011682579603140246,2.3582229654753713e-07,1.1791114827376856e-07,1.1791114827376856e-07
1600,0.00012172507612311685,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1601,0.00012214341612499475,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1602,0.0001247534341278619,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1603,0.00012349092477441964,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1604,0.00011999579172489965,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1605,0.00011455501979591125,3.423283812610732e-07,1.1791114827376856e-07,1.1791114827376856e-07
1606,1.4944120786302456e-05,1.0650608471353604e-07,0.0,0.0
1607,1.0044840694588078e-05,0.0,0.0,0.0
1608,9.458869109429152e-06,0.0,0.0,0.0
1609,6.848851106561986e-06,0.0,0.0,0.0
1610,6.848851106561986e-06,0.0,0.0,0.0
1611,2.6178970334253142e-05,0.0,0.0,0.0
1612,2.644797106248526e-05,0.0,0.0,0.0
1613,2.3004526415856424e-05,0.0,0.0,0.0
1614,2.3334136163352275e-05,0.0,0.0,0.0
1615,2.371507941591387e-05,0.0,0.0,0.0
1616,2.371507941591387e-05,0.0,0.0,0.0
1617,2.3962162085159173e-05,0.0,0.0,0.0
1618,8.612421993348107e-06,0.0,0.0,0.0
1619,9.243697263627837e-06,0.0,0.0,0.0
1620,9.344436177473523e-06,0.0,0.0,0.0
1621,9.014826429977671e-06,0.0,0.0,0.0
1622,8.77457999389922e-06,0.0,0.0,0.0
1623,9.313408375939097e-06,0.0,0.0,0.0
1624,9.663654477013292e-06,0.0,0.0,0.0
1625,2.2778688812000577e-06,0.0,0.0,0.0
1626,8.036625688743828e-06,0.0,0.0,0.0
