ngram,joint,jont,join,jont
1500,2.8658639166678768e-05,0.0,3.5271875731268665e-06,0.0
1501,2.2926911333343015e-05,0.0,2.821750058501493e-06,0.0
1502,3.0175543239844654e-05,0.0,2.7028800862656985e-06,0.0
1503,5.2638751575224365e-05,0.0,2.316754359656313e-06,0.0
1504,4.889624376249101e-05,0.0,1.7821103678475732e-06,0.0
1505,4.2891327341619346e-05,0.0,2.510865605082862e-06,0.0
1506,4.2891327341619346e-05,0.0,2.510865605082862e-06,0.0
1507,4.2891327341619346e-05,0.0,2.510865605082862e-06,0.0
1508,4.2891327341619346e-05,0.0,2.510865605082862e-06,0.0
1509,3.3402941231283224e-05,0.0,2.209647001499044e-06,0.0
1510,6.628941004497132e-06,0.0,2.209647001499044e-06,0.0
1511,6.628941004497132e-06,0.0,2.209647001499044e-06,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,1.3426074084626244e-05,0.0
1515,1.4283056901019466e-06,0.0,1.3426074084626244e-05,0.0
1516,1.4283056901019466e-06,0.0,1.3426074084626244e-05,0.0
1517,4.977449121465075e-05,0.0,1.3957350867193391e-05,0.0
1518,4.977449121465075e-05,0.0,1.3957350867193391e-05,0.0
1519,4.977449121465075e-05,0.0,1.3957350867193391e-05,0.0
1520,5.364733923280645e-05,0.0,1.5148996421235747e-05,0.0
1521,0.0002638592447640674,0.0,1.722922336609502e-06,0.0
1522,0.0002638592447640674,0.0,1.722922336609502e-06,0.0
1523,0.0002761801445428448,0.0,4.8031472813038685e-06,0.0
1524,0.00022783395901829602,0.0,4.271870498736721e-06,0.0
1525,0.00022783395901829602,0.0,4.271870498736721e-06,0.0
1526,0.00022783395901829602,0.0,4.271870498736721e-06,0.0
1527,0.00022396111100014032,0.0,3.0802249446943667e-06,0.0
1528,1.650182951250047e-05,0.0,4.125457378125118e-06,0.0
1529,1.650182951250047e-05,0.0,4.125457378125118e-06,0.0
1530,4.909878238582418e-06,0.0,1.0452324334307508e-06,0.0
1531,4.909878238582418e-06,0.0,6.790080663319843e-06,0.0
1532,8.968127531261416e-06,0.0,8.142830470855447e-06,0.0
1533,8.968127531261416e-06,0.0,8.142830470855447e-06,0.0
1534,8.968127531261416e-06,0.0,8.142830470855447e-06,0.0
1535,6.669745549256082e-06,0.0,1.2745241552433331e-05,0.0
1536,1.606229794301076e-05,0.0,1.4981563513824117e-05,0.0
1537,1.5333349438151345e-05,0.0,1.4981563513824117e-05,0.0
1538,1.5333349438151345e-05,0.0,9.236715283935024e-06,0.0
1539,1.874610019772912e-05,0.0,7.883965476399421e-06,0.0
1540,1.874610019772912e-05,0.0,7.883965476399421e-06,0.0
1541,1.874610019772912e-05,0.0,7.883965476399421e-06,0.0
1542,1.8368198782679557e-05,0.0,2.236321961390786e-06,0.0
1543,8.97564638892488e-06,0.0,0.0,0.0
1544,1.120132518345989e-05,0.0,1.0989289356595172e-05,0.0
1545,1.1737165388175136e-05,0.0,1.0989289356595172e-05,0.0
1546,4.825577726868298e-06,0.0,1.126899555207014e-05,0.0
1547,4.825577726868298e-06,0.0,1.126899555207014e-05,0.0
1548,1.582352963071441e-05,0.0,1.2160721325926716e-05,0.0
1549,1.4318883294046308e-05,0.0,1.2160721325926716e-05,0.0
1550,2.0803031702598673e-05,0.0,2.729040163883058e-05,0.0
1551,1.8577352908063665e-05,0.0,1.6301112282235408e-05,0.0
1552,1.876262370257921e-05,0.0,1.9185556279158584e-05,0.0
1553,1.8203211311629275e-05,0.0,1.8905850083683617e-05,0.0
1554,1.8203211311629275e-05,0.0,1.8905850083683617e-05,0.0
1555,7.806244411767693e-06,0.0,1.8615109313811574e-05,0.0
1556,9.887996969025283e-06,0.0,1.9655985592440368e-05,0.0
1557,3.403848560472917e-06,0.0,4.526305279536505e-06,0.0
1558,6.8140919730857215e-06,0.0,8.618597218758492e-06,0.0
1559,9.531427557314081e-06,0.0,1.433026994033883e-05,0.0
1560,1.0877498295615493e-05,0.0,1.747110179296994e-05,0.0
1561,1.0877498295615493e-05,0.0,1.747110179296994e-05,0.0
1562,1.027651329163096e-05,0.0,1.6870116788985407e-05,0.0
1563,8.194760734373371e-06,0.0,1.5829240510356613e-05,0.0
1564,8.194760734373371e-06,0.0,2.219088725853778e-05,0.0
1565,4.784517321760566e-06,0.0,1.809859531931579e-05,0.0
1566,1.346070738301413e-06,0.0,9.502478600812278e-06,0.0
1567,0.0,0.0,6.361646748181167e-06,0.0
1568,0.0,0.0,6.361646748181167e-06,0.0
1569,2.970821307306843e-06,0.0,7.104352075007877e-06,0.0
1570,2.970821307306843e-06,0.0,7.104352075007877e-06,0.0
1571,2.970821307306843e-06,0.0,7.427053268267108e-07,0.0
1572,5.050664445401967e-06,0.0,3.862470163897212e-06,0.0
1573,5.050664445401967e-06,0.0,3.862470163897212e-06,0.0
