ngram,juice,jice,juce,juce
1500,5.578518198490201e-07,0.0,0.0,0.0
1501,4.462814558792161e-07,0.0,0.0,0.0
1502,3.7190121323268005e-07,0.0,0.0,0.0
1503,3.1877246848515437e-07,0.0,0.0,0.0
1504,1.8511147053296944e-07,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,1.48955691007099e-06,0.0,0.0,0.0
1521,1.48955691007099e-06,0.0,0.0,0.0
1522,4.663313770184427e-06,0.0,0.0,0.0
1523,5.279358772116081e-06,0.0,0.0,0.0
1524,5.279358772116081e-06,0.0,0.0,0.0
1525,5.279358772116081e-06,0.0,0.0,0.0
1526,5.279358772116081e-06,0.0,0.0,0.0
1527,3.7898018620450913e-06,0.0,0.0,0.0
1528,3.7898018620450913e-06,0.0,0.0,0.0
1529,6.160450019316548e-07,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1532,0.0,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,3.7650956333631515e-07,0.0,0.0,0.0
1536,3.7650956333631515e-07,0.0,0.0,0.0
1537,3.7650956333631515e-07,0.0,0.0,0.0
1538,3.7650956333631515e-07,0.0,0.0,0.0
1539,3.7650956333631515e-07,0.0,0.0,0.0
1540,3.7650956333631515e-07,0.0,0.0,0.0
1541,3.7650956333631515e-07,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,5.594123909499363e-07,0.0,0.0,0.0
1547,5.594123909499363e-07,0.0,0.0,0.0
1548,5.594123909499363e-07,0.0,0.0,0.0
1549,5.594123909499363e-07,0.0,0.0,0.0
1550,5.594123909499363e-07,0.0,0.0,0.0
1551,5.594123909499363e-07,0.0,0.0,0.0
1552,3.4438563878731136e-06,0.0,0.0,0.0
1553,2.884443996923177e-06,0.0,0.0,0.0
1554,2.884443996923177e-06,0.0,0.0,0.0
