ngram,log,lgo,lg,logg
1500,1.997500532979757e-06,0.0,3.2027602969719737e-06,0.0
1501,1.5980004263838055e-06,0.0,2.562208237577579e-06,0.0
1502,2.034510430348746e-06,0.0,2.135173531314649e-06,0.0
1503,1.743866083156068e-06,0.0,1.830148741126842e-06,0.0
1504,1.3428830892995132e-06,0.0,9.255573526648472e-08,0.0
1505,9.181010552440836e-07,0.0,3.156638480764481e-07,0.0
1506,9.181010552440836e-07,0.0,3.156638480764481e-07,0.0
1507,9.181010552440836e-07,0.0,3.156638480764481e-07,0.0
1508,9.181010552440836e-07,0.0,3.156638480764481e-07,0.0
1509,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1510,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1511,3.156638480764481e-07,0.0,3.156638480764481e-07,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1518,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1519,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1520,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1521,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1522,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1523,2.497000969015062e-05,0.0,5.312767825671472e-07,0.0
1524,0.0,0.0,0.0,0.0
1525,0.0,0.0,0.0,0.0
1526,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1527,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1528,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1529,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1530,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1531,1.144169073086232e-05,0.0,3.178247425239533e-06,0.0
1532,1.189260732254687e-05,0.0,4.981913791977734e-06,0.0
1533,4.509165916845502e-07,0.0,1.8036663667382008e-06,0.0
1534,4.509165916845502e-07,0.0,1.8036663667382008e-06,0.0
1535,4.509165916845502e-07,0.0,1.8036663667382008e-06,0.0
1536,4.509165916845502e-07,0.0,2.2509307525199673e-06,0.0
1537,4.509165916845502e-07,0.0,2.2509307525199673e-06,0.0
1538,4.509165916845502e-07,0.0,5.427369322725488e-06,0.0
1539,2.4903334373708016e-06,0.0,3.623702955987288e-06,0.0
1540,2.4903334373708016e-06,0.0,3.623702955987288e-06,0.0
1541,2.4903334373708016e-06,0.0,3.623702955987288e-06,0.0
1542,3.994979774038906e-06,0.0,3.623702955987288e-06,0.0
1543,3.994979774038906e-06,0.0,3.1764385702055212e-06,0.0
1544,4.1340846986973446e-06,0.0,3.1764385702055212e-06,0.0
1545,4.1340846986973446e-06,0.0,0.0,0.0
1546,2.203163652276479e-06,0.0,2.7970619547496814e-07,0.0
1547,5.480304853985477e-06,0.0,2.7970619547496814e-07,0.0
1548,5.480304853985477e-06,0.0,2.7970619547496814e-07,0.0
1549,3.975658517317372e-06,0.0,2.7970619547496814e-07,0.0
1550,4.516004228857387e-06,0.0,2.7970619547496814e-07,0.0
1551,4.376899304198949e-06,0.0,2.7970619547496814e-07,0.0
1552,4.376899304198949e-06,0.0,2.7970619547496814e-07,0.0
1553,3.817486913249013e-06,0.0,0.0,0.0
1554,5.40345711540015e-07,0.0,0.0,0.0
1555,5.40345711540015e-07,0.0,0.0,0.0
1556,5.40345711540015e-07,0.0,1.0408762786287947e-06,0.0
1557,0.0,0.0,1.0408762786287947e-06,0.0
1558,0.0,0.0,1.0408762786287947e-06,0.0
1559,0.0,0.0,1.0408762786287947e-06,0.0
1560,0.0,0.0,1.0408762786287947e-06,0.0
1561,0.0,0.0,1.0408762786287947e-06,0.0
1562,0.0,0.0,1.0408762786287947e-06,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1568,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1569,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1570,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1571,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1572,2.0471920184458474e-06,0.0,6.823973178273133e-07,0.0
1573,2.0471920184458474e-06,0.0,1.9408066691539716e-06,0.0
1574,0.0,0.0,1.2584093513266583e-06,0.0
1575,0.0,0.0,1.2584093513266583e-06,0.0
1576,4.5068044788162555e-07,0.0,1.2584093513266583e-06,0.0
1577,1.0656584078917928e-05,0.0,1.2584093513266583e-06,0.0
1578,1.0656584078917928e-05,0.0,1.2584093513266583e-06,0.0
1579,1.0656584078917928e-05,0.0,1.2584093513266583e-06,0.0
1580,1.0656584078917928e-05,0.0,0.0,0.0
1581,1.0656584078917928e-05,0.0,0.0,0.0
1582,1.0656584078917928e-05,0.0,4.189813742933828e-07,0.0
1583,1.1647771446275459e-05,0.0,4.189813742933828e-07,0.0
1584,1.4418678152391555e-06,0.0,4.189813742933828e-07,0.0
1585,1.4418678152391555e-06,0.0,4.189813742933828e-07,0.0
1586,1.4418678152391555e-06,0.0,4.189813742933828e-07,0.0
1587,4.556583917292301e-06,0.0,4.189813742933828e-07,0.0
1588,4.556583917292301e-06,0.0,1.0884871893982303e-06,0.0
1589,4.743310390559989e-06,0.0,6.695058151048475e-07,0.0
1590,3.3014425753208343e-06,0.0,6.695058151048475e-07,0.0
1591,3.567976039318767e-06,0.0,6.695058151048475e-07,0.0
1592,3.567976039318767e-06,0.0,6.695058151048475e-07,0.0
1593,4.01452949258133e-06,0.0,6.695058151048475e-07,0.0
1594,8.998133905281845e-07,0.0,6.695058151048475e-07,0.0
1595,8.998133905281845e-07,0.0,0.0,0.0
1596,2.1860144962764546e-06,0.0,0.0,0.0
1597,2.1860144962764546e-06,0.0,0.0,0.0
1598,6.38710662315134e-06,0.0,0.0,0.0
1599,6.740840067972645e-06,0.0,5.895557738507964e-07,0.0
1600,6.613804868850691e-06,0.0,5.895557738507964e-07,0.0
1601,7.004452592289974e-06,0.0,5.895557738507964e-07,0.0
1602,7.213254028621512e-06,0.0,5.895557738507964e-07,0.0
1603,5.740326449605553e-06,0.0,1.0016658831903312e-06,0.0
1604,5.910596769354015e-06,0.0,1.0016658831903312e-06,0.0
1605,1.6678449615678152e-06,0.0,1.3389765496997695e-06,0.0
1606,1.714512044210486e-06,0.0,8.295008829658659e-07,0.0
1607,1.3949937900698778e-06,0.0,8.295008829658659e-07,0.0
1608,1.0043460666305952e-06,0.0,8.295008829658659e-07,0.0
1609,1.1728925853406378e-06,0.0,8.295008829658659e-07,0.0
1610,1.300340849346477e-06,0.0,4.1739077362633127e-07,0.0
1611,1.5397196437204132e-06,0.0,4.1739077362633127e-07,0.0
1612,1.3148458606337954e-06,0.0,8.008010711689297e-08,5.380014564642417e-07
1613,1.2340662952478202e-06,0.0,0.0,5.380014564642417e-07
1614,1.5636760427436717e-06,0.0,0.0,5.380014564642417e-07
1615,1.5636760427436717e-06,0.0,0.0,5.380014564642417e-07
1616,1.18632808770209e-06,0.0,0.0,5.380014564642417e-07
1617,1.1824211583189026e-06,0.0,0.0,5.380014564642417e-07
1618,1.0682034680290338e-06,0.0,0.0,5.380014564642417e-07
1619,1.5183414672849591e-06,0.0,0.0,0.0
1620,1.500937246744018e-06,0.0,0.0,0.0
1621,1.3497454948005076e-06,0.0,0.0,0.0
1622,1.4200939030420808e-06,0.0,0.0,0.0
1623,1.4200939030420808e-06,0.0,0.0,0.0
1624,5.627186169476772e-06,0.0,0.0,1.493321925798747e-07
1625,6.577725067862568e-06,0.0,0.0,1.493321925798747e-07
1626,6.816452517861242e-06,0.0,0.0,1.493321925798747e-07
1627,6.833778456893924e-06,0.0,0.0,1.493321925798747e-07
1628,6.7863837135259275e-06,0.0,1.965348863970056e-07,1.493321925798747e-07
1629,6.881093993017982e-06,0.0,1.965348863970056e-07,1.493321925798747e-07
1630,8.43357598309272e-06,0.0,3.690328834896458e-07,1.493321925798747e-07
1631,4.329662325679757e-06,0.0,4.823928553118353e-07,0.0
1632,3.0836920034614323e-06,0.0,4.823928553118353e-07,0.0
1633,2.669012149323992e-06,0.0,4.823928553118353e-07,0.0
1634,3.2133966020150443e-06,0.0,4.823928553118353e-07,0.0
1635,3.2470127767477867e-06,0.0,3.6817768237337335e-07,0.0
1636,3.081954089014159e-06,0.0,3.6817768237337335e-07,0.0
1637,1.6757923536455825e-06,0.0,1.9567968528073315e-07,0.0
1638,1.4490724100012033e-06,0.0,1.4965475056020035e-07,0.0
1639,1.6826831077716115e-06,0.0,4.611356700934266e-07,0.0
1640,1.5113055675491133e-06,0.0,4.611356700934266e-07,0.0
1641,7.071005216273209e-07,0.0,5.805798447714292e-07,0.0
1642,6.504109291784386e-07,0.0,4.982601313128856e-07,0.0
1643,6.504109291784386e-07,0.0,4.982601313128856e-07,0.0
1644,5.040906744722764e-07,0.0,4.982601313128856e-07,0.0
1645,6.02324336438999e-07,0.0,4.3092509421122873e-07,0.0
1646,6.7092885355383e-07,0.0,3.2092099542881313e-07,0.0
1647,6.721663510234066e-07,0.0,4.2496654779305185e-07,0.0
1648,7.4999197100364e-07,0.0,3.5137160888812756e-07,0.0
1649,6.420421365354352e-07,0.0,3.5137160888812756e-07,0.0
1650,8.616428155099649e-07,0.0,3.5137160888812756e-07,0.0
1651,1.0766432215599967e-06,0.0,3.943716900981339e-07,0.0
1652,1.2010951471503567e-06,0.0,3.943716900981339e-07,0.0
1653,8.988799322651175e-07,0.0,2.682706476012494e-07,0.0
1654,8.778007522128714e-07,4.1483186155996266e-08,1.6422509523701073e-07,0.0
1655,7.983560895549349e-07,4.1483186155996266e-08,1.183758594639325e-07,0.0
1656,8.436634207750362e-07,4.1483186155996266e-08,1.6368319068403382e-07,0.0
1657,7.07476041433048e-07,4.1483186155996266e-08,1.914876232181736e-07,0.0
