ngram,maintenance,maintenace,maintnce,mainteance
1500,3.557916329555155e-05,0.0,0.0,0.0
1501,2.8463330636441242e-05,0.0,0.0,0.0
1502,3.1450719537436576e-05,0.0,0.0,0.0
1503,2.6957759603517063e-05,0.0,0.0,0.0
1504,5.5820853698865646e-05,0.0,0.0,0.0
1505,5.2331018585911284e-05,0.0,0.0,0.0
1506,5.2331018585911284e-05,0.0,0.0,0.0
1507,5.2331018585911284e-05,0.0,0.0,0.0
1508,5.2331018585911284e-05,0.0,0.0,0.0
1509,4.570420943699511e-05,0.0,0.0,0.0
1510,4.570420943699511e-05,0.0,0.0,0.0
1511,1.483620040484571e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,0.0,0.0
1515,1.4283056901019466e-06,0.0,0.0,0.0
1516,1.4283056901019466e-06,0.0,0.0,0.0
1517,3.022136037803388e-06,0.0,0.0,0.0
1518,3.022136037803388e-06,0.0,0.0,0.0
1519,3.022136037803388e-06,0.0,0.0,0.0
1520,5.405427145888098e-06,0.0,0.0,0.0
1521,3.977121455786151e-06,0.0,0.0,0.0
1522,3.977121455786151e-06,0.0,0.0,0.0
1523,2.1226381769728115e-05,0.0,0.0,0.0
1524,1.9632551422026673e-05,0.0,0.0,0.0
1525,1.9632551422026673e-05,0.0,0.0,0.0
1526,1.9632551422026673e-05,0.0,0.0,0.0
1527,1.7249260313941966e-05,0.0,0.0,0.0
1528,7.473704213875212e-05,0.0,0.0,0.0
1529,7.473704213875212e-05,0.0,0.0,0.0
1530,5.748778182481017e-05,0.0,0.0,0.0
1531,5.748778182481017e-05,0.0,0.0,0.0
1532,7.236802983762962e-05,0.0,0.0,0.0
1533,7.236802983762962e-05,0.0,0.0,0.0
1534,7.236802983762962e-05,0.0,0.0,0.0
1535,1.826883401788239e-05,0.0,0.0,0.0
1536,4.599922561153237e-05,0.0,0.0,0.0
1537,4.599922561153237e-05,0.0,0.0,0.0
1538,4.599922561153237e-05,0.0,0.0,0.0
1539,0.00013488287264148572,0.0,0.0,0.0
1540,0.00013488287264148572,0.0,0.0,0.0
1541,0.00013488287264148572,0.0,0.0,0.0
1542,0.0001375128719830952,0.0,0.0,0.0
1543,0.00010978248038944522,0.0,0.0,0.0
1544,0.00011186905430804472,0.0,0.0,0.0
1545,0.0001134765748897085,0.0,0.0,0.0
1546,1.2789447932196449e-05,0.0,0.0,0.0
1547,1.2789447932196449e-05,0.0,0.0,0.0
1548,5.737573870387028e-05,0.0,0.0,0.0
1549,5.2569811097263095e-05,0.0,0.0,0.0
1550,6.445741720589078e-05,0.0,0.0,0.0
1551,6.237084328729128e-05,0.0,0.0,0.0
1552,7.806998616745529e-05,0.0,0.0,0.0
1553,7.499321808219455e-05,0.0,0.0,0.0
1554,7.499321808219455e-05,0.0,0.0,0.0
1555,3.882071736630418e-05,0.0,0.0,0.0
1556,3.8648935904867745e-05,0.0,0.0,0.0
1557,2.6761329796240068e-05,0.0,0.0,0.0
1558,3.767410830083203e-05,0.0,0.0,0.0
1559,2.0367444839004228e-05,0.0,0.0,0.0
1560,2.171351557730564e-05,0.0,0.0,0.0
1561,2.171351557730564e-05,0.0,0.0,0.0
1562,1.3299725521522174e-05,0.0,0.0,0.0
1563,1.2713470953583186e-05,0.0,0.0,0.0
1564,1.2713470953583186e-05,0.0,0.0,0.0
1565,1.8006924489912178e-06,0.0,0.0,0.0
1566,1.7030056499476943e-05,0.0,0.0,0.0
1567,1.909597228534819e-05,0.0,0.0,0.0
1568,1.909597228534819e-05,0.0,0.0,0.0
1569,2.2066793592655032e-05,0.0,0.0,0.0
1570,2.161217188196523e-05,0.0,0.0,0.0
1571,2.161217188196523e-05,0.0,0.0,0.0
1572,2.9931544434345725e-05,0.0,0.0,0.0
1573,1.8477408437839976e-05,0.0,0.0,0.0
1574,2.0512537438272765e-05,0.0,0.0,0.0
1575,2.3027096696231248e-05,0.0,0.0,0.0
1576,2.1858997180450907e-05,0.0,0.0,0.0
1577,2.9513425163583763e-05,0.0,0.0,0.0
1578,3.047707761132707e-05,0.0,0.0,0.0
1579,2.4097969474366566e-05,0.0,0.0,0.0
1580,2.725596712999894e-05,0.0,0.0,0.0
1581,2.536869598251152e-05,0.0,0.0,0.0
1582,3.081478273868145e-05,0.0,0.0,0.0
1583,4.415167294220217e-05,0.0,0.0,0.0
1584,3.919457965041927e-05,0.0,0.0,0.0
1585,4.125041661089719e-05,0.0,0.0,0.0
1586,4.1466833733595975e-05,0.0,0.0,0.0
1587,3.487968758366021e-05,0.0,0.0,0.0
1588,3.3328360651856724e-05,0.0,0.0,0.0
1589,3.619784969747083e-05,0.0,0.0,0.0
1590,2.2098140302010245e-05,0.0,0.0,0.0
1591,2.0200406002654097e-05,0.0,0.0,0.0
1592,1.777788838808192e-05,0.0,0.0,0.0
1593,1.9416911267658827e-05,0.0,0.0,0.0
1594,2.81229368478567e-05,0.0,0.0,0.0
1595,2.611441940254216e-05,0.0,0.0,0.0
1596,2.2228085656804198e-05,0.0,0.0,0.0
1597,2.9783591409276206e-05,0.0,0.0,0.0
1598,4.313884476557307e-05,4.423391633931065e-08,0.0,0.0
1599,4.973445278925023e-05,4.423391633931065e-08,0.0,0.0
1600,5.200959536263586e-05,4.423391633931065e-08,0.0,0.0
1601,4.53013765633971e-05,4.423391633931065e-08,0.0,0.0
1602,4.832899737396344e-05,4.423391633931065e-08,0.0,0.0
1603,4.344574660665655e-05,4.423391633931065e-08,0.0,0.0
1604,4.183142157541754e-05,4.423391633931065e-08,0.0,0.0
1605,3.183673275738589e-05,0.0,0.0,0.0
1606,2.968919956661661e-05,0.0,0.0,0.0
1607,2.6604340876344524e-05,0.0,0.0,0.0
1608,2.6856263372922384e-05,0.0,0.0,0.0
1609,2.5338034382522373e-05,0.0,0.0,0.0
1610,2.4806862971412818e-05,0.0,0.0,0.0
1611,2.4072928811490003e-05,0.0,0.0,0.0
1612,2.26027711635522e-05,0.0,0.0,0.0
1613,2.331090165950757e-05,0.0,0.0,0.0
1614,2.3291401053679044e-05,0.0,0.0,0.0
1615,3.745709519924796e-05,3.809432525615973e-07,0.0,0.0
1616,4.0272797637693915e-05,3.809432525615973e-07,0.0,0.0
1617,4.121424509711298e-05,3.809432525615973e-07,0.0,0.0
1618,4.589805809830848e-05,4.794203911322776e-07,0.0,0.0
1619,4.48960683050765e-05,4.794203911322776e-07,0.0,0.0
1620,5.052638880442828e-05,4.794203911322776e-07,0.0,0.0
1621,5.237718687567394e-05,4.794203911322776e-07,0.0,0.0
1622,4.32836602288132e-05,9.847713857068032e-08,0.0,0.0
1623,4.13832936568984e-05,9.847713857068032e-08,0.0,0.0
1624,3.965912804103157e-05,9.847713857068032e-08,0.0,0.0
1625,3.163543013735242e-05,0.0,0.0,0.0
1626,3.132514354677239e-05,0.0,0.0,0.0
1627,2.233821591549453e-05,0.0,0.0,0.0
1628,2.5840906606130636e-05,0.0,0.0,0.0
1629,2.1804221432830673e-05,0.0,0.0,0.0
1630,2.3001951636355704e-05,8.624899854632012e-08,0.0,0.0
1631,2.435245018464879e-05,8.624899854632012e-08,0.0,0.0
1632,2.6209744906477033e-05,8.624899854632012e-08,0.0,0.0
1633,3.1001189849381004e-05,8.624899854632012e-08,0.0,0.0
1634,3.317109193241257e-05,8.624899854632012e-08,0.0,0.0
1635,2.6909108263290754e-05,8.624899854632012e-08,0.0,0.0
1636,2.718581552991444e-05,8.624899854632012e-08,0.0,0.0
1637,2.6782403178263587e-05,0.0,0.0,0.0
1638,2.9331360955049085e-05,0.0,0.0,0.0
1639,3.282104639116109e-05,0.0,0.0,0.0
1640,3.096980890404666e-05,0.0,0.0,1.028080548946621e-07
1641,3.147971425018373e-05,0.0,0.0,1.028080548946621e-07
1642,3.417151440641776e-05,0.0,0.0,1.028080548946621e-07
1643,3.3605446463168066e-05,0.0,0.0,1.028080548946621e-07
1644,3.5061135609534434e-05,0.0,0.0,1.028080548946621e-07
1645,3.655462205642834e-05,0.0,0.0,1.028080548946621e-07
1646,3.2531390908323896e-05,0.0,0.0,1.028080548946621e-07
1647,3.19590924066558e-05,1.040455523642387e-07,0.0,0.0
1648,3.3118211181967384e-05,1.040455523642387e-07,0.0,0.0
1649,3.126284588818505e-05,1.040455523642387e-07,0.0,0.0
1650,2.945812021997491e-05,1.040455523642387e-07,0.0,0.0
1651,2.7535390732477287e-05,1.040455523642387e-07,0.0,0.0
1652,2.512577053234314e-05,1.040455523642387e-07,0.0,0.0
1653,2.5718807072345434e-05,1.040455523642387e-07,0.0,0.0
1654,2.3964360090238707e-05,0.0,0.0,0.0
1655,2.1912283045821823e-05,0.0,0.0,0.0
1656,2.3956354458018074e-05,0.0,0.0,0.0
1657,2.5839094762756887e-05,0.0,0.0,0.0
1658,3.070050973162454e-05,0.0,0.0,0.0
1659,2.9640402447382386e-05,0.0,0.0,0.0
1660,3.0508763562206047e-05,0.0,0.0,0.0
1661,3.389240321536947e-05,0.0,0.0,0.0
1662,3.198257633942246e-05,0.0,0.0,0.0
1663,2.9277706614396137e-05,0.0,0.0,0.0
1664,2.786221349586932e-05,0.0,0.0,0.0
1665,2.5407512761635837e-05,0.0,0.0,0.0
1666,2.5254385556244025e-05,0.0,0.0,0.0
1667,2.712336442657813e-05,0.0,0.0,0.0
1668,2.3279894516495654e-05,0.0,0.0,0.0
1669,2.319295098069623e-05,0.0,0.0,0.0
1670,2.2814481651169315e-05,0.0,0.0,0.0
1671,2.4721048898105176e-05,0.0,0.0,0.0
1672,2.0693957074919516e-05,0.0,0.0,0.0
1673,2.1715438379033003e-05,0.0,0.0,0.0
1674,1.72769789839679e-05,0.0,0.0,3.2530524306041893e-08
1675,1.8697007232861195e-05,0.0,0.0,3.2530524306041893e-08
1676,1.938777469539283e-05,0.0,0.0,3.2530524306041893e-08
1677,2.0857648321128052e-05,0.0,0.0,3.2530524306041893e-08
1678,1.9994170413286027e-05,0.0,0.0,3.2530524306041893e-08
1679,2.8852618665301373e-05,0.0,0.0,3.2530524306041893e-08
1680,2.9622647291814375e-05,0.0,0.0,3.2530524306041893e-08
1681,2.929669790319167e-05,0.0,0.0,0.0
1682,2.8300927234730417e-05,0.0,0.0,0.0
1683,2.8557057573509936e-05,0.0,0.0,0.0
1684,2.637166549642903e-05,0.0,0.0,0.0
1685,2.5263884059053714e-05,0.0,0.0,0.0
1686,1.745651544687072e-05,0.0,0.0,0.0
1687,1.471385985496454e-05,0.0,0.0,0.0
1688,1.3035076725438038e-05,0.0,0.0,0.0
1689,1.5562562761520633e-05,0.0,0.0,0.0
1690,1.770467016675476e-05,0.0,0.0,0.0
1691,1.7935127548948264e-05,0.0,0.0,0.0
1692,1.724977404852065e-05,0.0,0.0,0.0
1693,1.625841222059015e-05,0.0,0.0,0.0
1694,1.608278515569899e-05,0.0,0.0,0.0
1695,1.6561788080642665e-05,0.0,0.0,0.0
1696,1.3763498048189962e-05,0.0,0.0,0.0
1697,1.084625507376456e-05,0.0,0.0,0.0
1698,1.6041170575980296e-05,0.0,0.0,0.0
1699,1.622441361957629e-05,0.0,0.0,0.0
1700,1.5903924317431768e-05,0.0,0.0,0.0
1701,1.5190621135323973e-05,0.0,0.0,0.0
1702,1.4648114366926685e-05,0.0,0.0,0.0
1703,1.4740932978643936e-05,0.0,0.0,0.0
1704,1.3984948899243526e-05,0.0,0.0,0.0
1705,8.289925907385104e-06,0.0,0.0,0.0
1706,8.070568518243298e-06,0.0,0.0,0.0
1707,7.722267875059125e-06,0.0,0.0,0.0
1708,7.363908350401159e-06,0.0,0.0,0.0
1709,7.331340709372723e-06,0.0,0.0,0.0
1710,6.362812005785859e-06,0.0,0.0,0.0
1711,5.128693601363921e-06,0.0,0.0,0.0
1712,4.53028764825701e-06,0.0,0.0,0.0
1713,4.501977286963665e-06,0.0,0.0,0.0
1714,5.31944726844813e-06,0.0,0.0,0.0
1715,5.555928981136406e-06,0.0,0.0,0.0
1716,4.7994513384505155e-06,0.0,0.0,0.0
1717,4.296001455778813e-06,0.0,0.0,0.0
1718,5.592170655940468e-06,0.0,0.0,0.0
1719,5.7420169079185664e-06,0.0,0.0,0.0
1720,5.3494144854734515e-06,0.0,0.0,0.0
1721,4.657633326132782e-06,0.0,0.0,0.0
1722,4.9374173483686586e-06,0.0,0.0,0.0
1723,5.980905923154621e-06,0.0,0.0,0.0
1724,6.89053003303083e-06,0.0,0.0,0.0
1725,5.520170459151684e-06,0.0,0.0,0.0
1726,5.750263491271264e-06,0.0,0.0,0.0
1727,5.493458762170381e-06,0.0,0.0,0.0
1728,5.674598144521172e-06,0.0,0.0,6.479559999661433e-09
1729,5.477216486074862e-06,0.0,0.0,6.479559999661433e-09
1730,4.495408672612809e-06,0.0,0.0,6.479559999661433e-09
1731,3.544864447186618e-06,6.966739566191141e-09,0.0,6.479559999661433e-09
1732,3.5511554870026885e-06,6.966739566191141e-09,0.0,6.479559999661433e-09
1733,3.854999347043174e-06,6.966739566191141e-09,0.0,6.479559999661433e-09
1734,4.3983884552289965e-06,6.966739566191141e-09,0.0,6.479559999661433e-09
1735,4.299767397242249e-06,6.966739566191141e-09,0.0,0.0
1736,4.70991143889218e-06,6.966739566191141e-09,0.0,0.0
1737,5.178569153940771e-06,6.966739566191141e-09,0.0,0.0
1738,6.10006541787048e-06,0.0,0.0,0.0
1739,6.827087677915447e-06,0.0,0.0,0.0
1740,6.2610575111778284e-06,0.0,0.0,0.0
1741,5.521692206197518e-06,0.0,0.0,0.0
1742,5.403157306968101e-06,0.0,0.0,0.0
1743,4.789228276942075e-06,0.0,0.0,0.0
1744,4.716418808519458e-06,0.0,0.0,0.0
1745,4.035112527032782e-06,0.0,0.0,0.0
1746,4.038122369820485e-06,0.0,0.0,0.0
1747,4.551319794440392e-06,0.0,0.0,0.0
1748,5.997469478253541e-06,0.0,0.0,0.0
1749,6.614151256404252e-06,0.0,0.0,0.0
1750,7.493633639959236e-06,0.0,0.0,0.0
1751,8.465796749338292e-06,0.0,0.0,0.0
1752,9.781512224955285e-06,0.0,0.0,0.0
1753,1.0043614565802272e-05,0.0,0.0,0.0
1754,1.0672447777843835e-05,0.0,0.0,0.0
1755,1.0931659484672959e-05,0.0,0.0,0.0
1756,1.1642415691832347e-05,0.0,0.0,0.0
1757,1.2439791005038256e-05,0.0,0.0,0.0
1758,1.317768913265484e-05,0.0,0.0,0.0
1759,1.3552167079719116e-05,0.0,0.0,0.0
1760,1.5469232104286285e-05,0.0,0.0,0.0
1761,1.6821677620880238e-05,0.0,0.0,0.0
1762,1.8092754414413192e-05,0.0,0.0,0.0
1763,1.8858345616276244e-05,0.0,0.0,0.0
1764,1.8909487932562896e-05,0.0,0.0,0.0
1765,1.8963861683524946e-05,0.0,0.0,0.0
1766,1.901003543025581e-05,0.0,0.0,0.0
1767,1.7322734493063763e-05,0.0,0.0,0.0
1768,1.6611511974977994e-05,0.0,0.0,0.0
1769,1.5499013638223653e-05,0.0,0.0,0.0
1770,1.4938650435526921e-05,0.0,0.0,1.1531686335989174e-08
1771,1.4583231339721741e-05,0.0,0.0,1.1531686335989174e-08
1772,1.4407462393657105e-05,0.0,0.0,1.1531686335989174e-08
1773,1.5272612472472247e-05,0.0,0.0,1.1531686335989174e-08
1774,1.687708676659635e-05,0.0,0.0,1.1531686335989174e-08
1775,1.798315679479856e-05,0.0,0.0,1.1531686335989174e-08
1776,1.7410177471382277e-05,2.712369503602271e-09,0.0,1.1531686335989174e-08
1777,1.7007359799338572e-05,2.712369503602271e-09,0.0,0.0
1778,1.793244934690717e-05,2.712369503602271e-09,0.0,0.0
1779,1.842052811947984e-05,2.712369503602271e-09,0.0,0.0
1780,1.7712556915025095e-05,2.712369503602271e-09,0.0,0.0
1781,1.7550175990826184e-05,2.712369503602271e-09,0.0,0.0
1782,1.6347638198307584e-05,2.712369503602271e-09,0.0,2.1581334814462546e-09
1783,1.7093265341827646e-05,0.0,0.0,2.1581334814462546e-09
1784,1.802932482470559e-05,0.0,0.0,2.1581334814462546e-09
1785,1.7811185638752898e-05,0.0,0.0,2.1581334814462546e-09
1786,1.9191029683237764e-05,0.0,0.0,2.1581334814462546e-09
