ngram,map,mp,ma,amp
1500,1.7007116639433661e-06,9.356269856652943e-07,4.273685817679507e-06,4.6781349283264717e-07
1501,1.360569331154693e-06,7.485015885322354e-07,3.4189486541436052e-06,3.742507942661177e-07
1502,1.4839253860069826e-05,7.994621758674233e-07,2.8491238784530046e-06,3.1187566188843146e-07
1503,1.2719360451488423e-05,6.852532936006485e-07,2.4421061815311466e-06,2.673219959043698e-07
1504,1.2719360451488423e-05,1.506093017919089e-07,4.058636087782881e-06,0.0
1505,1.1747525214949356e-05,1.506093017919089e-07,4.665120026662148e-06,0.0
1506,3.455479600233957e-05,5.3367574472369074e-05,4.665120026662148e-06,0.0
1507,3.455479600233957e-05,5.3367574472369074e-05,4.665120026662148e-06,0.0
1508,3.455479600233957e-05,5.3367574472369074e-05,4.665120026662148e-06,0.0
1509,2.2807270787390216e-05,5.321696517057717e-05,4.665120026662148e-06,0.0
1510,2.2807270787390216e-05,5.321696517057717e-05,4.665120026662148e-06,0.0
1511,2.2807270787390216e-05,5.321696517057717e-05,1.5783191754183333e-06,0.0
1512,2.2807270787390216e-05,5.321696517057717e-05,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,1.7139669320645875e-06,0.0
1515,0.0,0.0,1.7139669320645875e-06,0.0
1516,0.0,0.0,1.7139669320645875e-06,0.0
1517,1.1156812044126646e-05,0.0,2.7765204971988818e-06,0.0
1518,1.1156812044126646e-05,0.0,2.7765204971988818e-06,0.0
1519,1.1156812044126646e-05,0.0,2.7765204971988818e-06,0.0
1520,1.2646368954197637e-05,2.979113885105887e-07,5.755634317340862e-06,0.0
1521,1.2646368954197637e-05,2.979113885105887e-07,4.041667385276274e-06,0.0
1522,1.899388267442451e-05,2.979113885105887e-07,4.041667385276274e-06,0.0
1523,2.022597267828782e-05,2.979113885105887e-07,5.273757389139584e-06,0.0
1524,5.03627230240714e-05,1.6815336136590175e-05,2.0728628572084873e-05,0.0
1525,0.00010307753486163815,0.0003858190106841773,2.0728628572084873e-05,0.0
1526,0.00010307753486163815,0.0003858190106841773,2.0728628572084873e-05,0.0
1527,0.00010158797795156715,0.0003855210992956667,1.7749514751942896e-05,0.0
1528,0.00010263321038499791,0.0003855210992956667,1.7749514751942896e-05,0.0
1529,9.628569666477103e-05,0.0003855210992956667,1.7749514751942896e-05,0.0
1530,0.0001110904741575983,0.00040010006965271065,2.307796135677823e-05,7.289485048594153e-07
1531,7.554175999757717e-05,0.00038358264490463104,6.5605366086986446e-06,7.289485048594153e-07
1532,2.2826948160010424e-05,1.4578970357043935e-05,7.462369792067745e-06,7.289485048594153e-07
1533,8.668085196664574e-05,5.4487660236191005e-05,7.462369792067745e-06,7.289485048594153e-07
1534,8.668085196664574e-05,5.4487660236191005e-05,1.027131117682854e-05,7.289485048594153e-07
1535,8.638863865988762e-05,5.486416979952732e-05,1.4412916438491915e-05,7.289485048594153e-07
1536,9.041401803447766e-05,6.246766452022712e-05,1.4860180824273681e-05,7.289485048594153e-07
1537,7.437715053778707e-05,0.00011903269173022377,8.299644215575036e-06,0.0
1538,0.00017345477850280337,0.00016667927106287346,1.782895966633597e-05,9.529315450760936e-06
1539,0.00017428488964859362,0.00016667927106287346,1.692712648296687e-05,1.2849760033922003e-05
1540,0.00011043098584195832,0.0001267705811837264,1.692712648296687e-05,1.2849760033922003e-05
1541,0.0004857423086182929,0.0001267705811837264,1.4118185098206076e-05,4.696897251830835e-05
1542,0.0004849892894916203,0.0001263940716203901,1.298587250987891e-05,4.847361885497646e-05
1543,0.0006634997919588516,0.00014160756212991795,1.2538608124097144e-05,5.988211147009029e-05
