ngram,math,mat,mth,math
1500,4.6781349283264717e-07,1.8893580886469863e-06,0.0,4.6781349283264717e-07
1501,3.742507942661177e-07,1.511486470917589e-06,0.0,3.742507942661177e-07
1502,4.875865139789918e-07,1.4352829111885512e-06,0.0,4.875865139789918e-07
1503,4.179312976962787e-07,1.2302424953044725e-06,0.0,4.179312976962787e-07
1504,1.506093017919089e-07,4.2827650759136304e-07,0.0,1.506093017919089e-07
1505,1.506093017919089e-07,1.506093017919089e-07,0.0,1.506093017919089e-07
1506,1.506093017919089e-07,1.506093017919089e-07,0.0,1.506093017919089e-07
1507,1.506093017919089e-07,1.506093017919089e-07,0.0,1.506093017919089e-07
1508,1.506093017919089e-07,1.506093017919089e-07,0.0,1.506093017919089e-07
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,2.8566114451678004e-07,0.0,0.0
1515,0.0,2.8566114451678004e-07,0.0,0.0
1516,0.0,2.8566114451678004e-07,0.0,0.0
1517,0.0,2.8566114451678004e-07,0.0,0.0
1518,0.0,2.8566114451678004e-07,0.0,0.0
1519,0.0,2.8566114451678004e-07,0.0,0.0
1520,2.979113885105887e-07,8.814839215379575e-07,0.0,2.979113885105887e-07
1521,2.979113885105887e-07,5.958227770211774e-07,0.0,2.979113885105887e-07
1522,2.979113885105887e-07,2.281212157738212e-05,0.0,2.979113885105887e-07
1523,2.979113885105887e-07,2.3428166579313775e-05,0.0,2.979113885105887e-07
1524,2.979113885105887e-07,2.5492844672823723e-05,0.0,2.979113885105887e-07
1525,2.979113885105887e-07,2.5492844672823723e-05,0.0,2.979113885105887e-07
1526,2.979113885105887e-07,2.5492844672823723e-05,0.0,2.979113885105887e-07
1527,0.0,2.4897021895802546e-05,0.0,0.0
1528,0.0,2.4897021895802546e-05,0.0,0.0
1529,0.0,2.6807230954416028e-06,0.0,0.0
1530,0.0,2.7936265983693635e-06,0.0,0.0
1531,0.0,7.289485048594153e-07,0.0,0.0
1532,0.0,2.0816983123950195e-06,0.0,0.0
1533,0.0,2.0816983123950195e-06,0.0,0.0
1534,0.0,3.4861690047754176e-06,0.0,0.0
1535,0.0,3.4861690047754176e-06,0.0,0.0
1536,0.0,3.933433390557184e-06,0.0,0.0
1537,0.0,3.2044848856977685e-06,0.0,0.0
1538,0.0,3.2044848856977685e-06,0.0,0.0
1539,8.301111457902672e-07,1.8517350781621644e-06,0.0,8.301111457902672e-07
1540,8.301111457902672e-07,1.8517350781621644e-06,0.0,8.301111457902672e-07
1541,8.301111457902672e-07,6.868568935455446e-05,0.0,8.301111457902672e-07
1542,8.301111457902672e-07,6.868568935455446e-05,0.0,8.301111457902672e-07
1543,8.301111457902672e-07,6.82384249687727e-05,0.0,8.301111457902672e-07
1544,8.301111457902672e-07,6.82384249687727e-05,0.0,8.301111457902672e-07
1545,5.116832783512239e-06,6.984594555043648e-05,0.0,5.116832783512239e-06
1546,4.2867216377219715e-06,7.040535794138642e-05,0.0,4.2867216377219715e-06
1547,4.2867216377219715e-06,7.040535794138642e-05,0.0,4.2867216377219715e-06
1548,4.2867216377219715e-06,2.4641749080598984e-06,0.0,4.2867216377219715e-06
1549,7.924694727989845e-06,4.889490388190357e-06,0.0,7.924694727989845e-06
