ngram,meaning,meanng,mening,meainng
1500,4.998470103600994e-05,0.0,0.0,0.0
1501,3.998776082880795e-05,0.0,0.0,0.0
1502,9.288911436063547e-05,0.0,0.0,0.0
1503,8.854390762280673e-05,0.0,0.0,0.0
1504,8.399943388732416e-05,0.0,0.0,0.0
1505,7.734273302568389e-05,0.0,0.0,0.0
1506,7.734273302568389e-05,0.0,0.0,0.0
1507,7.734273302568389e-05,0.0,0.0,0.0
1508,7.734273302568389e-05,0.0,0.0,0.0
1509,2.6286178451430586e-05,0.0,0.0,0.0
1510,1.7361511709168553e-05,0.0,0.0,0.0
1511,1.7361511709168553e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,2.9820905963008826e-06,0.0,0.0,0.0
1518,2.9820905963008826e-06,0.0,0.0,0.0
1519,2.9820905963008826e-06,0.0,0.0,0.0
1520,9.83405269445419e-06,0.0,0.0,0.0
1521,8.977069228421897e-06,0.0,0.0,0.0
1522,1.2150826088535333e-05,0.0,0.0,0.0
1523,1.707918610398857e-05,0.0,0.0,0.0
1524,1.4954078973719983e-05,0.0,0.0,0.0
1525,1.4954078973719983e-05,0.0,0.0,0.0
1526,1.749667691391161e-05,0.0,0.0,0.0
1527,1.0644714815758302e-05,0.0,0.0,0.0
1528,1.0644714815758302e-05,0.0,0.0,0.0
1529,7.470957955644865e-06,0.0,0.0,0.0
1530,2.5425979401916265e-06,0.0,0.0,0.0
1531,8.87153229476618e-05,0.0,0.0,0.0
1532,8.96171561310309e-05,0.0,0.0,0.0
1533,8.707455819083927e-05,0.0,0.0,0.0
1534,8.707455819083927e-05,0.0,0.0,0.0
1535,9.385173020096513e-05,0.0,0.0,0.0
1536,0.00010056069582528185,0.0,0.0,0.0
1537,0.00010056069582528185,0.0,0.0,0.0
1538,1.4387970817811688e-05,0.0,0.0,0.0
1539,1.4316248780232854e-05,0.0,0.0,0.0
1540,1.4316248780232854e-05,0.0,0.0,0.0
1541,1.4316248780232854e-05,0.0,0.0,0.0
1542,1.656695504997125e-05,0.0,0.0,0.0
1543,9.857989425654523e-06,0.0,0.0,0.0
1544,1.61177109215974e-05,0.0,0.0,0.0
1545,1.7457311384662588e-05,0.0,0.0,0.0
1546,1.6906906434347286e-05,0.0,0.0,0.0
1547,2.3461188837765284e-05,0.0,0.0,0.0
1548,2.613636615933501e-05,0.0,0.0,0.0
1549,1.7108487879470757e-05,0.0,0.0,0.0
1550,2.737505636624909e-05,0.0,0.0,0.0
1551,5.1810897470464366e-05,0.0,4.722394286155966e-06,0.0
1552,6.633573886054884e-05,0.0,4.722394286155966e-06,0.0
1553,6.605603266507387e-05,0.0,4.722394286155966e-06,0.0
1554,5.9501750261655874e-05,0.0,4.722394286155966e-06,0.0
1555,6.043248296399335e-05,0.0,4.722394286155966e-06,0.0
1556,6.355511192980754e-05,0.0,4.722394286155966e-06,0.0
