ngram,mind,mnd,miind,mid
1500,8.268686542578507e-06,8.098626835817413e-08,0.0,2.042278509861717e-06
1501,6.6149492340628054e-06,6.47890146865393e-08,0.0,1.6338228078893735e-06
1502,1.956932646862697e-05,5.3990845572116086e-08,0.0,1.361519006574478e-06
1503,3.462304188620432e-05,4.627786763324236e-08,0.0,1.1670162913495524e-06
1504,3.8524406720950666e-05,4.627786763324236e-08,0.0,2.313893381662118e-07
1505,3.7649999025493995e-05,0.0,0.0,3.156638480764481e-07
1506,3.7649999025493995e-05,0.0,0.0,3.156638480764481e-07
1507,3.7649999025493995e-05,0.0,0.0,3.156638480764481e-07
1508,3.7649999025493995e-05,0.0,0.0,3.156638480764481e-07
1509,2.5601254362430025e-05,0.0,0.0,3.156638480764481e-07
1510,7.751920877905962e-06,0.0,0.0,3.156638480764481e-07
1511,1.5783191754183333e-06,0.0,0.0,3.156638480764481e-07
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999627940157162e-05,0.0,0.0,5.713222890335601e-07
1515,1.999627940157162e-05,0.0,0.0,5.713222890335601e-07
1516,1.999627940157162e-05,0.0,0.0,5.713222890335601e-07
1517,2.4777770574603763e-05,0.0,0.0,1.6338758541678544e-06
1518,2.4777770574603763e-05,0.0,0.0,1.6338758541678544e-06
1519,2.4777770574603763e-05,0.0,0.0,1.6338758541678544e-06
1520,4.622739132693303e-05,2.979113885105887e-07,0.0,2.527610052181574e-06
1521,2.623111192536141e-05,2.979113885105887e-07,0.0,1.956287763148014e-06
1522,3.257862564558829e-05,2.979113885105887e-07,0.0,1.956287763148014e-06
1523,3.9971165928623774e-05,2.979113885105887e-07,0.0,3.1883777670113237e-06
1524,3.5189674755591636e-05,2.979113885105887e-07,0.0,4.1905022953869775e-06
1525,3.5189674755591636e-05,2.979113885105887e-07,0.0,4.1905022953869775e-06
1526,3.9003571665879076e-05,2.979113885105887e-07,0.0,6.733100235578604e-06
1527,7.560236398213809e-05,0.0,0.0,5.8393660375648845e-06
1528,7.560236398213809e-05,0.0,0.0,1.420122550501089e-05
1529,6.925485026191122e-05,0.0,0.0,1.420122550501089e-05
1530,6.259125848373515e-05,0.0,0.0,1.296913550114758e-05
1531,6.259125848373515e-05,0.0,0.0,1.6649305637526724e-05
1532,6.349309166710424e-05,0.0,0.0,1.8452972004264927e-05
1533,5.967919475681681e-05,0.0,0.0,1.59103740640733e-05
1534,1.0057605582655274e-05,0.0,0.0,1.59103740640733e-05
1535,3.641327566583641e-05,0.0,0.0,7.548514596627294e-06
1536,3.6860540051618174e-05,0.0,0.0,7.548514596627294e-06
1537,3.613159154675876e-05,0.0,0.0,7.548514596627294e-06
1538,3.613159154675876e-05,0.0,0.0,1.8036663667382008e-06
1539,3.522975836338966e-05,0.0,0.0,2.4903334373708016e-06
1540,3.522975836338966e-05,0.0,0.0,2.4903334373708016e-06
1541,2.6802934468962902e-05,0.0,0.0,2.4903334373708016e-06
1542,2.151231335899086e-05,0.0,0.0,2.4903334373708016e-06
1543,2.1065048973209093e-05,0.0,0.0,2.4903334373708016e-06
1544,4.137436709632831e-05,1.391049246584381e-07,0.0,2.4903334373708016e-06
1545,4.70006894569711e-05,1.391049246584381e-07,0.0,3.026173642086048e-06
1546,5.035716380267071e-05,1.391049246584381e-07,0.0,8.155464001902146e-07
1547,5.691144620608871e-05,1.391049246584381e-07,0.0,4.092687601899213e-06
1548,6.731491391422293e-05,1.391049246584381e-07,0.0,4.6871714727915655e-06
1549,4.86751804211443e-05,1.391049246584381e-07,0.0,4.6871714727915655e-06
1550,6.00224406558222e-05,1.391049246584381e-07,0.0,7.388900062973594e-06
1551,3.971312253270298e-05,0.0,0.0,7.388900062973594e-06
1552,4.3461242707313173e-05,0.0,0.0,8.295281856719936e-06
1553,4.010476836161355e-05,0.0,0.0,8.01557566124497e-06
1554,4.2807088123351734e-05,0.0,0.0,4.73843445953597e-06
1555,3.300460541920204e-05,0.0,0.0,4.1439505886436175e-06
1556,3.890630016810194e-05,0.0,0.0,6.225703145901207e-06
1557,2.7559039933424045e-05,0.0,0.0,3.523974555719178e-06
