ngram,moment,moment,momet,momnt
1500,2.2404593096325698e-06,2.2404593096325698e-06,0.0,0.0
1501,1.792367447706056e-06,1.792367447706056e-06,0.0,0.0
1502,8.170651843405116e-06,8.170651843405116e-06,0.0,0.0
1503,2.4852749350299875e-05,2.4852749350299875e-05,0.0,0.0
1504,2.445176635644332e-05,2.445176635644332e-05,0.0,0.0
1505,2.5150806063071025e-05,2.5150806063071025e-05,0.0,0.0
1506,2.5150806063071025e-05,2.5150806063071025e-05,0.0,0.0
1507,2.5150806063071025e-05,2.5150806063071025e-05,0.0,0.0
1508,2.5150806063071025e-05,2.5150806063071025e-05,0.0,0.0
1509,1.9427652659942396e-05,1.9427652659942396e-05,0.0,0.0
1510,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1511,1.5783191754183333e-06,1.5783191754183333e-06,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.999628044099414e-06,1.999628044099414e-06,0.0,0.0
1515,1.999628044099414e-06,1.999628044099414e-06,0.0,0.0
1516,1.999628044099414e-06,1.999628044099414e-06,0.0,0.0
1517,7.843672522410219e-06,7.843672522410219e-06,0.0,0.0
1518,7.843672522410219e-06,7.843672522410219e-06,0.0,0.0
1519,7.843672522410219e-06,7.843672522410219e-06,0.0,0.0
1520,1.7972659926661955e-05,1.7972659926661955e-05,0.0,0.0
1521,1.5973031882562543e-05,1.5973031882562543e-05,0.0,0.0
1522,2.2320545602789415e-05,2.2320545602789415e-05,0.0,0.0
1523,2.8480995492178147e-05,2.8480995492178147e-05,0.0,0.0
1524,2.2636951013867345e-05,2.2636951013867345e-05,0.0,0.0
1525,2.2636951013867345e-05,2.2636951013867345e-05,0.0,0.0
1526,8.493059846971716e-05,8.493059846971716e-05,0.0,0.0
1527,7.480161106546543e-05,7.480161106546543e-05,0.0,0.0
1528,7.480161106546543e-05,7.480161106546543e-05,0.0,0.0
1529,6.845409734523855e-05,6.845409734523855e-05,0.0,0.0
1530,6.375154446556865e-05,6.375154446556865e-05,0.0,0.0
1531,6.375154446556865e-05,6.375154446556865e-05,0.0,0.0
1532,6.375154446556865e-05,6.375154446556865e-05,0.0,0.0
1533,1.4578970097188306e-06,1.4578970097188306e-06,0.0,0.0
1534,2.8623677020992285e-06,2.8623677020992285e-06,0.0,0.0
1535,3.615386828771859e-06,3.615386828771859e-06,0.0,0.0
1536,3.615386828771859e-06,3.615386828771859e-06,0.0,0.0
1537,2.157489819053028e-06,2.157489819053028e-06,0.0,0.0
1538,2.157489819053028e-06,2.157489819053028e-06,0.0,0.0
1539,1.2118823568536235e-05,1.2118823568536235e-05,0.0,0.0
1540,1.2118823568536235e-05,1.2118823568536235e-05,0.0,0.0
1541,1.0714352876155836e-05,1.0714352876155836e-05,0.0,0.0
1542,1.1465980086151311e-05,1.1465980086151311e-05,0.0,0.0
1543,1.1465980086151311e-05,1.1465980086151311e-05,0.0,0.0
1544,1.605644255115684e-05,1.605644255115684e-05,0.0,0.0
1545,1.980732395168161e-05,1.980732395168161e-05,0.0,0.0
1546,1.0125696397673372e-05,1.0125696397673372e-05,0.0,0.0
1547,1.0125696397673372e-05,1.0125696397673372e-05,0.0,0.0
1548,1.1314664139458078e-05,1.1314664139458078e-05,0.0,0.0
1549,9.810017802789974e-06,9.810017802789974e-06,0.0,0.0
1550,1.3052092007066157e-05,1.3052092007066157e-05,0.0,0.0
1551,8.461629542060628e-06,8.461629542060628e-06,0.0,0.0
1552,1.1921858263771615e-05,1.1921858263771615e-05,0.0,0.0
1553,1.1642152068296646e-05,1.1642152068296646e-05,0.0,0.0
1554,1.1642152068296646e-05,1.1642152068296646e-05,0.0,0.0
1555,1.2857124342450074e-05,1.2857124342450074e-05,0.0,0.0
1556,3.263377376632499e-05,3.263377376632499e-05,0.0,0.0
1557,2.9391699562048806e-05,2.9391699562048806e-05,0.0,0.0
1558,3.14378455316598e-05,3.14378455316598e-05,0.0,0.0
1559,2.4226735409424043e-05,2.4226735409424043e-05,0.0,0.0
1560,3.3200539811722205e-05,3.3200539811722205e-05,0.0,0.0
1561,3.3200539811722205e-05,3.3200539811722205e-05,0.0,0.0
1562,3.435202896590843e-05,3.435202896590843e-05,0.0,0.0
1563,1.457537954203352e-05,1.457537954203352e-05,0.0,0.0
1564,1.457537954203352e-05,1.457537954203352e-05,0.0,0.0
1565,1.3541034214930342e-05,1.3541034214930342e-05,0.0,0.0
1566,1.544470472124106e-05,1.544470472124106e-05,0.0,0.0
1567,7.835694954597524e-06,7.835694954597524e-06,0.0,0.0
1568,7.835694954597524e-06,7.835694954597524e-06,0.0,0.0
1569,1.393543451350914e-05,1.393543451350914e-05,0.0,0.0
1570,1.393543451350914e-05,1.393543451350914e-05,0.0,0.0
1571,1.8839137867741685e-05,1.8839137867741685e-05,0.0,0.0
1572,1.834729800975765e-05,1.834729800975765e-05,0.0,0.0
1573,1.6443627503446934e-05,1.6443627503446934e-05,0.0,0.0
1574,1.7257679051648927e-05,1.7257679051648927e-05,0.0,0.0
1575,1.7257679051648927e-05,1.7257679051648927e-05,0.0,0.0
1576,9.855912594503025e-06,9.855912594503025e-06,0.0,0.0
1577,1.4958864410021175e-05,1.4958864410021175e-05,0.0,0.0
1578,1.53552497457505e-05,1.53552497457505e-05,0.0,0.0
1579,2.2596346622906693e-05,2.2596346622906693e-05,0.0,0.0
1580,2.6558189996909016e-05,2.6558189996909016e-05,0.0,0.0
1581,2.5565958562115805e-05,2.5565958562115805e-05,0.0,0.0
1582,2.682290271747791e-05,2.682290271747791e-05,4.189813742933828e-07,0.0
1583,3.105790580905575e-05,3.105790580905575e-05,4.189813742933828e-07,0.0
1584,3.854251657945237e-05,3.854251657945237e-05,4.189813742933828e-07,0.0
1585,3.833781634706871e-05,3.833781634706871e-05,4.189813742933828e-07,0.0
1586,3.48901217616263e-05,3.48901217616263e-05,4.189813742933828e-07,0.0
1587,3.23125966263303e-05,3.23125966263303e-05,4.189813742933828e-07,0.0
1588,3.514301676789598e-05,3.514301676789598e-05,4.189813742933828e-07,0.0
1589,3.762060207788766e-05,3.762060207788766e-05,0.0,0.0
1590,3.269205054883579e-05,3.269205054883579e-05,0.0,0.0
1591,2.4102489987853914e-05,2.4102489987853914e-05,0.0,0.0
1592,2.3185904085819076e-05,2.3185904085819076e-05,0.0,0.0
1593,2.1105308405822143e-05,2.1105308405822143e-05,0.0,0.0
1594,2.257072706665245e-05,2.257072706665245e-05,0.0,0.0
1595,2.125847484941395e-05,2.125847484941395e-05,0.0,0.0
1596,2.0469800542092082e-05,2.0469800542092082e-05,0.0,0.0
1597,2.2662871612867874e-05,2.2662871612867874e-05,0.0,0.0
1598,2.224781668961181e-05,2.224781668961181e-05,0.0,0.0
1599,1.9130214501014313e-05,1.9130214501014313e-05,0.0,0.0
1600,3.074323792264165e-05,3.074323792264165e-05,0.0,0.0
1601,3.199530211921748e-05,3.199530211921748e-05,0.0,0.0
1602,3.200493808565495e-05,3.200493808565495e-05,0.0,0.0
1603,3.235596380233931e-05,3.235596380233931e-05,0.0,0.0
1604,4.750304352845498e-05,4.750304352845498e-05,0.0,0.0
1605,4.583152362361683e-05,4.583152362361683e-05,1.1243689154330891e-07,0.0
1606,5.3499054696918135e-05,5.3499054696918135e-05,1.1243689154330891e-07,0.0
1607,4.4878743340502426e-05,4.4878743340502426e-05,1.1243689154330891e-07,0.0
1608,4.3971783790246786e-05,4.3971783790246786e-05,1.1243689154330891e-07,0.0
1609,4.5974214637161435e-05,4.5974214637161435e-05,1.1243689154330891e-07,0.0
1610,4.675567821063201e-05,4.675567821063201e-05,1.1243689154330891e-07,0.0
1611,2.9391857814126915e-05,2.9391857814126915e-05,1.1243689154330891e-07,0.0
1612,3.151544154077003e-05,3.151544154077003e-05,0.0,0.0
1613,2.5982919786266783e-05,2.5982919786266783e-05,1.598104810390006e-07,0.0
1614,2.5371976854720352e-05,2.5371976854720352e-05,1.598104810390006e-07,0.0
1615,2.484373817424057e-05,2.484373817424057e-05,1.598104810390006e-07,0.0
1616,2.8056228334857485e-05,2.8056228334857485e-05,1.598104810390006e-07,0.0
1617,3.015495050411638e-05,3.015495050411638e-05,1.598104810390006e-07,0.0
1618,4.437510818076719e-05,4.437510818076719e-05,1.598104810390006e-07,0.0
1619,4.6191891150166544e-05,4.6191891150166544e-05,1.598104810390006e-07,0.0
1620,4.732745479226911e-05,4.732745479226911e-05,0.0,0.0
1621,4.735178611424219e-05,4.735178611424219e-05,0.0,0.0
1622,4.721772581563398e-05,4.721772581563398e-05,0.0,0.0
1623,4.494608401728328e-05,4.494608401728328e-05,0.0,0.0
1624,5.101425761365265e-05,5.101425761365265e-05,0.0,0.0
1625,4.107244421902578e-05,4.107244421902578e-05,0.0,0.0
1626,4.073157392018142e-05,4.073157392018142e-05,0.0,0.0
1627,4.231133997174246e-05,4.231133997174246e-05,0.0,0.0
1628,4.238930913353605e-05,4.238930913353605e-05,0.0,0.0
1629,5.1328344852663577e-05,5.1328344852663577e-05,0.0,0.0
1630,5.2225570730765215e-05,5.2225570730765215e-05,0.0,0.0
1631,4.570500927262141e-05,4.570500927262141e-05,0.0,0.0
1632,5.0060981655925776e-05,5.0060981655925776e-05,0.0,0.0
1633,4.8388656328565306e-05,4.8388656328565306e-05,0.0,0.0
1634,4.840118864584448e-05,4.840118864584448e-05,0.0,0.0
1635,4.936441161719683e-05,4.936441161719683e-05,0.0,0.0
1636,4.136660962623344e-05,4.136660962623344e-05,0.0,0.0
1637,3.854285231292514e-05,3.854285231292514e-05,0.0,0.0
1638,3.7194951021644685e-05,3.7194951021644685e-05,0.0,0.0
1639,3.0217129668536863e-05,3.0217129668536863e-05,0.0,0.0
1640,2.977119714029998e-05,2.977119714029998e-05,0.0,0.0
1641,2.7490172734750168e-05,2.7490172734750168e-05,0.0,0.0
1642,2.742350417455392e-05,2.742350417455392e-05,0.0,0.0
1643,2.6027144096068306e-05,2.6027144096068306e-05,0.0,0.0
1644,2.5412467558843283e-05,2.5412467558843283e-05,0.0,0.0
1645,2.8697915825302645e-05,2.8697915825302645e-05,0.0,0.0
1646,3.0239941484718918e-05,3.0239941484718918e-05,0.0,0.0
1647,2.97605512449601e-05,2.97605512449601e-05,0.0,0.0
1648,3.106922135235176e-05,3.106922135235176e-05,0.0,0.0
1649,3.288746860822097e-05,3.288746860822097e-05,7.822777498794104e-08,0.0
1650,3.6080468687162336e-05,3.6080468687162336e-05,7.822777498794104e-08,0.0
1651,3.85969893354091e-05,3.85969893354091e-05,7.822777498794104e-08,0.0
1652,3.722563139620304e-05,3.722563139620304e-05,7.822777498794104e-08,0.0
1653,3.535520564972623e-05,3.535520564972623e-05,7.822777498794104e-08,0.0
1654,3.688063121184574e-05,3.688063121184574e-05,7.822777498794104e-08,0.0
1655,3.8145939470268786e-05,3.8145939470268786e-05,7.822777498794104e-08,0.0
1656,3.488257529430224e-05,3.488257529430224e-05,0.0,0.0
1657,3.336575744989594e-05,3.336575744989594e-05,0.0,0.0
1658,3.078883803807132e-05,3.078883803807132e-05,0.0,0.0
