ngram,muscle,musle,mscle,mscle
1500,0.0,0.0,0.0,0.0
1501,0.0,0.0,0.0,0.0
1502,0.0,0.0,0.0,0.0
1503,0.0,0.0,0.0,0.0
1504,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,0.0
1519,0.0,0.0,0.0,0.0
1520,8.937341980137197e-07,0.0,0.0,0.0
1521,8.937341980137197e-07,0.0,0.0,0.0
1522,8.937341980137197e-07,0.0,0.0,0.0
1523,8.937341980137197e-07,0.0,0.0,0.0
1524,8.937341980137197e-07,0.0,0.0,0.0
1525,8.937341980137197e-07,0.0,0.0,0.0
1526,1.5293836830616264e-06,0.0,0.0,0.0
1527,6.356494850479066e-07,0.0,0.0,0.0
1528,6.356494850479066e-07,0.0,0.0,0.0
1529,6.356494850479066e-07,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,6.356494850479066e-07,0.0,0.0,0.0
1533,0.0,0.0,0.0,0.0
1534,0.0,0.0,0.0,0.0
1535,0.0,0.0,0.0,0.0
1536,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1538,0.0,0.0,0.0,0.0
1539,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0
1541,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,0.0,0.0,0.0,0.0
1545,0.0,0.0,0.0,0.0
1546,0.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0
1548,0.0,0.0,0.0,0.0
1549,0.0,1.2126577400652292e-06,0.0,0.0
1550,0.0,1.2126577400652292e-06,0.0,0.0
1551,0.0,1.2126577400652292e-06,0.0,0.0
1552,0.0,1.2126577400652292e-06,0.0,0.0
1553,0.0,1.2126577400652292e-06,0.0,0.0
1554,0.0,1.2126577400652292e-06,0.0,0.0
1555,0.0,1.2126577400652292e-06,0.0,0.0
1556,0.0,0.0,0.0,0.0
1557,0.0,0.0,0.0,0.0
1558,0.0,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,0.0,0.0,0.0,0.0
1577,0.0,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1580,0.0,0.0,0.0,0.0
1581,0.0,0.0,0.0,0.0
1582,0.0,0.0,0.0,0.0
1583,2.403113025398592e-07,0.0,0.0,0.0
1584,2.403113025398592e-07,0.0,0.0,0.0
1585,2.403113025398592e-07,0.0,0.0,0.0
1586,2.403113025398592e-07,0.0,0.0,0.0
1587,2.403113025398592e-07,0.0,0.0,0.0
1588,2.403113025398592e-07,0.0,0.0,0.0
1589,2.403113025398592e-07,0.0,0.0,0.0
1590,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1592,0.0,0.0,0.0,0.0
1593,0.0,0.0,0.0,0.0
1594,0.0,0.0,0.0,0.0
1595,0.0,0.0,0.0,0.0
1596,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1598,0.0,0.0,0.0,0.0
1599,0.0,0.0,0.0,0.0
1600,0.0,0.0,0.0,0.0
1601,0.0,0.0,0.0,0.0
1602,2.0880143633153887e-07,0.0,0.0,0.0
1603,2.0880143633153887e-07,0.0,0.0,0.0
1604,2.0880143633153887e-07,0.0,0.0,0.0
1605,2.0880143633153887e-07,0.0,0.0,0.0
1606,5.291218647991107e-07,0.0,0.0,0.0
1607,5.291218647991107e-07,0.0,0.0,0.0
1608,7.287994614151623e-07,0.0,0.0,0.0
1609,5.199980250836234e-07,0.0,0.0,0.0
1610,5.199980250836234e-07,0.0,0.0,0.0
1611,5.199980250836234e-07,0.0,0.0,0.0
1612,5.199980250836234e-07,0.0,0.0,0.0
1613,1.996775966160515e-07,0.0,0.0,0.0
1614,5.29287344111903e-07,0.0,0.0,0.0
1615,3.296097474958515e-07,0.0,0.0,0.0
1616,3.296097474958515e-07,0.0,0.0,0.0
1617,3.296097474958515e-07,0.0,0.0,0.0
1618,3.296097474958515e-07,0.0,0.0,0.0
1619,3.296097474958515e-07,0.0,0.0,0.0
1620,3.296097474958515e-07,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1622,0.0,0.0,0.0,0.0
1623,0.0,0.0,0.0,0.0
1624,0.0,0.0,0.0,0.0
1625,0.0,0.0,0.0,0.0
1626,0.0,0.0,0.0,0.0
