ngram,net,nett,nett,nnett
1500,1.5386908444270375e-05,0.0,0.0,0.0
1501,1.23095267554163e-05,0.0,0.0,0.0
1502,1.588068622974485e-05,0.0,0.0,0.0
1503,4.038601699513882e-05,0.0,0.0,0.0
1504,4.5356669683574834e-05,0.0,0.0,0.0
1505,4.881533459411003e-05,0.0,0.0,0.0
1506,4.881533459411003e-05,0.0,0.0,0.0
1507,4.881533459411003e-05,0.0,0.0,0.0
1508,4.881533459411003e-05,0.0,0.0,0.0
1509,4.399583693676894e-05,0.0,0.0,0.0
1510,1.7221836709982847e-05,0.0,0.0,0.0
1511,1.104823500749522e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,2.8566114451678004e-07,0.0,0.0,0.0
1515,2.8566114451678004e-07,0.0,0.0,0.0
1516,2.8566114451678004e-07,0.0,0.0,0.0
1517,8.169379270839272e-07,0.0,0.0,0.0
1518,8.169379270839272e-07,0.0,0.0,0.0
1519,8.169379270839272e-07,0.0,0.0,0.0
1520,2.008583481126282e-06,0.0,0.0,0.0
1521,1.722922336609502e-06,0.0,0.0,0.0
1522,4.896679196722939e-06,0.0,0.0,0.0
1523,1.2289219479758426e-05,0.0,0.0,0.0
1524,3.0340046188419884e-05,0.0,0.0,0.0
1525,3.0340046188419884e-05,0.0,0.0,0.0
1526,3.8603489494042674e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1527,3.741184394000031e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1528,4.8909400512846855e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1529,4.5735643652733415e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1530,4.052994881931227e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1531,2.194784532808366e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1532,3.547534314358407e-05,6.356494850479066e-07,6.356494850479066e-07,0.0
1533,2.721189983796129e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1534,2.721189983796129e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1535,1.6843872020087603e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1536,1.7738400791651137e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1537,1.55515553420368e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1538,1.55515553420368e-05,7.981737975829414e-06,7.981737975829414e-06,0.0
1539,7.0047244012779885e-06,7.981737975829414e-06,7.981737975829414e-06,0.0
1540,7.0047244012779885e-06,0.0,0.0,0.0
1541,7.0047244012779885e-06,0.0,0.0,0.0
1542,5.875195646305136e-06,0.0,0.0,0.0
1543,4.980666874741603e-06,0.0,0.0,0.0
1544,5.537086573375356e-06,1.391049246584381e-07,1.391049246584381e-07,0.0
1545,6.072926778090602e-06,1.391049246584381e-07,1.391049246584381e-07,0.0
1546,2.2110846852488715e-06,4.188111201334063e-07,4.188111201334063e-07,0.0
1547,5.488225886957869e-06,4.188111201334063e-07,4.188111201334063e-07,0.0
1548,9.649612918240433e-06,4.188111201334063e-07,4.188111201334063e-07,0.0
1549,1.3287586008508307e-05,1.6314688601986355e-06,1.6314688601986355e-06,0.0
1550,1.4368277431588336e-05,1.6314688601986355e-06,1.6314688601986355e-06,0.0
1551,2.325664630526652e-05,1.4923639355401974e-06,1.4923639355401974e-06,0.0
1552,4.002746956237908e-05,1.4923639355401974e-06,1.4923639355401974e-06,0.0
1553,3.8908644780479206e-05,1.2126577400652292e-06,1.2126577400652292e-06,0.0
1554,4.4888105743926386e-05,1.2126577400652292e-06,1.2126577400652292e-06,0.0
1555,4.072671871264382e-05,1.2126577400652292e-06,1.2126577400652292e-06,0.0
1556,3.708874562237595e-05,0.0,0.0,0.0
1557,7.338808687304013e-05,9.345008168436055e-06,9.345008168436055e-06,0.0
1558,6.59894442703392e-05,9.345008168436055e-06,9.345008168436055e-06,0.0
1559,5.55596739754297e-05,1.1064231460165632e-05,1.1064231460165632e-05,0.0
1560,5.600836422153017e-05,1.2410302198467044e-05,1.2410302198467044e-05,0.0
1561,4.675176205637399e-05,1.2410302198467044e-05,1.2410302198467044e-05,0.0
1562,4.8529476641436175e-05,1.4188016783529228e-05,1.4188016783529228e-05,0.0
1563,5.0802585064957384e-05,1.4642638494219032e-05,1.4642638494219032e-05,0.0
1564,1.3422552391213166e-05,5.2976303257829775e-06,5.2976303257829775e-06,0.0
1565,1.1376406421602172e-05,5.2976303257829775e-06,5.2976303257829775e-06,0.0
1566,6.40318376099458e-06,5.4820775403641164e-06,5.4820775403641164e-06,0.0
1567,1.1413672057512616e-05,4.136006802062704e-06,4.136006802062704e-06,0.0
1568,1.1413672057512616e-05,4.136006802062704e-06,4.136006802062704e-06,0.0
1569,1.2606778779757275e-05,2.3582922170005205e-06,2.3582922170005205e-06,0.0
1570,1.3355694915974578e-05,1.9036705063107156e-06,1.9036705063107156e-06,0.0
1571,1.3355694915974578e-05,1.9036705063107156e-06,1.9036705063107156e-06,0.0
1572,1.491557733450983e-05,1.9036705063107156e-06,1.9036705063107156e-06,0.0
1573,3.3146456449425644e-05,0.0,0.0,0.0
1574,2.768727790680714e-05,0.0,0.0,0.0
1575,3.2716396422724105e-05,0.0,0.0,0.0
1576,3.244965773774311e-05,1.3520413111629232e-06,1.3520413111629232e-06,0.0
1577,2.9427633178004597e-05,1.3520413111629232e-06,1.3520413111629232e-06,0.0
1578,3.352315616211854e-05,1.59295442309875e-06,1.59295442309875e-06,0.0
1579,3.3256783353863284e-05,1.59295442309875e-06,1.59295442309875e-06,0.0
1580,1.5103155419637915e-05,1.59295442309875e-06,1.59295442309875e-06,0.0
1581,1.5103155419637915e-05,1.59295442309875e-06,1.59295442309875e-06,0.0
1582,1.3006906556256581e-05,1.59295442309875e-06,1.59295442309875e-06,0.0
1583,1.6791229297398657e-05,4.812244144756863e-07,4.812244144756863e-07,0.0
1584,1.6791229297398657e-05,2.2794475853515905e-06,2.2794475853515905e-06,0.0
1585,1.6470068008597343e-05,2.0385344734157636e-06,2.0385344734157636e-06,0.0
1586,1.5176558398317347e-05,2.0385344734157636e-06,2.0385344734157636e-06,0.0
1587,1.4926034574663e-05,2.0385344734157636e-06,2.0385344734157636e-06,0.0
1588,1.4926034574663e-05,2.0385344734157636e-06,2.0385344734157636e-06,0.0
1589,1.516751503264199e-05,2.0385344734157636e-06,2.0385344734157636e-06,0.0
1590,1.1798817338006171e-05,2.5781500880839303e-06,2.5781500880839303e-06,0.0
1591,1.2331884266002038e-05,7.799269172080261e-07,7.799269172080261e-07,0.0
1592,1.1542381538934673e-05,7.799269172080261e-07,7.799269172080261e-07,0.0
1593,1.4668255581844797e-05,7.799269172080261e-07,7.799269172080261e-07,0.0
1594,1.4446541951786327e-05,1.6180848173722292e-06,1.6180848173722292e-06,0.0
1595,1.4897339042363456e-05,1.6180848173722292e-06,1.6180848173722292e-06,0.0
1596,1.4879262445382274e-05,1.6180848173722292e-06,1.6180848173722292e-06,0.0
1597,1.7449473164430985e-05,8.381579001642032e-07,8.381579001642032e-07,0.0
1598,2.0101248277829393e-05,8.381579001642032e-07,8.381579001642032e-07,0.0
1599,2.8789592696349636e-05,9.560690484379717e-07,9.560690484379717e-07,0.0
