ngram,office,ofice,offce,ofice
1500,0.0001532983260403853,0.0,0.0,0.0
1501,0.00012263866083230823,0.0,0.0,0.0
1502,0.00014067956120319045,0.0,0.0,0.0
1503,0.00012058248103130609,0.0,0.0,0.0
1504,0.0001112766029629191,0.0,0.0,0.0
1505,0.00016023228090489283,0.0,0.0,0.0
1506,0.00016023228090489283,0.0,0.0,0.0
1507,0.00016023228090489283,0.0,0.0,0.0
1508,0.00016023228090489283,0.0,0.0,0.0
1509,0.0001272488433252355,0.0,0.0,0.0
1510,0.0001272488433252355,0.0,0.0,0.0
1511,0.00011490163992026023,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,9.141156624536961e-06,0.0,0.0,0.0
1515,9.141156624536961e-06,0.0,0.0,0.0
1516,9.141156624536961e-06,0.0,0.0,0.0
1517,2.9329675141655442e-05,0.0,0.0,0.0
1518,2.9329675141655442e-05,0.0,0.0,0.0
1519,2.9329675141655442e-05,0.0,0.0,0.0
1520,5.1077206860229906e-05,0.0,0.0,0.0
1521,4.1936050235692945e-05,0.0,0.0,0.0
1522,4.510980709580638e-05,0.0,0.0,0.0
1523,6.975160665336131e-05,0.0,0.0,0.0
1524,7.020986933119795e-05,0.0,0.0,0.0
1525,7.020986933119795e-05,0.0,0.0,0.0
1526,7.148116830129376e-05,0.0,0.0,0.0
1527,4.97336365827193e-05,0.0,0.0,0.0
1528,5.39145663164423e-05,0.0,0.0,0.0
1529,5.074080945632886e-05,0.0,0.0,0.0
1530,3.1201649367825924e-05,0.0,0.0,0.0
1531,1.0554868172870816e-05,0.0,0.0,0.0
1532,1.1005784764555366e-05,0.0,0.0,0.0
1533,4.1661437697777206e-05,0.0,0.0,0.0
1534,7.677320513721497e-05,0.0,0.0,0.0
1535,0.000103466059467142,0.0,0.0,0.0
1536,0.00021707121520973618,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1537,0.00021196857574068417,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1538,0.00021832145288109523,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1539,0.00021787053628941067,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1540,0.000185943584386093,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1541,0.00015083181694665524,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1542,0.00015155560634281886,4.4726438578176643e-07,0.0,4.4726438578176643e-07
1543,3.795045060022468e-05,0.0,0.0,0.0
1544,4.615764139868718e-05,0.0,0.0,0.0
1545,8.776246353850834e-05,0.0,0.0,0.0
1546,0.0001350328093394637,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1547,0.0001710813625582627,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1548,0.000260551185679755,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1549,0.00025684474011151385,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1550,0.000286023408989422,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1551,0.00032976255585838644,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1552,0.0003084859636146575,2.7970619547496814e-07,0.0,2.7970619547496814e-07
1553,0.00026121561781370213,0.0,0.0,0.0
1554,0.0002436802689252155,0.0,0.0,0.0
1555,0.00015541241581169224,0.0,0.0,0.0
1556,0.00014105267941236628,0.0,0.0,0.0
1557,0.00011187401053445813,0.0,0.0,0.0
1558,8.379937675532087e-05,0.0,0.0,0.0
1559,6.399516288573588e-05,0.0,0.0,0.0
1560,7.925063099329626e-05,0.0,0.0,0.0
1561,6.839568439837811e-05,0.0,0.0,0.0
1562,8.85262899308665e-05,0.0,0.0,0.0
1563,9.863522687477857e-05,0.0,0.0,0.0
1564,0.00011135852037114091,0.0,0.0,0.0
1565,0.00010367562676297634,0.0,0.0,0.0
