ngram,paint,pint,pat,pint
1500,1.2686240893344802e-06,2.3390674641632359e-07,0.0,2.3390674641632359e-07
1501,1.0148992714675842e-06,1.8712539713305886e-07,0.0,1.8712539713305886e-07
1502,1.3728819491613347e-06,1.5593783094421573e-07,0.0,1.5593783094421573e-07
1503,1.176755956424001e-06,1.336609979521849e-07,0.0,1.336609979521849e-07
1504,7.757729625674463e-07,0.0,0.0,0.0
1505,4.518279053757267e-07,0.0,0.0,0.0
1506,4.518279053757267e-07,0.0,0.0,0.0
1507,4.518279053757267e-07,0.0,0.0,0.0
1508,4.518279053757267e-07,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,2.8566114451678004e-07,0.0
1515,0.0,0.0,2.8566114451678004e-07,0.0
1516,0.0,0.0,2.8566114451678004e-07,0.0
1517,2.1251071302685887e-06,0.0,2.8566114451678004e-07,0.0
1518,2.1251071302685887e-06,0.0,2.8566114451678004e-07,0.0
1519,2.1251071302685887e-06,0.0,2.8566114451678004e-07,0.0
1520,4.210486882324663e-06,5.958227770211774e-07,2.8566114451678004e-07,5.958227770211774e-07
1521,4.210486882324663e-06,5.958227770211774e-07,0.0,5.958227770211774e-07
1522,1.690551432277841e-05,5.958227770211774e-07,0.0,5.958227770211774e-07
1523,1.690551432277841e-05,5.958227770211774e-07,0.0,5.958227770211774e-07
1524,1.478040719250982e-05,5.958227770211774e-07,4.129356187019896e-06,5.958227770211774e-07
1525,1.478040719250982e-05,5.958227770211774e-07,4.129356187019896e-06,5.958227770211774e-07
1526,1.478040719250982e-05,5.958227770211774e-07,4.129356187019896e-06,5.958227770211774e-07
1527,1.2695027440453746e-05,0.0,4.129356187019896e-06,0.0
1528,1.2695027440453746e-05,0.0,4.129356187019896e-06,0.0
1529,0.0,0.0,4.129356187019896e-06,0.0
1530,0.0,0.0,4.129356187019896e-06,0.0
1531,5.744848229889092e-06,0.0,0.0,0.0
1532,7.097598037424697e-06,0.0,0.0,0.0
1533,7.097598037424697e-06,0.0,0.0,0.0
1534,7.097598037424697e-06,0.0,0.00022471531493855373,0.0
1535,7.097598037424697e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1536,7.097598037424697e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1537,7.097598037424697e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1538,1.3527498075356043e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1539,2.4903334373708016e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1540,2.4903334373708016e-06,3.7650956333631515e-07,0.00022471531493855373,3.7650956333631515e-07
1541,2.4903334373708016e-06,3.7650956333631515e-07,0.0,3.7650956333631515e-07
1542,2.4903334373708016e-06,0.0,0.0,0.0
1543,2.4903334373708016e-06,0.0,0.0,0.0
1544,6.524376138778669e-06,1.391049246584381e-07,0.0,1.391049246584381e-07
1545,6.524376138778669e-06,1.391049246584381e-07,0.0,1.391049246584381e-07
1546,4.034042701407868e-06,1.391049246584381e-07,0.0,1.391049246584381e-07
1547,4.034042701407868e-06,1.391049246584381e-07,0.0,1.391049246584381e-07
1548,4.331284636854045e-06,4.3634686010461466e-07,0.0,4.3634686010461466e-07
1549,4.331284636854045e-06,4.3634686010461466e-07,0.0,4.3634686010461466e-07
1550,4.87163034839406e-06,4.3634686010461466e-07,0.0,4.3634686010461466e-07
1551,8.375876469861916e-07,2.972419354461765e-07,0.0,2.972419354461765e-07
1552,2.27980964544778e-06,2.972419354461765e-07,0.0,2.972419354461765e-07
1553,2.27980964544778e-06,2.972419354461765e-07,0.0,2.972419354461765e-07
1554,2.27980964544778e-06,2.972419354461765e-07,0.0,2.972419354461765e-07
1555,1.9825677100016037e-06,0.0,0.0,0.0
1556,1.9825677100016037e-06,0.0,0.0,0.0
1557,1.4422219984615886e-06,0.0,6.54150582184749e-05,0.0
1558,1.4422219984615886e-06,0.0,6.54150582184749e-05,0.0
1559,3.4384465834591538e-06,1.7192232917295769e-06,6.54150582184749e-05,1.7192232917295769e-06
1560,4.3358270756600954e-06,3.06529403003099e-06,6.54150582184749e-05,3.06529403003099e-06
1561,4.3358270756600954e-06,3.06529403003099e-06,6.54150582184749e-05,3.06529403003099e-06
1562,4.3358270756600954e-06,3.06529403003099e-06,6.54150582184749e-05,3.06529403003099e-06
1563,4.3358270756600954e-06,3.519915740720795e-06,6.54150582184749e-05,3.519915740720795e-06
1564,4.3358270756600954e-06,3.519915740720795e-06,0.0,3.519915740720795e-06
1565,5.347627718167912e-06,3.519915740720795e-06,0.00025497376918792725,3.519915740720795e-06
1566,1.909181134708758e-06,1.8006924489912178e-06,0.00025497376918792725,1.8006924489912178e-06
1567,1.011800642507816e-06,4.5462171068980493e-07,0.00025497376918792725,4.5462171068980493e-07
1568,1.011800642507816e-06,4.5462171068980493e-07,0.00025497376918792725,4.5462171068980493e-07
1569,2.4972112961612377e-06,4.5462171068980493e-07,0.00025497376918792725,4.5462171068980493e-07
1570,2.4972112961612377e-06,0.0,0.00025497376918792725,0.0
1571,4.94906297327751e-06,0.0,0.00025497376918792725,0.0
1572,4.457223115293475e-06,0.0,5.199607845237811e-07,0.0
1573,4.457223115293475e-06,0.0,5.199607845237811e-07,0.0
1574,5.546646207221784e-06,0.0,1.0646723304879352e-06,0.0
1575,5.546646207221784e-06,0.0,1.0646723304879352e-06,0.0
1576,6.765318175894208e-06,0.0,1.9660332262511863e-06,0.0
1577,9.316794083653284e-06,0.0,1.9660332262511863e-06,0.0
1578,8.069507982457122e-06,0.0,2.4478594501228405e-06,0.0
1579,7.549547197933342e-06,1.2935096102799953e-06,1.9278986655990593e-06,1.2935096102799953e-06
1580,1.0520929793398994e-05,1.2935096102799953e-06,1.9278986655990593e-06,1.2935096102799953e-06
1581,1.061812145053409e-05,1.2935096102799953e-06,1.383187119634905e-06,1.2935096102799953e-06
1582,1.1456084199120856e-05,1.2935096102799953e-06,1.383187119634905e-06,1.2935096102799953e-06
1583,8.992312879334869e-06,1.2935096102799953e-06,4.81826223871654e-07,1.2935096102799953e-06
1584,6.440836971575793e-06,1.2935096102799953e-06,1.3809378093096062e-06,1.2935096102799953e-06
1585,7.68960658855836e-06,2.048381962335303e-06,8.991115854379521e-07,2.048381962335303e-06
1586,7.68960658855836e-06,7.548723520553072e-07,1.6180054314775459e-06,7.548723520553072e-07
1587,9.90941758313316e-06,7.548723520553072e-07,1.6180054314775459e-06,7.548723520553072e-07
1588,8.722802834069756e-06,7.548723520553072e-07,2.2875112465823932e-06,7.548723520553072e-07
1589,9.005198925089125e-06,1.3150517718583745e-06,2.6609641931177715e-06,1.3150517718583745e-06
1590,1.5004302960213473e-05,2.0949786890664005e-06,2.6609641931177715e-06,2.0949786890664005e-06
1591,1.7669637470264987e-05,2.6280456170622657e-06,4.6937207766209866e-06,2.6280456170622657e-06
1592,1.5813274071011358e-05,1.8731732650069586e-06,4.6937207766209866e-06,1.8731732650069586e-06
1593,1.6483104250905205e-05,2.3197267182695214e-06,4.198103657212674e-06,2.3197267182695214e-06
1594,1.1962436993988896e-05,2.4873583015505574e-06,4.198103657212674e-06,2.4873583015505574e-06
1595,1.82735963919965e-05,2.4873583015505574e-06,3.979394932684954e-06,2.4873583015505574e-06
1596,1.7784492229111493e-05,2.5584335584686154e-06,3.605941986149576e-06,2.5584335584686154e-06
1597,1.3118884063650122e-05,1.7785066412605893e-06,4.332314542157942e-06,1.7785066412605893e-06
1598,1.0497783469937921e-05,1.7320127848766527e-06,1.4889142058953958e-06,1.7320127848766527e-06
1599,1.0962012043234739e-05,1.8499239331504214e-06,2.1963810955380074e-06,1.8499239331504214e-06
1600,1.1144230541049183e-05,1.5098765646013947e-06,2.292622623047334e-06,1.5098765646013947e-06
1601,1.3403562133719657e-05,1.53756884304e-06,3.2692419316455405e-06,1.53756884304e-06
1602,7.4056049064503374e-06,2.894778162954026e-06,3.0272462773999516e-06,2.894778162954026e-06
1603,8.010680557747816e-06,3.08774370491197e-06,3.0272462773999516e-06,3.08774370491197e-06
1604,6.6071437052934404e-06,3.08774370491197e-06,2.981955000385434e-06,3.08774370491197e-06
1605,7.2375311219730065e-06,3.163355099137074e-06,3.1183609507934307e-06,3.163355099137074e-06
1606,7.457612468897423e-06,5.367766951686852e-06,5.0535377178156134e-06,5.367766951686852e-06
1607,6.605563791189135e-06,5.261260866973316e-06,4.7340194636750055e-06,5.261260866973316e-06
1608,4.674093864715749e-06,5.065937005253675e-06,4.156755348308902e-06,5.065937005253675e-06
1609,5.870283514143791e-06,3.89740166286044e-06,3.947953911977363e-06,3.89740166286044e-06
1610,7.055470096669783e-06,3.2006297081872096e-06,4.075402175983202e-06,3.2006297081872096e-06
1611,7.090024333982521e-06,3.50786653565852e-06,3.496733175519954e-06,3.50786653565852e-06
1612,6.953404457427885e-06,2.945682069821487e-06,3.5408601206654566e-06,2.945682069821487e-06
1613,6.630985597309648e-06,7.831695500369409e-07,8.982164640006626e-07,7.831695500369409e-07
1614,7.949424587293055e-06,7.831695500369409e-07,8.982164640006626e-07,7.831695500369409e-07
1615,7.331979840533417e-06,1.5450560551601354e-06,8.798045233301568e-07,1.5450560551601354e-06
1616,8.705984279393825e-06,1.3563820776393446e-06,1.6006535880868405e-06,1.3563820776393446e-06
1617,7.519880666352817e-06,1.3524751482561572e-06,1.967370662571609e-06,1.3524751482561572e-06
1618,7.80744179402453e-06,1.045238320784847e-06,2.2588669383237303e-06,1.045238320784847e-06
1619,8.732388810780581e-06,1.2703073204128096e-06,2.6650731927345206e-06,1.2703073204128096e-06
1620,9.385348578559518e-06,1.9164081501393023e-06,3.068028848117267e-06,1.9164081501393023e-06
1621,9.672671597270113e-06,2.2732441412439845e-06,3.6032828510152674e-06,2.2732441412439845e-06
1622,9.502773569433235e-06,1.5817060443623632e-06,3.64443004790311e-06,1.5817060443623632e-06
1623,8.774690838566e-06,1.5817060443623632e-06,3.192995174166364e-06,1.5817060443623632e-06
1624,8.136606311381911e-06,1.607496902319586e-06,2.997494220835506e-06,1.607496902319586e-06
1625,1.0136161271085647e-05,1.607496902319586e-06,3.018909118119544e-06,1.607496902319586e-06
1626,9.591700063538156e-06,1.8416715355280239e-06,2.343702135476633e-06,1.8416715355280239e-06
1627,8.299420122576911e-06,1.0357602247625306e-06,2.7396031652772635e-06,1.0357602247625306e-06
1628,6.890193000279916e-06,9.40970738026538e-07,2.5319072847196367e-06,9.40970738026538e-07
1629,7.917087909195938e-06,1.1182103695058946e-06,2.5224635464837775e-06,1.1182103695058946e-06
1630,6.106770375221718e-06,2.5844432879499176e-06,2.770543330500784e-06,2.5844432879499176e-06
1631,7.2098412147170166e-06,2.4917910812811376e-06,2.641918903074319e-06,2.4917910812811376e-06
1632,5.176031241457427e-06,2.6750433497519614e-06,2.5930999884492067e-06,2.6750433497519614e-06
1633,4.3946367733432064e-06,6.328583611191009e-06,3.00437836488397e-06,6.328583611191009e-06
1634,4.075094092773465e-06,6.328583611191009e-06,2.5757761607435114e-06,6.328583611191009e-06
1635,5.524953540511238e-06,6.560455387573581e-06,3.729972913138876e-06,6.560455387573581e-06
1636,4.894924277972937e-06,1.0481399109656714e-05,3.838392672150803e-06,1.0481399109656714e-05
1637,6.013130895813187e-06,9.380966844219074e-06,4.0525000031266245e-06,9.380966844219074e-06
1638,5.322756854703974e-06,9.862967155121233e-06,4.555810424530396e-06,9.862967155121233e-06
1639,6.188420148386545e-06,9.991195806183636e-06,4.422916585359157e-06,9.991195806183636e-06
1640,6.462559570406613e-06,6.084028021697512e-06,4.936910694855864e-06,6.084028021697512e-06
1641,7.179224634715606e-06,6.143750109036514e-06,5.223599178602204e-06,6.143750109036514e-06
1642,6.612328661503852e-06,5.973681323569378e-06,4.173643641739286e-06,5.973681323569378e-06
1643,6.365707577060675e-06,1.985794455094947e-06,4.646124060465289e-06,1.985794455094947e-06
1644,6.094104004919895e-06,1.7116552685690425e-06,4.281168620374436e-06,1.7116552685690425e-06
1645,5.673480375532693e-06,1.1729749717557882e-06,4.639271700008456e-06,1.1729749717557882e-06
1646,4.651901625558301e-06,8.61494052222562e-07,4.707876217123287e-06,8.61494052222562e-07
1647,4.760897159680358e-06,7.599234947974765e-07,4.302831484892522e-06,7.599234947974765e-07
1648,4.961216810832931e-06,1.8464322530625005e-06,4.333627040458461e-06,1.8464322530625005e-06
1649,3.959946224897846e-06,1.757266074621709e-06,4.292966585645834e-06,1.757266074621709e-06
1650,5.048020958448822e-06,2.1475829856041983e-06,4.353503007743191e-06,2.1475829856041983e-06
1651,5.920425816644378e-06,2.657922688545763e-06,5.0618591558304615e-06,2.657922688545763e-06
