ngram,peace,pece,pce,peece
1500,8.989475645648781e-06,0.0,0.0,0.0
1501,7.191580516519025e-06,0.0,0.0,0.0
1502,1.7062767559157994e-05,0.0,0.0,0.0
1503,1.4625229336421139e-05,0.0,0.0,0.0
1504,1.771203018766495e-05,0.0,0.0,0.0
1505,2.8674043538298326e-05,0.0,0.0,0.0
1506,2.8674043538298326e-05,0.0,0.0,0.0
1507,2.8674043538298326e-05,0.0,0.0,0.0
1508,2.8674043538298326e-05,0.0,0.0,0.0
1509,1.9185657427962205e-05,0.0,0.0,0.0
1510,1.9185657427962205e-05,0.0,0.0,0.0
1511,1.609885657671839e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,6.741602971617664e-05,0.0,0.0,0.0
1515,6.741602971617664e-05,0.0,0.0,0.0
1516,6.741602971617664e-05,0.0,0.0,0.0
1517,7.113496706421887e-05,0.0,0.0,0.0
1518,7.113496706421887e-05,0.0,0.0,0.0
1519,7.113496706421887e-05,0.0,0.0,0.0
1520,9.61595235691805e-05,2.979113885105887e-07,0.0,0.0
1521,2.874349385300385e-05,2.979113885105887e-07,0.0,0.0
1522,8.904487601414855e-05,2.979113885105887e-07,0.0,0.0
1523,9.766950617111953e-05,2.979113885105887e-07,0.0,0.0
1524,9.395056882307731e-05,2.362589482020537e-06,0.0,0.0
1525,9.395056882307731e-05,2.362589482020537e-06,0.0,0.0
1526,9.395056882307731e-05,2.362589482020537e-06,0.0,0.0
1527,6.892601231811568e-05,2.064678093509948e-06,0.0,0.0
1528,6.892601231811568e-05,2.064678093509948e-06,0.0,0.0
1529,8.624630156970983e-06,2.064678093509948e-06,0.0,0.0
1530,3.644742589260984e-06,4.251523543124287e-06,0.0,0.0
1531,9.389590819150076e-06,2.1868454496143386e-06,0.0,0.0
1532,9.840507410834626e-06,2.1868454496143386e-06,0.0,0.0
1533,9.840507410834626e-06,2.1868454496143386e-06,0.0,0.0
1534,1.545839018035622e-05,6.400257396827718e-06,0.0,0.0
