ngram,performance,performace,perfrmance,performnce
1500,3.258218976043281e-05,0.0,0.0,0.0
1501,2.606575180834625e-05,0.0,0.0,0.0
1502,3.75354359979004e-05,0.0,0.0,0.0
1503,0.0002017418927217867,0.0,0.0,0.0
1504,0.00020162082962217807,0.0,0.0,0.0
1505,0.00020893809596600477,0.0,0.0,0.0
1506,0.00020893809596600477,0.0,0.0,0.0
1507,0.00020893809596600477,0.0,0.0,0.0
1508,0.00020893809596600477,0.0,0.0,0.0
1509,0.00019538325925948032,0.0,0.0,0.0
1510,2.581459739303682e-05,0.0,0.0,0.0
1511,2.2727796541793005e-05,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,8.569834660322937e-07,0.0,0.0,0.0
1515,8.569834660322937e-07,0.0,0.0,0.0
1516,8.569834660322937e-07,0.0,0.0,0.0
1517,7.2323048568380595e-06,0.0,0.0,0.0
1518,7.2323048568380595e-06,0.0,0.0,0.0
1519,7.2323048568380595e-06,0.0,0.0,0.0
1520,9.615595964922769e-06,0.0,0.0,0.0
1521,8.758612498890475e-06,0.0,0.0,0.0
1522,8.758612498890475e-06,0.0,0.0,0.0
1523,9.37465750082213e-06,0.0,0.0,0.0
1524,2.9993361100163644e-06,0.0,0.0,0.0
1525,2.9993361100163644e-06,0.0,0.0,0.0
1526,4.906284565160084e-06,0.0,0.0,0.0
1527,2.5229934570753746e-06,0.0,0.0,0.0
1528,2.5229934570753746e-06,0.0,0.0,0.0
1529,2.5229934570753746e-06,0.0,0.0,0.0
1530,1.90694845514372e-06,0.0,0.0,0.0
1531,1.90694845514372e-06,0.0,0.0,0.0
1532,1.6336279389049325e-05,0.0,0.0,0.0
1533,1.4429330933905606e-05,0.0,0.0,0.0
1534,1.5833801626286004e-05,0.0,0.0,0.0
1535,1.7339839879631264e-05,0.0,0.0,0.0
1536,5.804089817372317e-05,0.0,0.0,0.0
1537,5.804089817372317e-05,0.0,0.0,0.0
1538,5.804089817372317e-05,0.0,0.0,0.0
1539,0.0001664680157773546,0.0,0.0,0.0
1540,0.0001664680157773546,0.0,0.0,0.0
1541,0.0001650635450849742,0.0,0.0,0.0
1542,0.00016807144597156106,0.0,0.0,0.0
1543,0.00012737038767746917,0.0,0.0,0.0
1544,0.00012862233195067217,0.0,0.0,0.0
1545,0.00012942609224150407,0.0,0.0,0.0
1546,7.12905609491697e-06,0.0,0.0,0.0
1547,7.12905609491697e-06,0.0,0.0,0.0
1548,1.7532523803051197e-05,0.0,0.0,0.0
1549,1.3018584663119068e-05,0.0,0.0,0.0
1550,1.8422041843483123e-05,0.0,0.0,0.0
1551,1.7170097570280113e-05,0.0,0.0,0.0
1552,1.9250781276371398e-05,0.0,0.0,0.0
1553,1.869136888542146e-05,0.0,0.0,0.0
1554,1.869136888542146e-05,0.0,0.0,0.0
1555,1.0090856189240835e-05,0.0,0.0,0.0
1556,1.3213485155055033e-05,0.0,0.0,0.0
1557,7.810027974690975e-06,0.0,0.0,0.0
1558,1.2584368440522148e-05,0.0,0.0,0.0
1559,1.3138371027058124e-05,0.0,0.0,0.0
1560,1.4484441765359537e-05,0.0,0.0,0.0
1561,1.4484441765359537e-05,0.0,0.0,0.0
1562,1.445920133846812e-05,0.0,0.0,0.0
1563,1.1791194083343726e-05,0.0,0.0,0.0
1564,1.1791194083343726e-05,0.0,0.0,0.0
1565,7.016853617512554e-06,0.0,0.0,0.0
1566,3.5784070340534006e-06,0.0,0.0,0.0
1567,2.2323362957519876e-06,0.0,0.0,0.0
1568,2.2323362957519876e-06,0.0,0.0,0.0
1569,1.1973270375165157e-06,0.0,0.0,0.0
1570,7.427053268267108e-07,0.0,0.0,0.0
1571,3.1945570039429834e-06,0.0,0.0,0.0
