ngram,preference,preferece,prefence,preference
1500,2.5186246375596966e-05,0.0,0.0,2.5186246375596966e-05
1501,2.0148997100477574e-05,0.0,0.0,2.0148997100477574e-05
1502,2.03050481104583e-05,0.0,0.0,2.03050481104583e-05
1503,4.417832717860749e-05,0.0,0.0,4.417832717860749e-05
1504,4.914897986704351e-05,0.0,0.0,4.914897986704351e-05
1505,3.911642644587638e-05,0.0,0.0,3.911642644587638e-05
1506,3.911642644587638e-05,0.0,0.0,3.911642644587638e-05
1507,3.911642644587638e-05,0.0,0.0,3.911642644587638e-05
1508,3.911642644587638e-05,0.0,0.0,3.911642644587638e-05
1509,3.610424028011039e-05,0.0,0.0,3.610424028011039e-05
1510,9.330240053324295e-06,0.0,0.0,9.330240053324295e-06
1511,3.1566383508366665e-06,0.0,0.0,3.1566383508366665e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1515,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1516,5.713222890335601e-07,0.0,0.0,5.713222890335601e-07
1517,2.1651526367350016e-06,0.0,0.0,2.1651526367350016e-06
1518,2.1651526367350016e-06,0.0,0.0,2.1651526367350016e-06
1519,2.1651526367350016e-06,0.0,0.0,2.1651526367350016e-06
1520,2.4630640252455905e-06,0.0,0.0,2.4630640252455905e-06
1521,1.8917417362120302e-06,0.0,0.0,1.8917417362120302e-06
1522,1.8917417362120302e-06,0.0,0.0,1.8917417362120302e-06
1523,3.1238317400753398e-06,0.0,0.0,3.1238317400753398e-06
1524,1.5300013923738983e-06,0.0,0.0,1.5300013923738983e-06
1525,1.5300013923738983e-06,0.0,0.0,1.5300013923738983e-06
1526,2.8013003624697115e-06,0.0,0.0,2.8013003624697115e-06
1527,2.503388973959123e-06,0.0,0.0,2.503388973959123e-06
1528,2.503388973959123e-06,0.0,0.0,2.503388973959123e-06
1529,2.503388973959123e-06,0.0,0.0,2.503388973959123e-06
1530,1.2712989700958133e-06,0.0,0.0,1.2712989700958133e-06
1531,1.2712989700958133e-06,0.0,0.0,1.2712989700958133e-06
1532,2.1731321534649136e-06,0.0,0.0,2.1731321534649136e-06
1533,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1534,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1535,3.5374001916872137e-06,0.0,0.0,3.5374001916872137e-06
1536,6.220986441413905e-06,0.0,0.0,6.220986441413905e-06
1537,6.220986441413905e-06,0.0,0.0,6.220986441413905e-06
1538,6.220986441413905e-06,0.0,0.0,6.220986441413905e-06
1539,7.809486695415607e-06,0.0,0.0,7.809486695415607e-06
1540,7.809486695415607e-06,0.0,0.0,7.809486695415607e-06
1541,7.809486695415607e-06,0.0,0.0,7.809486695415607e-06
1542,6.6785660237655975e-06,0.0,0.0,6.6785660237655975e-06
1543,3.994979774038906e-06,0.0,0.0,3.994979774038906e-06
1544,4.690504413572073e-06,0.0,0.0,4.690504413572073e-06
1545,4.690504413572073e-06,0.0,0.0,4.690504413572073e-06
1546,2.200170976201272e-06,0.0,0.0,2.200170976201272e-06
1547,2.200170976201272e-06,0.0,0.0,2.200170976201272e-06
1548,3.389138717985978e-06,0.0,0.0,3.389138717985978e-06
1549,1.8844923813178736e-06,0.0,0.0,1.8844923813178736e-06
1550,2.9651838043979036e-06,0.0,0.0,2.9651838043979036e-06
1551,2.269659164864736e-06,0.0,0.0,2.269659164864736e-06
1552,2.269659164864736e-06,0.0,0.0,2.269659164864736e-06
1553,2.269659164864736e-06,0.0,0.0,2.269659164864736e-06
1554,2.269659164864736e-06,0.0,2.776980649546853e-05,2.269659164864736e-06
1555,1.08069142308003e-06,0.0,2.776980649546853e-05,1.08069142308003e-06
