ngram,presence,presnce,presence,presece
1500,8.493541372445179e-06,0.0,8.493541372445179e-06,0.0
1501,6.794833097956143e-06,0.0,6.794833097956143e-06,0.0
1502,9.176578108357111e-06,0.0,9.176578108357111e-06,0.0
1503,7.865638378591808e-06,0.0,7.865638378591808e-06,0.0
1504,2.6933686188255835e-05,0.0,2.6933686188255835e-05,0.0
1505,2.7145103688651163e-05,0.0,2.7145103688651163e-05,0.0
1506,2.7145103688651163e-05,0.0,2.7145103688651163e-05,0.0
1507,2.7145103688651163e-05,0.0,2.7145103688651163e-05,0.0
1508,2.7145103688651163e-05,0.0,2.7145103688651163e-05,0.0
1509,2.4132917522885172e-05,0.0,2.4132917522885172e-05,0.0
1510,2.4132917522885172e-05,0.0,2.4132917522885172e-05,0.0
1511,2.525310784611585e-06,0.0,2.525310784611585e-06,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.7139668800934616e-05,0.0,1.7139668800934616e-05,0.0
1515,1.7139668800934616e-05,0.0,1.7139668800934616e-05,0.0
1516,1.7139668800934616e-05,0.0,1.7139668800934616e-05,0.0
1517,2.1921159973966757e-05,0.0,2.1921159973966757e-05,0.0
1518,2.1921159973966757e-05,0.0,2.1921159973966757e-05,0.0
1519,2.1921159973966757e-05,0.0,2.1921159973966757e-05,0.0
1520,3.0858501434392694e-05,0.0,3.0858501434392694e-05,0.0
1521,1.3718832633458078e-05,0.0,1.3718832633458078e-05,0.0
1522,2.324010295394276e-05,0.0,2.324010295394276e-05,0.0
1523,3.6177047669687977e-05,0.0,3.6177047669687977e-05,0.0
1524,3.139555649665583e-05,0.0,3.139555649665583e-05,0.0
1525,0.00013682518017178933,0.0,0.00013682518017178933,0.0
1526,0.0001838632399864894,0.0,0.0001838632399864894,0.0
1527,0.00017492589852606346,0.0,0.00017492589852606346,0.0
1528,0.00017910682825978647,0.0,0.00017910682825978647,0.0
1529,0.00016958555793930178,0.0,0.00016958555793930178,0.0
1530,0.0001632091498322552,0.0,0.0001632091498322552,0.0
1531,0.0001632091498322552,0.0,0.0001632091498322552,0.0
1532,7.491435644624289e-05,0.0,7.491435644624289e-05,0.0
1533,3.585803460737225e-05,0.0,3.585803460737225e-05,0.0
1534,5.2711682396225766e-05,0.0,5.2711682396225766e-05,0.0
1535,6.434415471241144e-05,0.0,6.434415471241144e-05,0.0
1536,6.926406318338454e-05,0.0,6.926406318338454e-05,0.0
1537,6.27035265746859e-05,0.0,6.27035265746859e-05,0.0
1538,6.27035265746859e-05,0.0,6.27035265746859e-05,0.0
1539,4.9719252014516056e-05,0.0,4.9719252014516056e-05,0.0
1540,4.173751403868664e-05,0.0,4.173751403868664e-05,0.0
1541,2.4883866249833124e-05,0.0,2.4883866249833124e-05,0.0
1542,1.2079756873260652e-05,0.0,1.2079756873260652e-05,0.0
1543,7.159848402287545e-06,0.0,7.159848402287545e-06,0.0
1544,1.467151430136125e-05,0.0,1.467151430136125e-05,0.0
1545,4.44106460365999e-05,0.0,4.44106460365999e-05,0.0
1546,4.5574507956709045e-05,0.0,4.5574507956709045e-05,5.594123909499363e-07
1547,4.5574507956709045e-05,0.0,4.5574507956709045e-05,5.594123909499363e-07
1548,5.419452411713012e-05,0.0,5.419452411713012e-05,5.594123909499363e-07
1549,6.57371238048654e-05,0.0,6.57371238048654e-05,1.7720701310151656e-06
1550,9.005267981722551e-05,0.0,9.005267981722551e-05,1.7720701310151656e-06
1551,8.49022110612298e-05,0.0,8.49022110612298e-05,1.7720701310151656e-06
1552,6.165307812417658e-05,0.0,6.165307812417658e-05,1.7720701310151656e-06
1553,5.633866047511609e-05,0.0,5.633866047511609e-05,1.2126577400652292e-06
1554,5.633866047511609e-05,0.0,5.633866047511609e-05,1.2126577400652292e-06
1555,5.372849435454035e-05,0.0,5.372849435454035e-05,1.2126577400652292e-06
1556,6.415763371998244e-05,0.0,6.415763371998244e-05,0.0
1557,3.9842077707622335e-05,0.0,3.9842077707622335e-05,0.0
1558,5.453209658818585e-05,0.0,5.453209658818585e-05,0.0
1559,5.4918990956918735e-05,0.0,5.4918990956918735e-05,0.0
1560,6.927707883213381e-05,0.0,6.927707883213381e-05,0.0
1561,6.927707883213381e-05,0.0,6.927707883213381e-05,0.0
1562,6.682265796241284e-05,0.0,6.682265796241284e-05,0.0
1563,4.229624794658905e-05,0.0,4.229624794658905e-05,0.0
1564,4.865789469477022e-05,0.0,4.865789469477022e-05,0.0
1565,6.297249832901539e-05,0.0,6.297249832901539e-05,0.0
1566,5.6095605162097074e-05,0.0,5.6095605162097074e-05,0.0
1567,4.241991460470932e-05,0.0,4.241991460470932e-05,0.0
1568,4.241991460470932e-05,0.0,4.241991460470932e-05,0.0
1569,4.18353067418918e-05,0.0,4.18353067418918e-05,0.0
1570,4.591372200073758e-05,0.0,4.591372200073758e-05,0.0
1571,4.4455778606788954e-05,0.0,4.4455778606788954e-05,0.0
1572,1.620972378597279e-05,0.0,1.620972378597279e-05,0.0
1573,3.131063600189269e-05,0.0,3.131063600189269e-05,0.0
1574,3.825420052245525e-05,0.0,3.825420052245525e-05,0.0
1575,3.825420052245525e-05,0.0,3.825420052245525e-05,0.0
1576,3.933950314863718e-05,0.0,3.933950314863718e-05,0.0
1577,8.838746206103159e-05,0.0,8.838746206103159e-05,0.0
1578,9.312028331415994e-05,0.0,9.312028331415994e-05,0.0
1579,9.388104730792943e-05,0.0,9.388104730792943e-05,0.0
1580,8.571336080162187e-05,0.0,8.571336080162187e-05,0.0
1581,8.342716552890903e-05,0.0,8.342716552890903e-05,5.933073745317026e-07
1582,9.390169959390602e-05,0.0,9.390169959390602e-05,5.933073745317026e-07
1583,9.729522597418898e-05,0.0,9.729522597418898e-05,5.933073745317026e-07
1584,5.810001545926623e-05,0.0,5.810001545926623e-05,5.933073745317026e-07
1585,5.7521959336424645e-05,0.0,5.7521959336424645e-05,5.933073745317026e-07
1586,5.579811204370344e-05,0.0,5.579811204370344e-05,5.933073745317026e-07
1587,7.03218183844001e-05,0.0,7.03218183844001e-05,1.9776256132380306e-06
1588,6.966859278431261e-05,0.0,6.966859278431261e-05,1.384318238706328e-06
1589,7.0210920837001e-05,0.0,7.0210920837001e-05,1.384318238706328e-06
1590,7.887976075185829e-05,0.0,7.887976075185829e-05,1.384318238706328e-06
1591,7.782064845481987e-05,0.0,7.782064845481987e-05,1.384318238706328e-06
1592,8.010464430948819e-05,0.0,8.010464430948819e-05,1.384318238706328e-06
1593,8.91117992328613e-05,0.0,8.91117992328613e-05,1.384318238706328e-06
1594,7.23485515793852e-05,0.0,7.23485515793852e-05,0.0
1595,7.352237298619002e-05,0.0,7.352237298619002e-05,0.0
1596,7.029098508480404e-05,0.0,7.029098508480404e-05,0.0
1597,6.736826305443953e-05,0.0,6.736826305443953e-05,0.0
1598,6.57635776276168e-05,0.0,6.57635776276168e-05,0.0
1599,6.208533782877826e-05,0.0,6.208533782877826e-05,0.0
1600,6.593885960423254e-05,0.0,6.593885960423254e-05,0.0
1601,7.511316912963853e-05,0.0,7.511316912963853e-05,0.0
1602,7.374203778454103e-05,0.0,7.374203778454103e-05,0.0
1603,6.925344444295791e-05,0.0,6.925344444295791e-05,0.0
1604,6.712524658983707e-05,0.0,6.712524658983707e-05,0.0
1605,6.4623084264375e-05,0.0,6.4623084264375e-05,0.0
1606,7.153343956036094e-05,0.0,7.153343956036094e-05,0.0
1607,6.099506364470082e-05,0.0,6.099506364470082e-05,0.0
1608,6.210288951738871e-05,0.0,6.210288951738871e-05,0.0
1609,6.176448602803118e-05,0.0,6.176448602803118e-05,1.886739775207908e-07
1610,8.803560220777789e-05,0.0,8.803560220777789e-05,3.1612224152663006e-07
1611,8.352241768859261e-05,0.0,8.352241768859261e-05,3.1612224152663006e-07
1612,8.748362779442687e-05,0.0,8.748362779442687e-05,3.1612224152663006e-07
1613,8.281729736024448e-05,0.0,8.281729736024448e-05,3.1612224152663006e-07
1614,8.295285156886425e-05,0.0,8.295285156886425e-05,3.1612224152663006e-07
1615,7.826250008032989e-05,0.0,7.826250008032989e-05,3.1612224152663006e-07
1616,8.492440870863252e-05,0.0,8.492440870863252e-05,1.2744826400583926e-07
1617,6.486909426582445e-05,0.0,6.486909426582445e-05,0.0
1618,6.471572227643005e-05,0.0,6.471572227643005e-05,0.0
1619,6.391348142642528e-05,0.0,6.391348142642528e-05,0.0
1620,6.216508388336348e-05,0.0,6.216508388336348e-05,0.0
1621,6.682828305721549e-05,0.0,6.682828305721549e-05,0.0
1622,7.124563230068556e-05,0.0,7.124563230068556e-05,0.0
1623,6.797649361292965e-05,0.0,6.797649361292965e-05,0.0
1624,7.309836551680096e-05,0.0,7.309836551680096e-05,0.0
1625,7.500382084150001e-05,0.0,7.500382084150001e-05,0.0
1626,6.951368050067686e-05,0.0,6.951368050067686e-05,0.0
1627,6.998148091952316e-05,0.0,6.998148091952316e-05,0.0
1628,6.836860536298315e-05,0.0,6.836860536298315e-05,0.0
1629,6.28265448280477e-05,0.0,6.28265448280477e-05,0.0
1630,8.728132628935523e-05,0.0,8.728132628935523e-05,0.0
1631,8.290584914253227e-05,0.0,8.290584914253227e-05,0.0
1632,8.10132093777481e-05,0.0,8.10132093777481e-05,0.0
1633,8.139047349686734e-05,0.0,8.139047349686734e-05,0.0
1634,8.06615836544162e-05,0.0,8.06615836544162e-05,0.0
1635,8.38629254888344e-05,0.0,8.38629254888344e-05,0.0
1636,8.729460803026865e-05,0.0,8.729460803026865e-05,0.0
1637,6.575812689594127e-05,0.0,6.575812689594127e-05,0.0
