ngram,principle,principl,principel,priniple
1500,1.7114294450948364e-05,0.0,0.0,0.0
1501,1.3691435560758691e-05,0.0,0.0,0.0
1502,5.112018319171815e-05,0.0,0.0,0.0
1503,7.951596684766368e-05,0.0,0.0,0.0
1504,7.751105191086285e-05,0.0,0.0,0.0
1505,6.973637001855033e-05,0.0,0.0,0.0
1506,6.973637001855033e-05,0.0,0.0,0.0
1507,6.973637001855033e-05,0.0,0.0,0.0
1508,6.973637001855033e-05,0.0,0.0,0.0
1509,3.569866696904812e-05,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,1.0625535651342943e-06,0.0,0.0,0.0
1518,1.0625535651342943e-06,0.0,0.0,0.0
1519,1.0625535651342943e-06,0.0,0.0,0.0
1520,7.616604177331153e-06,0.0,0.0,0.0
1521,7.616604177331153e-06,0.0,0.0,0.0
1522,7.616604177331153e-06,0.0,0.0,0.0
1523,3.287444867185384e-05,0.0,0.0,0.0
1524,3.1811895106719544e-05,0.0,0.0,0.0
1525,3.1811895106719544e-05,0.0,0.0,0.0
1526,4.325358583758186e-05,0.0,0.0,0.0
1527,3.6699535225385004e-05,0.0,0.0,0.0
1528,3.983523259064116e-05,0.0,0.0,0.0
1529,3.983523259064116e-05,0.0,0.0,0.0
1530,1.603528510583731e-05,0.0,0.0,0.0
1531,2.1780133335726403e-05,0.0,0.0,0.0
1532,2.3132883143262006e-05,0.0,0.0,0.0
1533,1.1691192412399687e-05,0.0,0.0,0.0
1534,1.1691192412399687e-05,0.0,1.4044706923803979e-06,0.0
1535,8.555495047143527e-06,0.0,1.4044706923803979e-06,0.0
1536,1.0344552590270593e-05,0.0,1.4044706923803979e-06,0.0
1537,8.886655580551763e-06,0.0,1.4044706923803979e-06,0.0
1538,3.1418073506626698e-06,0.0,1.4044706923803979e-06,0.0
1539,2.619168688917333e-06,0.0,1.4044706923803979e-06,0.0
1540,2.619168688917333e-06,0.0,1.4044706923803979e-06,0.0
1541,2.619168688917333e-06,0.0,0.0,0.0
1542,2.619168688917333e-06,0.0,0.0,0.0
1543,8.301111457902672e-07,0.0,0.0,0.0
1544,9.176406820188276e-06,0.0,0.0,0.0
1545,9.176406820188276e-06,0.0,0.0,0.0
1546,8.34629567439801e-06,0.0,0.0,0.0
1547,8.34629567439801e-06,0.0,0.0,0.0
1548,1.1913198769824313e-05,0.0,0.0,0.0
1549,1.1913198769824313e-05,0.0,0.0,0.0
1550,1.9478038926276247e-05,0.0,0.0,0.0
1551,1.1131743251878237e-05,0.0,0.0,0.0
1552,1.617952044138552e-05,0.0,0.0,0.0
1553,1.617952044138552e-05,0.0,0.0,0.0
1554,1.617952044138552e-05,0.0,0.0,0.0
1555,1.2612617345959215e-05,0.0,0.0,0.0
1556,1.5735246311773414e-05,0.0,0.0,0.0
1557,8.17040615532148e-06,0.0,0.0,0.0
1558,1.5672941247300643e-05,0.0,0.0,0.0
1559,1.0625164057793362e-05,0.0,0.0,0.0
1560,1.3317305534396187e-05,0.0,0.0,0.0
1561,1.3317305534396187e-05,0.0,0.0,0.0
1562,1.3317305534396187e-05,0.0,0.0,0.0
1563,1.019467656858199e-05,0.0,0.0,0.0
1564,1.019467656858199e-05,0.0,0.0,0.0
1565,2.692141476602826e-06,0.0,0.0,0.0
1566,2.692141476602826e-06,0.0,0.0,0.0
1567,2.0471920184458474e-06,0.0,0.0,0.0
1568,2.0471920184458474e-06,0.0,0.0,0.0
1569,7.2461293062328224e-06,0.0,0.0,0.0
1570,7.2461293062328224e-06,0.0,0.0,0.0
1571,9.697980983349095e-06,0.0,0.0,0.0
1572,9.697980983349095e-06,0.0,0.0,0.0
1573,9.697980983349095e-06,0.0,0.0,0.0
1574,7.650788964903249e-06,0.0,0.0,0.0
1575,7.650788964903249e-06,0.0,0.0,0.0
1576,4.254573468642775e-06,0.0,0.0,0.0
1577,4.254573468642775e-06,0.0,0.0,0.0
1578,2.5254611110930066e-06,0.0,0.0,0.0
1579,2.1928105525148567e-05,0.0,0.0,0.0
1580,2.1928105525148567e-05,0.0,0.0,0.0
1581,2.1928105525148567e-05,0.0,0.0,0.0
1582,2.2766068273735334e-05,0.0,0.0,0.0
1583,2.817268542847679e-05,0.0,0.0,0.0
1584,2.817268542847679e-05,0.0,0.0,0.0
1585,2.9525845028339453e-05,0.0,0.0,0.0
1586,1.0123200614283892e-05,0.0,0.0,0.0
1587,1.0815359733637056e-05,0.0,0.0,0.0
1588,1.1484865548741904e-05,0.0,0.0,0.0
1589,1.1767261639761273e-05,0.0,0.0,0.0
1590,7.41765493980243e-06,0.0,0.0,0.0
1591,7.684188403800363e-06,0.0,0.0,0.0
1592,6.802233071669304e-06,0.0,0.0,0.0
