ngram,problem,problm,prolem,problme
1500,1.777932448021602e-05,0.0,0.0,0.0
1501,1.4223459584172814e-05,0.0,0.0,0.0
1502,1.1852882986810679e-05,0.0,0.0,0.0
1503,0.0009740235972068538,0.0,0.0,0.0
1504,0.0009760537078753779,0.0,0.0,0.0
1505,0.0009716159040960649,0.0,0.0,0.0
1506,0.0009716159040960649,0.0,0.0,0.0
1507,0.0009716159040960649,0.0,0.0,0.0
1508,0.0009716159040960649,0.0,0.0,0.0
1509,0.0009716159040960649,0.0,0.0,0.0
1510,7.751920877905962e-06,0.0,0.0,0.0
1511,1.5783191754183333e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,3.7189373480422157e-06,0.0,0.0,0.0
1518,3.7189373480422157e-06,0.0,0.0,0.0
1519,3.7189373480422157e-06,0.0,0.0,0.0
1520,4.91058290208457e-06,0.0,0.0,0.0
1521,4.91058290208457e-06,0.0,0.0,0.0
1522,4.91058290208457e-06,0.0,0.0,0.0
1523,9.485315201475584e-05,0.0,0.0,0.0
1524,9.113421466671363e-05,0.0,0.0,0.0
1525,9.113421466671363e-05,0.0,0.0,0.0
1526,0.00011083934974262124,0.0,0.0,0.0
1527,0.0001096477041885789,0.0,0.0,0.0
1528,0.0001253261902352928,0.0,0.0,0.0
1529,0.0001253261902352928,0.0,0.0,0.0
1530,3.975731202185021e-05,0.0,0.0,0.0
1531,3.975731202185021e-05,0.0,0.0,0.0
1532,5.959764270560949e-05,0.0,0.0,0.0
1533,3.989250762970187e-05,0.0,0.0,0.0
1534,3.989250762970187e-05,0.0,0.0,0.0
1535,2.4590531146324273e-05,0.0,0.0,0.0
1536,2.4590531146324273e-05,0.0,0.0,0.0
1537,2.0216840247095596e-05,0.0,0.0,0.0
1538,2.0216840247095596e-05,0.0,0.0,0.0
1539,1.5318509667849867e-05,0.0,0.0,0.0
1540,1.5318509667849867e-05,0.0,0.0,0.0
1541,1.5318509667849867e-05,0.0,0.0,0.0
1542,1.6446646441181656e-05,0.0,0.0,0.0
1543,1.6446646441181656e-05,0.0,0.0,0.0
1544,1.672485629049853e-05,0.0,0.0,0.0
1545,1.672485629049853e-05,0.0,0.0,0.0
1546,1.7828561859849806e-06,0.0,0.0,0.0
1547,1.7828561859849806e-06,0.0,0.0,0.0
1548,1.2186323894119206e-05,0.0,0.0,0.0
1549,1.0681677557451102e-05,0.0,0.0,0.0
1550,3.175516040495755e-05,0.0,0.0,0.0
1551,3.147695055564067e-05,0.0,0.0,0.0
1552,3.291917255410226e-05,0.0,0.0,0.0
1553,3.291917255410226e-05,0.0,0.0,0.0
1554,3.291917255410226e-05,0.0,0.0,0.0
1555,2.4318659857921636e-05,0.0,0.0,0.0
1556,4.513618491078627e-05,0.0,0.0,0.0
1557,2.4062702063279824e-05,0.0,0.0,0.0
1558,5.134464936418226e-05,0.0,0.0,0.0
1559,4.990242736572067e-05,0.0,0.0,0.0
1560,4.990242736572067e-05,0.0,0.0,0.0
1561,4.990242736572067e-05,0.0,0.0,0.0
1562,4.809947235376707e-05,0.0,0.0,0.0
1563,2.9100434143661653e-05,0.0,0.0,0.0
1564,2.9100434143661653e-05,0.0,0.0,0.0
1565,1.8184868427592197e-06,0.0,0.0,0.0
1566,3.7221573490699356e-06,0.0,0.0,0.0
1567,3.7221573490699356e-06,0.0,0.0,0.0
1568,3.7221573490699356e-06,0.0,0.0,0.0
1569,2.3775201693102383e-05,0.0,0.0,0.0
1570,2.1956714850343167e-05,0.0,0.0,0.0
1571,2.1956714850343167e-05,0.0,0.0,0.0
1572,2.1956714850343167e-05,0.0,0.0,0.0
1573,2.005304434403245e-05,0.0,0.0,0.0
1574,2.005304434403245e-05,0.0,0.0,0.0
1575,2.005304434403245e-05,0.0,0.0,0.0
1576,3.15476323261724e-06,0.0,0.0,0.0
1577,3.15476323261724e-06,0.0,0.0,0.0
1578,4.600241871750248e-06,0.0,0.0,0.0
1579,5.246996676890246e-06,0.0,0.0,0.0
1580,5.246996676890246e-06,0.0,0.0,0.0
1581,5.246996676890246e-06,0.0,0.0,0.0
1582,5.246996676890246e-06,0.0,0.0,0.0
1583,6.4178370199182865e-06,0.0,0.0,0.0
1584,1.0014283361670095e-05,0.0,0.0,0.0
1585,8.568804722537087e-06,0.0,0.0,0.0
1586,8.640943763436684e-06,0.0,0.0,0.0
1587,8.640943763436684e-06,0.0,0.0,0.0
1588,8.640943763436684e-06,0.0,0.0,0.0
1589,9.20112318323975e-06,0.0,0.0,0.0
1590,5.655446524802496e-06,0.0,0.0,0.0
1591,2.5920671110465525e-06,0.0,0.0,0.0
1592,2.5920671110465525e-06,0.0,0.0,0.0
1593,2.3197267182695214e-06,0.0,0.0,0.0
1594,2.3197267182695214e-06,0.0,0.0,0.0
1595,3.6721180549648125e-06,0.0,0.0,0.0
1596,7.951557953284854e-06,0.0,0.0,0.0
1597,7.776941466935178e-06,0.0,0.0,0.0
1598,1.5471382929328164e-05,0.0,0.0,0.0
1599,1.5589294077601933e-05,0.0,0.0,0.0
1600,1.5994789302047658e-05,0.0,0.0,0.0
1601,1.5994789302047658e-05,0.0,0.0,0.0
1602,1.5268802306828938e-05,0.0,0.0,0.0
1603,1.0429182988705829e-05,0.0,0.0,0.0
1604,1.0164413197344402e-05,0.0,0.0,0.0
1605,1.9369048069555513e-06,0.0,0.0,0.0
1606,9.426603972834918e-06,0.0,0.0,0.0
1607,8.574555295126629e-06,0.0,0.0,0.0
1608,8.574555295126629e-06,0.0,0.0,0.0
1609,7.94815095365006e-06,0.0,0.0,0.0
1610,7.94815095365006e-06,0.0,5.09793056023357e-07,0.0
1611,1.7234364349860698e-05,0.0,5.09793056023357e-07,0.0
1612,1.7234364349860698e-05,0.0,5.09793056023357e-07,0.0
1613,1.0265995959863566e-05,0.0,6.696035370623576e-07,0.0
1614,1.0265995959863566e-05,0.0,6.696035370623576e-07,0.0
1615,1.0265995959863566e-05,0.0,6.696035370623576e-07,0.0
