ngram,red,rd,redd
1500,2.924075488408562e-06,2.905971427935583e-06,0.0
1501,2.3392603907268494e-06,2.3247771423484664e-06,0.0
1502,3.882202994039592e-06,1.937314285290389e-06,0.0
1503,3.3276025663196507e-06,1.6605551016774761e-06,0.0
1504,2.2583145827021715e-06,3.239450571917197e-07,0.0
1505,2.2880299833819403e-06,0.0,0.0
1506,9.890453579178679e-06,0.0,0.0
1507,9.890453579178679e-06,0.0,0.0
1508,9.890453579178679e-06,0.0,0.0
1509,8.233751291949634e-06,0.0,0.0
1510,8.233751291949634e-06,0.0,0.0
1511,8.233751291949634e-06,0.0,0.0
1512,7.602423595796738e-06,0.0,0.0
1513,0.0,0.0,0.0
1514,7.427189952328003e-06,0.0,0.0
1515,7.427189952328003e-06,0.0,0.0
1516,7.427189952328003e-06,0.0,0.0
1517,7.277423251902551e-05,5.312767825671472e-07,1.0625535651342943e-06
1518,7.277423251902551e-05,5.312767825671472e-07,1.0625535651342943e-06
1519,7.277423251902551e-05,5.312767825671472e-07,1.0625535651342943e-06
1520,9.1542650417458e-05,5.312767825671472e-07,1.0625535651342943e-06
1521,8.411546046512999e-05,5.312767825671472e-07,1.0625535651342943e-06
1522,0.00018250192390821342,5.312767825671472e-07,1.0625535651342943e-06
1523,0.00018250192390821342,5.312767825671472e-07,1.0625535651342943e-06
1524,0.00012334891549211794,0.0,0.0
1525,0.00012334891549211794,0.0,0.0
1526,0.00013606190519307608,1.2712989700958133e-06,0.0
1527,0.0001753419003632319,1.2712989700958133e-06,0.0
1528,0.0001753419003632319,4.406996335351973e-06,0.0
1529,7.695543692014846e-05,4.406996335351973e-06,0.0
1530,9.15344072771924e-05,4.406996335351973e-06,0.0
1531,0.0001255543122949478,4.406996335351973e-06,0.0
1532,0.0001269070621024834,4.406996335351973e-06,0.0
1533,0.00011419407240152526,3.1356973652561593e-06,0.0
1534,6.0359071280150344e-05,3.1356973652561593e-06,0.0
1535,7.127784829208395e-05,1.5060382533452606e-06,3.7650956333631515e-07
1536,7.172511267786572e-05,1.5060382533452606e-06,3.7650956333631515e-07
1537,5.714614232082178e-05,1.5060382533452606e-06,3.7650956333631515e-07
1538,3.281439626334759e-05,1.5060382533452606e-06,3.7650956333631515e-07
