ngram,relief,releif,relief,relief
1500,5.281017001834698e-05,0.0,5.281017001834698e-05,5.281017001834698e-05
1501,4.224813601467758e-05,0.0,4.224813601467758e-05,4.224813601467758e-05
1502,4.926364878580595e-05,0.0,4.926364878580595e-05,4.926364878580595e-05
1503,4.222598467354796e-05,0.0,4.222598467354796e-05,4.222598467354796e-05
1504,4.063465036909163e-05,0.0,4.063465036909163e-05,4.063465036909163e-05
1505,1.7345192515806828e-05,0.0,1.7345192515806828e-05,1.7345192515806828e-05
1506,1.7345192515806828e-05,0.0,1.7345192515806828e-05,1.7345192515806828e-05
1507,1.7345192515806828e-05,0.0,1.7345192515806828e-05,1.7345192515806828e-05
1508,1.7345192515806828e-05,0.0,1.7345192515806828e-05,1.7345192515806828e-05
1509,5.296447852742858e-06,0.0,5.296447852742858e-06,5.296447852742858e-06
1510,5.296447852742858e-06,0.0,5.296447852742858e-06,5.296447852742858e-06
1511,2.209647001499044e-06,0.0,2.209647001499044e-06,2.209647001499044e-06
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1515,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1516,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1517,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1518,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1519,1.4283056901019466e-06,0.0,1.4283056901019466e-06,1.4283056901019466e-06
1520,2.5261216251237784e-05,0.0,2.5261216251237784e-05,2.5261216251237784e-05
1521,2.383291056113584e-05,0.0,2.383291056113584e-05,2.383291056113584e-05
1522,2.383291056113584e-05,0.0,2.383291056113584e-05,2.383291056113584e-05
1523,2.5065000564999146e-05,0.0,2.5065000564999146e-05,2.5065000564999146e-05
1524,2.5065000564999146e-05,0.0,2.5065000564999146e-05,2.5065000564999146e-05
1525,2.5065000564999146e-05,0.0,2.5065000564999146e-05,2.5065000564999146e-05
1526,2.5700650050047053e-05,0.0,2.5700650050047053e-05,2.5700650050047053e-05
1527,1.8677394889112163e-06,0.0,1.8677394889112163e-06,1.8677394889112163e-06
1528,5.003436854167376e-06,0.0,5.003436854167376e-06,5.003436854167376e-06
1529,5.003436854167376e-06,0.0,5.003436854167376e-06,5.003436854167376e-06
1530,3.771346850304066e-06,0.0,3.771346850304066e-06,3.771346850304066e-06
1531,3.771346850304066e-06,0.0,3.771346850304066e-06,3.771346850304066e-06
1532,6.927763024577871e-06,0.0,6.927763024577871e-06,6.927763024577871e-06
1533,6.292113539529964e-06,0.0,6.292113539529964e-06,6.292113539529964e-06
1534,6.292113539529964e-06,0.0,6.292113539529964e-06,6.292113539529964e-06
1535,5.41547368421951e-06,0.0,5.41547368421951e-06,5.41547368421951e-06
1536,4.3880210276776257e-05,0.0,4.3880210276776257e-05,4.3880210276776257e-05
1537,4.3880210276776257e-05,0.0,4.3880210276776257e-05,4.3880210276776257e-05
1538,4.3880210276776257e-05,0.0,4.3880210276776257e-05,4.3880210276776257e-05
1539,4.4044238685663526e-05,0.0,4.4044238685663526e-05,4.4044238685663526e-05
1540,4.4044238685663526e-05,0.0,4.4044238685663526e-05,4.4044238685663526e-05
1541,4.4044238685663526e-05,0.0,4.4044238685663526e-05,4.4044238685663526e-05
1542,4.178518117571782e-05,0.0,4.178518117571782e-05,4.178518117571782e-05
1543,3.320444583161069e-06,0.0,3.320444583161069e-06,3.320444583161069e-06
1544,7.076277532697921e-06,0.0,7.076277532697921e-06,7.076277532697921e-06
1545,8.683798114361707e-06,1.0716804094304929e-06,8.683798114361707e-06,8.683798114361707e-06
1546,6.202472117625543e-06,1.0716804094304929e-06,6.202472117625543e-06,6.202472117625543e-06
1547,6.202472117625543e-06,1.0716804094304929e-06,6.202472117625543e-06,6.202472117625543e-06
1548,2.28480202427558e-05,1.0716804094304929e-06,2.28480202427558e-05,2.28480202427558e-05
1549,2.28480202427558e-05,1.0716804094304929e-06,2.28480202427558e-05,2.28480202427558e-05
1550,2.446905734489389e-05,1.0716804094304929e-06,2.446905734489389e-05,2.446905734489389e-05
1551,2.071322439535704e-05,1.0716804094304929e-06,2.071322439535704e-05,2.071322439535704e-05
1552,2.7037924740268083e-05,0.0,2.7037924740268083e-05,2.7037924740268083e-05
1553,2.619880615384318e-05,0.0,2.619880615384318e-05,2.619880615384318e-05
1554,2.619880615384318e-05,0.0,2.619880615384318e-05,2.619880615384318e-05
1555,1.6164093332398416e-05,0.0,1.6164093332398416e-05,1.6164093332398416e-05
1556,1.6164093332398416e-05,0.0,1.6164093332398416e-05,1.6164093332398416e-05
1557,1.4543056230260326e-05,0.0,1.4543056230260326e-05,1.4543056230260326e-05
1558,1.4543056230260326e-05,0.0,1.4543056230260326e-05,1.4543056230260326e-05
1559,8.330058595415071e-06,0.0,8.330058595415071e-06,8.330058595415071e-06
1560,1.2816960796564153e-05,0.0,1.2816960796564153e-05,1.2816960796564153e-05
1561,1.2816960796564153e-05,0.0,1.2816960796564153e-05,1.2816960796564153e-05
1562,6.206125492878657e-06,0.0,6.206125492878657e-06,6.206125492878657e-06
1563,1.8935533911904452e-05,1.8184868427592197e-06,1.8935533911904452e-05,1.8935533911904452e-05
1564,1.8935533911904452e-05,1.8184868427592197e-06,1.8935533911904452e-05,1.8935533911904452e-05
1565,1.8935533911904452e-05,9.912891982821748e-06,1.8935533911904452e-05,1.8935533911904452e-05
