ngram,republic,repubic
1500,5.669038500855095e-07,0.0
1501,4.535230800684076e-07,0.0
1502,3.7793590005700633e-07,0.0
1503,3.239450571917197e-07,0.0
1504,3.239450571917197e-07,0.0
1505,0.0,0.0
1506,0.0,0.0
1507,0.0,0.0
1508,0.0,0.0
1509,0.0,0.0
1510,0.0,0.0
1511,0.0,0.0
1512,0.0,0.0
1513,0.0,0.0
1514,2.8566114451678004e-07,0.0
1515,2.8566114451678004e-07,0.0
1516,2.8566114451678004e-07,0.0
1517,8.169379270839272e-07,0.0
1518,8.169379270839272e-07,0.0
1519,8.169379270839272e-07,0.0
1520,3.200229035168637e-06,0.0
1521,2.914567890651857e-06,0.0
1522,2.914567890651857e-06,0.0
1523,5.378747898378476e-06,0.0
1524,4.847471115811329e-06,0.0
1525,4.847471115811329e-06,0.0
1526,4.847471115811329e-06,0.0
1527,2.4641800077266192e-06,0.0
1528,2.4641800077266192e-06,0.0
1529,2.4641800077266192e-06,0.0
1530,0.0,0.0
1531,0.0,0.0
1532,0.0,0.0
1533,0.0,0.0
1534,0.0,0.0
1535,3.7650956333631515e-07,0.0
1536,3.7650956333631515e-07,0.0
1537,3.7650956333631515e-07,0.0
1538,3.7650956333631515e-07,0.0
1539,3.7650956333631515e-07,0.0
1540,3.7650956333631515e-07,0.0
1541,3.7650956333631515e-07,0.0
1542,6.018585346672418e-06,0.0
1543,6.018585346672418e-06,0.0
1544,6.018585346672418e-06,0.0
1545,6.018585346672418e-06,0.0
1546,6.018585346672418e-06,0.0
1547,6.018585346672418e-06,0.0
1548,6.315827282118594e-06,0.0
1549,2.972419354461765e-07,0.0
1550,8.375876469861916e-07,0.0
1551,8.375876469861916e-07,0.0
1552,1.5586986462169859e-06,0.0
1553,1.5586986462169859e-06,0.0
1554,1.5586986462169859e-06,0.0
1555,1.2614567107708093e-06,0.0
1556,1.2614567107708093e-06,0.0
1557,7.211109992307943e-07,0.0
1558,7.211109992307943e-07,0.0
1559,0.0,0.0
1560,0.0,0.0
1561,0.0,0.0
1562,0.0,0.0
1563,0.0,0.0
1564,0.0,0.0
1565,0.0,0.0
1566,0.0,0.0
1567,0.0,0.0
1568,0.0,0.0
1569,7.427053268267108e-07,0.0
1570,7.427053268267108e-07,0.0
1571,7.427053268267108e-07,0.0
1572,7.427053268267108e-07,0.0
1573,7.427053268267108e-07,0.0
1574,7.427053268267108e-07,0.0
1575,7.427053268267108e-07,0.0
1576,0.0,0.0
1577,0.0,0.0
1578,0.0,0.0
1579,4.527283765907798e-06,0.0
1580,4.527283765907798e-06,0.0
1581,4.527283765907798e-06,0.0
1582,4.527283765907798e-06,0.0
1583,4.767595068447658e-06,0.0
1584,4.767595068447658e-06,0.0
1585,4.767595068447658e-06,0.0
