ngram,revolution,revoluton,revoluton,revoltin
1500,8.098626835817413e-08,0.0,0.0,0.0
1501,6.47890146865393e-08,0.0,0.0,0.0
1502,5.3990845572116086e-08,0.0,0.0,0.0
1503,8.970944609895273e-06,0.0,0.0,0.0
1504,8.970944609895273e-06,0.0,0.0,0.0
1505,8.92466674226203e-06,0.0,0.0,0.0
1506,8.92466674226203e-06,0.0,0.0,0.0
1507,8.92466674226203e-06,0.0,0.0,0.0
1508,8.92466674226203e-06,0.0,0.0,0.0
1509,8.92466674226203e-06,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0
1517,5.312767825671472e-07,0.0,0.0,0.0
1518,5.312767825671472e-07,0.0,0.0,0.0
1519,5.312767825671472e-07,0.0,0.0,0.0
1520,4.999947512780116e-06,0.0,0.0,0.0
1521,4.999947512780116e-06,0.0,0.0,0.0
1522,4.999947512780116e-06,0.0,0.0,0.0
1523,7.464127520506736e-06,0.0,0.0,0.0
1524,6.932850737939589e-06,0.0,0.0,0.0
1525,6.932850737939589e-06,0.0,0.0,0.0
1526,7.568500222987495e-06,0.0,0.0,0.0
1527,3.099829492774526e-06,0.0,0.0,0.0
1528,3.099829492774526e-06,0.0,0.0,0.0
1529,3.099829492774526e-06,0.0,0.0,0.0
1530,6.356494850479066e-07,0.0,0.0,0.0
1531,6.356494850479066e-07,0.0,0.0,0.0
1532,1.0865660767324568e-06,0.0,0.0,0.0
1533,4.509165916845502e-07,0.0,0.0,0.0
1534,4.509165916845502e-07,0.0,0.0,0.0
1535,4.509165916845502e-07,0.0,0.0,0.0
1536,4.509165916845502e-07,0.0,0.0,0.0
1537,4.509165916845502e-07,0.0,0.0,0.0
1538,4.509165916845502e-07,0.0,0.0,0.0
1539,4.980666874741603e-06,0.0,0.0,0.0
1540,4.980666874741603e-06,0.0,0.0,0.0
1541,4.980666874741603e-06,0.0,0.0,0.0
1542,6.4853132114097074e-06,0.0,0.0,0.0
1543,6.4853132114097074e-06,0.0,0.0,0.0
1544,9.406516645477886e-06,0.0,0.0,0.0
1545,9.406516645477886e-06,0.0,0.0,0.0
1546,4.425849770736282e-06,0.0,0.0,0.0
1547,4.425849770736282e-06,0.0,0.0,0.0
1548,4.7230917061824584e-06,0.0,0.0,0.0
1549,3.218445369514354e-06,0.0,0.0,0.0
1550,3.758791081054369e-06,0.0,0.0,0.0
1551,8.375876469861916e-07,0.0,0.0,0.0
1552,1.5586986462169859e-06,0.0,0.0,0.0
1553,1.5586986462169859e-06,0.0,0.0,0.0
1554,1.5586986462169859e-06,0.0,0.0,0.0
1555,1.2614567107708093e-06,0.0,0.0,0.0
1556,1.2614567107708093e-06,0.0,0.0,0.0
1557,7.211109992307943e-07,0.0,0.0,0.0
1558,7.211109992307943e-07,0.0,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,5.941642614613686e-06,0.0,0.0,0.0
1570,5.941642614613686e-06,0.0,0.0,0.0
1571,5.941642614613686e-06,0.0,0.0,0.0
1572,5.941642614613686e-06,0.0,0.0,0.0
1573,5.941642614613686e-06,0.0,0.0,0.0
1574,5.941642614613686e-06,0.0,0.0,0.0
1575,5.941642614613686e-06,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,9.013608957632511e-07,0.0,0.0,0.0
1578,4.27414456031069e-06,0.0,0.0,0.0
1579,4.920899365450688e-06,0.0,0.0,0.0
1580,4.920899365450688e-06,0.0,0.0,0.0
1581,4.920899365450688e-06,0.0,0.0,0.0
1582,4.920899365450688e-06,0.0,0.0,0.0
1583,4.259849772227296e-06,0.0,0.0,0.0
1584,4.259849772227296e-06,0.0,0.0,0.0
1585,8.870661076798569e-07,0.0,0.0,0.0
1586,9.59205148579453e-07,0.0,0.0,0.0
1587,1.305284708256035e-06,0.0,0.0,0.0
1588,1.9747905233608824e-06,0.0,0.0,0.0
1589,1.9747905233608824e-06,0.0,0.0,0.0
1590,3.2943330552370753e-06,0.0,0.0,0.0
1591,3.560866519235008e-06,0.0,0.0,0.0
1592,4.157838312884061e-06,0.0,0.0,0.0
1593,4.108774646738311e-06,0.0,0.0,0.0
1594,4.097958253623801e-06,0.0,0.0,0.0
1595,3.4284524385189537e-06,0.0,0.0,0.0
1596,3.4284524385189537e-06,0.0,0.0,0.0
1597,1.9896606967709625e-06,0.0,0.0,0.0
1598,1.72312723277303e-06,0.0,0.0,0.0
1599,1.126155439123977e-06,0.0,0.0,0.0
1600,5.675123312747539e-06,0.0,0.0,0.0
1601,5.730507869624749e-06,0.0,0.0,0.0
1602,5.730507869624749e-06,0.0,0.0,0.0
1603,5.730507869624749e-06,0.0,0.0,0.0
1604,6.290527055950536e-06,0.0,0.0,0.0
1605,6.515400839037154e-06,0.0,0.0,0.0
1606,7.236121794968702e-06,0.0,0.0,0.0
1607,2.763820816653606e-06,0.0,0.0,0.0
1608,2.3731730932143236e-06,0.0,0.0,0.0
1609,2.561847070735114e-06,0.0,0.0,0.0
1610,2.561847070735114e-06,0.0,0.0,0.0
1611,2.3928271925147522e-06,0.0,0.0,0.0
1612,2.1679534094281346e-06,0.0,0.0,0.0
1613,1.4472324534965862e-06,0.0,0.0,0.0
1614,7.007353782942769e-07,0.0,0.0,0.0
1615,7.007353782942769e-07,0.0,0.0,0.0
1616,5.12061400773486e-07,0.0,0.0,0.0
1617,5.12061400773486e-07,0.0,0.0,0.0
1618,3.1512684342617703e-06,0.0,0.0,0.0
1619,3.4888719255832257e-06,0.0,0.0,0.0
1620,3.4888719255832257e-06,0.0,0.0,0.0
1621,3.4888719255832257e-06,0.0,0.0,0.0
1622,3.4888719255832257e-06,0.0,0.0,0.0
1623,4.027700307623101e-06,0.0,0.0,0.0
1624,4.177032500202975e-06,0.0,0.0,0.0
1625,1.0257640659412054e-06,0.0,0.0,0.0
1626,9.177823910379499e-07,0.0,0.0,0.0
1627,1.0775537313228206e-06,0.0,0.0,0.0
1628,1.3396002356915102e-06,0.0,0.0,0.0
1629,1.5046589234251378e-06,0.0,0.0,0.0
1630,1.052079539931583e-06,0.0,0.0,0.0
1631,1.0161073191738978e-06,0.0,0.0,0.0
1632,2.9402561381175474e-06,0.0,0.0,0.0
1633,3.1219126981341105e-06,0.0,0.0,0.0
1634,4.936831966720742e-06,0.0,0.0,0.0
1635,5.25102344032088e-06,0.0,0.0,0.0
1636,5.4333423885769406e-06,0.0,0.0,0.0
1637,5.639733899442945e-06,0.0,0.0,0.0
1638,5.997719199513085e-06,0.0,0.0,0.0
1639,4.774402441398706e-06,0.0,0.0,0.0
1640,4.671548237768418e-06,0.0,0.0,0.0
1641,3.2343564271286596e-06,0.0,0.0,0.0
1642,2.7660682836280363e-06,0.0,0.0,0.0
1643,2.418690647638349e-06,0.0,0.0,0.0
1644,2.9510033446708154e-06,0.0,0.0,0.0
1645,6.409004681375206e-06,0.0,0.0,0.0
1646,5.909649441296746e-06,0.0,0.0,0.0
1647,7.786181827538843e-06,0.0,0.0,0.0
1648,9.449446346414853e-06,0.0,0.0,0.0
1649,9.889090928741748e-06,0.0,0.0,0.0
1650,1.0460052733053868e-05,0.0,0.0,0.0
1651,1.0194100566098183e-05,0.0,0.0,0.0
1652,7.044153497710275e-06,0.0,0.0,0.0
1653,7.294931362723998e-06,0.0,0.0,0.0
1654,7.350066750534877e-06,0.0,0.0,0.0
1655,6.195158221089514e-06,0.0,0.0,0.0
1656,6.599017784278008e-06,0.0,0.0,0.0
1657,7.19584210985756e-06,0.0,0.0,0.0
1658,7.119381767292257e-06,0.0,0.0,0.0
1659,8.591685303014987e-06,0.0,0.0,0.0
1660,8.861003834681469e-06,0.0,0.0,0.0
1661,6.62091188782402e-06,0.0,0.0,0.0
1662,6.2246548558115526e-06,0.0,0.0,0.0
1663,6.258625522345288e-06,0.0,0.0,0.0
1664,5.562475150457301e-06,0.0,0.0,0.0
1665,5.344484147177095e-06,0.0,0.0,0.0
1666,3.771903818363041e-06,0.0,0.0,0.0
1667,3.894090793567427e-06,0.0,0.0,0.0
1668,4.287869744855145e-06,0.0,0.0,0.0
1669,4.297262031676448e-06,0.0,0.0,0.0
1670,4.123469937310022e-06,0.0,0.0,0.0
1671,3.8082749499933144e-06,0.0,0.0,0.0
1672,3.691328873043988e-06,0.0,0.0,0.0
1673,3.6307778990314025e-06,0.0,0.0,0.0
1674,3.079792431240743e-06,0.0,0.0,0.0
1675,3.200790989207495e-06,0.0,0.0,0.0
1676,2.9712660339750333e-06,0.0,0.0,0.0
1677,2.2939782736232573e-06,0.0,0.0,0.0
1678,2.2968860743536164e-06,0.0,0.0,0.0
1679,2.587646073542211e-06,0.0,0.0,0.0
1680,2.8379668849863393e-06,0.0,0.0,0.0
1681,3.1269642184789907e-06,0.0,0.0,0.0
1682,3.398466966635689e-06,0.0,0.0,2.016103297007378e-08
1683,3.8075565791067286e-06,0.0,0.0,2.016103297007378e-08
1684,4.1992002154854295e-06,0.0,0.0,4.938261253885555e-08
1685,4.302527453806501e-06,0.0,0.0,4.938261253885555e-08
1686,4.554894011172499e-06,0.0,0.0,4.938261253885555e-08
1687,4.345202861648951e-06,0.0,0.0,4.938261253885555e-08
1688,5.580502342387003e-06,0.0,0.0,4.938261253885555e-08
1689,4.952077931972911e-06,0.0,0.0,2.9221579568781764e-08
1690,4.3835370076651865e-06,0.0,0.0,2.9221579568781764e-08
1691,4.10220911817305e-06,0.0,0.0,0.0
1692,4.099881802436098e-06,0.0,0.0,0.0
1693,3.5972587966170977e-06,0.0,0.0,0.0
1694,3.376997272295869e-06,0.0,0.0,0.0
1695,1.761514178204899e-06,0.0,0.0,0.0
1696,1.745371849080714e-06,0.0,0.0,0.0
1697,2.3055775143023183e-06,0.0,0.0,0.0
1698,2.403168894358844e-06,0.0,0.0,0.0
1699,2.182029021469134e-06,0.0,0.0,0.0
1700,2.370859594488398e-06,0.0,0.0,0.0
1701,2.0092537584202674e-06,0.0,0.0,0.0
