ngram,river,rver,rivr,rivr
1500,7.765629732148227e-06,0.0,0.0,0.0
1501,6.212503785718582e-06,0.0,0.0,0.0
1502,2.2572460504003782e-05,0.0,0.0,0.0
1503,1.93478232891461e-05,0.0,0.0,0.0
1504,1.9214162291193914e-05,0.0,0.0,0.0
1505,1.617297597736719e-05,0.0,0.0,0.0
1506,1.617297597736719e-05,0.0,0.0,0.0
1507,1.617297597736719e-05,0.0,0.0,0.0
1508,1.617297597736719e-05,0.0,0.0,0.0
1509,1.2626553923057924e-06,0.0,0.0,0.0
1510,1.2626553923057924e-06,0.0,0.0,0.0
1511,1.2626553923057924e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,3.1422724922387194e-06,0.0,0.0,0.0
1515,3.1422724922387194e-06,0.0,0.0,0.0
1516,3.1422724922387194e-06,0.0,0.0,0.0
1517,3.6735492748058666e-06,0.0,0.0,0.0
1518,3.6735492748058666e-06,0.0,0.0,0.0
1519,3.6735492748058666e-06,0.0,0.0,0.0
1520,7.93430428010262e-05,0.0,0.0,0.0
1521,7.620077030878747e-05,0.0,0.0,0.0
1522,0.00011111209551017964,0.0,0.0,0.0
1523,0.00011973672566715063,0.0,0.0,0.0
1524,0.00012127012697809343,0.0,0.0,0.0
1525,0.00012127012697809343,0.0,0.0,0.0
1526,0.00012127012697809343,0.0,0.0,0.0
1527,4.5600633451873106e-05,0.0,0.0,0.0
1528,0.00010935981260575187,0.0,0.0,0.0
1529,7.44484874043597e-05,0.0,0.0,0.0
1530,6.582385724738873e-05,0.0,0.0,0.0
1531,8.099372332383479e-05,0.0,0.0,0.0
1532,0.00010624505271802523,0.0,0.0,0.0
1533,0.00010624505271802523,0.0,0.0,0.0
1534,0.00010624505271802523,0.0,0.0,0.0
1535,4.399191181749172e-05,0.0,0.0,0.0
1536,4.622823377888251e-05,0.0,0.0,0.0
1537,4.622823377888251e-05,0.0,0.0,0.0
1538,2.8993689608926487e-05,0.0,0.0,0.0
1539,3.7423602147360465e-06,0.0,0.0,0.0
1540,3.7423602147360465e-06,0.0,0.0,0.0
1541,3.7423602147360465e-06,0.0,0.0,0.0
1542,2.236321961390786e-06,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1544,5.425092240329832e-06,0.0,0.0,0.0
1545,8.640133403657404e-06,0.0,0.0,0.0
1546,1.2556020010379143e-05,0.0,0.0,0.0
1547,1.2556020010379143e-05,0.0,0.0,0.0
1548,2.979605233122129e-05,0.0,0.0,0.0
1549,2.979605233122129e-05,0.0,0.0,0.0
1550,3.087674375430132e-05,0.0,0.0,0.0
1551,2.545165151397149e-05,0.0,0.0,0.0
1552,0.00011886548515706506,0.0,0.0,0.0
1553,0.00011494959855034332,0.0,0.0,0.0
1554,0.00011494959855034332,0.0,0.0,0.0
1555,0.00011754207214055765,0.0,0.0,0.0
1556,0.00011754207214055765,0.0,0.0,0.0
1557,0.00011646138071747763,0.0,0.0,0.0
1558,0.00011782547803055163,0.0,0.0,0.0
1559,2.119660322413048e-05,0.0,0.0,0.0
1560,4.0938974572262464e-05,0.0,0.0,0.0
1561,4.0938974572262464e-05,0.0,0.0,0.0
1562,2.1106468661205975e-05,0.0,0.0,0.0
1563,2.1106468661205975e-05,0.0,0.0,0.0
1564,2.7468115409387144e-05,0.0,0.0,0.0
1565,2.7115818738820963e-05,0.0,0.0,0.0
1566,3.282683012782529e-05,0.0,0.0,0.0
1567,1.3084458779693315e-05,0.0,0.0,0.0
1568,1.3084458779693315e-05,0.0,0.0,0.0
1569,1.3827164106520026e-05,0.0,0.0,0.0
1570,1.3827164106520026e-05,0.0,0.0,0.0
1571,1.4821072389687678e-05,0.0,0.0,0.0
1572,2.0048801421320866e-05,0.0,0.0,0.0
1573,1.433779003231653e-05,0.0,0.0,0.0
1574,1.433779003231653e-05,0.0,0.0,0.0
1575,1.433779003231653e-05,0.0,0.0,0.0
1576,2.7566178947121705e-05,0.0,0.0,0.0
1577,2.7566178947121705e-05,0.0,0.0,0.0
1578,2.23788418744724e-05,0.0,0.0,0.0
1579,2.2606859991875744e-05,0.0,0.0,0.0
1580,2.2606859991875744e-05,0.0,0.0,0.0
1581,2.2606859991875744e-05,0.0,0.0,0.0
1582,2.2606859991875744e-05,0.0,0.0,0.0
1583,1.6325727431519355e-05,0.0,0.0,0.0
1584,1.812395060239526e-05,0.0,0.0,0.0
1585,1.6710604995751055e-05,0.0,0.0,0.0
1586,1.0243057204206707e-05,0.0,0.0,0.0
1587,1.612640952381688e-05,0.0,0.0,0.0
1588,1.7465421154026573e-05,0.0,0.0,0.0
1589,1.9519412295007248e-05,0.0,0.0,0.0
1590,1.6509012376835536e-05,0.0,0.0,0.0
1591,1.604345646098539e-05,0.0,0.0,0.0
1592,1.707949948987724e-05,0.0,0.0,0.0
1593,2.4001077950483056e-05,0.0,0.0,0.0
1594,2.4152462564026272e-05,0.0,0.0,0.0
1595,2.2813450933816576e-05,0.0,0.0,0.0
1596,2.307406040407451e-05,0.0,0.0,0.0
1597,1.9847243752987458e-05,0.0,0.0,0.0
1598,2.2274459297477733e-05,0.0,0.0,0.0
1599,2.083727736135188e-05,0.0,0.0,0.0
1600,2.1264618778462007e-05,0.0,0.0,0.0
1601,3.124643902603046e-05,0.0,0.0,0.0
1602,5.014296990728846e-05,0.0,0.0,0.0
1603,4.824047940538938e-05,0.0,0.0,0.0
1604,4.797962658033482e-05,0.0,0.0,0.0
1605,4.8492345643223545e-05,0.0,0.0,0.0
1606,5.686734363864941e-05,0.0,0.0,0.0
1607,5.175791492157649e-05,0.0,0.0,0.0
1608,5.1915242953067976e-05,0.0,0.0,0.0
1609,3.320738604933078e-05,0.0,0.0,0.0
1610,3.292272420399708e-05,0.0,0.0,0.0
1611,3.470078790509693e-05,0.0,0.0,0.0
1612,3.0428186042692168e-05,0.0,0.0,0.0
1613,3.2726377290665755e-05,0.0,0.0,0.0
1614,3.2134934835020044e-05,0.0,0.0,0.0
1615,2.5103687424429415e-05,0.0,0.0,0.0
1616,2.4915013446908623e-05,0.0,0.0,0.0
1617,2.503464785214809e-05,0.0,0.0,0.0
1618,2.4822051646619263e-05,0.0,0.0,0.0
1619,3.101144893337603e-05,1.1253449981398132e-07,0.0,0.0
1620,2.834585612682921e-05,1.1253449981398132e-07,0.0,0.0
1621,3.740288747979191e-05,1.1253449981398132e-07,0.0,0.0
1622,2.924512739355123e-05,1.1253449981398132e-07,0.0,0.0
1623,5.349240374081481e-05,1.1253449981398132e-07,0.0,0.0
1624,5.324532107156951e-05,1.1253449981398132e-07,0.0,0.0
1625,5.1318608192169836e-05,5.278579513807407e-07,0.0,0.0
1626,6.625441749617624e-05,4.1532345156675934e-07,0.0,0.0
1627,5.869194429968567e-05,4.1532345156675934e-07,0.0,0.0
1628,5.309677083330046e-05,4.1532345156675934e-07,0.0,0.0
1629,5.442271464874336e-05,4.1532345156675934e-07,0.0,0.0
1630,3.1900418304888133e-05,4.1532345156675934e-07,0.0,0.0
1631,5.434569357021246e-05,4.1532345156675934e-07,0.0,0.0
1632,5.763822270767248e-05,0.0,0.0,0.0
1633,4.0077428755986535e-05,0.0,0.0,0.0
1634,4.878177099141924e-05,0.0,0.0,0.0
1635,5.371486973412435e-05,0.0,0.0,0.0
1636,6.252013255496942e-05,0.0,0.0,0.0
1637,6.569688100301261e-05,7.316012735308114e-08,0.0,0.0
1638,4.5810337074466846e-05,7.316012735308114e-08,0.0,0.0
1639,4.9707794719974375e-05,7.316012735308114e-08,0.0,0.0
1640,4.840515923985679e-05,7.316012735308114e-08,0.0,0.0
1641,3.973806951762526e-05,7.316012735308114e-08,0.0,0.0
1642,3.293355913618663e-05,1.8110996182128603e-07,0.0,0.0
1643,2.2901344176976375e-05,1.8110996182128603e-07,0.0,0.0
1644,2.3224319258068654e-05,1.0794983446820489e-07,0.0,0.0
1645,2.5773738408523578e-05,1.0794983446820489e-07,0.0,0.0
1646,2.0372303424665006e-05,1.0794983446820489e-07,0.0,0.0
1647,3.298904052176762e-05,1.0794983446820489e-07,0.0,0.0
1648,3.6095965567385845e-05,1.0794983446820489e-07,0.0,0.0
1649,3.747290936319457e-05,0.0,0.0,0.0
1650,6.528849085693114e-05,0.0,0.0,0.0
1651,6.337479369124464e-05,4.300008121000636e-08,0.0,0.0
1652,6.272035508508062e-05,1.5434287498854766e-07,0.0,0.0
1653,6.266393289219454e-05,1.5434287498854766e-07,0.0,0.0
1654,5.0481825642886437e-05,1.5434287498854766e-07,0.0,0.0
1655,5.25234047797442e-05,1.5434287498854766e-07,0.0,0.0
1656,4.9176571337739006e-05,1.99650206208649e-07,0.0,0.0
1657,2.264049726363737e-05,1.99650206208649e-07,0.0,0.0
1658,2.0937959951489965e-05,2.1026575934359114e-07,0.0,0.0
1659,2.4686880481437712e-05,1.6325733603090547e-07,0.0,0.0
1660,2.4368998310819734e-05,1.6325733603090547e-07,0.0,0.0
1661,2.3688153565412256e-05,1.6325733603090547e-07,0.0,0.0
1662,2.1195128023724203e-05,2.038571957590258e-07,0.0,0.0
1663,2.6233240662674818e-05,2.242448431388766e-07,0.0,0.0
1664,3.0512067886385402e-05,2.242448431388766e-07,0.0,0.0
1665,3.0358622227920152e-05,1.706292087939281e-07,0.0,0.0
1666,2.579129393000455e-05,1.0629483832807246e-07,0.0,0.0
1667,2.679163130129122e-05,1.387471542102503e-07,0.0,0.0
1668,2.7051236299614955e-05,1.387471542102503e-07,0.0,0.0
1669,2.9790099818326e-05,9.814729448212997e-08,0.0,0.0
1670,2.42950144248815e-05,3.245231588217783e-08,0.0,0.0
1671,1.8043912307673183e-05,1.1067270122566697e-07,0.0,0.0
1672,1.7179303378205596e-05,1.3527330265463077e-07,0.0,0.0
1673,1.3865656585819255e-05,1.6001617301039266e-07,0.0,0.0
1674,1.1173443778846246e-05,1.2756385712821482e-07,0.0,0.0
1675,9.721920507997441e-06,1.2756385712821482e-07,0.0,0.0
1676,4.092720311226523e-06,1.7051036747618908e-07,0.0,0.0
1677,3.717708328362538e-06,1.7051036747618908e-07,0.0,0.0
1678,3.7648149892837476e-06,9.228998213269993e-08,0.0,0.0
1679,3.981912414019462e-06,6.768938070373614e-08,0.0,0.0
1680,4.022293686440597e-06,4.2946510347974254e-08,0.0,0.0
1681,7.631182305496103e-06,4.2946510347974254e-08,0.0,0.0
1682,7.412369313897216e-06,6.310754331804804e-08,0.0,0.0
1683,7.384866064187788e-06,2.016103297007378e-08,0.0,0.0
1684,7.532677110637971e-06,2.016103297007378e-08,0.0,0.0
1685,7.902701781858923e-06,2.016103297007378e-08,0.0,0.0
1686,8.062212145887315e-06,2.016103297007378e-08,0.0,0.0
1687,8.318174877786078e-06,6.136112265916641e-08,0.0,0.0
1688,4.994915798306465e-06,6.136112265916641e-08,0.0,0.0
1689,5.2109352119649496e-06,4.1200089689092627e-08,0.0,0.0
1690,6.257269952974249e-06,4.1200089689092627e-08,0.0,0.0
1691,6.602548377746384e-06,4.1200089689092627e-08,0.0,0.0
1692,6.173003839649027e-06,6.486813422920282e-08,0.0,0.0
1693,6.052463829421738e-06,6.486813422920282e-08,0.0,0.0
1694,8.141258539191248e-06,2.3668044540110193e-08,0.0,0.0
1695,7.752307413154216e-06,2.3668044540110193e-08,1.550680346034434e-08,1.550680346034434e-08
1696,8.112402870860283e-06,2.3668044540110193e-08,1.550680346034434e-08,1.550680346034434e-08
1697,1.0062998496453344e-05,3.10151193616548e-08,1.550680346034434e-08,1.550680346034434e-08
1698,1.293954483116977e-05,3.10151193616548e-08,1.550680346034434e-08,1.550680346034434e-08
1699,1.3201263625108237e-05,7.347074821544603e-09,1.550680346034434e-08,1.550680346034434e-08
1700,1.2926686914787361e-05,2.0344927520454803e-08,1.550680346034434e-08,1.550680346034434e-08
1701,1.0316558473277837e-05,2.0344927520454803e-08,1.550680346034434e-08,1.550680346034434e-08
1702,1.0657881700483682e-05,3.233008730571133e-08,1.1985159785256525e-08,1.1985159785256525e-08
1703,1.0338150202317462e-05,6.545371787426899e-08,1.1985159785256525e-08,1.1985159785256525e-08
1704,6.880074887963669e-06,5.8106643052724394e-08,1.1985159785256525e-08,1.1985159785256525e-08
1705,8.898182045413705e-06,6.726444772604217e-08,1.1985159785256525e-08,1.1985159785256525e-08
1706,8.877996005399577e-06,6.726444772604217e-08,1.1985159785256525e-08,1.1985159785256525e-08
1707,8.391157637431337e-06,5.4266595027131966e-08,1.1985159785256525e-08,1.1985159785256525e-08
